trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
108.667,2.59585,2.50192,-0.18523,2.53981,2.48104,108.667,3.2913,3.60432,-0.18523,3.43307,3.66665,108.667,3.25318,3.26187,-0.18523,3.19799,3.28116,108.667,2.91818,2.70155,-0.18523,2.57061,2.73941,All
109.3,2.60747,2.50545,-0.17999,2.55035,2.48472,109.3,3.2625,3.59482,-0.17999,3.40678,3.65658,109.3,3.2656,3.25926,-0.17999,3.20887,3.27833,109.3,2.99307,2.69471,-0.17999,2.63701,2.73237,All
109.933,2.61909,2.50899,-0.174749,2.56089,2.4884,109.933,3.2337,3.58531,-0.174749,3.3805,3.6465,109.933,3.27803,3.25665,-0.174749,3.21976,3.27551,109.933,3.06796,2.68787,-0.174749,2.7034,2.72532,All
110.567,2.6307,2.51252,-0.169509,2.57143,2.49207,110.567,3.20491,3.57581,-0.169509,3.35421,3.63643,110.567,3.29045,3.25405,-0.169509,3.23064,3.27268,110.567,3.14285,2.68103,-0.169509,2.7698,2.71828,All
111.2,2.64232,2.51605,-0.164268,2.58198,2.49575,111.2,3.17611,3.56631,-0.164268,3.32792,3.62636,111.2,3.30287,3.25144,-0.164268,3.24152,3.26985,111.2,3.21773,2.67419,-0.164268,2.8362,2.71124,All
111.833,2.65393,2.51958,-0.159027,2.59252,2.49942,111.833,3.14731,3.5568,-0.159027,3.30163,3.61629,111.833,3.31529,3.24884,-0.159027,3.25241,3.26703,111.833,3.29262,2.66735,-0.159027,2.90259,2.7042,All
112.467,2.64489,2.52312,-0.153787,2.60306,2.5031,112.467,3.13601,3.5473,-0.153787,3.27534,3.60621,112.467,3.31738,3.24623,-0.153787,3.26329,3.2642,112.467,3.2149,2.66051,-0.153787,2.96899,2.69715,All
113.1,2.62847,2.52665,-0.148546,2.6136,2.50677,113.1,3.13097,3.53779,-0.148546,3.24906,3.59614,113.1,3.31578,3.24362,-0.148546,3.27417,3.26137,113.1,3.08268,2.65366,-0.148546,3.03538,2.69011,All
113.733,2.61205,2.53018,-0.143306,2.62414,2.51045,113.733,3.12593,3.52829,-0.143306,3.22277,3.58607,113.733,3.31418,3.24102,-0.143306,3.28506,3.25854,113.733,2.95046,2.64682,-0.143306,3.10178,2.68307,All
114.367,2.59563,2.53372,-0.138065,2.63468,2.51413,114.367,3.12088,3.51878,-0.138065,3.19648,3.57599,114.367,3.31258,3.23841,-0.138065,3.29594,3.25572,114.367,2.81823,2.63998,-0.138065,3.16818,2.67603,All
115,2.57921,2.53725,-0.132824,2.64522,2.5178,115,3.11584,3.50928,-0.132824,3.17019,3.56592,115,3.31098,3.2358,-0.132824,3.30682,3.25289,115,2.68601,2.63314,-0.132824,3.23457,2.66898,All
115.633,2.56279,2.54078,-0.127584,2.65576,2.52148,115.633,3.1108,3.49977,-0.127584,3.14391,3.55585,115.633,3.30938,3.2332,-0.127584,3.31771,3.25006,115.633,2.55378,2.6263,-0.127584,3.30097,2.66194,All
116.267,2.54637,2.54431,-0.122343,2.64346,2.52515,116.267,3.10575,3.49027,-0.122343,3.1357,3.54578,116.267,3.30778,3.23059,-0.122343,3.31766,3.24724,116.267,2.42156,2.61946,-0.122343,3.19842,2.6549,All
116.9,2.52995,2.54785,-0.117103,2.628,2.52883,116.9,3.10071,3.48076,-0.117103,3.12999,3.5357,116.9,3.30618,3.22799,-0.117103,3.31611,3.24441,116.9,2.28934,2.61261,-0.117103,3.07251,2.64786,All
117.533,2.51353,2.55138,-0.111862,2.61254,2.53251,117.533,3.09567,3.47126,-0.111862,3.12428,3.52563,117.533,3.30458,3.22538,-0.111862,3.31455,3.24158,117.533,2.15711,2.60577,-0.111862,2.94661,2.64081,All
118.167,2.49711,2.55491,-0.106621,2.59709,2.53618,118.167,3.09062,3.46175,-0.106621,3.11857,3.51556,118.167,3.30298,3.22277,-0.106621,3.313,3.23875,118.167,2.02489,2.59893,-0.106621,2.8207,2.63377,All
118.8,2.53231,2.55844,-0.101381,2.58163,2.53986,118.8,3.17068,3.45225,-0.101381,3.11286,3.50549,118.8,3.27958,3.22017,-0.101381,3.31144,3.23593,118.8,2.09477,2.59209,-0.101381,2.6948,2.62673,All
119.433,2.58128,2.56198,-0.0961401,2.56617,2.54353,119.433,3.27344,3.44274,-0.0961401,3.10715,3.49541,119.433,3.25037,3.21756,-0.0961401,3.30989,3.2331,119.433,2.21855,2.58525,-0.0961401,2.5689,2.61969,All
120.067,2.63293,2.56551,-0.0908995,2.55071,2.54721,120.067,3.38099,3.43324,-0.0908995,3.10144,3.48534,120.067,3.22157,3.21496,-0.0908995,3.30833,3.23027,120.067,2.37678,2.57841,-0.0908995,2.44299,2.61264,All
120.7,2.68489,2.56904,-0.0856589,2.53526,2.55089,120.7,3.4891,3.42373,-0.0856589,3.09573,3.47527,120.7,3.19283,3.21235,-0.0856589,3.30678,3.22744,120.7,2.53905,2.57157,-0.0856589,2.31709,2.6056,All
121.333,2.73685,2.57257,-0.0804183,2.5198,2.55456,121.333,3.59722,3.41423,-0.0804183,3.09002,3.4652,121.333,3.16408,3.20974,-0.0804183,3.30522,3.22462,121.333,2.70133,2.56472,-0.0804183,2.19118,2.59856,All
121.967,2.7556,2.57611,-0.0751777,2.50434,2.55824,121.967,3.65967,3.40472,-0.0751777,3.08431,3.45512,121.967,3.14854,3.20714,-0.0751777,3.30366,3.22179,121.967,2.77745,2.55788,-0.0751777,2.06528,2.59152,All
122.6,2.72938,2.57964,-0.0699371,2.51717,2.56191,122.6,3.66408,3.39522,-0.0699371,3.12654,3.44505,122.6,3.14699,3.20453,-0.0699371,3.28982,3.21896,122.6,2.72363,2.55104,-0.0699371,2.0488,2.58447,All
123.233,2.70316,2.58317,-0.0646965,2.56657,2.56559,123.233,3.6685,3.38571,-0.0646965,3.23077,3.43498,123.233,3.14544,3.20192,-0.0646965,3.26008,3.21614,123.233,2.66981,2.5442,-0.0646965,2.17383,2.57743,All
123.867,2.67695,2.58671,-0.0594559,2.61673,2.56927,123.867,3.67291,3.37621,-0.0594559,3.33664,3.42491,123.867,3.1439,3.19932,-0.0594559,3.23091,3.21331,123.867,2.616,2.53736,-0.0594559,2.31563,2.57039,All
124.5,2.65073,2.59024,-0.0542153,2.6676,2.57294,124.5,3.67732,3.3667,-0.0542153,3.4441,3.41483,124.5,3.14235,3.19671,-0.0542153,3.20228,3.21048,124.5,2.56218,2.53052,-0.0542153,2.47351,2.56335,All
125.133,2.62451,2.59377,-0.0489747,2.71848,2.57662,125.133,3.68173,3.3572,-0.0489747,3.55155,3.40476,125.133,3.1408,3.19411,-0.0489747,3.17365,3.20765,125.133,2.50836,2.52368,-0.0489747,2.6314,2.5563,All
125.767,2.59829,2.5973,-0.0437341,2.7591,2.58029,125.767,3.68615,3.34769,-0.0437341,3.64349,3.39469,125.767,3.13926,3.1915,-0.0437341,3.15016,3.20483,125.767,2.45454,2.51683,-0.0437341,2.76604,2.54926,All
126.4,2.57208,2.60084,-0.0384935,2.73942,2.58397,126.4,3.69056,3.33819,-0.0384935,3.65699,3.38461,126.4,3.13771,3.18889,-0.0384935,3.14638,3.202,126.4,2.40072,2.50999,-0.0384935,2.73251,2.54222,All
127.033,2.54586,2.60437,-0.0332529,2.71241,2.58765,127.033,3.69497,3.32868,-0.0332529,3.66129,3.37454,127.033,3.13616,3.18629,-0.0332529,3.14474,3.19917,127.033,2.3469,2.50315,-0.0332529,2.6778,2.53518,All
127.667,2.51964,2.6079,-0.0280123,2.68541,2.59132,127.667,3.69938,3.31918,-0.0280123,3.66559,3.36447,127.667,3.13461,3.18368,-0.0280123,3.1431,3.19634,127.667,2.29308,2.49631,-0.0280123,2.62308,2.52813,All
128.3,2.49342,2.61143,-0.0227717,2.65841,2.595,128.3,3.7038,3.30967,-0.0227717,3.66989,3.3544,128.3,3.13307,3.18107,-0.0227717,3.14146,3.19352,128.3,2.23926,2.48947,-0.0227717,2.56836,2.52109,All
128.933,2.46721,2.61497,-0.0175311,2.63141,2.59867,128.933,3.70821,3.30017,-0.0175311,3.67419,3.34432,128.933,3.13152,3.17847,-0.0175311,3.13982,3.19069,128.933,2.18545,2.48263,-0.0175311,2.51365,2.51405,All
129.567,2.45971,2.6185,-0.0122905,2.6044,2.60235,129.567,3.67354,3.29066,-0.0122905,3.67849,3.33425,129.567,3.11589,3.17586,-0.0122905,3.13818,3.18786,129.567,2.15426,2.47579,-0.0122905,2.45893,2.50701,All
130.2,2.45442,2.62203,-0.00704987,2.5774,2.60603,130.2,3.63428,3.28116,-0.00704987,3.68279,3.32418,130.2,3.0986,3.17326,-0.00704987,3.13654,3.18504,130.2,2.12574,2.46894,-0.00704987,2.40422,2.49996,All
130.833,2.44913,2.62557,-0.00180927,2.5504,2.6097,130.833,3.59501,3.27165,-0.00180927,3.68709,3.31411,130.833,3.08132,3.17065,-0.00180927,3.1349,3.18221,130.833,2.09722,2.4621,-0.00180927,2.3495,2.49292,All
131.467,2.44384,2.6291,0.00343133,2.5234,2.61338,131.467,3.55575,3.26215,0.00343133,3.69139,3.30403,131.467,3.06403,3.16804,0.00343133,3.13326,3.17938,131.467,2.0687,2.45526,0.00343133,2.29479,2.48588,All
132.1,2.43855,2.63263,0.00867193,2.49639,2.61705,132.1,3.51648,3.25264,0.00867193,3.69569,3.29396,132.1,3.04674,3.16544,0.00867193,3.13162,3.17655,132.1,2.04018,2.44842,0.00867193,2.24007,2.47884,All
132.733,2.43326,2.63616,0.0139125,2.46939,2.62073,132.733,3.47722,3.24314,0.0139125,3.69999,3.28389,132.733,3.02946,3.16283,0.0139125,3.12998,3.17373,132.733,2.01166,2.44158,0.0139125,2.18535,2.47179,All
133.367,2.42797,2.6397,0.0191531,2.46169,2.62441,133.367,3.43795,3.23363,0.0191531,3.66159,3.27382,133.367,3.01217,3.16023,0.0191531,3.11244,3.1709,133.367,1.98313,2.43474,0.0191531,2.15121,2.46475,All
134,2.42268,2.64323,0.0243937,2.45583,2.62808,134,3.39869,3.22413,0.0243937,3.61915,3.26374,134,2.99488,3.15762,0.0243937,3.09339,3.16807,134,1.95461,2.4279,0.0243937,2.11901,2.45771,All
134.633,2.41739,2.64676,0.0296343,2.44996,2.63176,134.633,3.35942,3.21462,0.0296343,3.57671,3.25367,134.633,2.9776,3.15501,0.0296343,3.07435,3.16524,134.633,1.92609,2.42105,0.0296343,2.08681,2.45067,All
135.267,2.4121,2.65029,0.0348749,2.44409,2.63543,135.267,3.32016,3.20512,0.0348749,3.53427,3.2436,135.267,2.96031,3.15241,0.0348749,3.0553,3.16242,135.267,1.89757,2.41421,0.0348749,2.05461,2.44362,All
135.9,2.40681,2.65383,0.0401155,2.43822,2.63911,135.9,3.2809,3.19561,0.0401155,3.49183,3.23352,135.9,2.94302,3.1498,0.0401155,3.03625,3.15959,135.9,1.86905,2.40737,0.0401155,2.02241,2.43658,All
136.533,2.46947,2.65736,0.0453561,2.43236,2.64279,136.533,3.07426,3.18611,0.0453561,3.44938,3.22345,136.533,2.95243,3.14719,0.0453561,3.01721,3.15676,136.533,2.06373,2.40053,0.0453561,1.99021,2.42954,All
137.167,2.54487,2.66089,0.0505968,2.42649,2.64646,137.167,2.83625,3.1766,0.0505968,3.40694,3.21338,137.167,2.96684,3.14459,0.0505968,2.99816,3.15394,137.167,2.30027,2.39369,0.0505968,1.95801,2.4225,All
137.8,2.62027,2.66442,0.0558374,2.42062,2.65014,137.8,2.59824,3.1671,0.0558374,3.3645,3.20331,137.8,2.98125,3.14198,0.0558374,2.97912,3.15111,137.8,2.5368,2.38685,0.0558374,1.92582,2.41545,All
138.433,2.67193,2.66796,0.061078,2.41475,2.65381,138.433,2.80343,3.15759,0.061078,3.32206,3.19323,138.433,3.08069,3.13938,0.061078,2.96007,3.14828,138.433,2.72925,2.38001,0.061078,1.89362,2.40841,All
139.067,2.66399,2.67149,0.0663186,2.40889,2.65749,139.067,3.58084,3.14809,0.0663186,3.27962,3.18316,139.067,3.25169,3.13677,0.0663186,2.94102,3.14545,139.067,2.74169,2.37316,0.0663186,1.86142,2.40137,All
139.7,2.66577,2.67502,0.0715592,2.47847,2.66116,139.7,3.46808,3.13859,0.0715592,3.04699,3.17309,139.7,3.2375,3.13416,0.0715592,2.95181,3.14263,139.7,2.6187,2.36632,0.0715592,2.08182,2.39433,All
140.333,2.66755,2.67856,0.0767998,2.5635,2.66484,140.333,3.35531,3.12908,0.0767998,2.77545,3.16302,140.333,3.22332,3.13156,0.0767998,2.96871,3.1398,140.333,2.49572,2.35948,0.0767998,2.3539,2.38728,All
140.967,2.66933,2.68209,0.0820404,2.64281,2.66852,140.967,3.24255,3.11958,0.0820404,2.61452,3.15294,140.967,3.20914,3.12895,0.0820404,3.00658,3.13697,140.967,2.37274,2.35264,0.0820404,2.61448,2.38024,All
141.6,2.67111,2.68562,0.087281,2.69654,2.67219,141.6,3.12978,3.11007,0.087281,2.94828,3.14287,141.6,3.19495,3.12634,0.087281,3.13826,3.13414,141.6,2.24975,2.3458,0.087281,2.82359,2.3732,All
142.233,2.6729,2.68915,0.0925216,2.6665,2.67587,142.233,3.01701,3.10057,0.0925216,3.50027,3.1328,142.233,3.18077,3.12374,0.0925216,3.24053,3.13132,142.233,2.12677,2.33896,0.0925216,2.65661,2.36615,All
142.867,2.67468,2.69269,0.0977622,2.66831,2.67954,142.867,2.90425,3.09106,0.0977622,3.36897,3.12273,142.867,3.16658,3.12113,0.0977622,3.22405,3.12849,142.867,2.00378,2.33212,0.0977622,2.51337,2.35911,All
143.5,2.67646,2.69622,0.103003,2.67012,2.68322,143.5,2.79148,3.08156,0.103003,3.23768,3.11265,143.5,3.1524,3.11853,0.103003,3.20757,3.12566,143.5,1.8808,2.32527,0.103003,2.37013,2.35207,All
144.133,2.68309,2.69975,0.108243,2.67193,2.6869,144.133,2.77418,3.07205,0.108243,3.10639,3.10258,144.133,3.15002,3.11592,0.108243,3.19109,3.12284,144.133,1.85427,2.31843,0.108243,2.22689,2.34503,All
144.767,2.69196,2.70328,0.113484,2.67374,2.69057,144.767,2.80092,3.06255,0.113484,2.9751,3.09251,144.767,3.1531,3.11331,0.113484,3.17461,3.12001,144.767,1.87227,2.31159,0.113484,2.08365,2.33798,All
145.4,2.70083,2.70682,0.118725,2.67555,2.69425,145.4,2.82767,3.05304,0.118725,2.84381,3.08243,145.4,3.15617,3.11071,0.118725,3.15813,3.11718,145.4,1.89026,2.30475,0.118725,1.94041,2.33094,All
146.033,2.70971,2.71035,0.123965,2.68021,2.69792,146.033,2.85442,3.04354,0.123965,2.76552,3.07236,146.033,3.15925,3.1081,0.123965,3.14821,3.11435,146.033,1.90825,2.29791,0.123965,1.8505,2.3239,All
146.667,2.71858,2.71388,0.129206,2.6909,2.7016,146.667,2.88117,3.03403,0.129206,2.79921,3.06229,146.667,3.16232,3.10549,0.129206,3.15217,3.11153,146.667,1.92624,2.29107,0.129206,1.87328,2.31686,All
147.3,2.72745,2.71741,0.134446,2.70158,2.70528,147.3,2.90792,3.02453,0.134446,2.83291,3.05222,147.3,3.1654,3.10289,0.134446,3.15612,3.1087,147.3,1.94424,2.28423,0.134446,1.89606,2.30981,All
147.933,2.73632,2.72095,0.139687,2.71226,2.70895,147.933,2.93466,3.01502,0.139687,2.8666,3.04214,147.933,3.16847,3.10028,0.139687,3.16007,3.10587,147.933,1.96223,2.27738,0.139687,1.91884,2.30277,All
148.567,2.7452,2.72448,0.144928,2.72294,2.71263,148.567,2.96141,3.00552,0.144928,2.9003,3.03207,148.567,3.17155,3.09768,0.144928,3.16402,3.10304,148.567,1.98022,2.27054,0.144928,1.94162,2.29573,All
149.2,2.75407,2.72801,0.150168,2.73362,2.7163,149.2,2.98816,2.99601,0.150168,2.93399,3.022,149.2,3.17462,3.09507,0.150168,3.16798,3.10022,149.2,1.99822,2.2637,0.150168,1.9644,2.28869,All
149.833,2.76294,2.73155,0.155409,2.7443,2.71998,149.833,3.01491,2.98651,0.155409,2.96768,3.01193,149.833,3.1777,3.09246,0.155409,3.17193,3.09739,149.833,2.01621,2.25686,0.155409,1.98718,2.28164,All
150.467,2.77181,2.73508,0.160649,2.75498,2.72366,150.467,3.04166,2.977,0.160649,3.00138,3.00185,150.467,3.18077,3.08986,0.160649,3.17588,3.09456,150.467,2.0342,2.25002,0.160649,2.00996,2.2746,All
151.1,2.78068,2.73861,0.16589,2.76566,2.72733,151.1,3.0684,2.9675,0.16589,3.03507,2.99178,151.1,3.18385,3.08725,0.16589,3.17984,3.09174,151.1,2.05219,2.24318,0.16589,2.03274,2.26756,All
151.733,2.78956,2.74214,0.171131,2.77634,2.73101,151.733,3.09515,2.95799,0.171131,3.06877,2.98171,151.733,3.18692,3.08465,0.171131,3.18379,3.08891,151.733,2.07019,2.23634,0.171131,2.05552,2.26052,All
152.367,2.79843,2.74568,0.176371,2.78703,2.73468,152.367,3.1219,2.94849,0.176371,3.10246,2.97164,152.367,3.18999,3.08204,0.176371,3.18774,3.08608,152.367,2.08818,2.22949,0.176371,2.0783,2.25347,All
153,2.8073,2.74921,0.181612,2.79771,2.73836,153,3.14865,2.93898,0.181612,3.13616,2.96156,153,3.19307,3.07943,0.181612,3.1917,3.08325,153,2.10617,2.22265,0.181612,2.10108,2.24643,All
153.633,2.81617,2.75274,0.186852,2.80839,2.74204,153.633,3.17539,2.92948,0.186852,3.16985,2.95149,153.633,3.19614,3.07683,0.186852,3.19565,3.08043,153.633,2.12417,2.21581,0.186852,2.12386,2.23939,All
154.267,2.82505,2.75627,0.192093,2.81907,2.74571,154.267,3.20214,2.91997,0.192093,3.20355,2.94142,154.267,3.19922,3.07422,0.192093,3.1996,3.0776,154.267,2.14216,2.20897,0.192093,2.14664,2.23235,All
154.9,2.83392,2.75981,0.197334,2.82975,2.74939,154.9,3.22889,2.91047,0.197334,3.23724,2.93135,154.9,3.20229,3.07161,0.197334,3.20356,3.07477,154.9,2.16015,2.20213,0.197334,2.16942,2.2253,All
