iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
33,476.322,1,20.9023,24.9702,10.9192,1.44799,0.0547887,-0.424334,1.57911,0.224253,1.03226,0.282177,1.10044
34,467.989,1,19.9617,25.3268,11.6196,1.36139,0.0567656,-0.38525,2.80198,0.2249,1.00612,0.285853,1.07257
35,481.147,1,21.1831,25.8253,12.8075,1.38651,0.0604508,-0.431758,2.40597,0.238538,0.980648,0.298562,1.04542
36,480.396,1,20.3802,25.3263,11.2878,1.44717,0.0568399,-0.409414,2.9629,0.232499,1.05457,0.291002,1.02244
37,472.194,1,21.3226,25.316,12.1984,1.37481,0.0539979,-0.441494,2.46445,0.227375,1.02787,0.299455,0.996552
38,467.176,1,20.2391,25.6784,14.1886,1.44106,0.0482363,-0.399948,2.11361,0.221618,1.00387,0.306361,1.00222
39,462.898,1,20.7212,25.9276,13.9204,1.50807,0.0441758,-0.418014,1.58802,0.217925,0.978451,0.31129,0.97684
40,462.914,1,21.1908,25.9527,13.0779,1.47333,0.0461595,-0.432182,1.07653,0.228287,0.953676,0.317157,0.952106
41,470.309,1,19.9354,25.9751,13.4171,1.62997,0.0403534,-0.38555,0.455947,0.222506,0.929528,0.320653,1.05875
42,461.669,1,20.3372,26.2237,12.1318,1.57054,0.0412484,-0.405563,1.83651,0.217429,0.905992,0.312534,1.03194
43,458.466,1,19.9084,25.8401,11.6736,1.5445,0.0418422,-0.387007,1.47145,0.227639,0.883052,0.307957,1.00581
44,461.562,1,20.4499,25.4739,11.0748,1.60843,0.0364595,-0.40425,1.55969,0.229626,0.980378,0.313163,0.980345
45,462.544,1,20.5825,24.9908,11.9441,1.64385,0.0372861,-0.405711,2.0664,0.232258,0.955554,0.305234,0.955522
46,461.289,1,21.123,24.6471,11.9253,1.64388,0.0390377,-0.434241,1.56945,0.233842,0.931359,0.306758,0.931328
47,468.007,1,20.3189,25.272,12.6272,1.67739,0.0440487,-0.401075,0.229164,0.229195,0.907776,0.298991,0.907746
48,468.103,1,20.413,25.1405,12.5948,1.58825,0.0484925,-0.406569,-0.104259,0.223391,0.884791,0.298054,0.895228
49,461.347,1,20.8959,24.6401,13.2506,1.56144,0.0474132,-0.434862,-0.036328,0.217735,0.87814,0.298968,0.87256
50,466.022,1,20.5944,24.2513,12.6568,1.50095,0.0513948,-0.41854,-0.786515,0.217168,0.915705,0.294236,0.850466
51,465.131,1,21.3167,24.7124,12.3706,1.57235,0.0452367,-0.435524,-0.402919,0.23282,0.937864,0.286786,0.836432
52,460.412,1,20.8626,24.1065,12.1048,1.60313,0.0423466,-0.420267,0.0370605,0.226925,0.933233,0.301275,0.815253
53,454.685,1,20.3203,24.2938,12.4525,1.52777,0.0429602,-0.397187,0.761151,0.221179,0.909603,0.310363,0.79461
54,454.951,1,20.7742,24.3367,12.7689,1.59246,0.0417968,-0.423239,0.764417,0.217588,0.886572,0.302505,0.77449
55,460.134,1,20.0051,24.0952,12.8446,1.59245,0.0413578,-0.399188,1.41086,0.215816,0.987823,0.298407,0.763569
56,463.203,1,20.7163,24.5671,12.4029,1.48573,0.04807,-0.420324,0.992996,0.210352,1.02153,0.312552,0.802758
57,460.484,1,20.6334,24.1818,12.2341,1.56977,0.0444204,-0.411457,1.99543,0.21729,0.99566,0.322977,0.782431
58,455.103,1,20.3156,23.6317,13.9653,1.47835,0.0437775,-0.394741,2.13572,0.223017,0.970449,0.320193,0.769698
59,462.891,1,20.1682,24.5561,12.3867,1.6292,0.0407995,-0.393243,1.8884,0.219215,1.03118,0.312086,0.762155
60,465.666,1,20.0487,24.8521,12.8916,1.5367,0.0499931,-0.382627,2.1582,0.219495,1.00507,0.304184,0.760208
61,454.59,1,20.5936,23.9419,12.9282,1.45987,0.0474935,-0.407727,1.79754,0.223707,0.97962,0.296482,0.744833
62,462.761,1,20.5285,23.7887,12.6269,1.5796,0.0434125,-0.407527,1.55275,0.222385,0.954815,0.305821,0.838338
63,467.847,1,20.8094,23.8587,12.7959,1.62196,0.0438795,-0.414796,2.18527,0.217379,0.958968,0.301778,0.858498
64,470.978,1,21.2711,23.6037,12.7425,1.62497,0.0487753,-0.438324,2.08883,0.224729,0.934686,0.300313,0.83676
65,472.799,1,20.5586,24.027,12.7852,1.65607,0.0478195,-0.414444,0.984126,0.220109,0.911019,0.293643,0.866503
66,469.178,1,20.4473,24.547,12.621,1.58152,0.0486535,-0.420189,0.900373,0.227426,0.89235,0.286208,0.874791
67,460.629,1,20.8565,24.5785,12.45,1.56367,0.0447342,-0.432989,2.22395,0.221668,0.886573,0.291194,0.852641
68,461.357,1,20.69,24.4958,12.0988,1.49446,0.0483269,-0.419744,2.43112,0.216055,0.927718,0.28382,0.877435
69,453.923,1,20.6483,23.8917,12.4152,1.43626,0.0475245,-0.406757,1.61182,0.215165,0.904228,0.276634,0.91123
70,461.947,1,20.1959,23.8952,13.19,1.36787,0.0550457,-0.393142,1.4349,0.227063,0.881332,0.269629,0.925054
71,461.403,1,20.2018,24.1226,13.0292,1.29947,0.0522934,-0.390212,1.38934,0.227465,0.940081,0.301635,0.985043
72,466.005,1,20.9199,24.1981,12.5175,1.5603,0.0441955,-0.424479,1.55468,0.238379,0.916277,0.314345,0.960102
73,454.953,1,20.429,23.998,14.1784,1.48228,0.0419857,-0.40459,1.10016,0.232343,0.90537,0.3159,0.981857
74,460.153,1,20.6899,24.2043,13.919,1.45569,0.0462903,-0.412997,0.152026,0.22646,0.919469,0.307901,0.986821
75,456.348,1,20.0975,23.6015,13.9349,1.57678,0.0364881,-0.39601,0.746997,0.226005,0.939456,0.300105,0.961834
76,455.849,1,20.1539,23.9013,13.2275,1.51147,0.0407745,-0.399655,0.668013,0.221325,0.984279,0.292506,0.93748
77,470.428,1,19.9141,24.5168,12.4709,1.5806,0.0451457,-0.38771,1.12997,0.215721,1.0109,0.305358,0.913743
78,476.812,1,20.2612,24.5515,12.8755,1.4676,0.0518742,-0.396487,1.13478,0.214778,1.13855,0.313805,0.958966
79,469.002,1,20.3086,24.8563,13.6951,1.53395,0.0450916,-0.394083,0.723682,0.216178,1.10972,0.305859,0.957637
80,471.768,1,20.3226,24.9141,12.9645,1.53396,0.0441148,-0.393808,1.2617,0.219975,1.08163,0.298115,1.07215
81,476.374,1,20.2489,25.0207,12.3844,1.61841,0.0431311,-0.386486,0.69081,0.217932,1.0639,0.291115,1.10859
82,469.88,1,20.086,25.3207,13.4013,1.57696,0.0458663,-0.377997,1.7108,0.228334,1.03697,0.283743,1.08052
83,472.887,1,20.0407,25.2149,11.8467,1.54296,0.0468416,-0.377811,0.957021,0.229047,1.01071,0.276559,1.16584
84,466.714,1,20.5944,24.92,11.1403,1.46581,0.0444996,-0.408101,-0.731123,0.234191,0.985117,0.282515,1.13632
85,464.872,1,20.5746,24.8526,11.0299,1.4659,0.0467648,-0.411494,-0.557665,0.228261,0.960173,0.28089,1.10755
86,467.546,1,20.7322,24.2692,11.224,1.56755,0.0440188,-0.417384,0.0350774,0.222481,1.0207,0.273778,1.07951
87,471.027,1,20.7786,24.4139,11.7261,1.46955,0.0489997,-0.418557,0.310595,0.219538,1.0557,0.266846,1.13183
88,470.24,1,20.5933,24.485,10.8064,1.46952,0.0476174,-0.412385,1.60112,0.221906,1.02897,0.281429,1.13113
89,459.027,1,20.2123,25.0625,11.3461,1.39604,0.0452365,-0.395671,0.998841,0.217592,1.02522,0.274303,1.14095
90,461.939,1,20.286,24.8325,10.6098,1.41957,0.0452433,-0.400453,0.913513,0.219841,1.04697,0.273135,1.11206
91,463.054,1,20.1182,24.9979,11.1249,1.48262,0.0437307,-0.387705,0.534956,0.224423,1.04414,0.266219,1.10065
92,467.935,1,20.3396,24.277,11.7082,1.5776,0.0424576,-0.393667,0.802348,0.236028,1.11035,0.259478,1.07278
93,463.858,1,20.3905,23.9605,11.4281,1.54834,0.0453018,-0.397389,-0.110221,0.230051,1.08224,0.252908,1.04562
94,472.279,1,20.3155,23.5961,12.1635,1.59945,0.0464917,-0.404462,1.59782,0.226344,1.13973,0.246504,1.01914
95,461.003,1,20.737,24.1417,12.9216,1.52791,0.046461,-0.416947,-0.0136215,0.220613,1.11088,0.254996,0.993336
96,464.444,1,20.7125,24.525,12.7262,1.5279,0.0463604,-0.41621,0.130813,0.219773,1.08275,0.266749,0.968184
97,460.561,1,20.6118,24.2854,14.2833,1.47615,0.0478896,-0.419136,-0.249748,0.221693,1.05533,0.259995,0.943669
98,464.025,1,21.4632,24.7445,13.2554,1.55897,0.0461575,-0.44902,0.48388,0.225589,1.02861,0.282565,0.919775
99,461.396,1,21.1777,24.6095,13.6755,1.48134,0.0452922,-0.433004,0.190829,0.224885,1.00256,0.284471,0.915516
100,460.084,1,20.7985,24.3181,14.3992,1.38868,0.0439877,-0.424891,0.191405,0.230675,1.08196,0.29344,1.02802
101,456.126,1,20.6664,24.4429,14.0448,1.3629,0.0458383,-0.421098,-0.105376,0.226608,1.05456,0.28601,1.02453
102,459.771,1,20.2105,24.1714,14.9206,1.48735,0.0428822,-0.398614,0.174912,0.22087,1.02786,0.278768,1.03701
103,463.641,1,20.4313,24.5615,13.7637,1.48732,0.0433706,-0.411514,0.13313,0.224797,1.20628,0.271709,1.01075
104,463.282,1,20.6752,24.6126,13.8242,1.42564,0.0448065,-0.417268,0.0667813,0.227443,1.20801,0.26483,1.0376
105,459.834,1,20.541,25.1609,14.0844,1.42564,0.0452099,-0.415745,-0.183017,0.225446,1.17742,0.258124,1.0357
106,461.949,1,20.4774,24.5188,15.29,1.34783,0.050391,-0.410008,1.11672,0.226157,1.14761,0.251588,1.00948
107,463.113,1,20.8719,24.3007,14.3046,1.40938,0.0491182,-0.424833,2.67622,0.229575,1.11855,0.251129,0.984089
108,460.516,1,20.6112,23.7675,13.8099,1.40942,0.0496598,-0.409295,2.65156,0.227766,1.13083,0.24477,0.959171
109,460.729,1,20.3853,24.0187,13.5516,1.43422,0.0489536,-0.399178,3.02414,0.234877,1.15783,0.238573,0.934884
110,461.715,1,20.9817,23.3299,12.8852,1.53688,0.0438931,-0.422344,2.57819,0.228929,1.12852,0.233085,0.948582
111,462.414,1,20.8857,23.203,13.6553,1.46345,0.0516715,-0.420324,2.43321,0.223133,1.09994,0.229268,0.924563
112,463.574,1,20.4403,23.357,14.2864,1.46339,0.0500152,-0.397402,3.59898,0.218138,1.12316,0.223463,1.0159
113,467.128,1,21.2971,23.4799,13.3146,1.37773,0.0536405,-0.439258,1.88535,0.235569,1.12813,0.22469,1.02998
114,469.971,1,20.6386,23.5177,15.1884,1.42042,0.053211,-0.412323,1.46045,0.229604,1.23472,0.219001,1.05727
115,459.76,1,20.019,23.703,14.9463,1.3494,0.0505505,-0.395135,2.04665,0.22379,1.23979,0.226023,1.0305
116,458.539,1,20.0564,24.136,15.4767,1.34941,0.0496888,-0.395363,2.79924,0.222961,1.2084,0.2203,1.00441
117,458.361,1,20.3583,23.9433,13.9906,1.34073,0.0522669,-0.40509,3.14801,0.223456,1.1778,0.219187,0.978975
118,456.18,1,20.9235,23.9066,12.9574,1.26917,0.0537742,-0.422948,2.46817,0.222507,1.21691,0.213637,0.965493
119,452.601,1,20.1924,24.5645,14.0834,1.37473,0.0472507,-0.38604,2.10495,0.221278,1.18609,0.208227,1.00969
120,460.316,1,20.2689,24.7139,12.0385,1.42133,0.0461202,-0.391692,1.67807,0.223194,1.32205,0.210078,1.00883
121,459.972,1,20.4191,25.1439,13.0909,1.35144,0.0517072,-0.402414,1.55251,0.217998,1.28857,0.204759,1.06523
122,452.476,1,20.4514,25.1572,15.3346,1.40789,0.0459852,-0.404049,0.931701,0.221867,1.26127,0.199574,1.03826
123,457.516,1,20.4021,24.7058,15.8249,1.46911,0.0447692,-0.400096,1.27417,0.219487,1.25282,0.196695,1.01197
124,455.031,1,20.6378,24.3996,16.45,1.51546,0.0383362,-0.41765,1.1267,0.221508,1.2211,0.215267,1.03214
125,458.732,1,20.6356,24.2773,16.2811,1.50576,0.0409583,-0.419733,1.49013,0.227451,1.29236,0.209816,1.07063
126,452.642,1,20.2706,23.9037,15.1634,1.46312,0.0442648,-0.401995,2.30311,0.226787,1.25963,0.204503,1.04352
127,458.17,1,20.6983,24.0879,14.2422,1.50026,0.0462393,-0.413498,0.725909,0.226529,1.22774,0.199325,1.0171
128,450.863,1,20.7978,23.6482,13.6541,1.49103,0.0425802,-0.414616,-0.788828,0.228459,1.19665,0.196529,0.991345
129,456.821,1,20.8261,23.9495,13.107,1.49104,0.0448553,-0.419371,-0.935181,0.225788,1.24689,0.203316,0.966243
130,458.806,1,20.8555,24.4226,13.5565,1.43693,0.0486227,-0.423971,-0.253931,0.221331,1.21532,0.21371,0.941777
131,460.889,1,20.816,24.9347,13.8934,1.39011,0.0522742,-0.419301,-0.0253419,0.223761,1.18454,0.208299,0.950177
132,462.597,1,20.6066,25.2196,14.6636,1.44695,0.0533369,-0.41068,-0.8859,0.219097,1.15455,0.203025,0.946089
133,465.683,1,20.629,24.7653,14.9573,1.4551,0.0502622,-0.415465,0.634579,0.23053,1.19189,0.197884,1.03508
134,464.945,1,19.4998,24.4877,16.1525,1.45509,0.0499548,-0.372875,0.822674,0.231667,1.23296,0.192873,1.05466
135,461.201,1,19.7573,24.4096,15.734,1.49064,0.0473487,-0.381752,0.817929,0.23132,1.24534,0.18799,1.02796
136,459.19,1,20.3688,24.9058,14.4998,1.44419,0.0464445,-0.400244,0.499649,0.227128,1.31903,0.197091,1.00193
137,469.85,1,21.0353,25.0145,14.4957,1.5262,0.046002,-0.430907,-0.0330048,0.22678,1.39525,0.20628,1.00899
138,473.811,1,21.0156,24.8146,13.9967,1.57017,0.0492486,-0.430417,-1.25881,0.221038,1.42016,0.201597,0.983444
139,476.002,1,20.8291,24.8886,13.6209,1.46772,0.0543467,-0.416511,-0.756803,0.22096,1.4457,0.204119,0.988305
140,473.958,1,20.6543,24.2962,13.2841,1.39433,0.0516293,-0.418976,-0.58651,0.227316,1.53481,0.211422,1.01548
141,475.85,1,20.4477,24.4833,13.0316,1.39442,0.0536874,-0.400916,-0.663863,0.22156,1.59972,0.21404,1.01168
142,473.887,1,20.6318,24.723,12.8967,1.53518,0.0495484,-0.406136,-0.554386,0.226429,1.55921,0.20862,1.00484
143,479.781,1,20.7062,24.785,13.2314,1.49514,0.0515037,-0.408725,-1.54202,0.242411,1.52892,0.203338,1.08392
144,469.336,1,20.8075,24.416,12.7913,1.45361,0.0486749,-0.419624,-1.06126,0.236273,1.49603,0.198189,1.10211
145,473.605,1,20.5546,24.4903,13.8073,1.51212,0.0467466,-0.411917,-1.84847,0.230291,1.60357,0.207528,1.07421
146,469.6,1,20.6187,24.9704,12.4455,1.54183,0.0427245,-0.416433,-1.51829,0.22446,1.56297,0.214981,1.04701
147,468.227,1,20.4713,24.8744,14.0088,1.45698,0.0486838,-0.408977,-1.53919,0.218776,1.52339,0.209537,1.0367
148,464.663,1,21.1985,24.8675,13.6668,1.40152,0.0482246,-0.43373,-0.37901,0.227914,1.49394,0.204232,1.04905
149,469.155,1,21.1122,24.6283,13.7903,1.48416,0.0471814,-0.431144,0.138321,0.223315,1.51015,0.205205,1.02249
150,465.483,1,20.7063,24.6039,14.3113,1.48411,0.0460315,-0.416389,0.302268,0.2248,1.47191,0.200009,1.04001
151,456.6,1,20.843,25.1348,13.5169,1.46661,0.0463556,-0.416558,1.26018,0.219108,1.43464,0.194944,1.01367
152,453.526,1,20.4974,24.988,13.3134,1.41562,0.0466235,-0.405347,1.82929,0.222393,1.39831,0.190008,0.988007
153,454.933,1,20.6409,24.8349,13.467,1.3743,0.0466654,-0.408446,2.05172,0.221829,1.42198,0.185197,1.04489
154,463.619,1,20.3886,24.5948,12.8923,1.44729,0.0435935,-0.40213,0.344376,0.230362,1.38597,0.206674,1.12165
155,459.441,1,20.4805,24.6351,13.2717,1.49861,0.0418999,-0.401112,-0.0697619,0.224529,1.35088,0.204467,1.09325
156,461.542,1,20.9459,24.9937,14.0945,1.45123,0.0454289,-0.42001,-0.517167,0.225325,1.31668,0.216108,1.06557
157,463.588,1,20.9168,25.121,13.3505,1.4082,0.0516601,-0.424811,-0.132818,0.21962,1.32189,0.210636,1.03859
158,467.76,1,21.0682,24.6432,13.6642,1.53248,0.0442553,-0.420124,-1.07187,0.225086,1.45778,0.205303,1.02839
159,469.565,1,20.7516,24.8668,14.3545,1.35209,0.0520778,-0.415341,-0.888953,0.231011,1.4509,0.218161,1.04017
160,467.519,1,21.1217,24.7691,12.9005,1.4391,0.0473955,-0.436251,0.182755,0.226064,1.41723,0.228322,1.01383
161,474.791,1,20.9993,24.3679,14.6621,1.54433,0.0475727,-0.436373,0.0354189,0.229617,1.38134,0.222541,1.02258
162,473.545,1,20.5846,24.6505,15.0465,1.44576,0.0515732,-0.411045,-0.93083,0.227208,1.34637,0.22084,1.08827
163,470.385,1,20.4139,25.1167,15.2885,1.53745,0.0471941,-0.400043,-0.942367,0.224723,1.33184,0.2157,1.06071
164,474.717,1,20.4552,24.9612,12.1246,1.4789,0.0501917,-0.392268,-1.54767,0.231641,1.39687,0.220064,1.03385
165,468.11,1,20.4641,25.1543,12.8212,1.44623,0.0471986,-0.40183,-0.722524,0.229876,1.3825,0.233054,1.00768
166,467.586,1,21.212,25.1841,13.2549,1.49203,0.0450509,-0.431971,-0.79388,0.229619,1.3987,0.233154,0.982161
167,476.748,1,20.5084,25.9724,14.0117,1.4921,0.0499097,-0.405538,-1.14984,0.235164,1.43388,0.22725,1.03607
168,472.457,1,20.5502,25.7597,13.1642,1.45358,0.0500015,-0.415067,-1.4341,0.229209,1.39757,0.221496,1.05994
169,465.058,1,20.4758,25.5826,13.4438,1.32029,0.0529103,-0.405932,-0.570785,0.22901,1.36218,0.241078,1.0331
170,461.454,1,20.4388,25.9231,12.8513,1.28621,0.0536867,-0.400841,-0.334704,0.228581,1.32769,0.234974,1.01674
171,458.93,1,20.7319,25.4734,13.1163,1.43314,0.0445684,-0.412476,-0.697349,0.22384,1.39961,0.229024,0.990999
172,456.243,1,20.7965,25.6202,13.5902,1.43308,0.0410115,-0.419705,0.602671,0.229659,1.36417,0.252577,0.965906
173,465.26,1,20.9218,25.1062,12.7045,1.44237,0.0465881,-0.425789,-0.26978,0.223844,1.32963,0.2489,1.03601
174,465.153,1,20.6135,25.1054,11.0747,1.39295,0.0493094,-0.407135,0.377759,0.220851,1.29596,0.242597,1.13746
175,476.329,1,20.579,24.8559,12.005,1.45004,0.0498567,-0.409782,0.814149,0.22756,1.32011,0.240405,1.15279
176,472.859,1,20.906,24.8019,11.8506,1.34761,0.0526467,-0.425825,-0.886012,0.221798,1.3713,0.240045,1.152
177,474.382,1,20.6468,25.1943,10.4286,1.37767,0.0523807,-0.413035,-0.359068,0.221778,1.33657,0.233967,1.26769
178,473.869,1,20.4395,25.186,10.0108,1.33152,0.0551798,-0.398384,0.677008,0.220775,1.37148,0.228043,1.29465
179,479.841,1,20.4602,25.4599,12.0021,1.4613,0.053731,-0.39944,1.16008,0.223388,1.41878,0.222269,1.26187
180,475.541,1,20.5067,25.35,12.5805,1.47206,0.048347,-0.399486,2.07953,0.224525,1.44922,0.224729,1.22991
181,473.962,1,20.4137,24.7083,14.6803,1.47202,0.0460053,-0.403879,2.28023,0.228026,1.44239,0.235525,1.19877
182,475.906,1,20.6757,25.0311,13.0389,1.50772,0.0467646,-0.407669,2.07529,0.237823,1.40802,0.231912,1.16842
183,474.35,1,20.9837,24.4459,12.0221,1.51478,0.0448653,-0.416815,1.90626,0.234228,1.42386,0.236189,1.13883
184,472.281,1,20.9036,24.3837,12.8881,1.55174,0.0455403,-0.423689,2.30862,0.234205,1.3878,0.230209,1.11
185,476.964,1,21.0316,24.7935,12.3948,1.65215,0.0440382,-0.425071,1.51265,0.234798,1.38872,0.22438,1.08189
186,465.812,1,20.8974,24.2907,11.7922,1.56954,0.0418363,-0.426001,1.98717,0.233634,1.35356,0.218699,1.0545
187,474.034,1,20.1877,23.5409,12.3066,1.65583,0.0438021,-0.384265,2.34967,0.240194,1.31929,0.213161,1.04164
188,464.885,1,20.205,24.288,11.4844,1.55906,0.0440799,-0.39193,1.82353,0.235955,1.28588,0.207764,1.01527
189,467.155,1,20.5329,23.7056,12.7628,1.59504,0.0454117,-0.403784,1.86697,0.244188,1.25332,0.202503,0.989563
190,460.439,1,20.8361,24.1976,12.5149,1.51217,0.0460362,-0.416547,2.00018,0.238005,1.22159,0.197375,0.964506
191,461.624,1,20.9381,24.412,12.5282,1.49108,0.0463375,-0.43027,2.44129,0.231979,1.2839,0.195476,0.941878
192,463.45,1,21.1508,24.4284,12.3719,1.43402,0.0508658,-0.431378,1.82641,0.231207,1.40925,0.190527,0.918029
193,461.904,1,20.1855,23.895,12.9741,1.46427,0.0478685,-0.393097,2.27496,0.225352,1.37357,0.191365,1.0155
194,454.744,1,20.6104,24.3679,13.1406,1.36805,0.0514623,-0.408456,1.9181,0.223293,1.33879,0.188151,0.989784
195,454.62,1,20.2957,24.3994,13.308,1.24956,0.0579585,-0.394435,2.58952,0.222183,1.30489,0.183387,0.964722
196,456.471,1,20.2905,23.7824,13.9783,1.33409,0.0522398,-0.402557,2.73623,0.223326,1.27185,0.203255,0.94245
197,461.859,1,20.6266,23.9854,12.8876,1.45471,0.0536063,-0.410294,2.66238,0.219458,1.23965,0.209045,0.918586
198,467.991,1,20.5117,23.9337,13.5282,1.40045,0.061177,-0.401065,2.30579,0.221661,1.20826,0.211283,0.895327
199,470.305,1,21.0343,23.5695,12.9969,1.40033,0.0570967,-0.430636,1.75946,0.228072,1.17766,0.245239,0.880382
200,468.913,1,20.3836,23.1816,13.1726,1.42105,0.0519974,-0.400652,1.94653,0.224617,1.21708,0.24253,0.950746
201,466.948,1,20.4947,23.4907,12.9857,1.45307,0.0504499,-0.403851,1.36956,0.220948,1.18846,0.237476,0.94419
202,468.612,1,20.2586,23.6208,12.8966,1.45314,0.0542212,-0.397536,0.769857,0.219618,1.11263,0.231074,0.944592
203,470.881,1,19.9278,23.8638,13.9658,1.42478,0.0569009,-0.381802,1.21759,0.223115,0.997625,0.237182,1.00567
204,466.805,1,20.0674,23.808,13.2801,1.40438,0.0576334,-0.38626,2.16235,0.219211,1.01985,0.227517,0.923739
205,465.618,1,20.5961,24.2019,12.8014,1.42649,0.0548007,-0.40733,0.69661,0.217639,0.94947,0.251419,0.961766
206,466.091,1,20.0039,24.0474,12.0173,1.42646,0.0523144,-0.384523,1.28021,0.224399,0.934354,0.260633,1.00033
207,462.844,1,20.322,24.1438,11.9321,1.42647,0.0511086,-0.403301,0.797077,0.217128,0.879453,0.260344,1.03167
208,460.533,1,20.4718,24.3801,12.4797,1.47424,0.0488521,-0.412646,0.365995,0.222982,0.921288,0.230405,1.01387
209,457.622,1,20.201,23.9324,12.0455,1.51957,0.0448235,-0.396186,-0.486627,0.218373,0.918999,0.221406,1.05707
210,457.734,1,20.472,24.0496,11.8832,1.51957,0.0455954,-0.410597,-0.479324,0.224837,0.892985,0.213844,1.07107
211,457.102,1,20.678,24.2511,12.0371,1.44605,0.0493549,-0.417759,0.466903,0.222546,0.920986,0.218839,1.00179
212,447.184,1,21.1528,24.9462,10.4511,1.30092,0.0525814,-0.435537,0.953684,0.225903,0.867906,0.203327,1.00395
213,440.642,1,20.795,24.7542,12.0481,1.33521,0.0480802,-0.418406,0.759415,0.232464,0.787612,0.197091,1.02233
