iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
98,359.176,1,19.3863,27.2614,27.4162,1.09722,2.22045e-16,0.50699,1.06763,0.691217,0.808681
99,364.017,1,19.4447,27.5456,27.442,1.12898,2.22045e-16,0.506156,1.0567,0.678277,0.820107
100,358.312,1,19.3416,27.7535,26.0483,1.09611,2.22045e-16,0.508392,1.06821,0.677202,0.791129
101,363.327,1,19.2968,27.8798,26.5399,1.12384,2.22045e-16,0.50613,1.11897,0.689229,0.764397
102,358.82,1,19.3088,27.9814,26.5409,1.09397,2.22045e-16,0.503477,1.13679,0.680763,0.775864
103,368.32,1,19.3461,27.6989,25.8822,1.15286,4.91974e-06,0.508454,1.13534,0.6923,0.764483
104,364.844,1,19.448,27.7636,26.9135,1.13492,2.22045e-16,0.509677,1.04362,0.681377,0.813175
105,369.283,1,19.4105,27.9858,27.9692,1.1604,2.22045e-16,0.50926,1.07417,0.676616,0.814262
106,371.935,1,19.3747,27.5451,28.7485,1.16791,1.10183e-06,0.508206,1.12402,0.690026,0.826971
107,371.847,1,19.3838,27.4827,30.6696,1.12767,0.0100552,0.51085,1.09535,0.679462,0.820489
108,367.796,1,19.3636,27.7244,29.5733,1.13095,0.00627339,0.506459,1.08034,0.685032,0.817317
109,370.913,1,19.4098,27.6869,27.9769,1.16265,0.00440474,0.511084,1.12179,0.684758,0.767082
110,367.848,1,19.2373,27.3114,28.4987,1.15764,2.22045e-16,0.51042,1.09582,0.698533,0.737484
111,366.601,1,19.304,27.1083,28.9669,1.14677,2.22045e-16,0.503307,1.12886,0.708887,0.731242
112,364.541,1,19.3076,26.9036,28.0164,1.13113,2.22045e-16,0.508923,1.15856,0.697888,0.729608
113,364.039,1,19.3144,27.049,26.683,1.13086,2.22045e-16,0.511219,1.13303,0.696701,0.728336
114,362.178,1,19.2957,26.7735,26.6989,1.11006,2.22045e-16,0.509156,1.20642,0.708881,0.722555
115,369.605,1,19.321,26.8383,26.6186,1.17465,2.22045e-16,0.514203,1.12857,0.681523,0.696996
116,363.538,1,19.2664,26.9186,26.4364,1.15438,2.22045e-16,0.511897,1.06515,0.680867,0.639891
117,363.857,1,19.4187,26.8514,26.041,1.13916,2.22045e-16,0.510421,1.10579,0.683567,0.705949
118,361.855,1,19.2923,26.7486,27.2764,1.11802,2.22045e-16,0.509121,1.12897,0.690919,0.731062
119,366.112,1,19.3079,26.259,27.0256,1.14433,2.22045e-16,0.510799,1.18196,0.702174,0.689847
120,371.195,1,19.4061,26.1789,27.9656,1.17767,9.60481e-07,0.507306,1.18459,0.704246,0.688119
121,366.378,1,19.3715,25.8936,27.9959,1.15237,2.22045e-16,0.511251,1.16043,0.713626,0.655736
122,366.708,1,19.3006,26.0514,26.7981,1.15759,4.16864e-06,0.512077,1.12743,0.705154,0.66978
123,363.445,1,19.3533,25.9071,26.3845,1.1332,2.22045e-16,0.50741,1.19013,0.710796,0.649574
124,368.207,1,19.312,26.1015,26.5591,1.16533,2.22045e-16,0.513534,1.19165,0.70358,0.640519
125,370.827,1,19.3354,26.1573,28.1776,1.18202,2.22045e-16,0.507314,1.15038,0.706549,0.670533
126,363.883,1,19.3144,26.2273,28.1109,1.12856,2.22045e-16,0.510871,1.13706,0.718269,0.709369
127,368.069,1,19.2166,26.0597,27.687,1.16138,2.22045e-16,0.513296,1.10762,0.718341,0.692388
128,371.749,1,19.2847,26.3205,27.7875,1.17899,2.22045e-16,0.510236,1.14401,0.708312,0.718769
129,373.884,1,19.2596,26.0762,27.2843,1.19715,2.22045e-16,0.506536,1.14189,0.714069,0.6979
130,375.53,1,19.3432,25.7336,27.7653,1.21773,2.22045e-16,0.514901,1.11011,0.709269,0.662063
131,375.923,1,19.2824,26.1237,26.7331,1.2137,9.27808e-06,0.511514,1.12632,0.702134,0.697634
132,375.884,1,19.3286,26.1778,27.6313,1.20819,2.22045e-16,0.513146,1.14753,0.700962,0.710758
133,375.693,1,19.4407,26.3775,27.3991,1.20959,1.39146e-06,0.510047,1.12544,0.712039,0.702238
134,372.688,1,19.341,26.444,27.6704,1.18546,1.66179e-05,0.508497,1.10525,0.713807,0.738717
135,375.599,1,19.358,26.7543,27.7933,1.19416,0.00572557,0.507373,1.08057,0.707488,0.741389
136,365.352,1,19.3916,26.7921,25.5769,1.14156,2.22045e-16,0.512978,1.08353,0.700862,0.73988
137,371.49,1,19.4878,26.5975,26.4481,1.16339,2.22045e-16,0.511565,1.21068,0.707203,0.756658
138,372.661,1,19.4872,26.8128,26.9797,1.18528,2.22045e-16,0.507495,1.2216,0.697267,0.687447
139,367.124,1,19.5281,26.528,26.2978,1.13855,2.22045e-16,0.504534,1.25509,0.694275,0.733773
140,371.547,1,19.3391,26.5517,26.8017,1.15316,2.22045e-16,0.509914,1.32188,0.697502,0.769089
141,362.5,1,19.2981,26.5221,27.71,1.10358,2.22045e-16,0.506786,1.3066,0.698939,0.732657
142,369.006,1,19.4018,26.6368,26.7925,1.15439,2.22045e-16,0.508401,1.29271,0.689776,0.691204
143,365.6,1,19.3273,26.4768,26.7118,1.1315,2.22045e-16,0.512376,1.32781,0.692029,0.667523
144,367.875,1,19.3558,26.6555,27.3419,1.13911,0.00464029,0.509773,1.26332,0.690706,0.689787
145,370.804,1,19.3361,26.0801,26.238,1.16747,0.000916968,0.508799,1.29379,0.697708,0.669648
146,376.799,1,19.2308,26.036,27.3497,1.19112,0.00657993,0.517173,1.26565,0.696067,0.661162
147,372.412,1,19.332,26.0714,28.771,1.1917,2.22045e-16,0.50798,1.27558,0.689383,0.624068
148,370.998,1,19.3309,25.8842,27.2756,1.17736,2.22045e-16,0.508837,1.3556,0.68713,0.610639
149,373.439,1,19.2498,26.0778,27.2537,1.19027,7.10746e-07,0.510987,1.33228,0.68934,0.635224
150,371.077,1,19.3002,25.8869,26.4946,1.16907,2.22045e-16,0.510676,1.30103,0.689235,0.676892
151,375.022,1,19.3467,25.7425,26.3071,1.1966,2.22045e-16,0.511916,1.27672,0.698877,0.672674
152,368.663,1,19.2526,25.0387,26.8047,1.15046,2.22045e-16,0.508091,1.21998,0.73224,0.700179
153,364.876,1,19.3017,24.6545,26.8252,1.12697,2.22045e-16,0.50151,1.24562,0.737406,0.684716
154,365.078,1,19.3018,25.2662,27.4446,1.13933,2.22045e-16,0.508502,1.22847,0.716644,0.647164
155,369.85,1,19.3642,25.204,28.7804,1.15484,2.22045e-16,0.507522,1.29732,0.718696,0.685588
156,366.859,1,19.3042,25.3353,28.5378,1.13551,2.22045e-16,0.512565,1.35189,0.718836,0.652326
157,375.678,1,19.2767,24.993,29.4966,1.19316,2.22045e-16,0.507113,1.24847,0.722042,0.711171
158,374.915,1,19.2368,24.9313,29.0613,1.1872,2.37942e-06,0.506123,1.26097,0.730897,0.700333
159,377.314,1,19.2763,25.1387,28.9522,1.15297,0.0109307,0.511876,1.23636,0.731961,0.694923
160,376.42,1,19.3018,25.2415,27.2954,1.12963,0.0131052,0.509509,1.25387,0.731284,0.667002
161,373.656,1,19.274,25.1222,27.7705,1.14433,0.00948845,0.507082,1.22127,0.721558,0.697534
162,369.255,1,19.4094,24.936,27.4953,1.13865,0.00697182,0.505726,1.22973,0.735752,0.656422
163,372.275,1,19.3607,25.0946,28.1137,1.13923,0.0103528,0.509411,1.22109,0.726395,0.635875
164,368.799,1,19.3156,25.224,29.4762,1.07557,0.0147786,0.509345,1.20876,0.727937,0.613385
165,371.592,1,19.3851,24.9976,29.3539,1.14154,0.00925616,0.513051,1.26824,0.733441,0.612583
166,373.049,1,19.4577,25.4012,28.6549,1.1416,0.0104035,0.507637,1.28396,0.73075,0.620842
167,372.178,1,19.4038,25.2891,29.3133,1.17052,0.00639365,0.512384,1.20339,0.720492,0.630819
168,377.497,1,19.2858,24.9131,28.9092,1.18543,0.00956446,0.513122,1.20085,0.724973,0.623704
169,378.937,1,19.123,25.1016,30.2604,1.18544,0.00947181,0.513375,1.27089,0.731301,0.626353
170,376.393,1,19.3122,25.2483,28.6036,1.19388,0.0061134,0.507998,1.29082,0.730929,0.614516
171,368.238,1,19.2208,24.8338,28.9623,1.15371,0.00449722,0.512841,1.22493,0.73431,0.607396
172,370.109,1,19.3198,24.4329,30.0888,1.175,2.22045e-16,0.508987,1.24109,0.746701,0.597813
173,368.632,1,19.3049,24.5749,30.6012,1.16918,2.22045e-16,0.511403,1.21722,0.751674,0.583557
174,367.666,1,19.3682,24.5444,30.8332,1.14986,9.45283e-07,0.50569,1.2639,0.763839,0.620562
