Km_logit_vs_V_logit_abscissa,Km_logit_vs_V_logit_spline,Km_logit_vs_V_logit_regression,Km_logit_vs_Vm_logit_abscissa,Km_logit_vs_Vm_logit_spline,Km_logit_vs_Vm_logit_regression,V_logit_vs_Km_logit_abscissa,V_logit_vs_Km_logit_spline,V_logit_vs_Km_logit_regression,V_logit_vs_Vm_logit_abscissa,V_logit_vs_Vm_logit_spline,V_logit_vs_Vm_logit_regression,Vm_logit_vs_Km_logit_abscissa,Vm_logit_vs_Km_logit_spline,Vm_logit_vs_Km_logit_regression,Vm_logit_vs_V_logit_abscissa,Vm_logit_vs_V_logit_spline,Vm_logit_vs_V_logit_regression
-0.0200639,-0.00987526,0.00114344,-0.0858525,0.0283597,0.026639,0.00216977,-0.00552302,0.000718492,-0.0858525,-0.0145493,0.00701938,0.00216977,0.0162117,0.00747593,-0.0200639,0.051373,0.00889215
-0.0152165,-0.00980882,0.00153757,-0.0782873,0.0263967,0.0246571,0.00405282,-0.00640085,0.0014833,-0.0782873,-0.0137105,0.00651752,0.00405282,0.00933279,0.000485916,-0.0152165,0.0516506,0.00798004
-0.0103691,-0.00974238,0.00193169,-0.070722,0.0244337,0.0226751,0.00593587,-0.00727867,0.0022481,-0.070722,-0.0128716,0.00601565,0.00593587,0.00245388,-0.00650409,-0.0103691,0.0519281,0.00706793
-0.00552165,-0.00967594,0.00232581,-0.0631567,0.0224707,0.0206931,0.00781892,-0.00809996,0.0030129,-0.0631567,-0.0120328,0.00551379,0.00781892,-0.00451914,-0.0134941,-0.00552165,0.0522057,0.00615582
-0.000674237,-0.00954072,0.00271994,-0.0555914,0.0205077,0.0187112,0.00970197,-0.00889138,0.0037777,-0.0555914,-0.0111939,0.00501193,0.00970197,-0.0115418,-0.0204841,-0.000674237,0.0522177,0.0052437
0.00417317,-0.00924726,0.00311406,-0.0480261,0.0185447,0.0167292,0.011585,-0.0096828,0.00454251,-0.0480261,-0.010355,0.00451007,0.011585,-0.0185646,-0.0274741,0.00417317,0.0516189,0.00433159
0.00902058,-0.00895381,0.00350818,-0.0404609,0.0165817,0.0147472,0.0134681,-0.0104371,0.00530731,-0.0404609,-0.00951619,0.00400821,0.0134681,-0.0256043,-0.0344641,0.00902058,0.0510201,0.00341948
0.013868,-0.00842182,0.00390231,-0.0328956,0.0146187,0.0127653,0.0153511,-0.0110989,0.00607211,-0.0328956,-0.00867734,0.00350634,0.0153511,-0.0326866,-0.0414541,0.013868,0.0495151,0.00250737
0.0187154,-0.00785572,0.00429643,-0.0253303,0.0126276,0.0107833,0.0172342,-0.0117606,0.00683692,-0.0253303,-0.00759454,0.00300448,0.0172342,-0.0397688,-0.0484442,0.0187154,0.0478805,0.00159526
0.0235628,-0.00728963,0.00469055,-0.017765,0.0106289,0.00880132,0.0191172,-0.0122774,0.00760172,-0.017765,-0.00644684,0.00250262,0.0191172,-0.046901,-0.0554342,0.0235628,0.0462459,0.000683146
0.0284102,-0.00672354,0.00508468,-0.0101998,0.00863032,0.00681935,0.0210003,-0.0127911,0.00836652,-0.0101998,-0.00529913,0.00200076,0.0210003,-0.0540342,-0.0624242,0.0284102,0.0446114,-0.000228966
0.0332576,-0.00615744,0.0054788,-0.00263448,0.00663169,0.00483738,0.0228833,-0.0129159,0.00913133,-0.00263448,-0.00415142,0.00149889,0.0228833,-0.0612562,-0.0694142,0.0332576,0.0429768,-0.00114108
0.038105,-0.00559135,0.00587292,0.0049308,0.00461814,0.00285541,0.0247664,-0.0126853,0.00989613,0.0049308,-0.00302341,0.000997032,0.0247664,-0.0685593,-0.0764042,0.038105,0.0413422,-0.00205319
0.0429524,-0.00502525,0.00626705,0.0124961,0.00259202,0.000873445,0.0266494,-0.0124548,0.0106609,0.0124961,-0.00191199,0.00049517,0.0266494,-0.0758625,-0.0833942,0.0429524,0.0397077,-0.0029653
0.0477999,-0.00445916,0.00666117,0.0200614,0.000565902,-0.00110852,0.0285325,-0.0122242,0.0114257,0.0200614,-0.000800564,-6.69201e-06,0.0285325,-0.0831656,-0.0903842,0.0477999,0.0380731,-0.00387741
0.0526473,-0.00389306,0.00705529,0.0276266,-0.00146022,-0.00309049,0.0304155,-0.0119936,0.0121905,0.0276266,0.000310858,-0.000508554,0.0304155,-0.0904687,-0.0973742,0.0526473,0.0364385,-0.00478952
0.0574947,-0.00332697,0.00744942,0.0351919,-0.00348634,-0.00507246,0.0322986,-0.0117631,0.0129553,0.0351919,0.00142228,-0.00101042,0.0322986,-0.0977718,-0.104364,0.0574947,0.034804,-0.00570164
0.0623421,-0.00276088,0.00784354,0.0427572,-0.00551246,-0.00705443,0.0341816,-0.0115325,0.0137201,0.0427572,0.0025337,-0.00151228,0.0341816,-0.105075,-0.111354,0.0623421,0.0331694,-0.00661375
0.0671895,-0.00218705,0.00823766,0.0503225,-0.00753858,-0.0090364,0.0360647,-0.0113019,0.0144849,0.0503225,0.00364513,-0.00201414,0.0360647,-0.112378,-0.118344,0.0671895,0.0315058,-0.00752586
0.0720369,-0.00133856,0.00863179,0.0578877,-0.0095647,-0.0110184,0.0379477,-0.0110714,0.0152498,0.0578877,0.00475655,-0.002516,0.0379477,-0.119681,-0.125334,0.0720369,0.0288089,-0.00843797
0.0768843,-0.000490077,0.00902591,0.065453,-0.011596,-0.0130003,0.0398308,-0.0108408,0.0160146,0.065453,0.0058256,-0.00301786,0.0398308,-0.126984,-0.132324,0.0768843,0.026112,-0.00935008
0.0817317,0.000460797,0.00942003,0.0730183,-0.0136563,-0.0149823,0.0417138,-0.0106102,0.0167794,0.0730183,0.00637493,-0.00351973,0.0417138,-0.134287,-0.139314,0.0817317,0.0230339,-0.0102622
0.0865791,0.00145117,0.00981416,0.0805836,-0.0157349,-0.0169643,0.0435969,-0.0103796,0.0175442,0.0805836,0.00644325,-0.00402159,0.0435969,-0.141591,-0.146304,0.0865791,0.0198087,-0.0111743
0.0914265,0.00244154,0.0102083,0.0881489,-0.0178136,-0.0189462,0.0454799,-0.0101491,0.018309,0.0881489,0.00651157,-0.00452345,0.0454799,-0.148894,-0.153294,0.0914265,0.0165835,-0.0120864
0.096274,0.00343191,0.0106024,0.0957141,-0.0198923,-0.0209282,0.047363,-0.0091553,0.0190738,0.0957141,0.0065799,-0.00502531,0.047363,-0.156329,-0.160284,0.096274,0.0133584,-0.0129985
0.101121,0.00449318,0.0109965,0.103279,-0.0219709,-0.0229102,0.049246,-0.00789652,0.0198386,0.103279,0.00664822,-0.00552718,0.049246,-0.163811,-0.167274,0.101121,0.00987125,-0.0139106
0.105969,0.00577575,0.0113907,0.110845,-0.0240496,-0.0248921,0.0511291,-0.00656027,0.0206034,0.110845,0.00671654,-0.00602904,0.0511291,-0.171303,-0.174264,0.105969,0.00556665,-0.0148228
0.110816,0.00705832,0.0117848,0.11841,-0.0261283,-0.0268741,0.0530121,-0.00479301,0.0213682,0.11841,0.00678487,-0.0065309,0.0530121,-0.178856,-0.181254,0.110816,0.00126206,-0.0157349
0.115664,0.00834089,0.0121789,0.125975,-0.0282069,-0.0288561,0.0548952,-0.00302574,0.022133,0.125975,0.00685319,-0.00703276,0.0548952,-0.186409,-0.188244,0.115664,-0.00304254,-0.016647
0.120511,0.00962346,0.012573,0.133541,-0.0302856,-0.0308381,0.0567782,-0.00125848,0.0228978,0.133541,0.00692152,-0.00753462,0.0567782,-0.193962,-0.195234,0.120511,-0.00734714,-0.0175591
0.125358,0.010906,0.0129671,0.141106,-0.0323643,-0.03282,0.0586613,0.00125685,0.0236626,0.141106,0.00698984,-0.00803649,0.0586613,-0.20161,-0.202224,0.125358,-0.0116517,-0.0184712
0.130206,0.0121886,0.0133613,0.148671,-0.0344429,-0.034802,0.0605443,0.0039383,0.0244274,0.148671,0.00705816,-0.00853835,0.0605443,-0.209279,-0.209214,0.130206,-0.0159563,-0.0193833
0.135053,0.0134712,0.0137554,0.156236,-0.0365216,-0.036784,0.0624274,0.00661975,0.0251922,0.156236,0.00712649,-0.00904021,0.0624274,-0.216948,-0.216204,0.135053,-0.0202609,-0.0202954
0.139901,0.0147537,0.0141495,0.163802,-0.0386003,-0.0387659,0.0643104,0.0093012,0.025957,0.163802,0.00719481,-0.00954207,0.0643104,-0.224616,-0.223194,0.139901,-0.0245655,-0.0212075
0.144748,0.0160959,0.0145436,0.171367,-0.0406789,-0.0407479,0.0661935,0.0119827,0.0267218,0.171367,0.00726313,-0.0100439,0.0661935,-0.232285,-0.230184,0.144748,-0.0290887,-0.0221196
0.149595,0.0178303,0.0149378,0.178932,-0.0427576,-0.0427299,0.0680766,0.0146641,0.0274866,0.178932,0.00733146,-0.0105458,0.0680766,-0.239954,-0.237174,0.149595,-0.03504,-0.0230318
0.154443,0.0198435,0.0153319,0.186497,-0.0448363,-0.0447118,0.0699596,0.0200286,0.0282514,0.186497,0.00739978,-0.0110477,0.0699596,-0.247899,-0.244164,0.154443,-0.0420012,-0.0239439
0.15929,0.0218568,0.015726,0.194063,-0.0469149,-0.0466938,0.0718427,0.0260001,0.0290162,0.194063,0.0074681,-0.0115495,0.0718427,-0.255907,-0.251154,0.15929,-0.0489624,-0.024856
0.164138,0.0238701,0.0161201,0.201628,-0.0489936,-0.0486758,0.0737257,0.0319715,0.029781,0.201628,0.00753643,-0.0120514,0.0737257,-0.263915,-0.258144,0.164138,-0.0559236,-0.0257681
0.168985,0.0258834,0.0165143,0.209193,-0.0510723,-0.0506577,0.0756088,0.037943,0.0305458,0.209193,0.00760475,-0.0125532,0.0756088,-0.271923,-0.265134,0.168985,-0.0628848,-0.0266802
0.173833,0.0278966,0.0169084,0.216759,-0.0531811,-0.0526397,0.0774918,0.0439145,0.0313106,0.216759,0.00631232,-0.0130551,0.0774918,-0.279931,-0.272124,0.173833,-0.069846,-0.0275923
0.17868,0.0299099,0.0173025,0.224324,-0.0552912,-0.0546217,0.0793749,0.0498859,0.0320754,0.224324,0.00496793,-0.013557,0.0793749,-0.287939,-0.279114,0.17868,-0.0768072,-0.0285044
0.183527,0.0319232,0.0176966,0.231889,-0.0574065,-0.0566036,0.0812579,0.0558574,0.0328402,0.231889,0.0032398,-0.0140588,0.0812579,-0.295947,-0.286105,0.183527,-0.0837684,-0.0294165
0.188375,0.0339365,0.0180907,0.239454,-0.0595226,-0.0585856,0.083141,0.0618289,0.033605,0.239454,0.00145356,-0.0145607,0.083141,-0.303955,-0.293095,0.188375,-0.0907296,-0.0303287
0.193222,0.0359497,0.0184849,0.24702,-0.0616408,-0.0605676,0.085024,0.0678003,0.0343698,0.24702,-0.000545756,-0.0150626,0.085024,-0.311963,-0.300085,0.193222,-0.0976907,-0.0312408
0.19807,0.037963,0.018879,0.254585,-0.0637723,-0.0625496,0.0869071,0.0737718,0.0351346,0.254585,-0.00386768,-0.0155644,0.0869071,-0.319971,-0.307075,0.19807,-0.104652,-0.0321529
0.202917,0.0399763,0.0192731,0.26215,-0.0659037,-0.0645315,0.0887901,0.0797433,0.0358994,0.26215,-0.00718961,-0.0160663,0.0887901,-0.327979,-0.314065,0.202917,-0.111613,-0.033065
0.207764,0.0419895,0.0196672,0.269716,-0.0680352,-0.0665135,0.0906732,0.0857147,0.0366642,0.269716,-0.0105115,-0.0165681,0.0906732,-0.335987,-0.321055,0.207764,-0.118574,-0.0339771
0.212612,0.0440028,0.0200614,0.277281,-0.0701666,-0.0684955,0.0925562,0.0916862,0.037429,0.277281,-0.0138335,-0.01707,0.0925562,-0.343995,-0.328045,0.212612,-0.125536,-0.0348892
0.217459,0.0460161,0.0204555,0.284846,-0.0722981,-0.0704774,0.0944393,0.0976577,0.0381938,0.284846,-0.0171554,-0.0175719,0.0944393,-0.352002,-0.335035,0.217459,-0.132497,-0.0358013
0.222307,0.0480294,0.0208496,0.292411,-0.0744295,-0.0724594,0.0963223,0.103629,0.0389586,0.292411,-0.0204773,-0.0180737,0.0963223,-0.36001,-0.342025,0.222307,-0.139458,-0.0367134
0.227154,0.0500426,0.0212437,0.299977,-0.0765609,-0.0744414,0.0982054,0.109601,0.0397234,0.299977,-0.0237993,-0.0185756,0.0982054,-0.368018,-0.349015,0.227154,-0.146419,-0.0376255
0.232001,0.0520559,0.0216379,0.307542,-0.0786924,-0.0764233,0.100088,0.115572,0.0404883,0.307542,-0.0271212,-0.0190775,0.100088,-0.376026,-0.356005,0.232001,-0.15338,-0.0385377
0.236849,0.0540692,0.022032,0.315107,-0.0808238,-0.0784053,0.101971,0.121544,0.0412531,0.315107,-0.0304431,-0.0195793,0.101971,-0.384034,-0.362995,0.236849,-0.160341,-0.0394498
0.241696,0.0560825,0.0224261,0.322672,-0.0829553,-0.0803873,0.103855,0.127515,0.0420179,0.322672,-0.033765,-0.0200812,0.103855,-0.392042,-0.369985,0.241696,-0.167303,-0.0403619
0.246544,0.0580957,0.0228202,0.330238,-0.0850867,-0.0823692,0.105738,0.133486,0.0427827,0.330238,-0.037087,-0.020583,0.105738,-0.40005,-0.376975,0.246544,-0.174264,-0.041274
