iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
94,-61.5738,1,21.0897,23.8828,10.0794,0.115634,-0.423202,0.171797,1.81484,0.162532,0.701859
95,-63.3853,1,21.5115,23.9847,10.4775,0.112833,-0.446376,0.167447,1.7894,0.158417,0.770846
96,-63.4856,1,21.625,24.2547,10.238,0.110455,-0.458704,0.177977,1.78896,0.154406,0.830602
97,-60.6986,1,21.222,24.1296,11.1791,0.108987,-0.438789,0.182491,1.94828,0.153483,0.816874
98,-53.7022,1,20.6268,23.8988,11.8404,0.113994,-0.405801,0.177871,1.95216,0.162017,0.831716
99,-54.3762,1,22.2891,23.0988,12.6512,0.11959,-0.477207,0.173371,1.90273,0.157915,0.810657
100,-57.4088,1,23.3826,23.0645,13.078,0.117903,-0.532936,0.172656,1.85455,0.153916,0.79013
101,-53.5789,1,22.5578,23.5055,11.834,0.11776,-0.492513,0.168284,1.80759,0.150019,0.899436
102,-55.4362,1,21.34,23.2671,11.8632,0.113014,-0.446042,0.170889,2.00866,0.14494,0.902012
103,-58.1322,1,22.3262,23.711,10.4308,0.11373,-0.490587,0.172639,2.00718,0.134363,0.858304
104,-58.3444,1,22.5575,23.5983,9.81224,0.11446,-0.498913,0.167395,1.89018,0.12811,0.911888
105,-54.3666,1,23.3895,23.4703,8.66892,0.118082,-0.544137,0.17895,1.74877,0.122952,0.951254
106,-60.3116,1,22.1794,22.7366,9.29454,0.119666,-0.502467,0.160054,1.60109,0.12107,0.860459
107,-71.4346,1,21.7499,23.1693,9.37256,0.116367,-0.478017,0.16874,1.48297,0.101918,0.824231
108,-61.3871,1,21.7336,23.2863,9.49304,0.121155,-0.471915,0.17068,1.51815,0.112037,0.844205
109,-67.2641,1,20.1396,22.8108,9.42998,0.118502,-0.417791,0.164693,1.63919,0.105619,0.805225
110,-71.4621,1,22.5486,22.5981,9.92843,0.119948,-0.506093,0.14598,1.69206,0.0865901,0.859383
111,-70.9782,1,21.5433,23.1493,10.8245,0.116422,-0.464297,0.154865,1.81854,0.0934291,0.824098
112,-84.7539,1,20.4225,23.1506,10.2711,0.113297,-0.405319,0.159195,1.85296,0.0765022,0.726334
113,-86.1648,1,21.1358,23.2879,10.0334,0.118586,-0.441583,0.141954,1.62306,0.0747049,0.666649
114,-79.5053,1,20.2071,23.3791,9.37193,0.125564,-0.413241,0.143378,1.62813,0.0736477,0.607845
115,-88.7969,1,20.0962,23.2002,9.38243,0.123861,-0.40307,0.145261,1.54822,0.0656687,0.57811
116,-91.8042,1,19.1971,23.3186,10.148,0.12408,-0.341303,0.142383,1.49277,0.0581551,0.594107
117,-97.5512,1,19.5694,23.3423,9.85491,0.12023,-0.369162,0.146766,1.5052,0.0529499,0.636918
118,-99.0573,1,19.1526,23.3145,9.64341,0.119609,-0.351602,0.15211,1.60977,0.0560224,0.537842
119,-98.1869,1,18.757,23.603,9.3186,0.117417,-0.340509,0.155462,1.61635,0.0576533,0.576085
120,-105.74,1,19.3264,23.8583,8.71925,0.119904,-0.359595,0.144083,1.63022,0.0459046,0.544583
121,-100.87,1,18.9248,23.6562,9.09058,0.121917,-0.339191,0.151164,1.58177,0.0449382,0.567436
122,-102.474,1,19.2497,23.7901,9.72027,0.116533,-0.353295,0.160534,1.53565,0.0477571,0.647191
123,-105.203,1,19.1953,23.7572,10.4393,0.113085,-0.344758,0.161808,1.53351,0.0482704,0.684059
124,-95.7737,1,19.2413,23.7463,11.6102,0.115276,-0.34757,0.159627,1.66961,0.0512643,0.729674
125,-95.8577,1,19.147,23.6665,10.2933,0.114589,-0.346128,0.161691,1.66198,0.0591814,0.696813
126,-94.7602,1,20.2304,23.9297,10.081,0.116122,-0.393103,0.167896,1.48038,0.0560056,0.740278
127,-92.1023,1,18.5943,24.2916,9.89958,0.118995,-0.302813,0.169255,1.60738,0.0517718,0.673655
128,-87.1807,1,19.4223,24.2081,9.71029,0.121239,-0.341798,0.160333,1.48985,0.0560012,0.728902
129,-82.2798,1,19.0034,24.2857,9.08192,0.123712,-0.330845,0.153001,1.5085,0.0562026,0.773596
130,-90.7273,1,19.6778,24.3371,9.73944,0.120009,-0.36234,0.151572,1.50279,0.0526744,0.808514
131,-85.414,1,19.4172,24.5526,10.1155,0.120819,-0.355384,0.159143,1.55796,0.0487633,0.877987
132,-92.6378,1,20.4103,24.611,10.3364,0.121274,-0.391114,0.152465,1.59842,0.0420956,0.866265
