iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
76,468.536,1,20.308,26.7039,21.1286,13.427,1.87114,-0.414552,0.219142,1.0569,0.568754,0.854514
77,465.773,1,20.4722,26.7779,21.5719,13.4502,1.82376,-0.415445,0.226718,1.06733,0.563902,0.863657
78,457.353,1,19.8836,26.4035,21.3905,13.7115,1.77758,-0.390836,0.220978,1.04213,0.556811,0.841788
79,463.5,1,20.2105,26.3174,21.6891,13.5896,1.83977,-0.40614,0.217338,1.01574,0.559151,0.820474
80,456.367,1,19.7388,27.1771,21.3425,13.6675,1.79318,-0.386548,0.222016,0.990025,0.563848,0.799699
81,460.503,1,19.8618,23.458,21.7857,13.5358,1.81747,-0.398826,0.228455,0.964957,0.557556,0.77945
82,455.721,1,20.2842,23.8152,21.7775,13.2703,1.81408,-0.400426,0.230991,0.940524,0.564309,0.759714
83,453.882,1,20.6274,25.4195,21.5544,13.7687,1.79843,-0.411559,0.232412,0.921472,0.578314,0.740478
84,458.356,1,19.9432,25.2234,21.0782,14.2778,1.82901,-0.388842,0.230732,0.930093,0.597844,0.721728
85,453.07,1,20.079,25.5877,21.2145,13.989,1.7827,-0.392466,0.238042,0.977879,0.587353,0.703454
86,449.185,1,20.192,27.3964,20.3585,14.4861,1.73756,-0.403231,0.232015,1.03079,0.586965,0.693807
87,457.736,1,20.1458,30.2754,20.2003,13.4094,1.77092,-0.396652,0.230402,1.00469,0.573418,0.7656
88,463.904,1,19.9325,31.1153,20.5444,13.7354,1.82946,-0.389864,0.228542,0.982846,0.592785,0.754044
89,468.881,1,19.9084,31.499,20.5347,14.7183,1.87405,-0.39052,0.226906,0.986269,0.595884,0.77447
90,466.415,1,20.5717,30.2665,20.6034,15.1868,1.84447,-0.423163,0.22116,1.02603,0.59374,0.77236
91,461.29,1,20.5374,28.4247,20.784,15.138,1.82942,-0.419191,0.224875,1.01799,0.61074,0.752803
92,468.252,1,20.595,29.4803,20.7442,14.4306,1.90313,-0.423245,0.228785,1.00809,0.620856,0.733742
93,464.771,1,19.6094,31.0055,20.944,14.9287,1.87666,-0.39003,0.222992,1.01325,0.610689,0.715163
94,460.377,1,19.3497,29.9653,21.4382,15.2779,1.82915,-0.370573,0.227476,0.99492,0.613308,0.697055
95,463.752,1,19.4984,28.9014,21.4569,14.9682,1.80761,-0.371923,0.221716,1.06609,0.597778,0.77071
96,459.774,1,19.8169,28.9072,20.9537,14.2041,1.78752,-0.382065,0.229683,1.07159,0.599353,0.751195
97,456.382,1,19.9225,26.6182,21.51,13.6338,1.79961,-0.385117,0.224298,1.07071,0.585181,0.732175
98,457.244,1,20.5852,25.3447,21.4325,14.5031,1.80148,-0.412557,0.232774,1.0436,0.585374,0.713636
99,453.999,1,20.5191,26.1349,21.2503,13.732,1.79072,-0.414114,0.226953,1.01717,0.584428,0.695566
100,452.411,1,20.2977,28.7918,20.9348,14.4033,1.76417,-0.408732,0.230512,1.03435,0.584657,0.677954
101,454.661,1,20.9077,28.8218,21.0681,13.7385,1.81357,-0.433785,0.224675,1.00816,0.592209,0.660788
102,458.376,1,20.1489,30.8866,20.5703,12.9477,1.84214,-0.392943,0.223829,0.942003,0.584679,0.661204
103,464.494,1,19.8688,29.8985,20.8423,13.7379,1.86276,-0.383119,0.223538,0.993948,0.584228,0.715187
104,454.712,1,19.4088,28.1194,20.5972,13.542,1.8376,-0.367146,0.225798,0.859676,0.577362,0.645967
105,451.613,1,20.0633,31.7383,20.3101,13.1889,1.81595,-0.395594,0.222194,0.894931,0.58284,0.610465
106,457.829,1,19.8,31.9633,20.4689,13.247,1.83102,-0.386301,0.228925,0.903552,0.601119,0.662611
107,460.4,1,19.8463,29.3239,20.4185,13.218,1.83984,-0.39441,0.217554,0.943459,0.600499,0.699556
108,459.136,1,20.3169,31.9412,20.3193,14.1311,1.82591,-0.411019,0.216336,0.958504,0.578914,0.723266
109,457.38,1,19.9107,34.1974,20.3609,14.066,1.83334,-0.387537,0.221515,0.939715,0.59077,0.655403
110,456.203,1,19.779,32.3401,20.394,13.8567,1.87644,-0.389718,0.224958,0.867456,0.585579,0.589309
111,458.32,1,20.2879,29.2802,20.4185,14.2237,1.89388,-0.412439,0.220389,0.842186,0.603765,0.605671
112,453.97,1,20.3986,28.1143,20.952,13.6083,1.90863,-0.416381,0.219766,0.777905,0.593303,0.553848
113,448.283,1,20.4939,25.5792,21.0486,13.7277,1.87431,-0.417402,0.227472,0.73894,0.589532,0.523557
114,454.204,1,20.2765,26.617,21.1478,13.5032,1.92276,-0.413502,0.217049,0.732308,0.600574,0.564175
115,468.527,1,20.2604,30.3474,21.1219,14.5597,2.03222,-0.413093,0.217358,0.806948,0.586767,0.608543
116,467.54,1,20.5171,28.5213,21.1062,13.8502,2.00468,-0.425065,0.2113,0.831723,0.601583,0.619793
117,468.785,1,19.4196,26.6597,21.0892,14.6269,2.00135,-0.378332,0.207722,0.891617,0.627704,0.595267
118,471.436,1,20.2079,28.4079,21.0035,13.6415,2.01458,-0.407299,0.212286,0.895681,0.612077,0.631152
119,474.755,1,20.2506,31.3234,20.4672,13.3666,2.04986,-0.408803,0.208925,0.918785,0.612652,0.622541
120,464.063,1,20.2519,30.9696,20.3782,13.2447,1.92177,-0.41475,0.221637,0.845488,0.625454,0.643456
121,467.962,1,20.3603,32.3919,20.2737,13.6398,1.91945,-0.408679,0.236812,0.903706,0.607996,0.664658
122,463.516,1,20.5109,32.1175,20.3419,13.2332,1.93083,-0.425753,0.221872,0.900438,0.614653,0.590456
123,468.587,1,19.5425,31.7617,20.2789,13.7018,2.00218,-0.38192,0.222737,0.878322,0.602531,0.589236
124,462.69,1,20.1358,31.5431,20.0853,14.5209,1.89999,-0.402963,0.217179,0.964661,0.598072,0.617165
125,475.299,1,20.2224,29.57,20.026,15.0876,2.08097,-0.406714,0.223735,0.90596,0.572013,0.586753
126,471.011,1,20.6192,29.7724,20.6088,14.3936,2.06508,-0.424193,0.23405,0.81668,0.539218,0.599957
127,454.13,1,20.151,33.4438,19.9944,14.5318,1.97604,-0.397189,0.226789,0.705966,0.51658,0.560646
128,456.621,1,19.5524,34.5441,20.2996,14.868,1.99939,-0.37358,0.212444,0.710568,0.508387,0.604741
129,457.606,1,20.4185,36.8819,20.2124,13.82,1.9645,-0.408263,0.223219,0.771866,0.513713,0.601669
130,462.759,1,20.7376,41.2037,19.9063,13.9371,1.99545,-0.422866,0.223855,0.865703,0.524641,0.572627
131,458.802,1,20.9895,40.0559,19.6647,13.8498,1.96411,-0.42921,0.217498,0.809208,0.536728,0.58908
132,461.921,1,20.4259,38.8337,19.7775,13.4451,2.0099,-0.410948,0.208604,0.848169,0.503483,0.607906
133,455.326,1,20.3801,37.3852,19.8945,15.0572,1.97226,-0.413644,0.21883,0.793414,0.50381,0.552363
134,452.706,1,20.4339,36.8308,19.7148,14.3956,1.94932,-0.407236,0.222083,0.800093,0.513894,0.520623
135,456.54,1,20.1117,35.0374,19.9941,14.5401,1.97817,-0.395173,0.208984,0.831096,0.517982,0.546075
136,446.282,1,20.4538,38.8913,20.1148,14.1434,1.84257,-0.410745,0.218433,0.849007,0.487941,0.597971
137,448.32,1,20.8378,36.4073,20.4471,14.7488,1.85775,-0.435173,0.226298,0.839112,0.490764,0.585959
138,454.857,1,20.7572,35.5397,20.1646,14.0052,1.89639,-0.429621,0.22979,0.82356,0.522631,0.605305
139,453.096,1,20.8518,41.3108,19.5355,15.3152,1.90511,-0.434214,0.227051,0.858217,0.504393,0.566068
140,456.094,1,20.7002,40.4959,19.7238,15.0085,1.94673,-0.426391,0.221137,0.880991,0.508376,0.538307
141,455.804,1,20.3012,38.1743,19.5107,15.2941,1.94075,-0.4093,0.213327,0.923822,0.492319,0.557938
142,457.518,1,20.469,39.0185,19.4549,14.8528,1.94312,-0.415419,0.215574,0.974595,0.487782,0.555165
143,459.553,1,20.4412,38.827,19.5709,15.782,1.98194,-0.412942,0.211681,0.958914,0.467508,0.572596
144,456.092,1,20.6016,38.865,19.2332,15.715,2.01113,-0.419539,0.208425,0.840325,0.491231,0.511209
145,450.05,1,20.7933,38.9079,19.0675,15.6324,1.94191,-0.427382,0.215125,0.820399,0.508255,0.501203
146,449.36,1,20.4452,39.0298,18.855,15.3631,1.86673,-0.413116,0.217557,0.87231,0.530507,0.549057
147,455.067,1,19.5599,41.6513,19.0978,15.8037,1.88171,-0.385037,0.215759,0.900834,0.540549,0.606259
148,449.592,1,20.4639,40.2224,18.7713,14.4307,1.87161,-0.420717,0.22388,0.79274,0.533534,0.57622
149,452.005,1,20.4702,43.0461,18.1823,14.1746,1.90204,-0.423586,0.213313,0.73461,0.565298,0.602109
150,458.147,1,20.1586,45.0049,18.1843,14.9363,1.96745,-0.404851,0.207697,0.719965,0.550221,0.658775
151,453.628,1,20.5025,47.386,18.2391,15.2786,1.95961,-0.421149,0.212202,0.745017,0.512939,0.583921
152,457.417,1,20.3978,47.0541,18.7375,14.964,2.07076,-0.410653,0.208404,0.736671,0.485092,0.516259
153,451.356,1,20.7963,44.7377,18.5905,14.7012,1.95422,-0.426041,0.221408,0.75762,0.509763,0.525347
154,458.811,1,20.6008,47.0622,18.269,15.3064,2.09946,-0.429805,0.220667,0.778478,0.45477,0.478658
155,446.53,1,20.4688,48.4892,18.7756,15.3506,1.94883,-0.416965,0.221341,0.76899,0.449068,0.505585
156,447.846,1,21.1073,42.0233,19.1487,14.9847,2.0073,-0.431563,0.228074,0.729136,0.424513,0.479823
157,441.025,1,20.7364,42.7801,19.487,15.466,1.93548,-0.428512,0.228567,0.716409,0.436513,0.470273
158,441.714,1,20.5128,40.6753,19.631,15.8042,1.96559,-0.417554,0.225634,0.688482,0.39866,0.504508
159,446.993,1,20.0631,42.2005,19.9722,15.9215,2.02937,-0.405555,0.220048,0.681911,0.401662,0.512193
160,448.145,1,19.9716,45.473,19.7848,15.053,2.02785,-0.401151,0.215254,0.662297,0.409627,0.554689
161,449.708,1,20.4339,45.9911,19.2031,14.6701,2.0209,-0.41558,0.225785,0.665254,0.413257,0.559027
162,446.292,1,20.6554,47.8942,19.5506,15.3122,2.02173,-0.428494,0.226055,0.688637,0.381063,0.519654
163,447.32,1,20.8345,48.3403,19.597,14.4815,2.06558,-0.429809,0.215409,0.657021,0.386465,0.516154
164,445.035,1,21.4193,48.2531,19.2937,14.8259,1.97284,-0.455495,0.226154,0.667772,0.424456,0.53515
165,437.752,1,20.9289,48.158,19.3421,14.7427,1.93737,-0.429529,0.21664,0.678484,0.398846,0.516822
166,444.227,1,19.8907,49.2825,19.6458,15.2139,1.96859,-0.38957,0.221789,0.709632,0.400675,0.535258
167,442.594,1,20.2516,46.1556,19.8562,14.857,1.95911,-0.4059,0.210756,0.745761,0.399594,0.520605
168,445.875,1,20.5288,42.6679,20.0645,14.4094,1.94196,-0.414005,0.215803,0.73448,0.414797,0.590958
169,449.055,1,20.3615,44.8295,20.1634,14.6055,1.98853,-0.403899,0.229039,0.662841,0.409312,0.606017
170,445.315,1,20.3628,43.5077,20.063,14.6353,1.92143,-0.410974,0.221818,0.702032,0.400194,0.656702
171,439.108,1,20.4356,43.0251,20.4455,14.2907,1.86374,-0.40848,0.225212,0.727117,0.378544,0.641503
172,449.056,1,20.6334,47.1065,20.1953,13.9346,1.97331,-0.417409,0.22083,0.710893,0.39034,0.64004
173,443.993,1,20.6177,43.7277,20.9326,13.82,1.9212,-0.41658,0.230628,0.7,0.38349,0.62567
174,439.854,1,20.2054,45.4053,20.2546,14.2532,1.9359,-0.396193,0.231089,0.630402,0.370211,0.599349
175,442.051,1,21.1822,43.5364,20.215,14.3274,1.94954,-0.436573,0.228827,0.622357,0.364309,0.640274
176,439.572,1,20.8725,45.1159,19.9147,14.6134,1.91423,-0.424817,0.222352,0.666518,0.352712,0.658634
177,437.213,1,20.471,45.0038,19.325,14.8144,1.88357,-0.404331,0.230071,0.695221,0.350075,0.624198
178,433.247,1,20.4197,46.1026,19.6268,14.6921,1.84431,-0.415578,0.224514,0.66885,0.355594,0.649199
179,437.917,1,20.5962,47.521,19.7214,14.6478,1.90537,-0.409498,0.238445,0.646861,0.336174,0.645406
180,438.905,1,20.4187,46.9275,19.9346,14.5654,1.90955,-0.40468,0.234784,0.682979,0.336977,0.624987
181,436.056,1,20.9938,45.5888,19.6049,14.1011,1.89891,-0.420192,0.233941,0.680985,0.327509,0.611869
182,435.586,1,21.2915,46.3483,19.891,14.1622,1.89804,-0.435157,0.222429,0.695098,0.33317,0.609688
183,435.901,1,20.7448,46.8263,19.6001,14.1599,1.92453,-0.41715,0.214108,0.63881,0.349269,0.61491
184,439.263,1,21.0961,46.5924,19.8838,13.6002,1.94033,-0.432945,0.22408,0.662415,0.333846,0.626769
185,442.357,1,20.4511,45.2281,20.3511,14.4615,1.96058,-0.4151,0.215371,0.682087,0.34889,0.633587
186,440.379,1,19.8105,47.4846,19.861,14.1555,1.8605,-0.383486,0.222569,0.757071,0.344145,0.718174
187,448.756,1,19.6673,50.3504,19.9466,14.0661,1.98948,-0.366393,0.230251,0.709001,0.327264,0.695012
188,447.382,1,19.89,48.4745,19.8504,13.9759,1.97676,-0.382403,0.224159,0.695395,0.337785,0.695687
189,443.235,1,20.3398,51.5985,19.7397,14.2995,1.93265,-0.40551,0.216102,0.747452,0.338315,0.670044
190,440.031,1,21.0258,45.0789,19.7975,14.2769,1.96582,-0.435927,0.230928,0.662675,0.314619,0.618661
191,434.508,1,20.6044,46.6862,19.8718,14.666,1.95993,-0.421521,0.218946,0.648712,0.291608,0.609392
192,436.026,1,19.9717,48.9842,19.7963,14.8684,1.98608,-0.397108,0.218099,0.583887,0.323383,0.599652
193,429.548,1,19.9803,49.3847,19.5284,14.8154,1.94827,-0.396227,0.223915,0.555481,0.303807,0.582955
194,426.875,1,20.1745,50.1114,19.4482,14.331,1.90603,-0.403802,0.221507,0.523682,0.324913,0.609484
195,432.043,1,20.0663,47.9947,19.8392,13.8676,1.93411,-0.388408,0.218711,0.571298,0.318432,0.629055
196,433.873,1,20.2165,45.5278,20.5796,13.7898,2.0015,-0.407776,0.223993,0.548842,0.28758,0.613614
197,437.149,1,20.1497,45.3562,20.7547,14.0717,2.05106,-0.395249,0.214137,0.532804,0.286556,0.637776
198,435.704,1,20.9057,42.9486,20.9214,13.482,2.03326,-0.423824,0.210204,0.547829,0.298488,0.609674
199,439.847,1,20.3892,43.757,20.966,14.1131,2.033,-0.411822,0.212917,0.572936,0.31674,0.622824
200,442.359,1,20.5711,42.6693,20.991,13.7228,2.05812,-0.409143,0.207086,0.605301,0.310496,0.627873
201,435.16,1,20.3373,42.6854,21.2872,12.7271,1.97385,-0.398291,0.209618,0.587195,0.319275,0.622144
202,431.021,1,20.2164,40.9501,21.257,13.1071,1.92603,-0.397642,0.236281,0.558073,0.324246,0.585919
203,437.722,1,20.3585,41.5272,21.3304,12.6842,1.9917,-0.404791,0.225877,0.604222,0.332069,0.567091
204,436.659,1,19.9194,41.3473,21.8447,13.2692,1.92744,-0.384377,0.22856,0.653416,0.330532,0.60514
205,434.821,1,20.5269,42.456,22.1017,13.1567,1.92812,-0.404321,0.220455,0.657358,0.328448,0.584347
206,437.042,1,20.5618,38.7407,22.144,13.7484,1.98501,-0.41117,0.217433,0.630551,0.337873,0.546964
207,433.535,1,20.9325,36.9859,21.9682,12.892,1.90469,-0.432543,0.216726,0.607824,0.362099,0.604024
208,444.034,1,20.4844,36.2805,22.2466,13.0503,1.98095,-0.406592,0.217807,0.652302,0.35569,0.641427
209,442.54,1,20.4844,36.4011,22.4721,13.6008,1.93358,-0.415355,0.221764,0.685801,0.360373,0.649918
210,442.885,1,21.3987,36.8246,22.2863,14.1494,1.93481,-0.442034,0.22064,0.685918,0.34843,0.681659
211,435.567,1,20.8924,34.7242,21.8652,13.3476,1.86043,-0.416233,0.228899,0.675641,0.346008,0.659592
212,438.541,1,20.9141,36.5718,22.0459,12.7476,1.86641,-0.419591,0.229384,0.668214,0.359187,0.703155
213,442.917,1,20.5151,39.2909,22.0439,12.3167,1.95309,-0.400348,0.225561,0.68038,0.342043,0.647603
214,442.478,1,20.7561,40.7696,21.9647,12.3578,1.93847,-0.407447,0.226252,0.681873,0.326509,0.695429
215,438.649,1,20.505,42.1471,22.445,12.8337,1.93616,-0.402836,0.216376,0.699035,0.317765,0.643227
216,433.013,1,20.8672,37.9818,22.1985,13.1615,1.88627,-0.421115,0.22123,0.64749,0.308911,0.675825
217,427.118,1,20.7488,36.5485,21.8143,13.0288,1.86471,-0.41574,0.22059,0.561431,0.340683,0.627859
218,435.168,1,20.6959,34.9541,22.2398,13.0065,1.94756,-0.417644,0.224331,0.521357,0.337683,0.671696
219,434.961,1,20.4685,34.7987,22.245,12.3891,1.92712,-0.413595,0.210473,0.552562,0.349926,0.690825
220,433.597,1,21.2353,36.3597,22.3689,12.0409,1.91623,-0.432007,0.214732,0.594784,0.326114,0.67599
221,433.282,1,20.7441,34.5741,22.8078,11.8832,1.91253,-0.413905,0.227224,0.569799,0.339366,0.638724
222,434.706,1,20.2516,35.6633,22.9234,11.4308,1.95639,-0.402979,0.220476,0.505608,0.336576,0.677477
223,429.622,1,20.7584,33.6854,22.8423,11.5552,1.8899,-0.419184,0.219406,0.520043,0.318596,0.728723
224,431.983,1,20.5112,35.7645,22.3781,11.6545,1.88862,-0.411285,0.216317,0.530455,0.344706,0.728698
225,442.158,1,20.1488,35.5995,22.0565,11.7113,1.93813,-0.399571,0.215961,0.600855,0.354812,0.75744
226,440.207,1,21.0396,36.2449,21.3487,12.4005,1.90711,-0.423622,0.222456,0.595541,0.341843,0.792327
227,442.404,1,20.3355,36.1236,21.7033,12.0206,1.90873,-0.398456,0.222133,0.609634,0.34569,0.817063
228,453.804,1,20.759,37.3546,21.7819,11.7896,1.9853,-0.412022,0.226877,0.717514,0.35431,0.766331
229,450.07,1,20.5051,39.1514,21.8089,11.9537,1.97494,-0.413994,0.218162,0.723725,0.337851,0.752418
230,439.615,1,20.381,36.9685,21.6509,12.0604,1.8759,-0.405407,0.223676,0.683834,0.334364,0.753182
231,442.156,1,20.4319,40.0816,21.5363,12.7144,1.84142,-0.402779,0.226486,0.794061,0.320269,0.821407
232,437.273,1,21.0919,37.6497,21.6808,12.0734,1.77439,-0.427628,0.230022,0.783122,0.330802,0.835538
233,439.968,1,20.661,34.786,21.5594,12.7348,1.82734,-0.409703,0.233201,0.850987,0.320054,0.727203
234,437.432,1,20.1463,32.7163,22.0798,13.6283,1.83111,-0.399338,0.220481,0.835177,0.314654,0.714305
235,434.127,1,20.3901,34.7692,22.0028,12.7848,1.76567,-0.407311,0.214059,0.863125,0.313814,0.792865
236,441.809,1,20.378,35.0036,22.025,12.9338,1.80494,-0.40794,0.213449,0.954032,0.322731,0.803871
