iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
76,409.015,1,19.681,21.6197,12.9182,1.5753,-0.341418,0.250036,0.710158,0.387227,0.666922
77,413.543,1,19.406,21.5054,12.8682,1.60219,-0.326427,0.257993,0.692177,0.377423,0.686625
78,413.503,1,19.3714,21.3272,12.6853,1.58919,-0.319577,0.251461,0.75967,0.367866,0.679161
79,412.793,1,19.1157,21.3226,12.5782,1.55891,-0.312531,0.245094,0.758501,0.358551,0.767512
80,414.795,1,20.063,21.1734,13.1459,1.56602,-0.35539,0.253976,0.814581,0.349473,0.748078
81,408.794,1,20.2056,21.4281,13.3965,1.52637,-0.357318,0.253739,0.793955,0.340624,0.744997
82,414.731,1,19.5689,21.1282,13.4504,1.55513,-0.326828,0.25636,0.796739,0.331999,0.779136
83,422.875,1,18.7135,21.3908,12.7122,1.61295,-0.276695,0.265979,0.822579,0.329558,0.759408
84,421.153,1,19.2376,21.3819,12.7703,1.61781,-0.313068,0.259244,0.818655,0.321214,0.755117
85,415.332,1,19.6676,21.3231,13.4911,1.60146,-0.342989,0.25268,0.800916,0.31308,0.735997
86,414.872,1,19.6531,21.3867,12.4593,1.58579,-0.336996,0.247658,0.780636,0.305153,0.801527
87,410.231,1,19.8704,21.7442,12.5601,1.55414,-0.343121,0.254564,0.79194,0.297902,0.781232
88,419.437,1,19.3418,21.5808,12.2716,1.62132,-0.322216,0.257305,0.812529,0.30112,0.761451
89,414.037,1,19.6995,21.7454,12.0915,1.58027,-0.327509,0.257936,0.791956,0.293496,0.803183
90,410.856,1,19.952,21.8342,12.2753,1.56076,-0.346223,0.26198,0.771903,0.286064,0.782846
91,413.045,1,19.8885,21.7087,11.6617,1.60939,-0.341052,0.256631,0.752358,0.278821,0.78131
92,420.494,1,19.3423,21.6482,12.1009,1.62812,-0.309592,0.255144,0.829285,0.280107,0.782764
93,417.35,1,19.2691,21.5018,12.1091,1.61636,-0.30732,0.258849,0.808287,0.288998,0.762944
94,411.505,1,18.7979,21.7327,12.4786,1.59365,-0.292474,0.252294,0.787821,0.285268,0.743625
95,415.698,1,19.0849,21.6868,12.7306,1.60427,-0.304642,0.25384,0.805151,0.297339,0.724796
96,409.728,1,18.7959,21.7696,13.1223,1.56364,-0.293503,0.253688,0.784765,0.292382,0.747184
97,409.84,1,18.8661,21.9331,13.3544,1.61402,-0.303235,0.253223,0.764894,0.284979,0.728265
98,412.56,1,20.0469,21.7228,13.2497,1.6357,-0.360905,0.254988,0.745526,0.283847,0.709825
99,416.715,1,19.8601,21.3604,13.4065,1.66947,-0.349527,0.251352,0.726649,0.281481,0.694949
100,415.64,1,19.3656,20.9495,13.3884,1.6303,-0.328351,0.256648,0.773309,0.274354,0.723164
101,413.679,1,19.8434,21.4766,12.4989,1.63348,-0.337976,0.253213,0.753728,0.270951,0.714113
102,412.814,1,19.2567,21.2467,12.8921,1.62912,-0.308389,0.256459,0.786943,0.245315,0.723025
103,404.322,1,19.3044,21.7627,13.0217,1.54435,-0.311555,0.258451,0.820953,0.240617,0.727165
104,411.48,1,19.5269,21.6548,12.5377,1.59328,-0.324655,0.255067,0.848333,0.240532,0.755265
105,410.363,1,18.7395,21.6515,12.73,1.59701,-0.294089,0.249806,0.835032,0.239612,0.742206
106,410.441,1,18.908,21.4868,13.5684,1.61863,-0.297018,0.249154,0.730336,0.246364,0.770351
107,404.794,1,19.0199,21.3943,13.3749,1.57371,-0.305287,0.253002,0.729876,0.245754,0.743676
108,410.45,1,19.653,21.4588,12.9398,1.61174,-0.337913,0.262817,0.755542,0.243058,0.732716
109,403.078,1,19.6945,21.4348,13.7192,1.58058,-0.340217,0.255411,0.777164,0.230611,0.682647
110,412.031,1,19.4393,21.2703,13.3826,1.65824,-0.320146,0.256803,0.771138,0.226961,0.698881
111,420.304,1,19.3723,21.4121,13.4416,1.75441,-0.32879,0.244225,0.755016,0.230778,0.692077
112,408.247,1,18.5647,21.1788,13.5367,1.61028,-0.280853,0.240757,0.85653,0.21772,0.735815
113,411.374,1,19.0766,21.1135,13.1125,1.64304,-0.302067,0.248407,0.881213,0.20724,0.719338
114,416.412,1,19.6312,21.0322,13.8971,1.64315,-0.327027,0.255565,0.964714,0.21547,0.717426
115,405.607,1,19.5462,21.1358,13.2229,1.57311,-0.330176,0.256655,0.840579,0.217915,0.736903
116,392.604,1,19.0265,20.7393,13.5675,1.50471,-0.304675,0.255941,0.792123,0.227226,0.644204
117,399.119,1,19.5979,20.7749,13.1314,1.54026,-0.330849,0.254636,0.762584,0.233809,0.701427
118,399.912,1,19.2956,20.9183,12.8,1.55732,-0.31933,0.247908,0.706591,0.238994,0.72907
119,406.483,1,19.9623,21.1203,12.9917,1.58445,-0.345195,0.265175,0.797951,0.231449,0.700202
120,408.31,1,19.3833,21.1474,12.602,1.57632,-0.320948,0.257181,0.845617,0.240659,0.716612
121,406.279,1,19.4024,21.1159,13.561,1.55414,-0.331363,0.248789,0.865993,0.249679,0.706211
122,405.316,1,18.6468,21.5095,14.0718,1.56285,-0.288245,0.250454,0.904366,0.226506,0.698938
123,405.32,1,18.7467,21.5237,13.8335,1.56263,-0.288562,0.238579,0.891416,0.236193,0.711148
124,411.272,1,19.5158,21.4577,13.9417,1.61533,-0.332235,0.247678,0.831375,0.235434,0.737412
125,415.444,1,19.0024,21.6845,13.62,1.65993,-0.312184,0.241324,0.867758,0.231371,0.725183
126,412.545,1,18.6202,21.7345,13.745,1.63586,-0.283293,0.249325,0.83589,0.225346,0.73185
