pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
,,-2.41961,0.361111,,,All
,,-2.34559,0.362222,,,All
,,-2.15655,0.363333,,,All
,,-2.15332,0.364444,,,All
,,-1.96576,0.365556,,,All
,,-1.91789,0.366667,,,All
,,-1.57866,0.367778,,,All
,,-1.21787,0.368889,,,All
,,-0.93126,0.37,,,All
,,-0.803058,0.371111,,,All
,,-0.713633,0.372222,,,All
,,-0.670234,0.373333,,,All
,,-0.642814,0.374444,,,All
,,-0.631513,0.375556,,,All
,,-0.466474,0.376667,,,All
,,-0.433251,0.377778,,,All
,,-0.304888,0.378889,,,All
,,-0.245864,0.38,,,All
,,-0.139493,0.381111,,,All
,,-0.0192892,0.382222,,,All
,,0.0550053,0.383333,,,All
,,0.0654055,0.384444,,,All
,,0.0700701,0.385556,,,All
,,0.124371,0.386667,,,All
,,0.136856,0.387778,,,All
,,0.218468,0.388889,,,All
,,0.225624,0.39,,,All
,,0.226319,0.391111,,,All
,,0.361517,0.392222,,,All
,,0.675959,0.393333,,,All
,,0.964487,0.394444,,,All
,,1.03739,0.395556,,,All
,,1.12542,0.396667,,,All
,,1.16387,0.397778,,,All
,,1.43063,0.398889,,,All
,,1.47001,0.4,,,All
,,1.55749,0.401111,,,All
,,1.5677,0.402222,,,All
,,1.58505,0.403333,,,All
,,1.74723,0.404444,,,All
,,1.84053,0.405556,,,All
,,2.10041,0.406667,,,All
,,2.12407,0.407778,,,All
,,2.5097,0.408889,,,All
,,2.67945,0.41,,,All
,,3.73403,0.411111,,,All
,,4.23315,0.412222,,,All
,,4.45755,0.413333,,,All
,,4.5873,0.414444,,,All
,,4.66017,0.415556,,,All
,,4.82144,0.416667,,,All
,,4.92669,0.417778,,,All
,,5.01772,0.418889,,,All
,,5.03207,0.42,,,All
,,5.0645,0.421111,,,All
,,5.09075,0.422222,,,All
,,5.1954,0.423333,,,All
,,5.31232,0.424444,,,All
,,5.41924,0.425556,,,All
,,5.52925,0.426667,,,All
,,5.59866,0.427778,,,All
,,5.87429,0.428889,,,All
,,5.98839,0.43,,,All
,,6.01045,0.431111,,,All
,,6.25969,0.432222,,,All
,,6.56745,0.433333,,,All
,,6.68481,0.434444,,,All
,,6.72136,0.435556,,,All
,,6.97218,0.436667,,,All
,,7.10755,0.437778,,,All
,,7.33986,0.438889,,,All
,,7.38949,0.44,,,All
,,7.5878,0.441111,,,All
,,7.61601,0.442222,,,All
,,7.88545,0.443333,,,All
,,8.01336,0.444444,,,All
,,9.13255,0.445556,,,All
,,9.30881,0.446667,,,All
,,9.74039,0.447778,,,All
,,10.1789,0.448889,,,All
,,10.2343,0.45,,,All
,,10.4585,0.451111,,,All
,,10.7415,0.452222,,,All
,,11.0766,0.453333,,,All
,,11.3282,0.454444,,,All
,,11.5537,0.455556,,,All
,,11.7928,0.456667,,,All
,,12.007,0.457778,,,All
,,12.1062,0.458889,,,All
,,12.1993,0.46,,,All
,,12.4156,0.461111,,,All
,,12.4202,0.462222,,,All
,,12.4711,0.463333,,,All
,,12.5426,0.464444,,,All
,,12.6076,0.465556,,,All
,,12.614,0.466667,,,All
,,12.6141,0.467778,,,All
,,12.6518,0.468889,,,All
,,12.7157,0.47,,,All
,,12.934,0.471111,,,All
,,12.9437,0.472222,,,All
,,13.0875,0.473333,,,All
,,13.1294,0.474444,,,All
,,13.4339,0.475556,,,All
,,13.7402,0.476667,,,All
,,13.7558,0.477778,,,All
,,18.9131,0.478889,,,All
,,19.2377,0.48,,,All
,,19.2694,0.481111,,,All
,,19.4162,0.482222,,,All
,,19.6051,0.483333,,,All
,,19.6758,0.484444,,,All
,,19.7104,0.485556,,,All
,,19.781,0.486667,,,All
,,19.8244,0.487778,,,All
,,19.8681,0.488889,,,All
,,19.8703,0.49,,,All
,,19.9255,0.491111,,,All
,,20.0253,0.492222,,,All
,,20.038,0.493333,,,All
,,20.0717,0.494444,,,All
,,20.1244,0.495556,,,All
,,20.1773,0.496667,,,All
,,20.5283,0.497778,,,All
,,20.5579,0.498889,,,All
,,20.617,0.5,,,All
,,27.3139,0.501111,,,All
,,27.3436,0.502222,,,All
,,27.4088,0.503333,,,All
,,27.5632,0.504444,,,All
,,27.5646,0.505556,,,All
,,27.6813,0.506667,,,All
,,27.8352,0.507778,,,All
,,28.0119,0.508889,,,All
,,28.0429,0.51,,,All
,,28.0476,0.511111,,,All
,,28.2642,0.512222,,,All
,,28.6059,0.513333,,,All
,,29.1422,0.514444,,,All
,,29.388,0.515556,,,All
,,29.4041,0.516667,,,All
,,29.5575,0.517778,,,All
,,29.6551,0.518889,,,All
,,30.0778,0.52,,,All
,,30.1627,0.521111,,,All
,,30.6707,0.522222,,,All
,,30.9051,0.523333,,,All
,,31.0154,0.524444,,,All
,,31.2633,0.525556,,,All
,,31.3984,0.526667,,,All
,,31.4183,0.527778,,,All
,,31.676,0.528889,,,All
,,31.6875,0.53,,,All
,,31.7438,0.531111,,,All
,,32.1057,0.532222,,,All
,,32.4823,0.533333,,,All
,,33.441,0.534444,,,All
,,33.5769,0.535556,,,All
,,33.6425,0.536667,,,All
,,33.9656,0.537778,,,All
,,34.294,0.538889,,,All
,,34.4767,0.54,,,All
,,34.5906,0.541111,,,All
,,34.6362,0.542222,,,All
,,35.2192,0.543333,,,All
,,35.3348,0.544444,,,All
,,35.3524,0.545556,,,All
,,35.5234,0.546667,,,All
,,35.8023,0.547778,,,All
