Pacientes,Fecha,Autor,Nivel,Rep,Diametro
"""1,9-12""",10/11/2015,JCAR,C5,4,15.21
"""1,9-12""",10/11/2015,JCAR,C1,5,26.1
"""1,9-12""",10/11/2015,JCAR,C2,5,24.38
"""1,9-12""",10/11/2015,JCAR,C3,9,21.74
"""1,9-12""",10/11/2015,JCAR,C3,10,21.62
"""1,9-12""",10/11/2015,JCAR,C4,5,19.03
"""1,9-12""",10/11/2015,JCAR,C5,5,15.82
"""2-4""",20/11/2015,JCAR,C1,1,26.22
"""2-4""",20/11/2015,JCAR,C2,1,24.16
"""2-4""",20/11/2015,JCAR,C3,1,21.97
"""2-4""",20/11/2015,JCAR,C3,2,21.92
"""2-4""",20/11/2015,JCAR,C4,1,19.64
"""2-4""",20/11/2015,JCAR,C5,1,15.48
"""2-4""",20/11/2015,JCAR,C1,2,26.24
"""2-4""",20/11/2015,JCAR,C2,2,24.27
"""2-4""",20/11/2015,JCAR,C3,3,21.98
"""2-4""",20/11/2015,JCAR,C3,4,21.66
"""2-4""",20/11/2015,JCAR,C4,2,19.31
"""2-4""",20/11/2015,JCAR,C5,2,15.78
"""2-4""",20/11/2015,JCAR,C1,3,26.32
"""2-4""",20/11/2015,JCAR,C2,3,24.19
"""2-4""",20/11/2015,JCAR,C3,5,21.79
"""2-4""",20/11/2015,JCAR,C3,6,21.69
"""2-4""",20/11/2015,JCAR,C4,3,19.23
"""2-4""",20/11/2015,JCAR,C5,3,15.8
"""2-4""",20/11/2015,JCAR,C1,4,26.25
"""2-4""",20/11/2015,JCAR,C2,4,24.29
"""2-4""",20/11/2015,JCAR,C3,7,21.99
"""2-4""",20/11/2015,JCAR,C3,8,21.74
"""2-4""",20/11/2015,JCAR,C4,4,19.39
"""2-4""",20/11/2015,JCAR,C5,4,15.65
"""2-4""",20/11/2015,JCAR,C1,5,26.2
"""2-4""",20/11/2015,JCAR,C2,5,24.25
"""2-4""",20/11/2015,JCAR,C3,9,21.69
"""2-4""",20/11/2015,JCAR,C3,10,21.87
"""2-4""",20/11/2015,JCAR,C4,5,19.2
"""2-4""",20/11/2015,JCAR,C5,5,15.78
"""2-4""",20/11/2015,ES,C1,1,26.48
"""2-4""",20/11/2015,ES,C2,1,24.28
"""2-4""",20/11/2015,ES,C3,1,21.8
"""2-4""",20/11/2015,ES,C4,1,18.99
"""2-4""",20/11/2015,ES,C5,1,16.01
"""2-4""",20/11/2015,ES,C1,2,27.08
"""2-4""",20/11/2015,ES,C2,2,24.28
"""2-4""",20/11/2015,ES,C3,2,21.88
"""2-4""",20/11/2015,ES,C4,2,19.22
"""2-4""",20/11/2015,ES,C5,2,15.86
"""2-4""",20/11/2015,ES,C1,3,27.12
"""2-4""",20/11/2015,ES,C2,3,24
"""2-4""",20/11/2015,ES,C3,3,21.62
"""2-4""",20/11/2015,ES,C4,3,19.09
"""2-4""",20/11/2015,ES,C5,3,16.04
"""2-4""",20/11/2015,ES,C1,4,27.08
"""2-4""",20/11/2015,ES,C2,4,24.1
"""2-4""",20/11/2015,ES,C3,4,22.03
"""2-4""",20/11/2015,ES,C4,4,19.22
"""2-4""",20/11/2015,ES,C5,4,16.06
"""2-4""",20/11/2015,ES,C1,5,27.04
"""2-4""",20/11/2015,ES,C2,5,24.25
"""2-4""",20/11/2015,ES,C3,5,22.04
"""2-4""",20/11/2015,ES,C4,5,19.86
"""2-4""",20/11/2015,ES,C5,5,16.09
"""13-15""",14/12/2015,JCAR,C1,1,27.05
"""13-15""",14/12/2015,JCAR,C2,1,24.65
"""13-15""",14/12/2015,JCAR,C3,1,21.8
"""13-15""",14/12/2015,JCAR,C3,2,21.85
"""13-15""",14/12/2015,JCAR,C4,1,18.85
"""13-15""",14/12/2015,JCAR,C5,1,16.13
"""13-15""",14/12/2015,JCAR,C1,2,26.72
"""13-15""",14/12/2015,JCAR,C2,2,24.2
"""13-15""",14/12/2015,JCAR,C3,3,21.9
"""13-15""",14/12/2015,JCAR,C3,4,21.49
"""13-15""",14/12/2015,JCAR,C4,2,19.01
"""13-15""",14/12/2015,JCAR,C5,2,15.76
"""13-15""",14/12/2015,JCAR,C1,3,26.45
"""13-15""",14/12/2015,JCAR,C2,3,24.48
"""13-15""",14/12/2015,JCAR,C3,5,21.46
"""13-15""",14/12/2015,JCAR,C3,6,21.86
"""13-15""",14/12/2015,JCAR,C4,3,18.88
"""13-15""",14/12/2015,JCAR,C5,3,15.75
"""13-15""",14/12/2015,JCAR,C1,4,26.25
"""13-15""",14/12/2015,JCAR,C2,4,24.78
"""13-15""",14/12/2015,JCAR,C3,7,21.89
"""13-15""",14/12/2015,JCAR,C3,8,21.95
"""13-15""",14/12/2015,JCAR,C4,4,18.74
"""13-15""",14/12/2015,JCAR,C5,4,15.96
"""13-15""",14/12/2015,JCAR,C1,5,26.75
"""13-15""",14/12/2015,JCAR,C2,5,24.68
"""13-15""",14/12/2015,JCAR,C3,9,21.91
"""13-15""",14/12/2015,JCAR,C3,10,21.95
"""13-15""",14/12/2015,JCAR,C4,5,19.01
"""13-15""",14/12/2015,JCAR,C5,5,16.03
