"","Iteration","CLt","Vc","CLd","Vp","CLt_CLt","Vc_CLt","Vc_Vc","CLd_CLt","CLd_Vc","CLd_CLd","Vp_CLt","Vp_Vc","Vp_CLd","Vp_Vp","SDinter","SDslope","-2LogLikelihood","X19"
"18",17,12.2456,21.4101,6.16274,19.9181,0.00600993,0,0.00063779,0,0,0.0106766,0,0,0,0.000624934,1.91086,0.244624,632.463,NA
"19",18,12.3346,21.4536,6.20293,19.914,0.0106791,0,0.000642258,0,0,0.010976,0,0,0,0.000624932,1.53926,0.246572,626.75,NA
"20",19,12.4904,21.4976,6.24221,19.9094,0.0204411,0,0.000644995,0,0,0.0112521,0,0,0,0.000624828,1.1011,0.246362,617.399,NA
"21",20,12.6742,21.5457,6.28363,19.9036,0.0357454,0,0.000645973,0,0,0.0115157,0,0,0,0.000624916,0.772465,0.242626,605.87,NA
"22",21,12.7492,21.5996,6.33077,19.8964,0.0478099,0,0.000645882,0,0,0.0118174,0,0,0,0.000624992,0.608192,0.24032,599.119,NA
"23",22,12.7535,21.6562,6.38103,19.888,0.0525393,0,0.000645439,0,0,0.0121713,0,0,0,0.000625311,0.530472,0.240295,597.579,NA
"24",23,12.7579,21.7133,6.43298,19.8791,0.0539012,0,0.00064522,0,0,0.0125666,0,0,0,0.000625748,0.493798,0.240479,597.186,NA
"25",24,12.7685,21.7702,6.48651,19.8698,0.0543269,0,0.000644992,0,0,0.0129858,0,0,0,0.000625913,0.478381,0.240283,596.812,NA
"26",25,12.7822,21.8269,6.54149,19.8605,0.0545797,0,0.000644836,0,0,0.0134438,0,0,0,0.000626127,0.473441,0.239792,596.37,NA
"27",26,12.799,21.8831,6.59892,19.8508,0.0546774,0,0.000644356,0,0,0.013952,0,0,0,0.000626084,0.475611,0.238863,595.889,NA
"28",27,12.818,21.939,6.65802,19.8412,0.0547872,0,0.000644056,0,0,0.0144753,0,0,0,0.000626699,0.480711,0.237758,595.393,NA
"29",28,12.8336,21.9945,6.71987,19.8317,0.0549074,0,0.000643988,0,0,0.0150423,0,0,0,0.000627494,0.488366,0.236645,594.855,NA
"30",29,12.8531,22.0498,6.78398,19.822,0.0549677,0,0.000644034,0,0,0.0156451,0,0,0,0.000628088,0.495934,0.235437,594.331,NA
"31",30,12.8702,22.1047,6.85112,19.812,0.0550667,0,0.000643957,0,0,0.0163056,0,0,0,0.000628527,0.504977,0.234207,593.787,NA
"32",31,12.8891,22.1593,6.92114,19.8021,0.0551933,0,0.000643956,0,0,0.017027,0,0,0,0.000629157,0.51355,0.232954,593.247,NA
"33",32,12.9076,22.2134,6.99471,19.7922,0.0552789,0,0.000644232,0,0,0.0178156,0,0,0,0.000629503,0.523057,0.231666,592.697,NA
"34",33,12.9258,22.2672,7.07213,19.7822,0.0554115,0,0.000644222,0,0,0.0186708,0,0,0,0.000629528,0.532239,0.230402,592.139,NA
"35",34,12.9437,22.3204,7.15354,19.7721,0.0555179,0,0.000644203,0,0,0.019605,0,0,0,0.000629825,0.541896,0.229151,591.573,NA
"36",35,12.9635,22.3733,7.2393,19.7622,0.0556884,0,0.00064444,0,0,0.0206361,0,0,0,0.000630372,0.551272,0.22782,591.015,NA
"37",36,12.9815,22.4254,7.32961,19.7519,0.0558499,0,0.000644728,0,0,0.0217836,0,0,0,0.000630866,0.561721,0.226494,590.438,NA
"38",37,13.0024,22.4772,7.42548,19.7417,0.0558803,0,0.000644978,0,0,0.02304,0,0,0,0.000631243,0.571481,0.225147,589.869,NA
"39",38,13.0225,22.5284,7.52766,19.7312,0.0559871,0,0.000645117,0,0,0.0244443,0,0,0,0.000631776,0.581784,0.223762,589.29,NA
"40",39,13.0429,22.5789,7.63607,19.7208,0.0561216,0,0.000645751,0,0,0.0260261,0,0,0,0.000631896,0.592214,0.22237,588.695,NA
"41",40,13.0631,22.629,7.75242,19.7104,0.0562618,0,0.000646223,0,0,0.0278015,0,0,0,0.000632331,0.60268,0.220934,588.091,NA
"42",41,13.0845,22.6783,7.8766,19.6999,0.0563945,0,0.000646723,0,0,0.0298313,0,0,0,0.000632899,0.613164,0.219493,587.476,NA
"43",42,13.1052,22.7267,8.0109,19.6891,0.0565462,0,0.000647602,0,0,0.0321267,0,0,0,0.000633642,0.624709,0.218004,586.846,NA
"44",43,13.1281,22.7745,8.15582,19.6784,0.0567136,0,0.000648101,0,0,0.0347863,0,0,0,0.000634167,0.636093,0.216419,586.2,NA
"45",44,13.1508,22.8213,8.31284,19.6675,0.0568596,0,0.000648781,0,0,0.0378902,0,0,0,0.000634797,0.648315,0.21477,585.531,NA
"46",45,13.1744,22.8671,8.48436,19.6566,0.0569969,0,0.000649426,0,0,0.0415174,0,0,0,0.000635285,0.660504,0.213084,584.843,NA
"47",46,13.1979,22.912,8.6728,19.6457,0.057162,0,0.000650234,0,0,0.04584,0,0,0,0.000635756,0.674269,0.211257,584.12,NA
"48",47,13.2234,22.9557,8.87991,19.6347,0.0573475,0,0.000651334,0,0,0.0510368,0,0,0,0.000636353,0.688281,0.209319,583.362,NA
"49",48,13.2468,22.9979,9.11069,19.6233,0.057499,0,0.000652694,0,0,0.057409,0,0,0,0.000637166,0.70433,0.207314,582.547,NA
"50",49,13.277,23.0388,9.36791,19.6121,0.0576948,0,0.000653961,0,0,0.0653363,0,0,0,0.000638143,0.719588,0.204934,581.705,NA
"51",50,13.3045,23.0784,9.65819,19.6008,0.057902,0,0.000655213,0,0,0.075468,0,0,0,0.000638785,0.738191,0.202348,580.776,NA
"52",51,13.3345,23.1162,9.98879,19.5896,0.0581371,0,0.000656451,0,0,0.0887216,0,0,0,0.000639524,0.758391,0.199391,579.76,NA
"53",52,13.3652,23.1521,10.368,19.5782,0.0583747,0,0.000658566,0,0,0.106503,0,0,0,0.000640818,0.78177,0.195966,578.624,NA
"54",53,13.3966,23.1858,10.808,19.5671,0.0586571,0,0.000660608,0,0,0.131344,0,0,0,0.000641606,0.808789,0.191932,577.314,NA
"55",54,13.4288,23.2174,11.3134,19.5563,0.058973,0,0.00066243,0,0,0.167437,0,0,0,0.000642421,0.84149,0.186906,575.781,NA
"56",55,13.4604,23.2465,11.9001,19.5458,0.0593101,0,0.000664804,0,0,0.222063,0,0,0,0.000643748,0.881207,0.180632,573.936,NA
"57",56,13.4887,23.273,12.566,19.5361,0.0596461,0,0.000666946,0,0,0.308158,0,0,0,0.000644886,0.928534,0.172752,571.635,NA
"58",57,13.5072,23.2965,13.2371,19.5282,0.0602352,0,0.000668914,0,0,0.45062,0,0,0,0.000644497,0.983754,0.163046,568.697,NA
"59",58,13.5183,23.32,13.9058,19.5221,0.0607836,0,0.000674905,0,0,0.674541,0,0,0,0.000649235,1.04375,0.151307,565.243,NA
"60",59,13.5123,23.3387,14.3241,19.5232,0.0614153,0,0.000673375,0,0,1.01107,0,0,0,0.000659129,1.10099,0.139528,561.206,NA
"61",60,13.4952,23.3637,14.6679,19.5167,0.0621609,0,0.000682539,0,0,1.4225,0,0,0,0.000662124,1.1553,0.128262,557.758,NA
"62",61,13.4778,23.3809,15.0849,19.5173,0.0632276,0,0.000693111,0,0,1.83733,0,0,0,0.000665668,1.20263,0.120753,555.098,NA
"63",62,13.4883,23.3931,13.8559,19.5124,0.0630833,0,0.000686645,0,0,2.28268,0,0,0,0.000650521,1.24102,0.11528,552.251,NA
"64",63,13.4291,23.4237,13.5,19.5085,0.0647742,0,0.000692414,0,0,2.59167,0,0,0,0.000657067,1.2436,0.110348,552.154,NA
"65",64,13.4557,23.4713,13.7861,19.5169,0.0656093,0,0.00069904,0,0,2.94863,0,0,0,0.000655353,1.26319,0.108907,550.634,NA
"66",65,13.4232,23.4974,13.0412,19.5156,0.0654859,0,0.00072597,0,0,3.12984,0,0,0,0.000670932,1.23569,0.107862,551.245,NA
"67",66,13.4146,23.5364,12.5137,19.522,0.0654564,0,0.000738273,0,0,3.22899,0,0,0,0.000663202,1.21899,0.107676,551.132,NA
"68",67,13.4103,23.5804,12.1094,19.5245,0.0658086,0,0.000761136,0,0,3.2913,0,0,0,0.000668554,1.20696,0.108027,550.952,NA
"69",68,13.4179,23.6167,12.5426,19.5223,0.0659186,0,0.000771635,0,0,3.41756,0,0,0,0.000668309,1.19735,0.107454,550.402,NA
"70",69,13.4281,23.6568,12.1116,19.5216,0.0662183,0,0.000803329,0,0,3.54872,0,0,0,0.000669756,1.19759,0.107712,550.242,NA
"71",70,13.4152,23.6964,12.193,19.5232,0.0663675,0,0.000812416,0,0,3.78016,0,0,0,0.000675303,1.19249,0.107871,549.549,NA
"72",71,13.3987,23.7521,11.3648,19.5302,0.0657223,0,0.000834891,0,0,3.64605,0,0,0,0.000682846,1.16049,0.109575,550.156,NA
"73",72,13.3867,23.7914,10.999,19.5336,0.0655211,0,0.000881325,0,0,3.55578,0,0,0,0.000687855,1.14387,0.110183,550.198,NA
"74",73,13.4156,23.8563,12.1036,19.5323,0.0658714,0,0.000894623,0,0,3.82345,0,0,0,0.000679584,1.14837,0.108614,549.099,NA
"75",74,13.3979,23.9083,11.007,19.5391,0.0656134,0,0.000916666,0,0,3.70622,0,0,0,0.000677533,1.15023,0.108113,549.703,NA
"76",75,13.4344,23.9626,10.4631,19.5389,0.066656,0,0.00092346,0,0,3.81285,0,0,0,0.000669669,1.1988,0.105866,548.698,NA
"77",76,13.4186,24.0201,10.8283,19.5468,0.0658049,0,0.00096128,0,0,3.67148,0,0,0,0.000676386,1.18219,0.105903,549.684,NA
"78",77,13.4183,24.0752,10.7933,19.5526,0.06574,0,0.0009979,0,0,3.65701,0,0,0,0.000679475,1.18296,0.105614,549.295,NA
"79",78,13.4161,24.1254,11.6347,19.5499,0.0655426,0,0.0010255,0,0,3.53835,0,0,0,0.000682926,1.19741,0.106068,548.609,NA
"80",79,13.4249,24.1699,10.9651,19.5502,0.0657109,0,0.00108091,0,0,3.53388,0,0,0,0.000687702,1.21036,0.104476,548.774,NA
"81",80,13.434,24.2281,10.574,19.555,0.0655857,0,0.0011273,0,0,3.66217,0,0,0,0.000685009,1.19049,0.104413,548.564,NA
"82",81,13.4311,24.29,10.4816,19.557,0.0657168,0,0.00117613,0,0,3.69329,0,0,0,0.000683603,1.17756,0.104678,548.315,NA
"83",82,13.4336,24.3566,10.2889,19.5602,0.0655807,0,0.00124398,0,0,3.75759,0,0,0,0.000690516,1.17426,0.104247,548.287,NA
"84",83,13.4254,24.4165,9.14733,19.5697,0.0663344,0,0.00131093,0,0,4.33548,0,0,0,0.000702691,1.16315,0.104022,547.239,NA
"85",84,13.433,24.4909,9.77348,19.5723,0.0656849,0,0.00138027,0,0,4.09753,0,0,0,0.000712106,1.15904,0.104264,547.815,NA
"86",85,13.438,24.5755,9.90576,19.5739,0.0654561,0,0.00149071,0,0,3.99317,0,0,0,0.000710108,1.15414,0.10412,547.247,NA
"87",86,13.4353,24.6623,9.3198,19.5785,0.0651524,0,0.001597,0,0,3.89598,0,0,0,0.000715265,1.1679,0.103076,547.068,NA
"88",87,13.4679,24.7312,9.80969,19.5776,0.0664397,0,0.00177889,0,0,4.24489,0,0,0,0.000696424,1.11653,0.106087,545.503,NA
"89",88,13.4655,24.8197,9.20008,19.5947,0.0663968,0,0.00190324,0,0,4.06884,0,0,0,0.000710693,1.14441,0.103333,546.456,NA
"90",89,13.4523,24.9068,9.24209,19.6012,0.0654022,0,0.00207121,0,0,3.97048,0,0,0,0.000712885,1.15613,0.101671,546.446,NA
"91",90,13.4621,25.007,9.02643,19.6088,0.065308,0,0.00226712,0,0,3.82585,0,0,0,0.000725681,1.1662,0.100221,546.289,NA
"92",91,13.4682,25.1001,8.83293,19.6201,0.065078,0,0.00252297,0,0,4.01497,0,0,0,0.000727447,1.16037,0.100077,545.265,NA
"93",92,13.4665,25.2075,8.52886,19.6285,0.0647561,0,0.00282059,0,0,3.91997,0,0,0,0.000731111,1.17191,0.09842,545.254,NA
"94",93,13.4759,25.3092,8.66523,19.6348,0.0647185,0,0.00316944,0,0,3.95561,0,0,0,0.000736853,1.18043,0.0972625,544.533,NA
"95",94,13.4856,25.4376,8.21629,19.6433,0.0647305,0,0.0036139,0,0,3.98887,0,0,0,0.000738578,1.19366,0.0951192,544.222,NA
"96",95,13.4569,25.5693,7.7355,19.6531,0.0634532,0,0.00434161,0,0,3.98746,0,0,0,0.000750176,1.1783,0.0963038,542.985,NA
"97",96,13.5064,25.7277,7.79547,19.6586,0.0648726,0,0.00516905,0,0,4.01981,0,0,0,0.000756646,1.20337,0.0925681,542.748,NA
"98",97,13.5046,25.9174,7.44205,19.669,0.0644247,0,0.00621213,0,0,4.142,0,0,0,0.000761218,1.21775,0.0893103,541.793,NA
"99",98,13.4858,26.1905,6.85406,19.6695,0.0633545,0,0.0082733,0,0,4.19612,0,0,0,0.000766413,1.2264,0.0861847,539.934,NA
"100",99,13.5319,26.3833,7.09739,19.6918,0.0647101,0,0.0102887,0,0,4.25721,0,0,0,0.000770922,1.24284,0.0829129,538.852,NA
"101",100,13.5464,26.6467,6.46592,19.6803,0.0648103,0,0.0130336,0,0,4.11934,0,0,0,0.00081449,1.27893,0.0783116,537.535,NA
"102",101,13.5568,26.937,6.29035,19.6775,0.0650258,0,0.0168944,0,0,4.11453,0,0,0,0.000841866,1.30838,0.0730357,535.874,NA
"103",102,13.5592,27.249,6.06905,19.6897,0.0652014,0,0.0218987,0,0,4.04694,0,0,0,0.000854349,1.3479,0.0670229,534.422,NA
"104",103,13.5726,27.4924,5.84899,19.7004,0.065559,0,0.0284034,0,0,3.89094,0,0,0,0.000864388,1.38324,0.0615977,532.355,NA
"105",104,13.5976,27.8077,5.27135,19.6925,0.0665586,0,0.0351635,0,0,3.8009,0,0,0,0.000895225,1.4579,0.0546398,529.545,NA
"106",105,13.5825,28.2446,4.89796,19.7024,0.0664943,0,0.0426729,0,0,3.7963,0,0,0,0.000887188,1.44329,0.0517466,528.775,NA
"107",106,13.6015,28.4082,4.72263,19.7141,0.0670957,0,0.0489523,0,0,3.49248,0,0,0,0.000885684,1.46868,0.0482098,528.541,NA
"108",107,13.5914,28.4988,4.72077,19.7255,0.0669666,0,0.053684,0,0,3.27977,0,0,0,0.000883193,1.48681,0.0455676,527.862,NA
"109",108,13.588,28.629,4.52915,19.7397,0.0670371,0,0.0592875,0,0,3.11413,0,0,0,0.000922355,1.48764,0.0440983,527.267,NA
"110",109,13.6016,28.6323,4.46246,19.7504,0.0676687,0,0.0621707,0,0,3.16191,0,0,0,0.000910604,1.52708,0.0414681,526.64,NA
"111",110,13.618,28.6246,4.62124,19.7727,0.0683139,0,0.0636752,0,0,3.20144,0,0,0,0.000947832,1.53255,0.0404229,527.177,NA
"112",111,13.5957,28.6299,4.60352,19.783,0.0677421,0,0.0641042,0,0,3.02533,0,0,0,0.000939202,1.54158,0.0396013,527.212,NA
"113",112,13.6076,28.6714,4.65924,19.7966,0.0681844,0,0.0649465,0,0,3.03375,0,0,0,0.000945911,1.53443,0.0393827,527.138,NA
"114",113,13.5983,28.5937,4.63941,19.8145,0.0680841,0,0.0657837,0,0,2.98534,0,0,0,0.000940112,1.53183,0.0396894,526.935,NA
"115",114,13.5909,28.5254,4.72115,19.83,0.0676099,0,0.0655558,0,0,2.96985,0,0,0,0.000936411,1.53321,0.0393743,526.608,NA
"116",115,13.6541,28.778,3.73908,19.8443,0.0699635,0,0.0674784,0,0,3.9161,0,0,0,0.00087925,1.5128,0.0396269,523.11,NA
"117",116,13.6066,28.638,4.25122,19.8545,0.0682589,0,0.0669284,0,0,3.41383,0,0,0,0.000874834,1.51478,0.0394473,527.653,NA
"118",117,13.6001,28.6146,4.43935,19.8659,0.0680443,0,0.066743,0,0,3.23016,0,0,0,0.000876547,1.52062,0.0390371,527.392,NA
"119",118,13.6081,28.6682,4.45005,19.8766,0.068541,0,0.0670372,0,0,3.16467,0,0,0,0.000868634,1.53073,0.0385541,527.186,NA
"120",119,13.6052,28.6875,4.48433,19.8875,0.0683252,0,0.0676838,0,0,3.04489,0,0,0,0.000867921,1.53382,0.0383711,527.192,NA
"121",120,13.6049,28.6847,4.53926,19.9032,0.0681055,0,0.067642,0,0,3.1012,0,0,0,0.000876516,1.53499,0.0382279,527.313,NA
"122",121,13.6027,28.6852,4.56442,19.912,0.0678459,0,0.0679688,0,0,2.9421,0,0,0,0.000872314,1.53782,0.0383926,527.123,NA
"123",122,13.6034,28.6519,4.67544,19.9215,0.0680312,0,0.06755,0,0,2.96712,0,0,0,0.000876494,1.54014,0.0382084,527.313,NA
"124",123,13.5938,28.6541,4.59241,19.9248,0.0682777,0,0.0688143,0,0,2.901,0,0,0,0.000899773,1.5418,0.0382568,527.018,NA
"125",124,13.6094,28.7088,4.62999,19.941,0.0683795,0,0.0679282,0,0,2.83888,0,0,0,0.000921782,1.53027,0.0389201,527.263,NA
"126",125,13.5979,28.8688,4.30622,19.9403,0.0692348,0,0.0696091,0,0,2.66992,0,0,0,0.000908984,1.52823,0.0393483,526.179,NA
"127",126,13.6058,28.7558,4.55912,19.9484,0.0684456,0,0.0691642,0,0,2.73088,0,0,0,0.000903686,1.52398,0.0397117,526.831,NA
"128",127,13.6103,28.765,4.46845,19.9693,0.068464,0,0.0707572,0,0,2.77322,0,0,0,0.000937191,1.5389,0.0387406,526.634,NA
"129",128,13.6056,28.747,4.57447,19.9875,0.068333,0,0.0691347,0,0,2.80703,0,0,0,0.00094025,1.54422,0.0385507,527.034,NA
"130",129,13.5989,28.7829,4.34794,20.0036,0.0676027,0,0.069551,0,0,2.97786,0,0,0,0.000932508,1.54599,0.0381708,526.583,NA
"131",130,13.5964,28.6337,4.56354,20.0109,0.0677808,0,0.0684561,0,0,2.97556,0,0,0,0.000965292,1.53398,0.0387117,526.896,NA
"132",131,13.6043,28.6251,4.64067,20.0172,0.0682539,0,0.0682147,0,0,2.95644,0,0,0,0.000975268,1.53337,0.0384089,527.26,NA
"133",132,13.6138,28.7164,4.58448,20.0302,0.0686772,0,0.0673706,0,0,2.84997,0,0,0,0.000973213,1.52252,0.0394821,527.029,NA
"134",133,13.6015,28.609,4.66064,20.0335,0.0681192,0,0.0683962,0,0,2.88372,0,0,0,0.000984789,1.52585,0.0392519,526.868,NA
"135",134,13.6056,28.6436,4.68244,20.0455,0.0682039,0,0.0679519,0,0,2.88515,0,0,0,0.000997209,1.53285,0.0385858,527.309,NA
"136",135,13.598,28.6314,4.67986,20.0556,0.0680229,0,0.0677424,0,0,2.82922,0,0,0,0.000989867,1.53955,0.0381681,527.078,NA
"137",136,13.5998,28.6749,4.58783,20.063,0.0679125,0,0.0673347,0,0,2.90068,0,0,0,0.000980577,1.53597,0.0387784,526.643,NA
"138",137,13.5991,28.6882,4.54313,20.0703,0.0674974,0,0.0679696,0,0,2.89226,0,0,0,0.000987698,1.53598,0.0386814,526.957,NA
"139",138,13.607,28.6976,4.51312,20.0781,0.0681701,0,0.0677754,0,0,2.91217,0,0,0,0.00099369,1.54741,0.0378573,527.047,NA
"140",139,13.6023,28.6446,4.70552,20.09,0.0681787,0,0.0674949,0,0,2.90533,0,0,0,0.00100288,1.54288,0.0377773,527.132,NA
"141",140,13.6072,28.9264,4.48647,20.0963,0.068307,0,0.0650873,0,0,2.80783,0,0,0,0.000982198,1.53077,0.0387875,525.586,NA
"142",141,13.6222,28.7459,4.50711,20.0996,0.0690722,0,0.0659868,0,0,2.93791,0,0,0,0.000995384,1.53623,0.0388556,526.752,NA
"143",142,13.6037,28.6744,4.63382,20.1127,0.0683429,0,0.0661819,0,0,2.8962,0,0,0,0.000996026,1.53302,0.0387911,527.152,NA
"144",143,13.5994,28.6425,4.6016,20.1171,0.0679604,0,0.0665467,0,0,2.98083,0,0,0,0.00101121,1.54047,0.0381715,526.853,NA
"145",144,13.6102,28.6495,4.4281,20.1132,0.0682793,0,0.0669215,0,0,3.12032,0,0,0,0.00102739,1.54695,0.0378712,526.144,NA
"146",145,13.6072,28.602,4.56796,20.1205,0.0683583,0,0.0668344,0,0,3.01618,0,0,0,0.00103476,1.54499,0.0377403,527.123,NA
"147",146,13.5978,28.6688,4.5022,20.1498,0.0679457,0,0.0652418,0,0,3.04096,0,0,0,0.00102731,1.52378,0.0388095,525.922,NA
"148",147,13.5647,28.2216,4.94832,20.1747,0.0665881,0,0.0636756,0,0,3.14023,0,0,0,0.000971536,1.50716,0.040316,524.083,NA
"149",148,13.5905,28.5076,4.65531,20.1675,0.0675553,0,0.0642132,0,0,3.11658,0,0,0,0.000998701,1.51429,0.0397605,526.679,NA
"150",149,13.6072,28.613,4.51263,20.1827,0.0682407,0,0.0648101,0,0,3.10722,0,0,0,0.00101874,1.51271,0.0396327,526.848,NA
"151",150,13.6007,28.6083,4.62637,20.197,0.0681356,0,0.0660598,0,0,2.98963,0,0,0,0.00102113,1.5191,0.0391275,527.193,NA
"152",151,13.5966,28.6863,4.56463,20.2004,0.0678642,0,0.0655464,0,0,2.98736,0,0,0,0.00103348,1.52145,0.0389422,526.821,NA
"153",152,13.6079,28.641,4.53217,20.2091,0.0683953,0,0.0661078,0,0,2.98352,0,0,0,0.00103002,1.53144,0.038391,526.659,NA
"154",153,13.6134,28.6201,4.57768,20.2203,0.0687408,0,0.0665161,0,0,3.05582,0,0,0,0.00103476,1.53678,0.0378197,526.975,NA
"155",154,13.6107,28.6262,4.56997,20.2328,0.0684386,0,0.0664058,0,0,3.02016,0,0,0,0.00102919,1.53335,0.038019,526.903,NA
"156",155,13.6066,28.7408,4.33768,20.2256,0.0682259,0,0.0656958,0,0,3.14406,0,0,0,0.0010485,1.52035,0.0392396,526.354,NA
"157",156,13.6002,28.6879,4.42631,20.2401,0.0676424,0,0.0650507,0,0,3.15444,0,0,0,0.00103973,1.5235,0.0394753,526.662,NA
"158",157,13.6043,28.6624,4.4988,20.2479,0.0682371,0,0.0651068,0,0,3.05652,0,0,0,0.00103952,1.52228,0.0391966,526.919,NA
"159",158,13.6034,28.6825,5.05966,20.2648,0.0681595,0,0.0669387,0,0,3.61901,0,0,0,0.00102302,1.51106,0.0398269,525.72,NA
"160",159,13.5949,28.5373,4.52562,20.2742,0.0679952,0,0.0657104,0,0,3.23694,0,0,0,0.00101593,1.51264,0.0395667,526.939,NA
"161",160,13.5917,28.5573,4.56663,20.2832,0.0679528,0,0.0651165,0,0,3.11751,0,0,0,0.00102126,1.52325,0.0389614,526.93,NA
"162",161,13.5994,28.5227,4.72654,20.2949,0.068064,0,0.0652747,0,0,3.00895,0,0,0,0.00101714,1.51981,0.0388724,526.956,NA
"163",162,13.5986,28.5706,4.70278,20.3032,0.0680464,0,0.0651028,0,0,2.94265,0,0,0,0.00102949,1.53029,0.0385547,526.914,NA
"164",163,13.6052,28.543,4.74232,20.3103,0.0685022,0,0.0658659,0,0,2.99728,0,0,0,0.00102913,1.53247,0.0383623,526.81,NA
"165",164,13.6015,28.6219,4.62072,20.314,0.0679883,0,0.0660374,0,0,2.93049,0,0,0,0.00102666,1.52913,0.0382888,526.793,NA
"166",165,13.59,28.5667,4.60782,20.3311,0.0680941,0,0.067791,0,0,2.97261,0,0,0,0.00106989,1.5239,0.0388825,526.619,NA
"167",166,13.6023,28.8079,4.27711,20.3303,0.0680718,0,0.0730248,0,0,2.76189,0,0,0,0.00106691,1.5266,0.038401,526.206,NA
"168",167,13.6037,28.7486,4.42901,20.3341,0.068235,0,0.0708862,0,0,2.87461,0,0,0,0.00107002,1.53406,0.0377567,526.838,NA
"169",168,13.6014,28.7006,4.55019,20.3482,0.0681456,0,0.0702713,0,0,2.99666,0,0,0,0.00105648,1.54035,0.0376244,526.582,NA
"170",169,13.5993,28.5817,4.64407,20.3563,0.068049,0,0.0680897,0,0,2.9914,0,0,0,0.0010683,1.53645,0.0377447,526.929,NA
"171",170,13.602,28.5912,4.64691,20.3639,0.0683484,0,0.0671312,0,0,2.9247,0,0,0,0.00107995,1.53572,0.0376591,527.061,NA
"172",171,13.6043,28.6083,4.68047,20.3757,0.0682278,0,0.0670894,0,0,2.88106,0,0,0,0.00108202,1.53893,0.0374769,527.182,NA
"173",172,13.604,28.6284,4.60301,20.3837,0.0683589,0,0.0669914,0,0,2.91435,0,0,0,0.00107071,1.53122,0.0378213,526.716,NA
"174",173,13.6498,28.5873,4.19385,20.4043,0.0702114,0,0.0674046,0,0,3.4308,0,0,0,0.00104129,1.54792,0.0371506,525.362,NA
"175",174,13.6104,28.5477,4.46434,20.4155,0.0686498,0,0.0659081,0,0,3.2544,0,0,0,0.00103728,1.53615,0.0373827,526.913,NA
"176",175,13.6189,28.5954,4.46545,20.4221,0.0690126,0,0.0660667,0,0,3.13603,0,0,0,0.00107871,1.53491,0.0373666,526.783,NA
"177",176,13.5865,28.6338,4.50283,20.4369,0.0680676,0,0.0663966,0,0,3.02684,0,0,0,0.00106698,1.51557,0.0395906,526.455,NA
"178",177,13.5978,28.6236,4.62185,20.4514,0.0680777,0,0.0662804,0,0,2.96286,0,0,0,0.00106976,1.51611,0.039025,527.126,NA
"179",178,13.5894,28.6819,4.45888,20.4613,0.067838,0,0.0661351,0,0,2.92636,0,0,0,0.00105985,1.52117,0.0391015,526.328,NA
