time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-18.2547,22.7708,4.73915,9.21876,13.1351,16.7508,20.6304,24.9707,29.992,36.0688,44.2593,60.1068,All
-18.0622,21.9194,4.38898,8.6624,12.4412,15.9584,19.7568,24.071,29.0268,35.0373,43.1267,59.0102,All
-17.8698,21.0709,4.05191,8.15298,11.7912,15.2489,18.9577,23.1958,28.0822,34.0788,42.0565,57.8781,All
-17.6774,20.2702,3.755,7.66071,11.169,14.5843,18.2073,22.3553,27.1691,33.0359,41.0159,56.6199,All
-17.4849,19.5227,3.49476,7.23283,10.5843,13.9526,17.4355,21.5399,26.3284,32.1275,39.9909,55.468,All
-17.2925,18.8033,3.2204,6.86589,10.0345,13.3403,16.7388,20.7719,25.5692,31.1829,38.9883,54.3972,All
-17.1001,18.1004,3.00402,6.46723,9.54561,12.7073,16.125,20.0034,24.7206,30.28,37.9796,53.3266,All
-16.9076,17.4166,2.7895,6.07875,9.10477,12.1532,15.4841,19.2884,23.9678,29.4127,37.0653,52.3679,All
-16.7152,16.7521,2.58111,5.7319,8.68234,11.6001,14.8844,18.6672,23.1993,28.5728,36.2011,51.2708,All
-16.5227,16.135,2.43614,5.43416,8.26282,11.106,14.3309,18.0088,22.4683,27.8115,35.2615,50.2326,All
-16.3303,15.5418,2.27669,5.11889,7.8681,10.6207,13.7511,17.3712,21.7924,27.0509,34.2943,49.1163,All
-16.1379,14.9355,2.10154,4.8249,7.49562,10.1214,13.256,16.7454,21.0552,26.2818,33.4555,48.0507,All
-15.9454,36.9474,18.9301,24.1762,27.763,31.5548,35.1123,39.0621,43.7575,49.1875,57.372,73.0206,All
-15.753,92.8081,54.4006,65.3235,73.7352,81.3001,88.7256,97.3009,106.823,118.647,135.206,172.07,All
-15.5606,121.621,76.625,90.3026,100.161,108.837,117.442,126.098,136.394,149.591,166.676,197.711,All
-15.3681,108.843,67.497,80.3534,89.0261,97.0939,105.035,113.007,122.457,133.806,149.179,179.108,All
-15.1757,92.7947,56.7223,68.0033,75.7901,82.4431,89.4406,96.447,104.293,113.793,127.369,152.989,All
-14.9832,82.1048,47.9426,59.0502,66.5883,72.655,79.0459,85.5055,92.6531,101.113,113.252,137.62,All
-14.7908,74.4369,40.8408,52.1041,59.6555,65.6533,71.1297,77.4858,84.3356,92.2426,103.593,127.224,All
-14.5984,68.2795,35.4766,46.7034,53.7822,59.9903,65.4561,71.1,77.6341,85.8503,96.9022,119.034,All
-14.4059,63.2893,31.1916,42.1096,49.1459,55.0972,60.6728,66.2025,72.7938,80.7843,91.5032,112.467,All
