trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_WTKG_abscissa,trans_Cl_vs_log_WTKG_spline,trans_Cl_vs_log_WTKG_regression,trans_V_vs_WTKG_abscissa,trans_V_vs_WTKG_spline,trans_V_vs_WTKG_regression,trans_V_vs_log_WTKG_abscissa,trans_V_vs_log_WTKG_spline,trans_V_vs_log_WTKG_regression,split
73.404,2.81365,2.73546,4.27374,2.83831,2.72271,73.404,3.4277,3.43943,4.27374,3.38786,3.43958,All
73.7172,2.80859,2.73861,4.27801,2.83243,2.7256,73.7172,3.43664,3.43872,4.27801,3.39555,3.43875,All
74.0303,2.79462,2.74176,4.28228,2.82654,2.7285,74.0303,3.43926,3.43802,4.28228,3.40324,3.43793,All
74.3434,2.69751,2.74491,4.28654,2.82065,2.73139,74.3434,3.383,3.43732,4.28654,3.41093,3.4371,All
74.6566,2.60041,2.74805,4.29081,2.81476,2.73429,74.6566,3.32674,3.43661,4.29081,3.41862,3.43628,All
74.9697,2.5033,2.7512,4.29507,2.80888,2.73719,74.9697,3.27048,3.43591,4.29507,3.42631,3.43545,All
75.2828,2.53395,2.75435,4.29934,2.80299,2.74008,75.2828,3.29159,3.4352,4.29934,3.434,3.43463,All
75.596,2.57829,2.7575,4.3036,2.7971,2.74298,75.596,3.321,3.4345,4.3036,3.44169,3.4338,All
75.9091,2.62262,2.76064,4.30787,2.71258,2.74587,75.9091,3.3504,3.4338,4.30787,3.39127,3.43298,All
76.2222,2.66696,2.76379,4.31213,2.61849,2.74877,76.2222,3.37981,3.43309,4.31213,3.33377,3.43215,All
76.5354,2.71129,2.76694,4.3164,2.5244,2.75166,76.5354,3.40921,3.43239,4.3164,3.27627,3.43133,All
76.8485,2.75563,2.77009,4.32066,2.53414,2.75456,76.8485,3.43862,3.43168,4.32066,3.2845,3.4305,All
77.1616,2.79996,2.77324,4.32493,2.5795,2.75746,77.1616,3.46803,3.43098,4.32493,3.31529,3.42968,All
77.4747,2.8443,2.77638,4.32919,2.62487,2.76035,77.4747,3.49743,3.43028,4.32919,3.34607,3.42886,All
77.7879,2.88863,2.77953,4.33346,2.67023,2.76325,77.7879,3.52684,3.42957,4.33346,3.37686,3.42803,All
78.101,2.91902,2.78268,4.33773,2.71559,2.76614,78.101,3.54612,3.42887,4.33773,3.40764,3.42721,All
78.4141,2.92012,2.78583,4.34199,2.76095,2.76904,78.4141,3.54417,3.42817,4.34199,3.43842,3.42638,All
78.7273,2.92122,2.78897,4.34626,2.80632,2.77194,78.7273,3.54221,3.42746,4.34626,3.46921,3.42556,All
79.0404,2.92233,2.79212,4.35052,2.85168,2.77483,79.0404,3.54025,3.42676,4.35052,3.49999,3.42473,All
79.3535,2.92343,2.79527,4.35479,2.89704,2.77773,79.3535,3.53829,3.42605,4.35479,3.53077,3.42391,All
79.6667,2.92453,2.79842,4.35905,2.91802,2.78062,79.6667,3.53633,3.42535,4.35905,3.54341,3.42308,All
79.9798,2.92563,2.80156,4.36332,2.919,2.78352,79.9798,3.53437,3.42465,4.36332,3.54116,3.42226,All
80.2929,2.92674,2.80471,4.36758,2.91999,2.78641,80.2929,3.53241,3.42394,4.36758,3.53891,3.42143,All
80.6061,2.92784,2.80786,4.37185,2.92097,2.78931,80.6061,3.53045,3.42324,4.37185,3.53666,3.42061,All
80.9192,2.92894,2.81101,4.37611,2.92195,2.79221,80.9192,3.5285,3.42253,4.37611,3.53441,3.41978,All
81.2323,2.93005,2.81416,4.38038,2.92294,2.7951,81.2323,3.52654,3.42183,4.38038,3.53216,3.41896,All
81.5455,2.93115,2.8173,4.38464,2.92392,2.798,81.5455,3.52458,3.42113,4.38464,3.52991,3.41814,All
81.8586,2.93225,2.82045,4.38891,2.9249,2.80089,81.8586,3.52262,3.42042,4.38891,3.52767,3.41731,All
82.1717,2.93335,2.8236,4.39318,2.92589,2.80379,82.1717,3.52066,3.41972,4.39318,3.52542,3.41649,All
82.4848,2.93446,2.82675,4.39744,2.92687,2.80669,82.4848,3.5187,3.41901,4.39744,3.52317,3.41566,All
82.798,2.93556,2.82989,4.40171,2.92785,2.80958,82.798,3.51674,3.41831,4.40171,3.52092,3.41484,All
83.1111,2.93666,2.83304,4.40597,2.92884,2.81248,83.1111,3.51478,3.41761,4.40597,3.51867,3.41401,All
83.4242,2.93776,2.83619,4.41024,2.92982,2.81537,83.4242,3.51283,3.4169,4.41024,3.51642,3.41319,All
83.7374,2.93887,2.83934,4.4145,2.9308,2.81827,83.7374,3.51087,3.4162,4.4145,3.51417,3.41236,All
84.0505,2.93997,2.84248,4.41877,2.93179,2.82116,84.0505,3.50891,3.4155,4.41877,3.51192,3.41154,All
84.3636,2.94107,2.84563,4.42303,2.93277,2.82406,84.3636,3.50695,3.41479,4.42303,3.50967,3.41071,All
84.6768,2.94217,2.84878,4.4273,2.93376,2.82696,84.6768,3.50499,3.41409,4.4273,3.50742,3.40989,All
84.9899,2.94328,2.85193,4.43156,2.93474,2.82985,84.9899,3.50303,3.41338,4.43156,3.50518,3.40907,All
85.303,2.94438,2.85508,4.43583,2.93572,2.83275,85.303,3.50107,3.41268,4.43583,3.50293,3.40824,All
85.6162,2.94548,2.85822,4.44009,2.93671,2.83564,85.6162,3.49911,3.41198,4.44009,3.50068,3.40742,All
85.9293,2.94658,2.86137,4.44436,2.93769,2.83854,85.9293,3.49716,3.41127,4.44436,3.49843,3.40659,All
86.2424,2.94769,2.86452,4.44863,2.93867,2.84144,86.2424,3.4952,3.41057,4.44863,3.49618,3.40577,All
86.5556,2.94879,2.86767,4.45289,2.93966,2.84433,86.5556,3.49324,3.40986,4.45289,3.49393,3.40494,All
86.8687,2.94989,2.87081,4.45716,2.94064,2.84723,86.8687,3.49128,3.40916,4.45716,3.49168,3.40412,All
87.1818,2.95099,2.87396,4.46142,2.94162,2.85012,87.1818,3.48932,3.40846,4.46142,3.48943,3.40329,All
87.4949,2.9521,2.87711,4.46569,2.94261,2.85302,87.4949,3.48736,3.40775,4.46569,3.48718,3.40247,All
87.8081,2.9532,2.88026,4.46995,2.94359,2.85591,87.8081,3.4854,3.40705,4.46995,3.48493,3.40164,All
88.1212,2.9543,2.8834,4.47422,2.94457,2.85881,88.1212,3.48344,3.40635,4.47422,3.48269,3.40082,All
88.4343,2.9554,2.88655,4.47848,2.94556,2.86171,88.4343,3.48148,3.40564,4.47848,3.48044,3.39999,All
88.7475,2.95651,2.8897,4.48275,2.94654,2.8646,88.7475,3.47953,3.40494,4.48275,3.47819,3.39917,All
89.0606,2.95761,2.89285,4.48701,2.94752,2.8675,89.0606,3.47757,3.40423,4.48701,3.47594,3.39835,All
89.3737,2.95871,2.896,4.49128,2.94851,2.87039,89.3737,3.47561,3.40353,4.49128,3.47369,3.39752,All
89.6869,2.95981,2.89914,4.49554,2.94949,2.87329,89.6869,3.47365,3.40283,4.49554,3.47144,3.3967,All
90,2.96092,2.90229,4.49981,2.95047,2.87618,90,3.47169,3.40212,4.49981,3.46919,3.39587,All
