"","ETA","Covariable","full_AIC","reduced_AIC","full_df","reduced_df","LRT","p","interp"
"26","eta_V1_SAEM","DIND",-106.912709478356,-84.9646674881174,5.57351834511624,2,29.0950786804714,6.89118133652829e-08,"< 0.05"
"27","eta_V1_SAEM","HCM",-384.754963073747,-84.9646674881174,10.5521499544185,2,316.894595494466,6.87599794749284e-71,"< 0.05"
"28","eta_V1_SAEM","IMCKGM2",-327.508442460213,-84.9646674881174,10.9378992704254,2,260.419573512947,1.39014279693963e-58,"< 0.05"
"29","eta_V1_SAEM","PROGDL",-451.653838906153,-84.9646674881174,10.9862267731077,2,384.661624964251,1.20245348415556e-85,"< 0.05"
"30","eta_V1_SAEM","RAL",-409.608112705628,-84.9646674881174,10.9373383290863,2,342.518121875683,1.80498800957162e-76,"< 0.05"
"31","eta_V1_SAEM","SCM2",-138.901718208819,-84.9646674881174,10.6703578703792,2,71.2777664614599,3.10312977073417e-17,"< 0.05"
"32","eta_V1_SAEM","SCRMGDL",-429.675759400669,-84.9646674881174,10.9017304141788,2,362.51455274091,7.98091254969957e-81,"< 0.05"
"33","eta_V1_SAEM","WTKG",-325.478050206289,-84.9646674881174,10.9533600748901,2,258.420102867952,3.79227611218488e-58,"< 0.05"
"34","eta_V2_SAEM","AGEA",141.199348050953,533.738827365704,10.9788424336076,2,410.497164181967,2.85697707456819e-91,"< 0.05"
"35","eta_V2_SAEM","ALBGDL",195.326857806521,533.738827365704,10.97720744681,2,356.366384452804,1.7410221778615e-79,"< 0.05"
"36","eta_V2_SAEM","CLCRMLMIN",316.025440399176,533.738827365704,10.9663209820375,2,235.646028930603,3.50026669195478e-53,"< 0.05"
"37","eta_V2_SAEM","DIND",490.425929526381,533.738827365704,7.88713826247215,2,55.0871743642675,1.15300832814731e-13,"< 0.05"
"38","eta_V2_SAEM","HCM",-5.18356956553497,533.738827365704,10.9628700001416,2,556.848136931523,4.07622987496639e-123,"< 0.05"
"39","eta_V2_SAEM","IMCKGM2",417.573116198163,533.738827365704,10.9423025964422,2,134.050316360426,5.32682359821334e-31,"< 0.05"
"40","eta_V2_SAEM","PROGDL",341.146542328721,533.738827365704,10.8435037087733,2,210.27929245453,1.19380198662462e-47,"< 0.05"
"41","eta_V2_SAEM","RAL",280.355722980017,533.738827365704,10.9779277635001,2,271.338959912687,5.79550654547506e-61,"< 0.05"
"42","eta_V2_SAEM","SCM2",193.194158881923,533.738827365704,10.951407847713,2,358.447484179208,6.13256013155577e-80,"< 0.05"
"43","eta_V2_SAEM","SCRMGDL",58.089196150812,533.738827365704,10.8277005096244,2,493.305032234141,2.72069358051965e-109,"< 0.05"
"44","eta_V2_SAEM","WTKG",197.472787281046,533.738827365704,10.9380431712596,2,354.142126427177,5.31065169114352e-79,"< 0.05"
