iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2,r
28,30.7155,1,13.4748,62.274,18.1283,16.0012,2.10224,0.26061,1.22271,1.18764e-07,0.619935,0.659147
29,28.0212,1,13.4763,55.7302,18.1283,15.8914,2.08735,0.250925,1.14177,1.21784e-07,0.642328,0.659147
30,29.8761,1,13.594,59.2764,18.1283,16.6423,2.10356,0.260499,1.18797,1.20924e-07,0.611426,0.659147
31,29.0317,1,13.4953,58.4928,18.1283,15.9259,2.14863,0.26674,1.21328,9.90197e-08,0.61299,0.659147
32,22.3945,1,13.6298,60.29,18.1283,16.3787,2.0732,0.268756,1.2971,9.08213e-08,0.609841,0.659147
33,19.5361,1,13.6714,61.1348,18.1283,16.7304,2.04981,0.284578,1.27891,7.92155e-08,0.659277,0.659147
34,22.9934,1,13.5428,62.9434,18.1283,16.0191,2.0964,0.271604,1.22468,8.62365e-08,0.649393,0.659147
35,18.0851,1,13.5637,55.0355,18.1283,16.5151,2.07115,0.263715,1.1796,8.934e-08,0.608209,0.659147
36,20.5042,1,13.5049,58.218,18.1283,15.9907,2.10522,0.254142,1.15661,9.10574e-08,0.621466,0.659147
37,24.5001,1,13.3323,58.7464,18.1283,16.0525,2.09192,0.244108,1.24917,9.36616e-08,0.689422,0.659147
38,21.5247,1,13.4023,65.1916,18.1283,15.8129,2.04795,0.248317,1.2175,9.40786e-08,0.709669,0.659147
39,29.8043,1,13.3959,72.9355,18.1283,16.3625,2.10853,0.250034,1.29775,1.02827e-07,0.666964,0.659147
40,28.7347,1,13.4768,67.5014,18.1283,16.2681,2.13063,0.261757,1.20415,1.02313e-07,0.629542,0.659147
41,28.6947,1,13.5197,63.7009,18.1283,16.4491,2.15565,0.262373,1.25687,9.32519e-08,0.614948,0.659147
42,22.4385,1,13.5038,65.1191,18.1283,15.6312,2.15485,0.25899,1.28296,7.52065e-08,0.616364,0.659147
43,25.8121,1,13.4566,62.651,18.1283,15.8502,2.16243,0.271727,1.14497,8.40159e-08,0.647797,0.659147
44,15.0592,1,13.4586,56.5844,18.1283,16.6016,2.12251,0.262735,1.1564,6.96371e-08,0.623715,0.659147
45,11.078,1,13.3604,59.6343,18.1283,16.4554,2.12863,0.260782,1.10809,6.43358e-08,0.609033,0.659147
46,17.4202,1,13.5652,60.8292,18.1283,15.5422,2.13838,0.264732,1.17292,7.17574e-08,0.614644,0.659147
47,15.4723,1,13.6432,59.9138,18.1283,15.8599,2.10663,0.26893,1.13897,7.7235e-08,0.590845,0.659147
48,4.27632,1,13.6445,59.6085,18.1283,15.6412,1.99667,0.268364,1.10898,7.39654e-08,0.602883,0.659147
49,12.9288,1,13.4747,60.0344,18.1283,15.9352,2.05266,0.265361,1.10236,8.21582e-08,0.629118,0.659147
50,10.114,1,13.5927,58.7662,18.1283,15.3269,2.05022,0.266053,1.12625,7.13838e-08,0.644496,0.659147
51,1.6087,1,13.4827,57.2261,18.1283,15.7253,2.02843,0.267772,1.0745,6.16463e-08,0.62964,0.000203027
52,12.0422,1,13.4679,58.3969,18.1283,16.2975,2.12356,0.261309,1.07211,6.88635e-08,0.62194,2.22045e-16
53,18.54,1,13.3247,57.5292,18.1283,16.9574,2.19919,0.253837,1.0653,6.63858e-08,0.660927,2.22045e-16
54,17.8363,1,13.1762,61.9967,18.1283,17.2142,2.15177,0.248336,1.20876,7.23411e-08,0.617127,0.000180214
55,18.5862,1,13.4203,58.3203,18.1283,16.2811,2.16654,0.258616,1.16619,7.12815e-08,0.608255,0.000168582
56,15.3626,1,13.4806,59.7759,18.1283,15.8178,2.13628,0.259503,1.13697,6.87979e-08,0.636132,0.0159817
57,6.17589,1,13.5032,58.9597,18.1283,15.76,2.05295,0.26417,1.06765,6.68296e-08,0.633323,2.22045e-16
58,0.926297,1,13.6107,54.6081,18.1283,16.0489,2.03514,0.269193,1.03572,6.31637e-08,0.605219,2.22045e-16
59,5.41588,1,13.5111,53.6545,18.1283,16.3337,2.07638,0.261608,1.07114,6.40993e-08,0.607187,2.22045e-16
60,8.58508,1,13.5481,51.6901,18.1283,16.693,2.14366,0.26226,1.0619,5.9844e-08,0.603413,2.22045e-16
61,1.62227,1,13.4767,59.549,18.1283,15.7247,2.08195,0.25563,1.16845,4.91976e-08,0.645607,2.22045e-16
62,3.21432,1,13.5442,62.005,18.1283,16.3006,2.06515,0.271508,1.19293,4.87886e-08,0.664253,0.000127018
63,3.42617,1,13.4312,58.151,18.1283,15.9814,2.04412,0.255262,1.26292,5.27528e-08,0.670253,0.0121237
64,1.15769,1,13.5211,61.6984,18.1283,15.1147,2.03375,0.261577,1.19461,5.37333e-08,0.673795,0.0476617
65,8.87484,1,13.5309,69.6031,18.1283,15.1241,2.10039,0.261678,1.23288,5.23691e-08,0.672873,2.22045e-16
66,5.0389,1,13.5031,64.4797,18.1283,15.0867,2.08165,0.26729,1.21891,4.82937e-08,0.677991,2.22045e-16
67,2.96969,1,13.6719,68.7142,18.1283,15.6695,2.06684,0.281087,1.24293,4.40535e-08,0.674601,0.000215166
68,-7.08739,1,13.4988,58.7575,18.1283,16.2599,2.05025,0.262499,1.20312,4.21435e-08,0.601151,0.0274749
69,-3.19747,1,13.5153,65.8476,18.1283,15.9044,2.03417,0.277147,1.25585,4.45455e-08,0.640965,0.0888565
70,-4.20445,1,13.551,65.7971,18.1283,15.8492,2.01501,0.266819,1.22634,4.66114e-08,0.656157,0.0491136
71,-5.14895,1,13.672,53.9195,18.1283,15.7194,2.0081,0.273348,1.12754,4.93794e-08,0.622265,0.00904022
72,-2.01286,1,13.5193,50.6787,18.1283,15.79,2.05247,0.271954,1.11177,5.08661e-08,0.602816,0.0126359
73,-1.05878,1,13.4853,55.449,18.1283,16.5025,2.14201,0.26169,1.11783,4.30339e-08,0.602328,0.0417606
74,-3.69935,1,13.5397,57.8551,18.1283,15.8934,2.14698,0.268854,1.14539,3.73847e-08,0.59226,0.0574238
75,-10.2724,1,13.4629,58.2612,18.1283,16.0423,2.09305,0.262922,1.17189,3.43089e-08,0.628092,0.1301
76,-13.4585,1,13.414,58.6197,18.1283,16.364,2.04766,0.257003,1.17138,3.71789e-08,0.597912,0.0812936
77,-11.143,1,13.3833,57.6084,18.1283,17.4528,2.11151,0.269452,1.13999,3.61167e-08,0.616862,0.175804
78,-9.93773,1,13.4949,59.7263,18.1283,17.0575,2.12192,0.258627,1.16403,3.79602e-08,0.590056,0.20912
79,-1.1222,1,13.3501,57.7881,18.1283,16.0863,2.21606,0.256236,1.19568,3.83057e-08,0.649063,0.217807
80,4.19781,1,13.4397,62.664,18.1283,15.6254,2.31695,0.256229,1.23347,3.8659e-08,0.639005,0.307557
81,-2.87095,1,13.5494,58.614,18.1283,16.1699,2.26129,0.265779,1.14181,3.44805e-08,0.620249,0.245314
82,-0.21453,1,13.686,58.3817,18.1283,16.0933,2.26762,0.259872,1.16534,3.66385e-08,0.63005,0.279804
83,-2.11478,1,13.4257,60.4566,18.1283,17.118,2.24165,0.260246,1.23562,3.46356e-08,0.603904,0.258125
84,1.38364,1,13.5364,59.6427,18.1283,16.7855,2.43997,0.258644,1.16004,3.28265e-08,0.567414,0.364044
85,5.84498,1,13.6514,55.616,18.1283,15.6591,2.46459,0.264589,1.23956,3.16233e-08,0.588053,0.337861
86,-11.1782,1,13.3126,55.6123,18.1283,15.7034,2.37271,0.262838,1.08089,2.99127e-08,0.545639,0.379445
87,-2.04468,1,13.4808,58.7617,18.1283,15.7881,2.43804,0.272585,1.06015,3.08335e-08,0.564403,0.376037
88,-4.32001,1,13.4948,60.0694,18.1283,15.5468,2.48905,0.254084,1.12767,2.97469e-08,0.557475,0.430082
89,-6.28577,1,13.3381,60.378,18.1283,16.156,2.55099,0.265932,1.06675,2.77976e-08,0.497566,0.46176
90,-3.69247,1,13.4842,62.5851,18.1283,15.7985,2.5547,0.263986,1.10716,2.82381e-08,0.552238,0.467763
91,-4.12884,1,13.5169,65.244,18.1283,15.9994,2.6213,0.267132,1.18493,2.76568e-08,0.534156,0.525628
92,4.25963,1,13.7462,66.5435,18.1283,16.5957,2.63487,0.289066,1.21922,2.85997e-08,0.518499,0.511254
93,5.31491,1,13.638,66.5311,18.1283,16.4679,2.67607,0.284859,1.26809,2.8697e-08,0.519288,0.536473
94,-2.52094,1,13.5919,65.0303,18.1283,15.9838,2.61028,0.274635,1.17551,2.60526e-08,0.527783,0.506942
95,-2.82326,1,13.6429,56.8307,18.1283,15.78,2.66377,0.261499,1.04504,2.45405e-08,0.553312,0.488318
96,-14.1819,1,13.3751,61.1537,18.1283,16.3042,2.42972,0.255495,1.13051,2.26294e-08,0.54838,0.412167
97,-8.61237,1,13.568,56.9336,18.1283,16.6134,2.37389,0.260026,1.15059,2.8722e-08,0.541572,0.390089
98,-1.32791,1,13.52,58.56,18.1283,16.2809,2.57724,0.256372,1.06292,3.40885e-08,0.556173,0.495518
99,-1.14513,1,13.5998,61.7076,18.1283,16.2718,2.44446,0.269609,1.05251,3.55984e-08,0.594038,0.443676
100,3.52415,1,13.5027,62.0024,18.1283,16.1099,2.62124,0.267096,1.0509,3.59462e-08,0.583096,0.506819
101,-0.102118,1,13.3837,60.0415,18.1283,16.7435,2.42522,0.262478,1.10236,3.66161e-08,0.576993,0.430201
102,-3.67126,1,13.4588,59.0719,18.1283,15.9182,2.36935,0.269835,1.08465,3.57159e-08,0.514972,0.384816
103,-3.22769,1,13.5097,58.2086,18.1283,15.6194,2.42288,0.280806,1.10722,3.19402e-08,0.534255,0.417904
104,8.24838,1,13.7617,63.1635,18.1283,15.3418,2.56367,0.278531,1.1233,3.53041e-08,0.57327,0.469867
105,2.55029,1,13.6794,60.9592,18.1283,15.6505,2.53546,0.280831,1.09319,3.55537e-08,0.587463,0.49873
106,3.37981,1,13.6048,66.4668,18.1283,17.0383,2.55918,0.265605,1.12678,3.16372e-08,0.56066,0.474422
107,-1.98438,1,13.4702,59.1613,18.1283,16.6909,2.56795,0.262957,1.14699,3.09793e-08,0.486914,0.451327
108,8.86679,1,13.4568,64.0733,18.1283,17.3856,2.73373,0.255289,1.24275,2.99918e-08,0.534656,0.49928
109,4.94899,1,13.5074,70.7734,18.1283,16.5092,2.74039,0.27171,1.20165,2.73648e-08,0.49388,0.513464
110,11.4511,1,13.3191,70.0274,18.1283,16.1693,2.96811,0.268458,1.28028,2.56812e-08,0.515367,0.588916
111,8.07963,1,13.0967,65.1785,18.1283,16.5744,2.87701,0.267775,1.16838,2.84693e-08,0.500711,0.559759
112,12.0408,1,13.6425,65.5118,18.1283,16.2864,3.04842,0.272446,1.16021,2.8043e-08,0.499375,0.61834
113,13.1865,1,13.575,61.9143,18.1283,15.8682,3.17131,0.280411,1.07474,2.55583e-08,0.492316,0.611518
114,-2.44573,1,13.4935,60.4221,18.1283,15.5657,2.99401,0.247278,1.10115,2.35439e-08,0.466839,0.60552
115,-1.70607,1,13.1785,58.3993,18.1283,16.4906,3.12019,0.264424,1.01025,2.26287e-08,0.491065,0.662947
116,3.09506,1,13.4742,55.7531,18.1283,16.1803,3.13123,0.270385,1.00876,2.67197e-08,0.510879,0.671124
117,1.38336,1,13.6305,56.925,18.1283,15.6568,3.0391,0.252022,1.04016,2.67921e-08,0.534068,0.646898
118,0.200925,1,13.5476,57.5868,18.1283,15.9428,3.12593,0.257906,1.04186,2.50401e-08,0.484417,0.653023
119,13.6659,1,13.5042,57.9888,18.1283,15.6009,3.52666,0.249157,0.938105,2.53e-08,0.537438,0.699514
120,11.836,1,13.6471,65.3058,18.1283,16.7327,3.3867,0.268644,1.1465,2.23441e-08,0.543044,0.698332
121,8.48193,1,13.4791,63.0827,18.1283,16.3922,3.1075,0.265152,1.16906,2.00981e-08,0.606633,0.632294
122,5.46018,1,13.31,57.8729,18.1283,16.2246,3.06892,0.259234,1.07031,2.05052e-08,0.59207,0.607981
123,11.3549,1,13.4797,57.3679,18.1283,16.0949,3.26986,0.261783,1.07502,2.39984e-08,0.531352,0.652853
124,10.3309,1,13.5324,60.9153,18.1283,16.4624,3.2184,0.286952,1.06743,2.39102e-08,0.518773,0.667473
125,6.27682,1,13.3958,61.9046,18.1283,16.4838,3.09995,0.268342,1.08778,2.60131e-08,0.530849,0.659313
126,10.4755,1,13.3795,66.0115,18.1283,16.5016,3.08754,0.277611,1.22165,2.62839e-08,0.548664,0.672855
127,12.211,1,13.3562,64.0357,18.1283,16.2991,3.12971,0.256906,1.18742,2.83529e-08,0.576687,0.659689
128,1.91064,1,13.7187,59.5526,18.1283,16.4808,2.96044,0.273927,1.02206,2.43367e-08,0.53746,0.600413
129,1.11958,1,13.6947,56.1977,18.1283,16.7091,3.14391,0.242002,1.04293,2.00655e-08,0.560671,0.633077
130,3.0107,1,13.6594,59.9875,18.1283,16.1494,3.38687,0.234101,1.17294,1.75105e-08,0.549395,0.680789
131,-2.20727,1,13.639,60.8099,18.1283,15.6732,3.34245,0.258861,1.10298,1.7016e-08,0.550109,0.710031
132,2.46796,1,13.5477,59.6947,18.1283,15.4956,3.56125,0.257085,1.06544,1.68959e-08,0.535951,0.731608
133,4.13338,1,13.7266,58.2966,18.1283,15.0705,3.7253,0.257907,1.01184,1.67284e-08,0.510733,0.739091
134,4.82679,1,13.7493,64.4298,18.1283,15.4609,3.84917,0.264316,1.09109,1.73471e-08,0.445477,0.768086
135,0.634606,1,13.7866,65.0821,18.1283,15.785,3.6855,0.24516,1.13521,1.59371e-08,0.469887,0.745245
136,1.88668,1,13.636,65.4119,18.1283,15.7094,3.46101,0.259783,1.17702,1.51684e-08,0.51938,0.704872
137,-3.8095,1,13.9776,70.0996,18.1283,15.1629,3.38874,0.254262,1.20654,1.669e-08,0.463397,0.711583
138,0.37134,1,13.6156,63.3735,18.1283,15.9669,3.35329,0.260057,1.23159,1.81947e-08,0.470586,0.702843
139,1.49197,1,13.4292,63.5128,18.1283,15.4021,3.60597,0.257354,1.1389,1.59893e-08,0.523574,0.747447
140,-1.83714,1,13.2027,61.7533,18.1283,15.169,3.74627,0.241694,1.09101,1.56684e-08,0.530079,0.770708
141,2.11138,1,13.6315,62.2171,18.1283,15.4801,3.54881,0.242347,1.15214,1.74245e-08,0.516405,0.730305
142,9.65213,1,13.3081,64.078,18.1283,16.1577,3.69442,0.255662,1.12817,1.92871e-08,0.453056,0.735644
143,-1.56272,1,13.5347,65.6082,18.1283,16.8385,3.30012,0.232042,1.05465,2.13314e-08,0.488104,0.686561
144,-4.31347,1,13.4517,65.2471,18.1283,16.6357,3.17585,0.243413,1.11859,1.88273e-08,0.4712,0.65822
145,5.15929,1,13.2404,66.4451,18.1283,16.0312,3.4629,0.22842,1.11303,1.98511e-08,0.483407,0.691056
146,7.70703,1,12.9886,66.78,18.1283,16.8033,3.56285,0.255851,1.14196,1.92343e-08,0.460683,0.71647
147,6.73045,1,13.1138,62.7523,18.1283,17.0046,3.69915,0.238012,1.12708,1.78265e-08,0.494661,0.745447
148,11.2212,1,12.9337,59.8941,18.1283,16.5395,3.69166,0.235291,1.10614,2.05151e-08,0.536152,0.739796
149,11.9137,1,13.1244,69.229,18.1283,16.8434,3.59741,0.269954,1.16184,2.24242e-08,0.468949,0.732903
150,10.2707,1,13.412,58.5067,18.1283,16.1798,3.47873,0.250952,1.09977,2.43804e-08,0.536078,0.725275
151,17.2315,1,13.4037,62.0415,18.1283,15.7675,3.52921,0.22853,1.21617,2.42502e-08,0.541886,0.709901
152,25.8809,1,13.5431,63.1327,18.1283,15.9867,3.76228,0.244454,1.14348,2.60714e-08,0.535141,0.730284
153,16.9664,1,13.7151,62.2691,18.1283,16.5556,3.66667,0.266028,1.13781,2.24757e-08,0.557301,0.749292
154,3.0127,1,13.996,63.0246,18.1283,15.9133,3.42428,0.253258,1.09949,2.34796e-08,0.522249,0.741697
155,2.33289,1,13.7059,67.3163,18.1283,15.5021,3.40338,0.251217,1.14755,2.27076e-08,0.521096,0.738791
156,8.16832,1,13.7575,70.9576,18.1283,14.7342,3.23269,0.279599,1.2804,2.35306e-08,0.530011,0.717241
157,4.8411,1,13.43,64.3736,18.1283,15.8871,3.36117,0.273026,1.10709,2.00344e-08,0.469703,0.689883
158,1.57009,1,13.4616,61.5604,18.1283,16.1156,3.27582,0.251934,1.0711,2.16819e-08,0.480833,0.68399
159,0.211468,1,13.7395,64.2191,18.1283,16.1674,3.32361,0.250193,1.1075,2.19718e-08,0.474412,0.704034
160,-9.91331,1,13.7601,61.0523,18.1283,15.9019,2.93858,0.273862,1.05875,1.82529e-08,0.535333,0.640938
161,-8.91666,1,13.8365,58.4596,18.1283,15.8394,2.96597,0.25997,1.06435,1.89291e-08,0.516824,0.6294
162,-8.65803,1,13.8165,60.5654,18.1283,15.8012,2.98049,0.243803,1.05654,1.77575e-08,0.5295,0.612809
163,-17.5048,1,13.5922,54.4155,18.1283,15.8159,3.03367,0.237653,0.982895,1.61419e-08,0.49365,0.625872
164,-6.77824,1,13.914,58.6599,18.1283,15.2823,3.23961,0.244708,1.05694,1.5388e-08,0.591266,0.685411
165,-8.58221,1,13.8496,61.6753,18.1283,15.804,3.06407,0.281049,1.09165,1.49012e-08,0.572848,0.649775
166,56.4661,1,13.439,57.7239,18.1283,16.2536,3.04461,0.273617,1.04202,1.40891e-07,0.554428,0.642664
167,42.5082,1,13.4684,58.9914,18.1283,16.5953,2.84865,0.269775,0.964102,1.23687e-07,0.525585,0.593572
168,38.1793,1,13.6566,60.4726,18.1283,16.738,2.71534,0.276055,1.00914,1.13668e-07,0.545789,0.56301
169,39.3984,1,13.748,60.4046,18.1283,15.2584,2.86733,0.279579,1.11297,1.03223e-07,0.552428,0.641231
170,43.0797,1,13.5387,59.2674,18.1283,15.2715,3.11813,0.266645,1.04546,9.20292e-08,0.532145,0.663605
171,39.4161,1,13.4328,60.4605,18.1283,15.2896,3.04118,0.274444,1.02081,9.11208e-08,0.548015,0.657871
172,39.2869,1,13.4799,60.6263,18.1283,15.7604,2.97495,0.279068,1.04329,9.31476e-08,0.527734,0.647192
173,59.274,1,13.8827,68.7928,18.1283,15.0823,3.42773,0.278875,1.21664,1.09344e-07,0.51677,0.722808
174,54.5974,1,13.5558,66.5369,18.1283,14.7975,3.43195,0.244484,1.20021,1.04037e-07,0.485018,0.707788
175,48.2117,1,13.561,70.1355,18.1283,15.7087,3.39914,0.240412,1.2083,9.01788e-08,0.520776,0.717154
176,52.0785,1,13.8568,64.7621,18.1283,15.2776,3.23893,0.277345,1.22672,9.31768e-08,0.520169,0.679943
177,52.9481,1,13.5518,57.5444,18.1283,16.1778,3.17981,0.265341,1.12885,8.23871e-08,0.579517,0.628267
178,33.3123,1,13.6055,60.5659,18.1283,15.9989,3.06678,0.259822,1.03345,7.23151e-08,0.512024,0.638574
179,36.251,1,13.5333,60.3691,18.1283,16.6193,3.18273,0.274945,1.10692,6.35405e-08,0.543044,0.675725
180,30.94,1,13.5172,61.7869,18.1283,16.0911,3.00897,0.260061,1.13759,6.22401e-08,0.509358,0.62792
181,26.7496,1,13.4977,58.1105,18.1283,15.6324,3.03592,0.255697,1.0508,5.22383e-08,0.540668,0.62397
182,27.8614,1,13.4797,64.9561,18.1283,16.4331,2.94763,0.261999,1.1632,5.2241e-08,0.551607,0.61947
183,23.9994,1,13.3459,63.1703,18.1283,16.0677,2.8577,0.277077,1.16271,5.17864e-08,0.533787,0.60292
184,18.1043,1,13.6577,61.7779,18.1283,16.0208,2.72959,0.270413,1.15469,5.09566e-08,0.52578,0.559289
185,25.5211,1,13.9608,65.9781,18.1283,15.436,2.99218,0.261645,1.27539,5.23262e-08,0.506109,0.637687
186,29.2514,1,13.9268,71.4635,18.1283,15.2552,3.10005,0.272997,1.32901,4.86322e-08,0.50122,0.660698
187,29.5648,1,13.738,72.3717,18.1283,15.6711,3.12771,0.263698,1.27752,4.63584e-08,0.563181,0.661796
188,36.4162,1,13.7783,68.8708,18.1283,15.9237,3.10231,0.284417,1.29312,5.14656e-08,0.597713,0.656922
189,22.5164,1,13.9564,74.0043,18.1283,15.0687,3.05501,0.28495,1.22333,4.64167e-08,0.520533,0.675786
190,27.8978,1,13.9399,68.1655,18.1283,15.8178,3.10674,0.294805,1.18577,4.21448e-08,0.514792,0.641052
191,21.3235,1,13.8166,63.8757,18.1283,15.9331,3.14019,0.271574,1.10466,3.80787e-08,0.525395,0.651598
192,26.7185,1,13.8379,66.5864,18.1283,15.9249,3.10248,0.277948,1.13629,4.06179e-08,0.569797,0.636585
193,28.8446,1,13.5033,63.8226,18.1283,15.9817,3.25626,0.262853,1.15115,3.79603e-08,0.563554,0.661459
194,33.5278,1,13.6703,67.6166,18.1283,16.7185,3.23244,0.281075,1.21141,4.06344e-08,0.549896,0.655399
195,29.8435,1,13.5073,64.6068,18.1283,16.3064,3.16751,0.281081,1.18271,4.21654e-08,0.509184,0.641408
196,27.9496,1,13.4175,65.1664,18.1283,15.9484,3.00332,0.251596,1.18692,4.72791e-08,0.550308,0.608919
197,17.1529,1,13.4789,61.7516,18.1283,15.1593,2.98351,0.249614,1.08309,4.7792e-08,0.523746,0.625505
198,28.575,1,13.6489,66.2146,18.1283,15.3019,3.03349,0.247167,1.25121,5.52895e-08,0.501882,0.629493
199,17.9402,1,13.8669,65.6159,18.1283,15.1561,3.06851,0.261944,1.17034,4.77628e-08,0.479103,0.668124
200,29.3824,1,14.0351,62.1726,18.1283,16.1018,3.32521,0.263937,1.15565,4.98126e-08,0.517147,0.701779
201,32.5386,1,14.0675,58.5904,18.1283,16.1568,3.35356,0.288424,1.16476,4.88925e-08,0.534177,0.719814
202,34.553,1,13.7209,59.7927,18.1283,15.4516,3.36294,0.280252,1.10273,4.87599e-08,0.535529,0.694416
203,31.0961,1,13.6458,58.9538,18.1283,15.6288,3.55905,0.254593,1.02488,5.21796e-08,0.501321,0.736231
204,38.5254,1,13.5268,61.5957,18.1283,14.6225,3.61436,0.251812,1.14485,5.2435e-08,0.546969,0.743446
205,33.728,1,13.5408,62.3713,18.1283,15.9161,3.37044,0.23025,1.18986,5.03497e-08,0.506478,0.680379
206,35.9157,1,13.5486,66.0132,18.1283,16.4671,3.30466,0.245621,1.21736,5.44183e-08,0.483299,0.66229
207,37.5227,1,13.6839,65.1425,18.1283,16.3283,3.26571,0.260673,1.22194,6.08246e-08,0.486934,0.675789
208,38.1811,1,13.525,70.2321,18.1283,16.2489,3.08643,0.256576,1.2854,6.4312e-08,0.560085,0.650459
209,30.9369,1,13.4963,69.7854,18.1283,15.7582,2.94212,0.268179,1.30694,5.8295e-08,0.535893,0.62976
210,30.4451,1,13.6782,65.8922,18.1283,15.8013,2.70424,0.255266,1.25142,6.00167e-08,0.604822,0.5461
211,19.6226,1,13.5166,63.0763,18.1283,15.6282,2.67773,0.258857,1.13287,5.12089e-08,0.610096,0.543614
212,10.6948,1,13.4017,59.7979,18.1283,16.4255,2.72274,0.250234,1.04195,5.08339e-08,0.567449,0.586254
213,15.2888,1,13.3379,60.9898,18.1283,16.5408,2.6169,0.261351,1.12504,5.34695e-08,0.55914,0.541804
214,21.4809,1,13.541,60.4181,18.1283,16.5584,2.65151,0.257824,1.14667,5.36479e-08,0.572545,0.500105
215,21.0117,1,13.5007,59.9196,18.1283,16.9962,2.59911,0.259472,1.26353,5.12359e-08,0.550502,0.444045
216,20.8512,1,13.6294,61.6597,18.1283,16.5292,2.65889,0.261303,1.26975,4.69982e-08,0.543301,0.472911
217,12.9624,1,13.5939,57.0859,18.1283,16.7628,2.58247,0.24938,1.1684,5.16097e-08,0.479797,0.466154
218,7.66204,1,13.585,58.6346,18.1283,17.8677,2.52188,0.249601,1.17271,4.86165e-08,0.516703,0.478079
219,9.7108,1,13.6764,57.9156,18.1283,16.2332,2.49748,0.266109,1.09679,5.06622e-08,0.554267,0.468797
220,15.4636,1,13.5553,58.5994,18.1283,16.0963,2.51815,0.257812,1.07107,5.52277e-08,0.565238,0.451052
221,19.0905,1,13.646,62.1351,18.1283,16.2024,2.57911,0.265462,1.11005,5.26002e-08,0.547335,0.447791
222,18.1383,1,13.5377,64.3067,18.1283,16.1629,2.41545,0.266995,1.20762,5.57785e-08,0.577376,0.350672
223,16.4484,1,13.4644,60.3173,18.1283,16.734,2.43877,0.24995,1.14272,5.63117e-08,0.583798,0.338999
