Iteracion,Par,Parametro,Covariable,Criterio,Par1,LRT,BICc
5,V2_logtWTKG,V2,logtWTKG,0,19,507.34,546.09
5,V2_tSCRMGDL,V2,tSCRMGDL,0,2,507.34,546.09
6,Cl_ANTU,Cl,ANTU,0,44,503.72,542.47
6,Cl_LLP,Cl,LLP,0,25,503.72,542.47
6,Cl_LMP,Cl,LMP,0,49,503.72,542.47
6,Cl_SEXF,Cl,SEXF,0,46,503.72,542.47
6,Cl_logtAGEA,Cl,logtAGEA,0,47,503.72,542.47
6,Cl_logtALBGDL,Cl,logtALBGDL,0,52,503.72,542.47
6,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,503.72,542.47
6,Cl_logtHCM,Cl,logtHCM,0,34,503.72,542.47
6,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,503.72,542.47
6,Cl_logtPROGDL,Cl,logtPROGDL,0,55,503.72,542.47
6,Cl_logtRAL,Cl,logtRAL,0,21,503.72,542.47
6,Cl_logtRAN,Cl,logtRAN,0,40,503.72,542.47
6,Cl_logtSCM2,Cl,logtSCM2,1,38,503.72,542.47
6,Cl_logtWTKG,Cl,logtWTKG,0,23,503.72,542.47
6,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,503.72,542.47
6,V1_ANTU,V1,ANTU,0,10,503.72,542.47
6,V1_LLP,V1,LLP,0,48,503.72,542.47
6,V1_LMP,V1,LMP,0,11,503.72,542.47
6,V1_SEXF,V1,SEXF,0,1,503.72,542.47
6,V1_logtAGEA,V1,logtAGEA,0,30,503.72,542.47
6,V1_logtALBGDL,V1,logtALBGDL,0,3,503.72,542.47
6,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,503.72,542.47
6,V1_logtHCM,V1,logtHCM,0,7,503.72,542.47
6,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,503.72,542.47
6,V1_logtPROGDL,V1,logtPROGDL,0,39,503.72,542.47
6,V1_logtRAL,V1,logtRAL,0,14,503.72,542.47
6,V1_logtRAN,V1,logtRAN,0,36,503.72,542.47
6,V1_logtSCM2,V1,logtSCM2,0,15,503.72,542.47
6,V1_logtWTKG,V1,logtWTKG,0,22,503.72,542.47
6,V1_tSCRMGDL,V1,tSCRMGDL,0,31,503.72,542.47
6,Q_ANTU,Q,ANTU,0,9,503.72,542.47
6,Q_LLP,Q,LLP,0,45,503.72,542.47
6,Q_LMP,Q,LMP,0,16,503.72,542.47
6,Q_SEXF,Q,SEXF,0,18,503.72,542.47
6,Q_logtAGEA,Q,logtAGEA,0,5,503.72,542.47
6,Q_logtALBGDL,Q,logtALBGDL,0,51,503.72,542.47
6,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,503.72,542.47
6,Q_logtHCM,Q,logtHCM,0,50,503.72,542.47
6,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,503.72,542.47
6,Q_logtPROGDL,Q,logtPROGDL,0,59,503.72,542.47
6,Q_logtRAL,Q,logtRAL,0,32,503.72,542.47
6,Q_logtRAN,Q,logtRAN,0,57,503.72,542.47
6,Q_logtSCM2,Q,logtSCM2,0,6,503.72,542.47
6,Q_logtWTKG,Q,logtWTKG,0,26,503.72,542.47
6,Q_tSCRMGDL,Q,tSCRMGDL,0,13,503.72,542.47
6,V2_ANTU,V2,ANTU,0,42,503.72,542.47
6,V2_LLP,V2,LLP,0,37,503.72,542.47
6,V2_LMP,V2,LMP,0,56,503.72,542.47
6,V2_SEXF,V2,SEXF,0,17,503.72,542.47
6,V2_logtAGEA,V2,logtAGEA,0,29,503.72,542.47
6,V2_logtALBGDL,V2,logtALBGDL,0,20,503.72,542.47
6,V2_logtCLCRMLMIN,V2,logtCLCRMLMIN,0,28,503.72,542.47
6,V2_logtHCM,V2,logtHCM,0,58,503.72,542.47
6,V2_logtIMCKGM2,V2,logtIMCKGM2,0,54,503.72,542.47
6,V2_logtPROGDL,V2,logtPROGDL,0,12,503.72,542.47
6,V2_logtRAL,V2,logtRAL,0,53,503.72,542.47
6,V2_logtRAN,V2,logtRAN,0,8,503.72,542.47
6,V2_logtSCM2,V2,logtSCM2,0,33,503.72,542.47
6,V2_logtWTKG,V2,logtWTKG,0,19,503.72,542.47
6,V2_tSCRMGDL,V2,tSCRMGDL,0,2,503.72,542.47
7,Cl_ANTU,Cl,ANTU,0,44,502.82,541.57
7,Cl_LLP,Cl,LLP,0,25,502.82,541.57
7,Cl_LMP,Cl,LMP,0,49,502.82,541.57
7,Cl_SEXF,Cl,SEXF,0,46,502.82,541.57
7,Cl_logtAGEA,Cl,logtAGEA,0,47,502.82,541.57
7,Cl_logtALBGDL,Cl,logtALBGDL,0,52,502.82,541.57
7,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,502.82,541.57
7,Cl_logtHCM,Cl,logtHCM,0,34,502.82,541.57
7,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,502.82,541.57
7,Cl_logtPROGDL,Cl,logtPROGDL,0,55,502.82,541.57
7,Cl_logtRAL,Cl,logtRAL,0,21,502.82,541.57
7,Cl_logtRAN,Cl,logtRAN,0,40,502.82,541.57
7,Cl_logtSCM2,Cl,logtSCM2,0,38,502.82,541.57
7,Cl_logtWTKG,Cl,logtWTKG,1,23,502.82,541.57
7,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,502.82,541.57
7,V1_ANTU,V1,ANTU,0,10,502.82,541.57
7,V1_LLP,V1,LLP,0,48,502.82,541.57
7,V1_LMP,V1,LMP,0,11,502.82,541.57
7,V1_SEXF,V1,SEXF,0,1,502.82,541.57
7,V1_logtAGEA,V1,logtAGEA,0,30,502.82,541.57
7,V1_logtALBGDL,V1,logtALBGDL,0,3,502.82,541.57
7,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,502.82,541.57
7,V1_logtHCM,V1,logtHCM,0,7,502.82,541.57
7,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,502.82,541.57
7,V1_logtPROGDL,V1,logtPROGDL,0,39,502.82,541.57
7,V1_logtRAL,V1,logtRAL,0,14,502.82,541.57
7,V1_logtRAN,V1,logtRAN,0,36,502.82,541.57
7,V1_logtSCM2,V1,logtSCM2,0,15,502.82,541.57
7,V1_logtWTKG,V1,logtWTKG,0,22,502.82,541.57
7,V1_tSCRMGDL,V1,tSCRMGDL,0,31,502.82,541.57
7,Q_ANTU,Q,ANTU,0,9,502.82,541.57
7,Q_LLP,Q,LLP,0,45,502.82,541.57
7,Q_LMP,Q,LMP,0,16,502.82,541.57
7,Q_SEXF,Q,SEXF,0,18,502.82,541.57
7,Q_logtAGEA,Q,logtAGEA,0,5,502.82,541.57
7,Q_logtALBGDL,Q,logtALBGDL,0,51,502.82,541.57
7,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,502.82,541.57
7,Q_logtHCM,Q,logtHCM,0,50,502.82,541.57
7,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,502.82,541.57
7,Q_logtPROGDL,Q,logtPROGDL,0,59,502.82,541.57
7,Q_logtRAL,Q,logtRAL,0,32,502.82,541.57
7,Q_logtRAN,Q,logtRAN,0,57,502.82,541.57
7,Q_logtSCM2,Q,logtSCM2,0,6,502.82,541.57
7,Q_logtWTKG,Q,logtWTKG,0,26,502.82,541.57
7,Q_tSCRMGDL,Q,tSCRMGDL,0,13,502.82,541.57
7,V2_ANTU,V2,ANTU,0,42,502.82,541.57
7,V2_LLP,V2,LLP,0,37,502.82,541.57
7,V2_LMP,V2,LMP,0,56,502.82,541.57
7,V2_SEXF,V2,SEXF,0,17,502.82,541.57
