iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
78,427.081,1,23.7241,23.9757,9.02297,1.45189,2.22045e-16,-0.528422,0.228593,1.41576,0.283253,1.28514
79,424.896,1,24.1261,24.1747,8.21681,1.41809,2.22045e-16,-0.540632,0.228162,1.37992,0.292672,1.37492
80,418.512,1,24.0055,24.3756,8.79082,1.39968,9.20879e-07,-0.535989,0.22626,1.34497,0.294659,1.34011
81,421.417,1,24.1301,23.8054,8.41157,1.38585,0.00868686,-0.538222,0.226074,1.31092,0.292182,1.30617
82,424.926,1,24.4814,23.923,7.67113,1.43886,0.00533405,-0.54334,0.241316,1.28285,0.292552,1.2731
83,431.853,1,24.3986,23.8044,7.39503,1.49109,2.40663e-07,-0.539165,0.237952,1.42723,0.285145,1.24087
84,433.351,1,24.1892,23.8195,7.76728,1.52231,2.22045e-16,-0.543277,0.231927,1.39109,0.287663,1.20945
85,431.183,1,23.5252,23.6489,7.59112,1.50972,2.22045e-16,-0.52534,0.226054,1.35587,0.290982,1.25623
86,422.522,1,23.2704,23.4864,7.87422,1.45441,2.22045e-16,-0.509257,0.227332,1.32154,0.286435,1.28096
87,423.171,1,24.0751,23.7561,8.18885,1.44018,2.22045e-16,-0.533666,0.241345,1.28808,0.286537,1.29445
88,426.077,1,23.8703,23.9113,7.98212,1.46954,2.44253e-06,-0.529288,0.241489,1.25546,0.28435,1.32327
89,422.483,1,24.1558,24.1954,7.97684,1.46384,2.22045e-16,-0.534557,0.23849,1.22367,0.284513,1.28976
90,416.824,1,24.1397,23.9624,7.29018,1.41994,2.22045e-16,-0.538059,0.236694,1.19269,0.281776,1.25711
91,417.731,1,24.7143,23.9534,7.96158,1.44896,7.32243e-07,-0.55388,0.231725,1.16249,0.28279,1.22528
92,426.802,1,25.4141,23.7081,7.16009,1.49338,2.22045e-16,-0.569488,0.24407,1.20871,0.279674,1.19425
93,428.98,1,24.6468,23.5157,6.79204,1.50613,2.22045e-16,-0.548905,0.238759,1.17811,0.285321,1.2554
94,425.736,1,24.3146,23.4657,7.40518,1.48958,1.39269e-06,-0.539968,0.233227,1.14827,0.297412,1.23083
95,426.067,1,24.3756,24.2511,7.52278,1.50367,6.22822e-05,-0.540662,0.236047,1.1192,0.293438,1.26692
96,425.11,1,24.0887,24.1102,7.41861,1.41879,0.0131036,-0.532854,0.234023,1.09086,0.291322,1.3053
97,426.91,1,24.4144,24.2121,8.05481,1.47594,0.00808926,-0.549848,0.232034,1.09402,0.307766,1.27225
98,436.763,1,24.4861,24.5341,8.0395,1.53411,0.00883715,-0.55433,0.232603,1.13087,0.311779,1.24004
99,425.693,1,24.6232,24.132,8.67583,1.45926,0.0125628,-0.554967,0.235492,1.10223,0.303885,1.20864
100,424.532,1,23.7065,23.8742,9.33764,1.47799,0.0135707,-0.526775,0.231601,1.07433,0.29619,1.17803
101,423.795,1,24.5295,23.8044,8.97217,1.44449,0.0163393,-0.544222,0.235007,1.04712,0.288691,1.14821
102,421.623,1,24.2336,23.5321,8.72512,1.42092,0.0137281,-0.53763,0.236394,1.05384,0.289598,1.08457
103,419.738,1,24.1458,23.6653,8.39914,1.35972,0.0167332,-0.537666,0.231142,1.11371,0.279672,1.12227
104,419.941,1,24.4376,23.4264,8.8515,1.35964,0.0148711,-0.5483,0.231751,1.22778,0.278385,1.15516
105,421.365,1,23.8855,23.3438,8.99022,1.39883,0.0109153,-0.53371,0.227625,1.11068,0.28677,1.30727
106,425.324,1,24.0971,23.3241,9.00339,1.40388,0.0137605,-0.541738,0.223253,1.14919,0.289373,1.27278
107,432.519,1,24.5812,23.3074,8.48441,1.42739,0.012418,-0.554386,0.230271,1.2516,0.297254,1.35248
108,431.659,1,24.299,23.5486,8.03634,1.36762,0.0179739,-0.543235,0.2316,1.23146,0.288224,1.335
109,429.886,1,24.4237,23.8433,8.6371,1.30405,0.0225076,-0.550168,0.23473,1.17738,0.28485,1.29673
110,434.394,1,24.2425,23.8122,9.24662,1.27479,0.0271476,-0.537908,0.236849,1.21886,0.272866,1.28567
111,434.937,1,23.7484,23.7303,9.40276,1.31348,0.0246259,-0.526027,0.233501,1.25247,0.277241,1.28222
112,432.893,1,24.2369,23.36,9.34495,1.34069,0.0243831,-0.540267,0.23429,1.25815,0.265752,1.1417
113,437.321,1,23.9967,23.5796,8.53015,1.38175,0.0246719,-0.528979,0.237098,1.2227,0.261735,1.1727
114,432.344,1,24.3648,23.1293,8.89439,1.31652,0.0262038,-0.543621,0.23803,1.21507,0.264742,1.12395
115,435.281,1,24.8072,23.0605,8.95167,1.3597,0.0243401,-0.566768,0.236368,1.29296,0.264867,1.11885
116,438.109,1,24.4298,23.0688,9.10394,1.33126,0.0251293,-0.547526,0.232282,1.42338,0.26132,1.22256
117,435.966,1,24.7114,23.3311,9.31951,1.30873,0.0263459,-0.555568,0.223717,1.29399,0.27073,1.27857
118,438.019,1,24.2466,22.866,8.14249,1.25105,0.0296141,-0.539019,0.232242,1.34166,0.260063,1.31246
119,432.867,1,24.6467,23.4413,7.94056,1.26625,0.0270979,-0.554362,0.232693,1.23318,0.258258,1.34042
120,436.285,1,23.8658,23.7709,7.51609,1.32803,0.0249337,-0.525341,0.235756,1.32555,0.254383,1.28015
121,436.954,1,24.2459,23.522,8.30468,1.37561,0.0232504,-0.540242,0.231292,1.27612,0.259383,1.26296
122,433.085,1,24.1458,23.9144,8.75218,1.33923,0.0252974,-0.538805,0.233756,1.22271,0.241873,1.24481
123,432.773,1,24.3203,23.6356,8.6972,1.33926,0.0273062,-0.5401,0.234076,1.25748,0.232101,1.14704
124,446.823,1,24.8155,23.4681,9.46366,1.40476,0.0287492,-0.558334,0.237427,1.3785,0.249843,1.11059
125,440.714,1,23.9678,23.4002,8.96321,1.29636,0.0315196,-0.530191,0.227982,1.32134,0.251497,1.18537
126,438.937,1,24.6478,23.3229,9.2871,1.32015,0.028581,-0.550138,0.235422,1.39267,0.245538,1.15651
127,431.336,1,24.5609,23.2082,9.32565,1.39825,0.0206402,-0.550567,0.231198,1.35879,0.236897,1.14089
128,436.87,1,24.8312,23.2954,9.05873,1.42141,0.0227498,-0.562997,0.227593,1.25114,0.252969,1.17589
129,428.827,1,24.5658,23.6453,9.13444,1.35523,0.0235875,-0.554266,0.228251,1.17253,0.247749,1.17339
130,433.23,1,23.8938,23.4267,8.48852,1.40474,0.0229633,-0.527993,0.232067,1.14579,0.249359,1.18518
131,436.476,1,24.5369,23.9004,8.91133,1.46624,0.0216649,-0.550616,0.234195,1.22864,0.230775,1.14482
132,435.622,1,24.4122,23.6503,9.66447,1.46624,0.0216083,-0.543039,0.238419,1.16312,0.227329,1.1665
133,430.816,1,23.8668,23.7562,8.82322,1.34868,0.0240575,-0.528398,0.234714,1.19169,0.236584,1.25349
134,434.868,1,23.7165,23.4688,8.86541,1.38219,0.024035,-0.528377,0.225655,1.27873,0.235047,1.24036
135,431.014,1,23.5698,23.4336,8.41481,1.33087,0.0241346,-0.522926,0.228292,1.23803,0.2459,1.25995
136,431.382,1,23.9076,23.2152,9.10986,1.30322,0.0258794,-0.531274,0.226846,1.2863,0.234723,1.29538
137,439.237,1,24.5494,23.574,8.85676,1.33712,0.0266882,-0.550348,0.229719,1.4305,0.243377,1.23276
138,441.607,1,24.5552,23.4172,8.81773,1.33714,0.0282151,-0.549022,0.241351,1.45472,0.234796,1.18594
139,442.168,1,24.9291,23.2219,9.16346,1.37663,0.0265354,-0.555908,0.234844,1.38776,0.246182,1.20237
140,439.527,1,24.8315,23.0635,9.61895,1.31312,0.0309839,-0.560606,0.228342,1.36882,0.247178,1.09369
141,435.319,1,24.1565,22.8929,8.9774,1.31309,0.0283474,-0.541959,0.231486,1.37618,0.239007,1.08662
142,428.923,1,24.5801,22.886,9.8202,1.27245,0.028162,-0.552164,0.23771,1.37802,0.237121,1.03037
