iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
141,361.893,1,21.0578,34.3372,39.9021,39.7088,1.19653,2.22045e-16,0.385876,1.45595,0.44068,1.01091
142,359.184,1,21.0555,33.5696,39.72,40.9603,1.17023,2.22045e-16,0.390977,1.52323,0.447642,0.985311
143,360.881,1,20.9512,33.1657,39.898,41.2904,1.17513,2.22045e-16,0.392053,1.57105,0.456897,0.960363
144,361.96,1,20.9922,32.2811,39.7807,36.6985,1.17928,2.22045e-16,0.391548,1.54053,0.445328,1.00295
145,364.233,1,20.9373,31.7468,39.9393,39.65,1.1784,2.22045e-16,0.393547,1.58497,0.448784,1.09922
146,360.043,1,21.0853,30.305,40.7117,39.7083,1.1571,2.22045e-16,0.392559,1.54484,0.451066,1.08961
147,358.538,1,21.0076,32.659,40.3016,38.549,1.15148,2.22045e-16,0.392421,1.51136,0.4503,1.06202
148,357.998,1,21.1888,33.0457,40.1203,39.7087,1.16656,2.22045e-16,0.391859,1.5185,0.444353,1.03513
149,360.729,1,21.1531,34.9248,39.5985,38.7578,1.17885,2.22045e-16,0.390488,1.50637,0.447523,1.00892
150,357.43,1,20.9788,32.9453,40.1535,38.5663,1.16592,2.22045e-16,0.392943,1.46823,0.44292,0.983376
151,358.352,1,20.9571,33.4177,40.466,39.97,1.18015,2.22045e-16,0.396581,1.43105,0.43869,0.958476
152,357.331,1,20.9574,33.3569,40.2057,42.1153,1.16757,2.22045e-16,0.391825,1.44742,0.439839,0.934207
153,359.99,1,20.9496,33.4585,40.1233,42.4089,1.1886,2.22045e-16,0.39024,1.44721,0.439127,0.910552
154,359.703,1,20.997,33.6898,39.9545,42.213,1.18818,2.22045e-16,0.382365,1.49623,0.431679,0.887632
155,366.969,1,20.9764,33.4616,40.5557,40.126,1.23163,2.22045e-16,0.393677,1.47495,0.420749,0.94669
156,361.61,1,21.004,33.3807,39.9258,37.1405,1.21084,2.22045e-16,0.389878,1.4376,0.4269,0.922719
157,365.549,1,21.0876,35.0767,40.2088,37.466,1.22766,2.22045e-16,0.393187,1.40592,0.425912,0.930775
158,362.42,1,21.0237,35.5224,40.3033,38.7454,1.21355,2.22045e-16,0.392255,1.45394,0.415128,0.907207
159,364.904,1,20.8011,36.5222,40.0121,37.6159,1.23211,2.22045e-16,0.396571,1.41713,0.416633,0.90411
160,363.12,1,20.947,35.7699,39.0658,35.5732,1.21031,2.22045e-16,0.397228,1.38125,0.432455,0.942936
161,363.858,1,21.0205,35.0368,38.8094,38.0391,1.20953,2.22045e-16,0.396153,1.40918,0.448605,0.928706
162,370.968,1,20.9984,35.6481,38.5982,36.4588,1.25761,2.22045e-16,0.392628,1.44564,0.45908,0.90519
163,366.777,1,21.0918,35.0524,39.2237,37.7031,1.24003,2.22045e-16,0.400477,1.52843,0.447456,0.882271
164,365.396,1,21.088,35.2112,38.6596,37.1586,1.24605,2.22045e-16,0.40306,1.48973,0.437797,0.859931
