Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
1.50281,-0.209322,-0.00724652,0.568198,-0.180845,-0.0538402,0.77477,0.0956956,0.0732453,0.286413,-0.179927,-0.138711,0.568198,0.0848596,-0.234199,0.77477,-0.00385205,0.115476,0.286413,-0.0222138,-0.0199779,1.50281,-0.115725,-0.0209258,0.77477,0.0349428,0.0468972,0.286413,0.125723,0.13077,1.50281,0.0734626,0.261131,0.568198,0.328702,0.0472046
1.5544,-0.227387,-0.00764534,0.583797,-0.200037,-0.0555243,0.811187,0.0897352,0.076222,0.296067,-0.180406,-0.139565,0.583797,0.111489,-0.23763,0.811187,0.0021895,0.125515,0.296067,-0.00546079,-0.0213791,1.5544,-0.135214,-0.0222583,0.811187,0.0396542,0.0480383,0.296067,0.106055,0.137219,1.5544,0.0293335,0.271284,0.583797,0.348827,0.0501758
1.60598,-0.245452,-0.00804417,0.599397,-0.217602,-0.0572084,0.847605,0.0845016,0.0791988,0.305721,-0.172365,-0.140419,0.599397,0.130816,-0.24106,0.847605,0.0113034,0.135554,0.305721,0.00992898,-0.0227804,1.60598,-0.154704,-0.0235908,0.847605,0.0464227,0.0491794,0.305721,0.0927091,0.143668,1.60598,-0.0147957,0.281437,0.599397,0.363011,0.0531471
1.65757,-0.263518,-0.00844299,0.614997,-0.232919,-0.0588925,0.884022,0.0793913,0.0821756,0.315375,-0.154012,-0.141274,0.614997,0.139888,-0.244491,0.884022,0.0207062,0.145593,0.315375,0.0221266,-0.0241817,1.65757,-0.174194,-0.0249233,0.884022,0.0534126,0.0503206,0.315375,0.0884454,0.150117,1.65757,-0.0589248,0.29159,0.614997,0.369729,0.0561184
1.70916,-0.28087,-0.00884181,0.630597,-0.248235,-0.0605766,0.92044,0.0762099,0.0851523,0.325029,-0.126251,-0.142128,0.630597,0.14896,-0.247921,0.92044,0.0341511,0.155632,0.325029,0.0307397,-0.025583,1.70916,-0.192807,-0.0262557,0.92044,0.0636045,0.0514617,0.325029,0.0930619,0.156566,1.70916,-0.10195,0.301743,0.630597,0.376448,0.0590897
1.76074,-0.272815,-0.00924063,0.646196,-0.263552,-0.0622607,0.956857,0.0749143,0.0881291,0.334684,-0.0880864,-0.142982,0.646196,0.158031,-0.251352,0.956857,0.0503155,0.165671,0.334684,0.0347375,-0.0269843,1.76074,-0.180185,-0.0275882,0.956857,0.0762452,0.0526029,0.334684,0.107882,0.163016,1.76074,-0.105666,0.311896,0.646196,0.383166,0.062061
1.81233,-0.264761,-0.00963946,0.661796,-0.278869,-0.0639448,0.993275,0.0756799,0.0911059,0.344338,-0.0423262,-0.143837,0.661796,0.167103,-0.254783,0.993275,0.0691802,0.17571,0.344338,0.0345456,-0.0283855,1.81233,-0.167564,-0.0289207,0.993275,0.0911104,0.053744,0.344338,0.130561,0.169465,1.81233,-0.109382,0.322049,0.661796,0.389884,0.0650323
1.86392,-0.256707,-0.0100383,0.677396,-0.287889,-0.0656289,1.02969,0.0780326,0.0940827,0.353992,0.00714293,-0.144691,0.677396,0.147111,-0.258213,1.02969,0.0904018,0.185749,0.353992,0.0313143,-0.0297868,1.86392,-0.154942,-0.0302532,1.02969,0.107059,0.0548851,0.353992,0.157577,0.175914,1.86392,-0.113098,0.332202,0.677396,0.37724,0.0680035
1.9155,-0.248652,-0.0104371,0.692996,-0.296489,-0.067313,1.06611,0.0817901,0.0970594,0.363646,0.0595236,-0.145545,0.692996,0.125183,-0.261644,1.06611,0.114691,0.195788,0.363646,0.0243559,-0.0311881,1.9155,-0.142321,-0.0315856,1.06611,0.122048,0.0560263,0.363646,0.188668,0.182363,1.9155,-0.116813,0.342355,0.692996,0.363306,0.0709748
1.96709,-0.240598,-0.0108359,0.708595,-0.30509,-0.0689972,1.10253,0.0863023,0.100036,0.3733,0.111611,-0.1464,0.708595,0.103255,-0.265074,1.10253,0.141816,0.205827,0.3733,0.0163778,-0.0325894,1.96709,-0.129699,-0.0329181,1.10253,0.134202,0.0571674,0.3733,0.220047,0.188812,1.96709,-0.120529,0.352509,0.708595,0.349372,0.0739461
