iteration,convergenceIndicator,phase,Cl_pop,Q2_pop,Q3_pop,V1_pop,V2_pop,V3_pop,a,omega_Cl,omega_Q2,omega_Q3,omega_V1,omega_V2,omega_V3
49,-498.559,1,13.4894,25.3214,4.44049e-05,23.8433,13.4267,8.37265,1.83426,0.258118,0.993658,2.45065e-08,0.285058,0.792333,4.51675e-08
50,-498.276,1,13.4319,25.2013,4.44049e-05,24.2232,12.4591,8.37265,1.80362,0.269218,1.02364,2.41122e-08,0.287636,0.800114,4.68292e-08
51,-493.871,1,13.4427,23.3767,4.44049e-05,24.4407,12.8504,8.37265,1.84597,0.26078,0.974178,2.48573e-08,0.286775,0.770266,5.17291e-08
52,-494.69,1,13.4963,24.6247,4.44049e-05,24.4847,12.489,8.37265,1.84904,0.257948,0.884518,2.50789e-08,0.290372,0.828853,5.04814e-08
53,-493.846,1,13.4883,25.9798,4.44049e-05,24.1318,13.0456,8.37265,1.83875,0.259023,0.939867,2.79418e-08,0.292063,0.747072,4.98156e-08
54,-486.007,1,13.5,27.0918,4.44049e-05,23.8431,12.9273,8.37265,1.88552,0.269437,0.988563,2.98449e-08,0.298339,0.686576,5.07186e-08
55,-491.911,1,13.4029,27.8587,4.44049e-05,23.5193,12.6433,8.37265,1.83819,0.255643,0.932659,3.10134e-08,0.278322,0.714725,5.37133e-08
56,-492.294,1,13.4462,27.8386,4.44049e-05,23.2243,13.0538,8.37265,1.81974,0.254331,0.958884,3.00235e-08,0.278007,0.694408,5.8628e-08
57,-493.654,1,13.3808,29.57,4.44049e-05,23.2825,14.2889,8.37265,1.76672,0.253065,1.09844,2.5388e-08,0.278366,0.751859,6.4031e-08
58,-499.893,1,13.419,29.0553,4.44049e-05,23.1934,14.4996,8.37265,1.76426,0.258351,1.05017,2.65845e-08,0.255883,0.780584,5.37689e-08
59,-495.347,1,13.3937,30.9252,4.44049e-05,23.1243,14.7018,8.37265,1.80241,0.262717,1.13981,2.67703e-08,0.266342,0.788973,4.70613e-08
60,-497.731,1,13.5685,31.8263,4.44049e-05,22.6344,14.5051,8.37265,1.92026,0.263231,1.03991,2.21354e-08,0.263747,0.771864,4.05935e-08
61,-508.686,1,13.4936,33.1644,4.44049e-05,22.6305,14.9058,8.37265,1.82116,0.262959,1.00302,1.92925e-08,0.281368,0.717275,4.6509e-08
62,-503.488,1,13.5517,29.4584,4.44049e-05,22.6975,13.773,8.37265,1.84321,0.263217,0.885968,1.89136e-08,0.30116,0.804952,4.94188e-08
63,-504.738,1,13.6337,27.1458,4.44049e-05,23.1022,12.6602,8.37265,1.86895,0.263854,0.924195,1.6392e-08,0.287559,0.75178,5.39703e-08
64,-495.23,1,13.6645,28.4652,4.44049e-05,23.0292,12.1047,8.37265,1.8803,0.258638,0.89354,1.87706e-08,0.313384,0.768272,5.91195e-08
65,-495.642,1,13.5035,31.7003,4.44049e-05,23.1786,12.2869,8.37265,1.8307,0.262929,0.878216,1.85171e-08,0.307301,0.841964,6.46285e-08
66,-502.687,1,13.4716,31.9398,4.44049e-05,23.511,12.5178,8.37265,1.78683,0.255229,0.954042,1.75131e-08,0.299205,0.870874,5.8848e-08
67,-512.018,1,13.5222,28.3424,4.44049e-05,23.4754,13.7685,8.37265,1.78257,0.260335,0.818604,1.69783e-08,0.296052,0.796075,5.69946e-08
68,-506.805,1,13.5135,28.0074,4.44049e-05,23.5418,13.0391,8.37265,1.81427,0.268105,0.897224,1.70347e-08,0.288499,0.723683,6.08069e-08
69,-495.91,1,13.4183,27.8856,4.44049e-05,23.7645,12.983,8.37265,1.88673,0.260953,0.892967,1.82484e-08,0.283387,0.721391,6.80292e-08
70,-495.682,1,13.4186,26.1008,4.44049e-05,23.8998,13.109,8.37265,1.88145,0.263264,0.907603,1.77014e-08,0.281985,0.777942,6.53144e-08
71,-496.799,1,13.5028,25.0804,4.44049e-05,24.3083,13.011,8.37265,1.87052,0.269314,0.889775,1.70168e-08,0.271822,0.77383,7.04915e-08
72,-509.725,1,13.2814,25.2609,4.44049e-05,24.2964,13.604,8.37265,1.89142,0.25866,0.89841,1.51721e-08,0.259303,0.72178,5.57093e-08
73,-511.258,1,13.396,25.1462,4.44049e-05,24.1242,13.3463,8.37265,1.91741,0.253074,0.91443,1.49012e-08,0.268349,0.699215,5.71068e-08
74,-437.505,1,13.397,27.3063,4.44049e-05,23.8654,12.7282,8.37265,1.90909,0.258901,0.95198,1.34633e-07,0.267414,0.80631,5.39585e-08
75,-438.277,1,13.471,27.5073,4.44049e-05,23.7199,12.1035,8.37265,1.84399,0.252976,1.04828,1.52875e-07,0.261274,0.775508,5.64051e-08
76,-438.16,1,13.4481,26.0432,4.44049e-05,23.8627,13.0933,8.37265,1.82751,0.258004,1.10534,1.49236e-07,0.267732,0.816368,5.27714e-08
77,-432.678,1,13.5416,26.9089,4.44049e-05,23.7066,12.906,8.37265,1.95513,0.261817,1.03186,1.47463e-07,0.2606,0.781458,4.84472e-08
78,-426.185,1,13.6122,30.8152,4.44049e-05,22.9033,11.8351,8.37265,2.00743,0.270217,0.973413,1.56484e-07,0.259232,0.801097,4.87301e-08
79,-441.356,1,13.5345,33.049,4.44049e-05,22.9695,12.8293,8.37265,1.91244,0.269141,0.970696,1.46802e-07,0.267546,0.819756,3.99458e-08
80,-437.882,1,13.5306,30.5088,4.44049e-05,23.3036,12.4991,8.37265,1.9907,0.256476,0.926147,1.46373e-07,0.251299,0.909097,3.73369e-08
81,-422.715,1,13.5193,31.3553,4.44049e-05,23.3974,12.3582,8.37265,2.10238,0.255321,0.991366,1.42475e-07,0.270486,0.907817,4.00189e-08
82,-422.232,1,13.5359,33.5632,4.44049e-05,23.568,13.1857,8.37265,2.06477,0.257977,0.96362,1.36067e-07,0.282527,0.924556,4.54209e-08
83,-437.688,1,13.5281,33.8732,4.44049e-05,23.5277,12.3639,8.37265,1.95772,0.262436,0.865338,1.31254e-07,0.301863,0.825126,4.44449e-08
84,-451.141,1,13.5466,31.2458,4.44049e-05,23.2084,12.7636,8.37265,1.87753,0.268769,0.804871,1.2503e-07,0.291002,0.814401,4.22528e-08
85,-455.362,1,13.6266,31.6564,4.44049e-05,22.8382,12.7812,8.37265,1.90606,0.266181,0.811392,1.23031e-07,0.269323,0.753778,3.98429e-08
86,-453.428,1,13.6287,34.7702,4.44049e-05,22.5389,13.1121,8.37265,1.96383,0.2614,0.833595,1.03165e-07,0.259514,0.750149,4.37916e-08
87,-456.553,1,13.5195,35.9586,4.44049e-05,22.6582,12.0906,8.37265,1.96461,0.251874,0.815406,8.96281e-08,0.257496,0.770357,4.71791e-08
88,-452.495,1,13.538,31.9344,4.44049e-05,22.9092,12.1289,8.37265,2.00249,0.262334,0.745496,8.53912e-08,0.269602,0.821343,4.75599e-08
89,-443.869,1,13.5535,34.0367,4.44049e-05,22.7436,10.8047,8.37265,2.06626,0.252082,0.798799,8.59167e-08,0.248971,0.856698,5.26429e-08
90,-444.999,1,13.6209,35.4505,4.44049e-05,22.7292,11.6785,8.37265,2.01214,0.257921,0.739785,9.34974e-08,0.25204,0.894343,5.45533e-08
91,-454.993,1,13.4967,34.7598,4.44049e-05,22.6033,12.032,8.37265,1.9075,0.260973,0.706643,1.03335e-07,0.247158,0.892529,5.15263e-08
92,-461.042,1,13.5137,34.7563,4.44049e-05,22.9139,12.4329,8.37265,1.90995,0.26387,0.752288,9.57201e-08,0.258597,0.820401,4.35845e-08
93,-453.251,1,13.669,32.7396,4.44049e-05,22.4933,11.9842,8.37265,1.94682,0.261681,0.830393,9.40471e-08,0.272453,0.80285,4.54356e-08
94,-459.637,1,13.5843,30.9227,4.44049e-05,22.5404,12.3375,8.37265,1.97469,0.266077,0.857506,8.52069e-08,0.273837,0.783971,3.61184e-08
95,-465.671,1,13.4741,30.4294,4.44049e-05,23.0246,12.6768,8.37265,1.92114,0.256261,0.812706,8.83138e-08,0.272897,0.782795,3.70023e-08
96,-471.573,1,13.5801,31.935,4.44049e-05,22.7842,12.2188,8.37265,1.8334,0.262618,0.835669,8.31842e-08,0.278026,0.789518,3.94503e-08
97,-470.511,1,13.6464,28.8944,4.44049e-05,23.013,11.6364,8.37265,1.86907,0.263619,0.915485,7.2678e-08,0.295767,0.803603,3.49969e-08
98,-486.257,1,13.7067,28.1533,4.44049e-05,23.5453,11.4127,8.37265,1.90424,0.261505,0.831357,5.05119e-08,0.284903,0.848988,2.90583e-08
99,-481.88,1,13.5363,27.3797,4.44049e-05,23.4692,12.8333,8.37265,1.94053,0.262721,0.82832,5.79203e-08,0.282912,0.81595,2.74072e-08
100,-491.535,1,13.5727,26.2024,4.44049e-05,23.4888,13.0123,8.37265,1.84488,0.26594,0.855431,5.7142e-08,0.280328,0.81379,2.6397e-08
101,-496.169,1,13.5158,26.6288,4.44049e-05,23.238,12.5771,8.37265,1.86546,0.248045,0.773778,5.55658e-08,0.271679,0.800972,2.70417e-08
102,-500.719,1,13.5483,24.7403,4.44049e-05,23.8879,12.087,8.37265,1.85777,0.262361,0.857989,4.87808e-08,0.26435,0.8392,2.26928e-08
103,-503.926,1,13.4783,24.9189,4.44049e-05,23.8165,12.7327,8.37265,1.88754,0.254365,0.823594,5.08346e-08,0.259691,0.777739,2.09937e-08
104,-499.282,1,13.4662,27.0785,4.44049e-05,23.9779,12.5814,8.37265,1.95966,0.254473,0.761712,5.05019e-08,0.252602,0.78426,2.17068e-08
105,-496.636,1,13.5637,26.8431,4.44049e-05,23.5601,12.7779,8.37265,1.90434,0.274551,0.824363,5.05324e-08,0.263307,0.832235,2.17834e-08
106,-507.614,1,13.4651,26.9774,4.44049e-05,23.5983,12.3963,8.37265,1.88496,0.267411,0.824381,4.65619e-08,0.254842,0.777961,1.97834e-08
107,-507.551,1,13.5703,27.498,4.44049e-05,23.6039,11.5873,8.37265,1.86636,0.279389,0.777239,4.80624e-08,0.251856,0.806748,2.01918e-08
108,-503.538,1,13.5314,28.4064,4.44049e-05,23.6288,11.5075,8.37265,1.94265,0.260206,0.793051,4.65579e-08,0.282914,0.784459,1.80507e-08
109,-497.92,1,13.5522,25.3054,4.44049e-05,23.7321,12.6955,8.37265,1.96975,0.266605,0.871634,4.76629e-08,0.266694,0.811235,1.78241e-08
110,-496.914,1,13.5442,23.0503,4.44049e-05,24.1189,12.7186,8.37265,1.90928,0.276596,0.836697,5.87742e-08,0.256807,0.881708,1.72919e-08
111,-499.762,1,13.4664,23.2989,4.44049e-05,24.5884,12.5705,8.37265,1.90657,0.273497,0.844567,5.46371e-08,0.243934,0.849332,1.86818e-08
112,-489.439,1,13.4093,24.9729,4.44049e-05,23.9173,12.7904,8.37265,1.96026,0.258064,0.918531,5.80883e-08,0.248663,0.905825,1.88085e-08
113,-504.643,1,13.4999,23.7957,4.44049e-05,23.8441,13.1347,8.37265,1.86518,0.262,0.867031,5.67809e-08,0.268403,0.841952,1.62466e-08
114,-518.099,1,13.5045,22.419,4.44049e-05,24.0165,12.7248,8.37265,1.85445,0.261044,0.856954,5.06889e-08,0.252519,0.774138,1.49012e-08
115,-453.536,1,13.5087,22.6924,4.44049e-05,23.9187,13.4794,8.37265,1.86125,0.256831,0.838259,4.69121e-08,0.243226,0.803938,1.33405e-07
116,-464.67,1,13.5358,22.325,4.44049e-05,23.9772,13.8087,8.37265,1.81861,0.257219,0.880568,4.85337e-08,0.231168,0.789677,1.041e-07
117,-454.756,1,13.4973,23.7768,4.44049e-05,24.0271,12.1256,8.37265,1.88933,0.262712,0.824657,5.38741e-08,0.244642,0.828161,9.77834e-08
118,-465.634,1,13.524,23.1189,4.44049e-05,23.7954,13.4353,8.37265,1.8204,0.258942,0.935636,4.83963e-08,0.239118,0.857058,8.36894e-08
119,-468.908,1,13.5479,24.7525,4.44049e-05,23.6941,13.3815,8.37265,1.74596,0.27,0.95634,4.15628e-08,0.258277,0.87892,9.50816e-08
120,-467.389,1,13.5523,27.7019,4.44049e-05,23.3923,14.2154,8.37265,1.74535,0.264988,1.04347,4.47557e-08,0.245035,0.899487,8.9521e-08
121,-469.775,1,13.5595,28.0502,4.44049e-05,23.0136,14.1479,8.37265,1.75314,0.269548,1.0339,4.20755e-08,0.248279,0.863268,8.73662e-08
122,-464.282,1,13.5271,31.7202,4.44049e-05,22.8416,14.2571,8.37265,1.84185,0.259217,1.04035,4.29708e-08,0.253403,0.810151,8.24248e-08
123,-464.794,1,13.4885,31.9858,4.44049e-05,22.8195,13.5031,8.37265,1.85225,0.260506,0.999925,4.14847e-08,0.243833,0.844424,8.37638e-08
124,-467.819,1,13.5018,28.9466,4.44049e-05,22.9831,13.3409,8.37265,1.87285,0.266273,1.00618,4.10274e-08,0.235956,0.839277,7.24361e-08
125,-471.571,1,13.4883,27.6373,4.44049e-05,22.7113,14.356,8.37265,1.88042,0.265724,1.06101,4.10579e-08,0.2368,0.785202,6.30996e-08
126,-476.936,1,13.4399,28.3853,4.44049e-05,22.7541,14.1549,8.37265,1.86015,0.269106,1.02384,4.27575e-08,0.231012,0.774641,5.74918e-08
127,-468.02,1,13.5081,27.4919,4.44049e-05,22.6501,14.9053,8.37265,1.91548,0.257014,1.11417,4.15504e-08,0.234174,0.821105,5.98119e-08
128,-470.293,1,13.3291,24.2425,4.44049e-05,23.203,15.3888,8.37265,1.91121,0.262226,1.12513,3.89818e-08,0.239975,0.776719,5.99705e-08
129,-474.855,1,13.4542,26.1413,4.44049e-05,23.2889,14.6659,8.37265,1.87913,0.249543,1.11594,4.15946e-08,0.234062,0.792954,5.68568e-08
130,-472.432,1,13.5792,24.7459,4.44049e-05,23.1097,14.6905,8.37265,1.81373,0.260903,1.13062,5.25534e-08,0.23609,0.832894,5.37655e-08
131,-463.942,1,13.4917,27.1634,4.44049e-05,22.9696,14.7755,8.37265,1.8887,0.256702,1.06111,5.06281e-08,0.228984,0.860069,6.28061e-08
132,-479.794,1,13.3756,24.7571,4.44049e-05,23.3753,14.0998,8.37265,1.74904,0.260545,1.01161,5.16103e-08,0.238951,0.80025,6.12998e-08
133,-470.032,1,13.265,22.2153,4.44049e-05,23.2546,14.4572,8.37265,1.83247,0.248353,1.0862,4.97927e-08,0.245239,0.789324,6.41999e-08
134,-464.137,1,13.4665,24.0711,4.44049e-05,23.3778,15.6203,8.37265,1.86944,0.268384,1.09881,4.66861e-08,0.254083,0.773732,6.65863e-08
135,-466.734,1,13.4831,24.0844,4.44049e-05,23.0348,14.7367,8.37265,1.79586,0.256865,1.22831,5.23678e-08,0.227301,0.823617,6.79912e-08
136,-467.562,1,13.5115,24.2159,4.44049e-05,23.4688,13.9211,8.37265,1.82596,0.252635,1.21694,4.76573e-08,0.235313,0.794154,6.76273e-08
137,-470.622,1,13.4003,21.7253,4.44049e-05,23.6824,14.822,8.37265,1.79631,0.252183,1.1371,4.98016e-08,0.239946,0.742791,7.24723e-08
138,-463.69,1,13.533,23.4138,4.44049e-05,23.6993,15.1512,8.37265,1.84363,0.262588,1.17198,4.9966e-08,0.230189,0.766504,7.32881e-08
139,-471.661,1,13.5317,23.1768,4.44049e-05,23.2467,14.2646,8.37265,1.81877,0.26272,1.04523,4.69433e-08,0.242538,0.743624,7.11364e-08
140,-476.131,1,13.4168,22.6827,4.44049e-05,23.6606,15.0535,8.37265,1.78198,0.257551,1.09862,4.73162e-08,0.244096,0.734235,6.71289e-08
141,-482.673,1,13.4717,21.9506,4.44049e-05,23.6203,15.2072,8.37265,1.72964,0.266144,1.0494,4.48767e-08,0.247584,0.703081,7.09899e-08
142,-490.3,1,13.4695,21.961,4.44049e-05,24.2685,14.1556,8.37265,1.72768,0.263157,1.05062,3.27703e-08,0.265956,0.701545,7.1539e-08
143,-493.505,1,13.5611,20.3306,4.44049e-05,24.7125,13.6744,8.37265,1.76923,0.268122,0.971241,3.1446e-08,0.275206,0.665199,6.28616e-08
144,-479.214,1,13.5109,20.6604,4.44049e-05,24.2168,13.9055,8.37265,1.84078,0.25811,1.01944,3.40424e-08,0.279542,0.736327,6.48786e-08
145,-487.342,1,13.467,20.6621,4.44049e-05,24.179,14.4585,8.37265,1.8123,0.259961,0.988209,2.95294e-08,0.301575,0.725866,6.03276e-08
146,-475.034,1,13.4775,22.1698,4.44049e-05,24.1143,14.4904,8.37265,1.8896,0.269354,1.00241,3.17781e-08,0.283292,0.754566,6.40747e-08
147,-485.033,1,13.6136,21.2928,4.44049e-05,23.9274,15.009,8.37265,1.85279,0.274247,1.04414,2.73446e-08,0.290272,0.649216,6.42174e-08
148,-484.655,1,13.6514,21.93,4.44049e-05,24.1766,14.0471,8.37265,1.7738,0.280709,1.03378,2.77376e-08,0.281159,0.712689,7.72707e-08
149,-486.121,1,13.4519,21.2617,4.44049e-05,24.5897,13.3673,8.37265,1.79462,0.267096,0.989505,2.73778e-08,0.296942,0.669572,7.69216e-08
150,-489.196,1,13.448,20.5831,4.44049e-05,24.6046,13.5976,8.37265,1.77259,0.259753,1.00455,2.72462e-08,0.315667,0.689604,6.95025e-08
151,-484.323,1,13.4374,21.7764,4.44049e-05,24.2596,14.2107,8.37265,1.81956,0.26112,1.02327,2.89229e-08,0.311601,0.733695,6.12178e-08
152,-485.338,1,13.42,20.3306,4.44049e-05,24.3169,13.6832,8.37265,1.82236,0.267971,1.02653,3.23482e-08,0.312603,0.716328,5.1993e-08
153,-476.625,1,13.4361,19.3524,4.44049e-05,23.9348,13.9633,8.37265,1.93484,0.265383,1.02379,3.38236e-08,0.309681,0.715867,4.74659e-08
154,-485.649,1,13.5313,18.9115,4.44049e-05,24.3043,14.2022,8.37265,1.86358,0.281361,1.03732,2.87683e-08,0.317053,0.726115,4.63822e-08
155,-488.744,1,13.5446,17.9531,4.44049e-05,24.6233,13.6398,8.37265,1.84214,0.280081,1.02102,3.11636e-08,0.317581,0.679165,4.50951e-08
156,-494.275,1,13.4322,17.9457,4.44049e-05,24.4543,13.9044,8.37265,1.82372,0.27371,1.01971,3.03253e-08,0.316214,0.673864,4.24543e-08
157,-490.72,1,13.523,17.204,4.44049e-05,25.0469,14.0788,8.37265,1.78584,0.270724,1.01308,3.23922e-08,0.300648,0.723902,5.05662e-08
158,-475.84,1,13.6886,16.6071,4.44049e-05,25.1597,13.2546,8.37265,1.86569,0.270526,1.0234,3.27145e-08,0.323777,0.798965,5.27052e-08
159,-479.938,1,13.5409,18.9836,4.44049e-05,25.2502,12.7944,8.37265,1.92388,0.264761,0.885564,3.72511e-08,0.3093,0.751498,4.41318e-08
160,-476.569,1,13.405,19.4202,4.44049e-05,25.4713,13.8418,8.37265,1.88191,0.263657,0.98532,4.23078e-08,0.311593,0.765299,4.36578e-08
161,-491.826,1,13.4865,18.9863,4.44049e-05,25.3243,13.2504,8.37265,1.80714,0.267458,0.962955,4.17038e-08,0.302671,0.719278,3.75309e-08
162,-492.187,1,13.4877,19.3242,4.44049e-05,25.0886,14.2372,8.37265,1.77101,0.264117,0.93089,3.53967e-08,0.309796,0.795481,4.56375e-08
163,-501.573,1,13.3595,19.9768,4.44049e-05,24.9103,13.5351,8.37265,1.75552,0.250883,0.922865,3.1347e-08,0.316592,0.787898,4.16808e-08
164,-499.285,1,13.5026,20.5308,4.44049e-05,24.6905,14.1176,8.37265,1.77265,0.260811,0.892266,3.28245e-08,0.321183,0.842632,3.71639e-08
165,-499.765,1,13.396,19.8493,4.44049e-05,24.7119,12.1339,8.37265,1.8752,0.252492,0.870622,2.95615e-08,0.308572,0.761054,3.53548e-08
166,-509.609,1,13.4021,19.9975,4.44049e-05,24.8025,12.6056,8.37265,1.77598,0.253883,0.928124,2.47747e-08,0.311633,0.789019,3.75142e-08
167,-509.223,1,13.5112,20.9345,4.44049e-05,24.8663,12.7001,8.37265,1.83113,0.260681,0.841467,2.19143e-08,0.320774,0.805901,3.65362e-08
