iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
95,43.2749,1,13.4372,36.9813,20.9034,16.6647,1.67384,0.00232465,1.62483,0.249769,1.53002,1.00528e-07,0.681693
96,46.8214,1,13.4615,40.424,20.9034,16.6879,1.67384,0.00246075,1.62483,0.25074,1.54385,9.94337e-08,0.765481
97,47.1016,1,13.5413,34.1725,20.9034,16.9653,1.67384,0.00276891,1.62483,0.264446,1.31613,1.12344e-07,0.701047
98,51.9814,1,13.4314,35.9433,20.9034,17.4125,1.67384,0.00287689,1.62483,0.252497,1.24173,1.29106e-07,0.702742
99,51.1482,1,13.5105,40.7281,20.9034,16.4963,1.67384,0.00264985,1.62483,0.25633,1.31745,1.32822e-07,0.672249
100,54.6461,1,13.4002,39.2193,20.9034,16.8358,1.67384,0.0023876,1.62483,0.256493,1.39934,1.28453e-07,0.701987
101,52.0025,1,13.4714,36.5659,20.9034,17.5664,1.67384,0.00230147,1.62483,0.260912,1.42976,1.37164e-07,0.68745
102,54.4398,1,13.4938,36.0062,20.9034,16.9061,1.67384,0.00230741,1.62483,0.261513,1.46324,1.35529e-07,0.689394
103,59.6415,1,13.6016,38.2725,20.9034,16.2024,1.67384,0.00253258,1.62483,0.273159,1.59159,1.36287e-07,0.692274
104,58.8462,1,13.5556,38.9311,20.9034,16.0354,1.67384,0.0026221,1.62483,0.260661,1.56214,1.35753e-07,0.707045
105,69.3797,1,13.7005,38.2618,20.9034,15.8342,1.67384,0.00261133,1.62483,0.275674,1.49449,1.50437e-07,0.719274
106,46.0807,1,13.7033,48.2871,20.9034,16.4559,1.67384,0.00227723,1.62483,0.2727,1.47409,1.28252e-07,0.686997
107,41.1181,1,13.5024,39.2633,20.9034,16.6463,1.67384,0.00214082,1.62483,0.259862,1.48992,1.25614e-07,0.618343
108,39.6029,1,13.4307,37.6857,20.9034,17.0227,1.67383,0.00193726,1.62483,0.25836,1.4559,1.32894e-07,0.63721
109,43.092,1,13.6537,45.6225,20.9034,16.0667,1.67383,0.00178999,1.62483,0.273524,1.48409,1.34703e-07,0.660309
110,51.3115,1,13.5078,48.4253,20.9034,16.7072,1.67383,0.00171924,1.62483,0.266402,1.64636,1.3607e-07,0.732457
111,52.8292,1,13.3468,44.2868,20.9034,17.6956,1.67383,0.00187504,1.62483,0.267872,1.54656,1.65722e-07,0.72302
112,61.0743,1,13.4386,48.0316,20.9034,17.6614,1.67384,0.00212689,1.62483,0.255157,1.63229,1.62888e-07,0.719186
113,67.8416,1,13.4892,45.0252,20.9034,17.6274,1.67384,0.00262514,1.62483,0.259022,1.54701,1.76892e-07,0.796629
114,56.6849,1,13.5606,41.9762,20.9034,16.5611,1.67383,0.00224486,1.62483,0.266708,1.5173,1.59667e-07,0.711065
115,55.3492,1,13.5528,44.6014,20.9034,16.6839,1.67383,0.00212148,1.62483,0.2756,1.4094,1.62906e-07,0.664175
116,49.5165,1,13.4796,45.2669,20.9034,16.4351,1.67383,0.00198277,1.62483,0.261522,1.62981,1.50596e-07,0.685848
117,50.8871,1,13.5589,40.7432,20.9034,16.0033,1.67383,0.00208787,1.62483,0.25852,1.65632,1.48126e-07,0.662602
118,54.0386,1,13.6098,46.8256,20.9034,16.8649,1.67383,0.00218707,1.62483,0.270333,1.63511,1.51793e-07,0.650057
119,58.4922,1,13.4209,40.9262,20.9034,17.485,1.67383,0.0025702,1.62483,0.255046,1.68969,1.61895e-07,0.640245
120,51.4755,1,13.4452,42.7669,20.9034,18.4769,1.67383,0.00229649,1.62483,0.258308,1.63168,1.51773e-07,0.643371
121,57.5263,1,13.4389,37.9089,20.9034,16.3327,1.67383,0.00216389,1.62482,0.263425,1.59448,1.70838e-07,0.697259
122,54.5871,1,13.4847,34.7633,20.9034,15.4115,1.67383,0.00208217,1.62482,0.260154,1.48793,1.69281e-07,0.66052
123,57.5867,1,13.5614,34.1393,20.9034,16.5359,1.67383,0.00231964,1.62482,0.266492,1.45745,1.72864e-07,0.673
124,66.2972,1,13.5067,40.6675,20.9034,18.6674,1.67383,0.00257812,1.62482,0.262794,1.54992,1.86964e-07,0.65315
125,69.1759,1,13.3659,39.9339,20.9034,17.1159,1.67383,0.00248387,1.62482,0.263141,1.68578,2.02844e-07,0.686604
126,71.9581,1,13.5167,49.1083,20.9034,15.6884,1.67383,0.00247272,1.62482,0.262642,1.72273,2.04873e-07,0.68902
127,62.9569,1,13.4135,41.3933,20.9034,17.0645,1.67382,0.00230265,1.62482,0.26122,1.68714,1.8524e-07,0.679579
128,55.2967,1,13.5141,37.5508,20.9034,18.0093,1.67382,0.00276114,1.62482,0.256786,1.62594,1.69166e-07,0.588571
129,58.2612,1,13.5365,33.3739,20.9034,17.9331,1.67382,0.0024638,1.62482,0.25657,1.72717,1.54757e-07,0.604859
130,54.4183,1,13.535,37.1326,20.9034,17.5865,1.67382,0.0026443,1.62482,0.257228,1.63193,1.27839e-07,0.662602
131,51.9112,1,13.5083,37.3288,20.9034,16.6721,1.67382,0.00253415,1.62482,0.262473,1.57996,1.18689e-07,0.636071
132,55.0153,1,13.4815,36.5312,20.9034,16.0728,1.67382,0.00296171,1.62482,0.254272,1.58782,1.16355e-07,0.605888
133,40.4944,1,13.5895,35.8244,20.9034,16.7736,1.67382,0.00252614,1.62482,0.25928,1.56932,1.01051e-07,0.577666
134,45.8983,1,13.5003,39.8503,20.9034,16.6187,1.67382,0.00244558,1.62482,0.270282,1.36259,1.02901e-07,0.611086
135,34.9356,1,13.4588,36.6027,20.9034,17.7726,1.67382,0.00243086,1.62482,0.255972,1.36984,8.99006e-08,0.570153
136,41.308,1,13.3942,39.4206,20.9034,17.9909,1.67382,0.00223066,1.62482,0.26631,1.44731,9.88725e-08,0.630433
