iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Q_LMP_1,beta_Q_logtAGEA,beta_Q_logtALBGDL,beta_Q_logtPROGDL,beta_V1_ANTU_1,beta_V1_logtCLCRMLMIN,beta_V1_logtPROGDL,beta_V2_SEXF_1,beta_V2_logtHCM,beta_V2_logtRAL,omega_Cl,omega_Q,omega_V1,omega_V2
39,372.356,1,13.4806,25.6164,2.63078,1.45551,0.0488983,0.694983,1.45366,19.915,-19.2674,-0.269723,-1.42176,-0.397581,5.13414,40.403,0.337989,0.253621,0.381772,0.106518,0.405949
40,369.146,1,13.4271,25.5959,2.35503,1.42437,0.0459304,0.761668,1.38742,19.5471,-19.5877,-0.23713,-1.47809,-0.371291,5.27107,41.4753,0.267773,0.259648,0.372106,0.109713,0.39567
41,380.182,1,13.4897,25.8534,2.16735,1.54103,0.0456046,0.686481,1.31446,19.2091,-19.3982,-0.227416,-1.41988,-0.493449,5.37372,42.6706,0.254348,0.253074,0.362684,0.110813,0.385651
42,363.764,1,13.553,25.9226,2.04684,1.48053,0.0446691,0.697275,1.24904,19.1895,-19.366,-0.216059,-1.42068,-0.442076,5.41955,43.0352,0.24976,0.25771,0.3535,0.108008,0.375886
43,353.698,1,13.5436,25.747,2.03974,1.34671,0.0456473,0.731827,1.23595,19.6452,-19.5853,-0.211509,-1.42757,-0.417795,5.41878,43.8464,0.263373,0.258984,0.34455,0.105273,0.366369
44,354.128,1,13.5059,26.0126,1.77236,1.36873,0.0438514,0.674327,1.39234,19.5117,-18.8049,-0.234635,-1.27607,-0.507831,5.73295,47.3139,0.293179,0.264893,0.335825,0.102607,0.357092
45,358.102,1,13.6182,25.9094,1.99637,1.3688,0.0468302,0.891181,1.42163,20.0484,-19.4879,-0.271278,-1.25939,-0.433868,5.49602,45.6334,0.334572,0.267581,0.327322,0.100009,0.34805
46,347.075,1,13.5897,25.6502,1.97626,1.3687,0.0427244,0.890534,1.31882,19.5695,-19.4383,-0.237263,-1.47687,-0.426683,5.50331,45.2972,0.320255,0.266578,0.319034,0.105253,0.339237
47,353.34,1,13.4895,25.8606,2.05729,1.35026,0.0467227,0.770108,1.40039,17.9542,-17.6991,-0.251955,-1.40055,-0.466889,5.32249,44.2091,0.261293,0.266711,0.310956,0.104017,0.330648
48,355.741,1,13.5163,26.0193,2.06533,1.35033,0.0485225,0.718771,1.4108,17.8984,-17.8202,-0.236363,-1.42787,-0.406855,5.28542,43.2971,0.209115,0.263214,0.303082,0.101383,0.322276
49,338.695,1,13.5492,25.805,2.43202,1.28281,0.0460964,0.732149,1.50204,18.5243,-18.3222,-0.222563,-1.36336,-0.378212,5.01834,41.115,0.281555,0.258703,0.295408,0.0988158,0.314115
50,342.545,1,13.4411,25.6446,2.41652,1.28172,0.0473325,0.764287,1.44056,18.2967,-18.137,-0.255137,-1.18599,-0.403049,5.00568,41.4293,0.220802,0.252438,0.287928,0.0963137,0.306162
51,335.007,1,13.5989,25.6844,2.60148,1.32844,0.0417443,0.805756,1.51759,18.3778,-18.1097,-0.269915,-1.30213,-0.374622,4.88862,40.437,0.228958,0.267705,0.280638,0.093875,0.29841
52,343.013,1,13.4835,25.4986,2.7246,1.35457,0.0447176,0.949285,1.39266,18.3059,-18.1285,-0.266793,-1.38025,-0.443807,4.83279,40.2926,0.207902,0.260927,0.273532,0.0961166,0.290854
53,345.52,1,13.4811,25.4986,2.53122,1.40419,0.0453748,1.07282,1.49969,18.5231,-18.3608,-0.268318,-1.46492,-0.549531,4.99694,40.9283,0.213932,0.25509,0.266606,0.0953588,0.283489
54,339.65,1,13.4884,25.6353,2.50133,1.40414,0.0441501,0.937121,1.48601,18.5915,-18.5203,-0.26016,-1.41452,-0.563426,5.08803,42.5009,0.245734,0.25847,0.259855,0.0982482,0.276311
55,345.037,1,13.3714,25.2671,2.36582,1.31703,0.0499011,0.954769,1.3961,18.4312,-18.3856,-0.248238,-1.41822,-0.487049,5.1234,41.9243,0.225682,0.253543,0.253276,0.103808,0.269315
56,338.207,1,13.5802,25.6567,2.61851,1.29048,0.0500099,0.944885,1.38598,18.6715,-18.6025,-0.247337,-1.42165,-0.472786,4.87627,40.6411,0.249262,0.255641,0.246863,0.102218,0.262495
57,336.03,1,13.5885,25.2165,2.43919,1.29051,0.0506339,1.02612,1.33535,19.3509,-19.4411,-0.20752,-1.38922,-0.479505,4.99675,42.385,0.209852,0.252568,0.240612,0.099761,0.255849
58,329.154,1,13.6664,25.0401,2.6992,1.32565,0.0457529,0.952913,1.22261,18.6978,-18.6532,-0.22292,-1.482,-0.554918,4.78964,40.2223,0.22275,0.25943,0.234519,0.097235,0.249371
59,335.163,1,13.5395,25.2171,2.58056,1.35947,0.0472723,0.95723,1.36253,18.6038,-18.5169,-0.205103,-1.588,-0.484362,4.89485,41.7917,0.237834,0.253862,0.228581,0.0947729,0.243056
60,335.256,1,13.5494,25.0926,2.56628,1.31544,0.0487719,0.95547,1.41506,18.2836,-18.3851,-0.191927,-1.57312,-0.400167,4.94548,41.444,0.241982,0.250633,0.222793,0.0925409,0.253005
61,330.592,1,13.4438,24.9481,2.47918,1.40064,0.0467491,0.986455,1.52042,18.5697,-18.474,-0.23431,-1.43912,-0.347422,4.98246,40.3769,0.186512,0.25888,0.217152,0.0901978,0.246598
62,336.549,1,13.4594,25.0191,2.31532,1.35914,0.0489359,0.883699,1.49143,18.3831,-18.4454,-0.246458,-1.43253,-0.4615,5.03275,41.3559,0.198131,0.254093,0.211654,0.0923582,0.240354
63,329.965,1,13.4844,25.1657,2.38722,1.41306,0.0467277,0.901184,1.49669,19.0905,-19.1739,-0.257895,-1.3952,-0.492293,4.92457,40.5412,0.145155,0.249858,0.206295,0.0900197,0.234268
64,326.987,1,13.5451,25.2485,2.37373,1.30291,0.0499016,0.918107,1.43766,19.1393,-19.3128,-0.252562,-1.24968,-0.432477,4.98248,41.7054,0.215377,0.265394,0.201071,0.0877403,0.228337
65,313.759,1,13.5273,25.5146,2.36116,1.34223,0.0461262,0.866238,1.335,18.9234,-18.9662,-0.241743,-1.22759,-0.404188,5.12564,43.0067,0.244451,0.258675,0.19598,0.0855187,0.222555
66,313.916,1,13.4614,25.2622,2.31274,1.29967,0.0452347,0.872546,1.26033,18.7707,-18.8682,-0.201417,-1.25024,-0.382496,5.16332,44.7264,0.256541,0.256856,0.191018,0.0873051,0.21692
67,313.335,1,13.461,25.137,2.41903,1.29968,0.0460684,0.885653,1.42894,18.9257,-18.7231,-0.203528,-1.32243,-0.498214,5.06166,43.8698,0.260769,0.258753,0.186181,0.0871114,0.211427
68,316.835,1,13.5092,25.429,2.25446,1.32941,0.0435292,0.863685,1.6113,19.4557,-19.0642,-0.224568,-1.37312,-0.437543,5.20383,44.0544,0.271465,0.253888,0.181467,0.0884135,0.207538
69,312.1,1,13.5788,25.618,2.15204,1.29794,0.0417971,0.875846,1.63596,19.0326,-18.4941,-0.245285,-1.33803,-0.532867,5.38368,45.926,0.268503,0.257311,0.176872,0.0991299,0.205377
70,318.136,1,13.4776,25.469,2.31259,1.29797,0.0422474,0.956802,1.51398,19.026,-18.7176,-0.244913,-1.41807,-0.574434,5.32783,45.3189,0.289542,0.257338,0.172393,0.118406,0.200177
71,315.967,1,13.4624,25.2751,2.25371,1.33447,0.0427262,0.965945,1.58924,18.7877,-18.409,-0.279826,-1.39083,-0.580575,5.31536,44.3875,0.289143,0.255293,0.168028,0.115408,0.195108
72,322.165,1,13.5369,25.0516,2.20391,1.43782,0.0411953,0.962886,1.45052,18.4406,-18.1041,-0.246512,-1.50267,-0.592153,5.27691,43.86,0.252109,0.269282,0.163774,0.112486,0.190168
73,319.336,1,13.5107,25.107,2.36163,1.43777,0.0403779,0.996553,1.42562,18.4129,-18.1148,-0.24323,-1.43921,-0.632722,5.24465,43.1402,0.235166,0.262463,0.160437,0.109638,0.185353
74,312.483,1,13.5025,25.4214,2.50293,1.40334,0.042343,0.958932,1.48258,18.319,-17.8565,-0.310427,-1.33214,-0.529665,5.07532,41.2977,0.250405,0.267681,0.156375,0.106862,0.180659
75,308.077,1,13.4346,25.1995,2.58887,1.42973,0.0391294,0.957762,1.43545,18.1784,-17.8798,-0.316359,-1.26875,-0.518245,4.88528,39.048,0.241984,0.260903,0.152415,0.104156,0.176085
76,302.269,1,13.4148,25.315,2.67707,1.3297,0.039337,0.993406,1.46009,18.0131,-17.7639,-0.325865,-1.26088,-0.637106,4.82949,38.7826,0.247907,0.267121,0.148556,0.106804,0.171626
77,311.669,1,13.3812,25.3146,2.66199,1.35641,0.0426639,0.992206,1.35392,18.0814,-17.9816,-0.336138,-1.25377,-0.583985,4.87772,39.471,0.252281,0.260358,0.144795,0.105181,0.175322
78,311.369,1,13.4603,25.463,2.47409,1.35647,0.0444476,0.972686,1.42327,17.8165,-17.6208,-0.288776,-1.15381,-0.562286,5.03764,40.4662,0.276597,0.256319,0.141128,0.102518,0.171795
79,305.141,1,13.5016,25.4985,2.32215,1.31287,0.0452658,0.880634,1.51235,17.8627,-17.6558,-0.276754,-1.26414,-0.459847,5.13068,41.9018,0.228498,0.25423,0.137555,0.101373,0.167445
80,301.64,1,13.5022,25.4378,2.25323,1.31283,0.044997,0.847936,1.58317,18.0287,-17.6264,-0.275061,-1.28488,-0.477369,5.25398,43.0192,0.228871,0.256727,0.134072,0.0988064,0.163205
81,292.148,1,13.5654,25.4548,2.26645,1.28189,0.0437883,0.855695,1.61685,18.205,-17.6876,-0.279183,-1.3749,-0.549001,5.25756,42.5808,0.198059,0.25345,0.130677,0.0963045,0.159073
82,300.605,1,13.5559,25.635,2.28141,1.31892,0.0424001,0.857585,1.6093,17.9682,-17.5281,-0.302757,-1.29678,-0.479112,5.22646,41.6089,0.208986,0.264607,0.131371,0.0938661,0.162313
83,294.001,1,13.5792,25.3188,2.21496,1.35334,0.0436348,0.847146,1.60737,17.9975,-17.5678,-0.272636,-1.20842,-0.500709,5.30988,42.8793,0.229662,0.260448,0.128044,0.0914893,0.158203
84,290.625,1,13.5004,25.3086,2.28123,1.37381,0.042488,0.799765,1.64151,17.8731,-17.5657,-0.280016,-1.31047,-0.482051,5.18495,41.9779,0.214249,0.263558,0.124802,0.0891727,0.154197
85,291.94,1,13.5576,25.2801,2.27819,1.30086,0.0433683,0.882362,1.55792,17.9116,-17.8688,-0.263732,-1.40143,-0.482701,5.21052,42.703,0.234784,0.259165,0.121642,0.0869148,0.150293
86,290.447,1,13.552,25.1121,2.3067,1.28657,0.0458336,0.842246,1.53376,17.6943,-17.5897,-0.25877,-1.37448,-0.438884,5.14226,42.0133,0.254653,0.252602,0.118562,0.0847141,0.146487
87,303.41,1,13.4878,25.3536,2.39414,1.39173,0.0462463,0.864423,1.56088,17.8904,-17.976,-0.281145,-1.32234,-0.497173,5.08065,41.5629,0.265066,0.25128,0.11556,0.0848926,0.156598
88,290.732,1,13.4371,25.7394,2.52282,1.33589,0.045284,0.838668,1.505,17.6188,-17.6729,-0.284451,-1.35631,-0.483604,4.95806,40.0764,0.251142,0.249009,0.112634,0.082743,0.152633
89,284.01,1,13.5859,25.5079,2.37855,1.36667,0.0418644,0.873236,1.50376,17.7503,-17.9128,-0.260056,-1.40404,-0.412471,5.13611,41.0446,0.258086,0.257056,0.109782,0.0819673,0.148768
90,291.054,1,13.4723,25.514,2.32081,1.38454,0.0425088,0.880952,1.5431,17.9951,-18.1934,-0.271463,-1.35362,-0.463597,5.15178,41.791,0.248528,0.255025,0.107002,0.0806802,0.145002
91,298.202,1,13.5205,25.517,2.321,1.3447,0.0465925,0.889575,1.56889,17.9034,-18.0851,-0.250727,-1.42836,-0.380711,5.14726,42.0857,0.247107,0.257651,0.117051,0.0873452,0.14133
92,306.638,1,13.5515,25.3762,2.23544,1.44939,0.0457696,0.91712,1.49939,17.7031,-18.1052,-0.23904,-1.35331,-0.46852,5.24283,43.2189,0.260576,0.259244,0.118555,0.0921823,0.137751
93,296.035,1,13.538,25.0681,2.30684,1.40624,0.0438636,0.895367,1.56859,17.6794,-18.0673,-0.203481,-1.34795,-0.355293,5.13204,42.3731,0.262908,0.259894,0.115553,0.103573,0.134263
94,294.595,1,13.4873,25.2827,2.28648,1.35157,0.0452098,0.926136,1.4959,17.6845,-18.1141,-0.221551,-1.44533,-0.37643,5.15437,42.9089,0.276339,0.259376,0.112627,0.102667,0.130864
95,296.405,1,13.5858,25.8675,2.38214,1.28439,0.0454475,0.931484,1.42804,17.6027,-18.0162,-0.281437,-1.42621,-0.357137,5.0152,41.2947,0.29534,0.257562,0.123153,0.100067,0.134098
96,292.596,1,13.5751,26.1037,2.39943,1.20648,0.0470466,0.942725,1.36654,17.4577,-17.7974,-0.30216,-1.45129,-0.41631,5.04661,41.4817,0.29681,0.255303,0.122009,0.0975333,0.142152
97,295.937,1,13.4176,25.467,2.48286,1.28652,0.0483904,0.905247,1.38327,17.308,-17.4897,-0.31559,-1.47442,-0.393827,5.02418,41.4853,0.302615,0.25234,0.118919,0.0968762,0.138552
98,301.058,1,13.4354,25.3442,2.42641,1.32076,0.043748,0.911343,1.29495,17.4424,-17.6601,-0.313112,-1.48434,-0.46265,5.08168,42.2902,0.290566,0.265083,0.115908,0.103063,0.147563
99,293.99,1,13.511,24.911,2.54778,1.26467,0.0446171,0.90704,1.195,17.5247,-17.7485,-0.283408,-1.46879,-0.447585,5.02924,41.5005,0.278033,0.264175,0.112973,0.100454,0.1513
100,296.502,1,13.4854,24.7198,2.62466,1.35476,0.042868,0.846216,1.17445,17.0544,-17.2397,-0.259379,-1.42283,-0.367302,4.93402,40.6941,0.254675,0.266637,0.110113,0.0979102,0.147583
101,294.054,1,13.4866,25.4012,2.56643,1.33107,0.0451953,0.795755,1.22,17.1042,-17.1921,-0.260605,-1.41692,-0.352847,5.00005,41.5165,0.274469,0.2656,0.107325,0.095431,0.143846
102,301.6,1,13.5724,25.1568,2.61295,1.32185,0.0489233,0.771594,1.18238,16.805,-16.8327,-0.265979,-1.37554,-0.398426,5.0013,41.6469,0.313481,0.258875,0.115021,0.0930146,0.140789
103,296.44,1,13.5182,25.1352,2.45719,1.30532,0.0481971,0.772348,1.20266,17.2134,-17.13,-0.252175,-1.39138,-0.401274,5.12738,42.0327,0.280652,0.25641,0.112108,0.0906595,0.145515
104,297.189,1,13.4811,24.9849,2.28758,1.30527,0.0471535,0.801287,1.2344,17.127,-17.0138,-0.263487,-1.47609,-0.375935,5.34501,44.2724,0.287108,0.255108,0.10927,0.0979532,0.141831
105,295.162,1,13.4066,25.3468,2.26269,1.30526,0.0470692,0.784649,1.31612,16.8299,-16.6966,-0.297097,-1.46762,-0.471485,5.31121,43.692,0.271554,0.253278,0.109121,0.0954729,0.138239
106,300.286,1,13.5411,24.7867,2.24153,1.28709,0.0473358,0.823689,1.27916,17.215,-17.1261,-0.279343,-1.40436,-0.529333,5.3878,44.3212,0.25771,0.265715,0.117136,0.0952583,0.136667
107,301.751,1,13.5462,24.8077,2.20004,1.31733,0.0428255,0.768041,1.2738,16.8744,-16.7656,-0.239118,-1.51077,-0.460317,5.37705,44.6368,0.268625,0.263144,0.125762,0.101367,0.147665
108,301.671,1,13.4547,24.8694,2.18514,1.36598,0.0415436,0.766252,1.3228,17.0688,-16.9846,-0.276907,-1.60005,-0.330139,5.43486,44.7731,0.27502,0.258493,0.137117,0.103464,0.143926
109,296.038,1,13.3844,25.3654,2.24952,1.366,0.0423026,0.795044,1.34681,17.3406,-17.2239,-0.288214,-1.3645,-0.40177,5.32287,43.9826,0.278423,0.263203,0.133646,0.104585,0.140282
110,296.679,1,13.5007,24.9438,2.17215,1.36596,0.0424309,0.823663,1.30927,17.4078,-17.3413,-0.297475,-1.51343,-0.377143,5.40759,44.9047,0.282863,0.256538,0.130262,0.106177,0.13673
111,287.205,1,13.503,25.1503,2.2088,1.33369,0.0421409,0.841394,1.29115,17.5648,-17.5253,-0.278305,-1.44338,-0.339409,5.3713,44.4318,0.302938,0.250766,0.126963,0.103489,0.133267
112,282.838,1,13.4904,25.3132,2.15177,1.28672,0.0416256,0.902338,1.3285,18.0827,-17.9891,-0.312103,-1.45717,-0.376473,5.47266,45.0885,0.324034,0.252686,0.123748,0.106841,0.129893
113,293.881,1,13.5818,25.3311,2.1687,1.318,0.0427799,0.924491,1.30294,17.9956,-18.0671,-0.340617,-1.49233,-0.473083,5.43592,45.0638,0.299052,0.267462,0.120615,0.10768,0.126604
114,304.514,1,13.5069,25.1953,2.23155,1.38254,0.0442592,0.929507,1.213,17.6479,-17.7163,-0.285188,-1.51255,-0.530007,5.44028,45.0574,0.297965,0.26069,0.131444,0.104954,0.128115
115,292.272,1,13.4455,24.83,2.26801,1.35735,0.0411046,1.01093,1.24993,17.8453,-17.8639,-0.261934,-1.49516,-0.425631,5.35809,44.6949,0.310828,0.260153,0.128116,0.103886,0.124871
116,287.188,1,13.4738,25.2937,2.30461,1.35732,0.0409514,0.980758,1.30171,18.1765,-18.0776,-0.278483,-1.46006,-0.409619,5.30768,44.2174,0.30447,0.258781,0.124872,0.101256,0.12171
117,295.001,1,13.3733,25.4773,2.21762,1.28426,0.046922,0.993665,1.27404,18.2305,-17.979,-0.292203,-1.57137,-0.457961,5.39963,44.8787,0.287255,0.256294,0.131228,0.0986919,0.118628
118,287.609,1,13.5808,25.5131,2.13146,1.28425,0.0477545,0.957075,1.32992,18.239,-17.9345,-0.333739,-1.46694,-0.49068,5.42129,44.9174,0.26382,0.254726,0.127905,0.096193,0.115624
119,286.624,1,13.4901,25.6399,2.06529,1.28421,0.0455656,0.910546,1.281,18.2324,-17.9651,-0.305127,-1.51095,-0.460025,5.53436,45.9273,0.254261,0.25591,0.124667,0.101681,0.112696
120,287.171,1,13.4509,25.6086,1.95051,1.40781,0.0380817,0.876165,1.31022,18.359,-18.1181,-0.303149,-1.4741,-0.43627,5.63666,46.7749,0.275433,0.250314,0.12151,0.099106,0.111794
121,283.881,1,13.4717,25.5655,1.94799,1.40777,0.0373665,0.881987,1.35675,18.0163,-17.7715,-0.275551,-1.38473,-0.49488,5.59363,46.2864,0.279871,0.257064,0.118433,0.0965966,0.11423
122,285.023,1,13.4584,25.8235,2.04551,1.38378,0.0446568,0.871755,1.33958,17.7994,-17.6122,-0.286782,-1.29291,-0.457312,5.52047,46.2536,0.279054,0.257881,0.115435,0.0941507,0.111338
123,283.066,1,13.5596,25.2889,2.16376,1.35777,0.0435239,0.868337,1.32152,17.7987,-17.5329,-0.254581,-1.36205,-0.513435,5.37092,45.1618,0.277377,0.266046,0.112512,0.0917667,0.108519
124,289.013,1,13.5251,25.256,2.19794,1.33524,0.0425805,0.841661,1.30232,17.6373,-17.2436,-0.253492,-1.45708,-0.517292,5.37493,45.1202,0.288299,0.264902,0.109663,0.094146,0.115883
125,289.028,1,13.4644,25.2843,2.16502,1.37246,0.0430897,0.877283,1.27526,17.8443,-17.5905,-0.23464,-1.55448,-0.46632,5.38389,45.3997,0.297133,0.258194,0.120528,0.0917622,0.112948
126,281.681,1,13.5913,24.8858,2.17595,1.40139,0.0417914,0.903315,1.24572,18.2139,-17.9977,-0.207929,-1.47973,-0.411939,5.34072,45.2076,0.279417,0.252426,0.117476,0.0894387,0.110089
