iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
143,468.16,1,13.5187,39.1798,15.0136,1.4983,0.0475594,0.266479,1.22358,0.224926,0.862397
144,466.872,1,13.5864,37.0743,14.1838,1.53558,0.0459182,0.266655,1.20517,0.187737,0.980333
145,467.323,1,13.4276,43.7828,13.0757,1.56987,0.0437765,0.25629,1.31526,0.198151,0.890881
146,475.073,1,13.361,37.5983,12.3063,1.6533,0.0415105,0.258366,1.20714,0.216935,1.01261
147,471.109,1,13.38,40.4601,12.901,1.53566,0.0471304,0.25709,1.18083,0.217266,0.958282
148,469.071,1,13.5716,35.905,12.1944,1.57873,0.0433055,0.267696,1.22297,0.213836,0.914637
149,465.887,1,13.5373,38.0133,12.4014,1.6514,0.0396945,0.266609,1.20728,0.189936,0.908553
150,460.855,1,13.4995,36.7184,12.2212,1.59091,0.0434279,0.262718,1.03484,0.189407,0.898026
151,458.565,1,13.6172,35.299,12.6411,1.61786,0.0411136,0.261376,0.94386,0.211724,0.866426
152,461.99,1,13.544,36.0137,12.9245,1.61791,0.0421214,0.261667,1.00982,0.211276,0.86311
153,461.021,1,13.554,32.8091,13.671,1.62908,0.0384822,0.257112,1.0905,0.212061,0.887288
154,472.552,1,13.5684,32.9931,13.7483,1.60033,0.0429534,0.260762,1.14128,0.240954,0.96162
155,465.369,1,13.4595,32.6077,13.9387,1.55748,0.0440347,0.253615,1.03993,0.222964,0.971356
156,462.518,1,13.5548,30.5253,14.1975,1.55746,0.0429145,0.261189,0.985945,0.238649,0.912978
157,457.401,1,13.5549,29.273,13.6051,1.43512,0.0461709,0.253421,1.04342,0.235332,0.888704
158,462.59,1,13.6136,31.6674,13.5132,1.56483,0.0431093,0.27082,1.02857,0.206932,0.928405
159,465.991,1,13.6106,30.527,13.6462,1.50296,0.0487469,0.264567,1.00999,0.229218,0.887795
160,472.731,1,13.591,34.8868,13.5304,1.50309,0.0541507,0.255794,1.108,0.215871,0.875517
161,469.502,1,13.5591,33.5577,13.8908,1.50303,0.0524307,0.258159,1.11744,0.21473,0.87295
162,469.851,1,13.5153,37.8432,13.7946,1.50299,0.0508413,0.264279,1.07517,0.210022,0.954917
163,459.704,1,13.4983,35.285,14.1303,1.4669,0.048132,0.26193,1.0995,0.192992,0.886682
164,454.575,1,13.5561,35.7328,13.0126,1.42938,0.0480744,0.257791,1.03406,0.18614,0.930018
165,458.637,1,13.5133,34.6414,12.4193,1.47633,0.0466463,0.258982,1.01458,0.199421,0.946894
166,455.652,1,13.5219,33.489,13.598,1.47628,0.0459591,0.256971,0.995585,0.20365,0.929466
167,463.761,1,13.4625,31.8266,13.8971,1.41482,0.0522149,0.261843,1.07964,0.208381,0.904983
168,468.941,1,13.4679,30.5531,13.88,1.46366,0.0572695,0.265248,1.01497,0.192309,0.849745
169,470.01,1,13.5268,39.1162,12.8718,1.42817,0.0596105,0.258211,0.938551,0.212152,0.875747
170,467.352,1,13.5825,40.2831,13.6337,1.52102,0.050113,0.259287,1.00383,0.222889,0.888859
171,463.438,1,13.4812,37.2944,13.9454,1.58704,0.044479,0.261248,0.948613,0.211241,0.923917
172,459.341,1,13.5726,37.8009,14.4028,1.58704,0.0447601,0.266242,0.829954,0.230682,0.840719
173,458.183,1,13.3377,34.4232,13.9668,1.48096,0.0507722,0.252241,0.826267,0.238269,0.794584
174,458.172,1,13.4577,38.7407,13.7967,1.44141,0.0506078,0.263013,0.873577,0.237645,0.815459
175,463.666,1,13.5167,36.9293,13.6719,1.56488,0.0474335,0.253566,0.928943,0.211901,0.916087
176,469.621,1,13.5666,38.6594,13.267,1.52803,0.0496565,0.270524,1.01346,0.21062,0.952149
177,467.396,1,13.5609,36.5749,13.022,1.47957,0.0504891,0.265977,1.02445,0.200355,1.01149
178,462.704,1,13.616,30.584,12.1811,1.59175,0.0443893,0.253072,0.913795,0.200594,1.0236
179,466.949,1,13.5069,30.334,13.1499,1.64788,0.0454915,0.259213,0.943627,0.204836,0.901348
180,455.587,1,13.4909,32.4402,13.2643,1.68923,0.0372807,0.265681,0.909979,0.191288,0.854587
181,452.171,1,13.3522,30.0776,14.4154,1.60931,0.0383663,0.26363,0.878317,0.210737,0.844318
182,458.059,1,13.615,33.3204,12.9975,1.67262,0.0341669,0.271095,0.987928,0.234498,0.826877
183,459.871,1,13.6307,34.3538,13.5802,1.59768,0.0386888,0.265093,1.04023,0.243131,0.826866
184,452.629,1,13.4542,33.0248,14.4424,1.55767,0.0400615,0.265481,0.982527,0.228985,0.752225
185,453.246,1,13.5696,34.9375,14.5108,1.55763,0.0390702,0.267553,0.992264,0.220848,0.825177
186,453.941,1,13.504,37.3408,14.96,1.53805,0.04088,0.264817,1.0819,0.205044,0.806571
187,449.541,1,13.4425,35.5731,14.6062,1.56513,0.0392412,0.261188,1.00205,0.185169,0.848344
188,451.419,1,13.4058,37.2656,14.198,1.56525,0.0426155,0.261844,0.963638,0.180995,0.802671
189,454.024,1,13.4896,38.2589,14.6387,1.61568,0.043275,0.273663,0.964932,0.17208,0.77136
190,446.645,1,13.4737,44.6604,15.1847,1.52686,0.0411547,0.264273,1.00199,0.181579,0.79306
191,455.425,1,13.4846,40.0768,14.0591,1.52694,0.0451465,0.262555,1.10229,0.18121,0.832389
192,464.806,1,13.4172,45.2636,14.432,1.59196,0.0479216,0.263671,1.12604,0.179686,0.813814
193,459.604,1,13.4863,44.6827,14.3797,1.48344,0.0531696,0.247584,1.03064,0.167031,0.882264
194,456.079,1,13.5072,44.5089,14.3502,1.48345,0.0526949,0.258803,0.986723,0.156714,0.84082
195,457.075,1,13.568,44.0481,14.9622,1.51336,0.052377,0.25865,0.991226,0.170749,0.766203
196,470.893,1,13.6031,46.3378,14.6908,1.56838,0.0542388,0.265621,1.05687,0.204934,0.748777
197,462.686,1,13.5048,45.6635,14.3047,1.59819,0.0503806,0.255349,0.929554,0.213796,0.708982
198,469.681,1,13.6409,45.5186,14.0358,1.59821,0.0529983,0.274581,0.970267,0.209017,0.75676
199,462.538,1,13.5825,42.6586,13.9434,1.65454,0.0475618,0.2659,0.872782,0.219906,0.692055
200,466.995,1,13.433,43.0751,13.4733,1.68957,0.0444063,0.255351,0.953215,0.25528,0.686831
201,468.952,1,13.5802,41.0373,13.0324,1.64328,0.0488503,0.262034,0.9127,0.261331,0.68117
202,472.904,1,13.5907,43.288,13.1694,1.74207,0.047303,0.259093,0.863425,0.261883,0.696872
203,462.517,1,13.5148,41.1581,14.0968,1.61152,0.0492856,0.256021,0.786345,0.261653,0.687824
204,460.097,1,13.4295,35.7124,14.1839,1.59014,0.0497616,0.258477,0.709914,0.266227,0.698941
205,462.596,1,13.5189,39.1475,13.5901,1.61261,0.0484734,0.262485,0.726986,0.288643,0.677063
206,465.737,1,13.4171,39.2304,14.0112,1.57759,0.0464217,0.258748,0.847331,0.315987,0.707137
207,471.173,1,13.373,36.7026,14.4297,1.54062,0.052215,0.257209,0.837501,0.315794,0.73068
208,471.581,1,13.4363,40.2739,14.4241,1.66097,0.0483887,0.254778,0.807092,0.300897,0.725816
209,471.022,1,13.4988,44.7458,13.953,1.74433,0.0406596,0.258763,0.857091,0.286258,0.788608
210,465.844,1,13.3494,46.0844,14.4446,1.81326,0.0366917,0.259297,0.869592,0.242753,0.760673
211,464.89,1,13.3944,43.0151,14.0728,1.76468,0.0356184,0.267946,0.905086,0.262687,0.745946
212,460.12,1,13.4992,43.6982,13.5907,1.81051,0.0325633,0.27125,0.858686,0.251431,0.697886
213,443.787,1,13.6031,39.1255,13.3864,1.74857,0.0264481,0.269903,0.78172,0.227527,0.740973
214,450.333,1,13.512,40.4979,13.1124,1.82773,0.0255945,0.254271,0.763468,0.250129,0.752895
215,460.101,1,13.4389,41.5445,13.9651,1.79574,0.0352771,0.258639,0.845049,0.220199,0.789811
216,450.699,1,13.5568,37.7254,13.7377,1.70751,0.0299169,0.260698,0.878035,0.227808,0.841572
217,442.066,1,13.5638,33.8883,14.6762,1.70741,0.0261014,0.256481,0.805022,0.23451,0.797088
218,443.333,1,13.5138,39.1494,13.6533,1.78948,0.0181368,0.257099,0.812472,0.257613,0.777791
219,452.191,1,13.3796,38.9104,13.7459,1.86863,0.0199513,0.256458,0.832205,0.250873,0.782286
220,453.801,1,13.4642,38.8537,13.0147,1.86883,0.025321,0.261419,0.826901,0.239837,0.739732
221,451.909,1,13.5182,35.1764,13.235,1.69105,0.0288343,0.272452,0.877374,0.261305,0.798934
222,448.018,1,13.4579,33.578,13.4582,1.69104,0.0287728,0.272051,0.882761,0.242901,0.760172
223,449.683,1,13.541,35.3811,12.591,1.65475,0.0314023,0.273009,0.810371,0.253395,0.822492
224,455.217,1,13.5602,36.2619,12.7296,1.6714,0.0358588,0.264022,0.81768,0.255361,0.795304
225,459.695,1,13.5947,34.0592,13.2107,1.7841,0.0331102,0.270841,0.806931,0.247297,0.783011
226,472.106,1,13.4933,33.4993,13.7071,1.81988,0.0415675,0.266934,0.832276,0.258081,0.729684
227,461.504,1,13.5136,37.632,13.6028,1.78267,0.0363563,0.267899,0.85784,0.223609,0.763557
228,461.404,1,13.3863,38.8779,13.9006,1.75094,0.0411466,0.249992,0.860876,0.211292,0.764581
229,461.565,1,13.5783,42.7943,13.5054,1.81697,0.0376442,0.263404,0.862719,0.19512,0.780283
230,467.953,1,13.524,43.1438,13.7443,1.81706,0.0425155,0.265732,0.956679,0.188172,0.77786
231,458.092,1,13.5502,39.8675,13.1146,1.62349,0.0451998,0.257708,0.947816,0.179508,0.826183
232,456.17,1,13.5158,40.5016,12.698,1.62342,0.041427,0.258124,1.06598,0.18024,0.809693
233,456.301,1,13.613,37.7469,13.5949,1.50114,0.0461594,0.26207,1.10571,0.189236,0.819662
234,464.84,1,13.5948,32.1471,14.2226,1.57499,0.0484509,0.264729,1.05758,0.200931,0.791147
235,459.246,1,13.6177,31.0863,14.7079,1.49645,0.0502894,0.250634,1.06285,0.172701,0.897318
236,456.108,1,13.5389,36.252,13.8815,1.49639,0.0492613,0.257348,1.00382,0.179069,0.863406
237,452.853,1,13.5352,32.4119,13.4122,1.4774,0.0471559,0.263962,0.944061,0.183837,0.879798
238,452.763,1,13.5633,31.7859,13.8221,1.44278,0.0472363,0.261151,0.962194,0.186682,0.937529
239,452.898,1,13.4475,37.6333,15.4947,1.47442,0.048944,0.255786,1.00228,0.167835,0.863963
240,454.923,1,13.5671,40.0754,15.0753,1.51436,0.0498598,0.259185,0.945829,0.178483,0.801895
241,455.751,1,13.4524,37.0463,14.2033,1.4803,0.0515835,0.253055,1.01134,0.168812,0.817728
242,456.398,1,13.5262,35.6418,14.7085,1.58384,0.0475846,0.257965,1.03325,0.165829,0.7714
243,457.579,1,13.5336,33.7557,15.0044,1.58403,0.0542599,0.251067,0.974684,0.156325,0.700249
244,457.551,1,13.5325,33.9031,14.7601,1.50608,0.0539752,0.254662,1.01849,0.164697,0.754738
245,463.106,1,13.5204,37.6888,14.8899,1.5006,0.0586267,0.25729,1.03933,0.158661,0.752186
246,464.287,1,13.4826,38.3478,14.2679,1.54673,0.0550062,0.251563,1.05541,0.168394,0.786265
247,460.756,1,13.3271,40.4772,14.7609,1.4376,0.0568812,0.250081,1.04483,0.169642,0.81815
248,453.42,1,13.4611,36.0635,14.3194,1.39926,0.0541172,0.253277,1.02183,0.16466,0.840989
249,448.338,1,13.3299,36.6666,13.4702,1.48556,0.0479787,0.253957,0.918835,0.164553,0.830575
250,451.847,1,13.4421,36.5725,13.3368,1.57559,0.0440766,0.250921,0.93927,0.168551,0.870199
251,459.228,1,13.5585,38.7812,12.8529,1.68253,0.0390261,0.263222,1.07881,0.188808,0.792253
252,461.43,1,13.6005,40.2406,13.2777,1.76823,0.0372206,0.253107,1.12428,0.187573,0.744574
253,461.826,1,13.5369,34.6975,14.6113,1.65995,0.0407863,0.264348,1.10314,0.207295,0.750355
254,462.395,1,13.4578,35.8751,14.4553,1.62791,0.0395946,0.258135,1.24723,0.197148,0.830683
255,460.179,1,13.5297,39.8617,14.1386,1.62789,0.0380894,0.257871,1.23548,0.184282,0.884598
256,465.674,1,13.5853,35.7396,14.6241,1.58201,0.0442435,0.262604,1.24428,0.201261,0.826291
257,469.899,1,13.3975,32.1947,14.0963,1.68981,0.0443299,0.264422,1.07962,0.196218,0.842209
258,456.882,1,13.4041,28.3572,13.6756,1.5821,0.0419121,0.262183,1.13983,0.175587,0.840893
259,460.63,1,13.4542,31.8964,14.5231,1.60252,0.0414983,0.265891,1.13851,0.198442,0.813304
