rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
9,3,0.953961,0.972607,-0.25931,-0.429516,-1.04086,1.25403,0
0,4,-0.176521,-1.14029,0.598357,-0.0044805,0.181637,-0.0122941,0
1,4,-0.210435,-0.0254666,-0.668604,-0.501787,-0.589509,1.55985,0
2,4,-0.210786,-0.590655,-0.020517,-0.0922684,0.262441,-1.81223,0
3,4,-0.328152,-0.558499,0.293923,-0.353638,-0.718452,-0.0436055,0
4,4,-0.460319,0.0870054,-0.729076,-0.152424,-0.190035,1.41653,0
5,4,-0.404459,-0.0657114,0.0943266,-0.693586,0.536946,1.02167,0
6,4,-0.185266,-1.05671,0.598547,-0.161524,1.38329,-0.200975,0
7,4,-0.422532,-1.17689,0.258399,-0.0862568,0.350321,-1.50621,0
8,4,-0.297492,-0.257364,-0.167802,-0.180167,-0.62814,1.26023,0
9,4,-0.0987406,0.175805,-1.21605,-1.16573,-0.61948,-0.605703,0
0,5,-0.705016,-0.725964,-1.22619,0.176467,-0.796657,-0.184881,0
1,5,-0.560831,-0.794599,-1.16924,-0.285652,-0.256193,1.31304,0
2,5,-0.793803,-0.912489,-0.929374,0.309223,0.0119361,0.296484,0
3,5,-0.691601,-0.856587,-1.06192,0.33318,-1.56415,1.73702,0
4,5,-0.617452,-0.518406,-1.50794,2.32694,-0.695962,1.05223,0
5,5,-0.716253,-0.619581,-1.43313,0.333178,1.09374,0.635885,0
6,5,-0.671402,-0.686677,-1.45928,-0.494409,-2.23402,1.05284,0
7,5,-0.40964,-0.62332,-1.84572,0.256962,-1.00323,-0.774858,0
8,5,-0.56559,-0.699618,-1.26747,0.416666,-0.343316,-0.462704,0
9,5,-0.432816,-0.715978,-1.67979,0.140737,0.866823,-0.665383,0
0,6,0.457912,0.329488,0.753633,-0.541011,0.992425,-0.178241,0
1,6,0.313341,1.05393,-1.74566,-1.35026,-0.781545,0.13571,0
2,6,0.318568,0.773061,-1.37619,-0.0261892,0.526145,1.52781,0
3,6,0.323166,1.17094,-1.54298,-0.0389021,-0.799653,0.98605,0
4,6,0.250792,1.07132,-2.02709,0.962638,0.863616,-0.187357,0
5,6,0.152821,0.889832,-1.02197,-0.916631,1.32585,0.950999,0
6,6,0.368767,0.813942,-0.874242,-1.71329,0.396064,-1.0039,0
7,6,-0.0880117,1.36124,-1.57755,0.743863,-0.610231,-0.0605466,0
8,6,0.482482,0.747051,3.09776,-1.3887,-1.68998,-0.252655,0
9,6,0.244375,1.36544,-2.01681,1.27239,-0.12335,-0.60752,0
0,7,-1.86451,2.70437,0.366611,0.184542,-1.64822,0.67148,0
1,7,-1.68013,2.36846,-0.206709,0.731675,1.06827,0.739949,0
2,7,-1.73354,2.05545,0.914269,1.08627,1.65101,0.397715,0
3,7,-1.70934,1.62844,1.57264,0.950277,-1.90391,-0.433538,0
4,7,-1.71535,2.40665,0.675253,-0.0263816,0.309691,-0.0259671,0
5,7,-1.55572,2.10367,0.2137,0.738569,0.345917,0.610405,0
6,7,-1.66956,2.96662,0.18883,0.321983,0.49731,0.0727132,0
7,7,-1.78201,2.93073,-0.402739,-0.544,-1.05497,0.0537714,0
8,7,-1.8427,2.16374,1.15555,0.646873,1.06242,-0.0834575,0
9,7,-1.47922,-1.18272,2.70564,1.22201,-1.2024,-0.0492821,0
0,8,-1.29197,0.230943,0.991134,-2.02891,-0.458469,0.455744,0
1,8,-1.37497,-0.879002,1.61794,-0.519949,-0.667276,0.552728,0
2,8,-1.1106,-0.637766,0.459428,-0.895602,-0.514878,0.0905059,0
3,8,-1.43458,-0.374874,0.705741,-0.928899,-1.05059,0.864779,0
4,8,-1.25768,0.0591219,-0.392887,-1.36301,-1.43106,1.81095,0
5,8,-1.20772,-0.260727,0.775631,-1.12222,-0.232707,-0.164265,0
6,8,-1.23568,-0.823648,0.84951,-0.541617,-0.64883,0.27651,0
7,8,-1.35871,0.447621,-1.27752,-1.6729,1.29781,0.0505589,0
8,8,-1.45835,-1.95067,0.940921,0.144403,0.268877,-0.451541,0
9,8,-1.35997,0.0533079,0.311313,-1.46883,-0.983266,-1.81967,0
0,9,0.787972,-0.814675,0.744581,0.641189,0.00729889,1.93615,0
1,9,1.17341,-0.25076,0.703272,0.0932962,-0.201617,0.0698,0
2,9,1.26387,0.21166,0.661083,-0.312291,0.776944,-0.863131,0
3,9,1.27903,0.452,-0.543881,-0.304663,-0.249773,1.00817,0
4,9,1.13354,0.152607,0.188042,0.283488,1.11892,0.63639,0
5,9,1.01791,-0.214204,0.639165,0.176554,0.506315,0.897597,0
6,9,0.96281,-0.253755,0.186862,0.0687229,1.32957,1.02522,0
7,9,1.06476,-1.98536,0.920691,0.611638,-0.132924,-0.977902,0
8,9,0.820662,0.778652,-0.364239,0.893811,-1.49828,-0.481293,0
9,9,1.43724,0.0847553,0.0807701,-0.463126,0.0429718,-0.752656,0
0,10,1.16804,-0.935177,1.30137,0.59424,1.53828,0.862715,0
1,10,1.32494,0.325266,-0.152289,0.532844,1.25361,-0.0819225,0
2,10,1.79614,1.52158,-2.23968,1.4225,0.141764,0.505846,0
3,10,1.21337,0.778504,0.270959,-0.0365936,-0.714113,0.362622,0
4,10,1.06938,0.23757,0.421798,0.350818,-1.01209,-0.116067,0
5,10,1.4063,0.0442159,1.08589,0.0859607,-0.468514,-0.649285,0
6,10,1.16162,0.634418,0.187713,-0.313178,0.591295,-0.675567,0
7,10,1.37387,0.559622,-0.0776107,0.124516,-0.709621,0.480594,0
8,10,1.65484,0.875421,0.341517,-0.772059,-1.08212,-1.18647,0
9,10,1.40725,1.18808,0.578126,-1.76589,-1.21613,1.462,0
0,11,0.419917,1.20139,-1.29298,0.32996,0.226971,-2.12038,0
1,11,0.496314,-0.397735,0.188586,1.53249,-1.22207,-1.00514,0
2,11,0.297285,0.908077,-0.167321,1.59731,-0.282021,0.138418,0
3,11,0.640127,0.972518,-0.605031,1.32294,-0.856866,-1.36394,0
4,11,0.534126,0.527159,-0.267092,1.0351,0.387332,1.02085,0
5,11,0.657451,0.365395,-0.101474,0.777302,-0.425161,-1.56007,0
6,11,0.350941,0.036963,0.14022,1.18493,-0.140998,2.25015,0
7,11,0.420768,0.994256,-0.407847,1.36878,-0.535277,0.0155134,0
8,11,0.859655,0.236992,-0.119793,1.03874,-0.340435,-1.03797,0
9,11,0.898403,0.815316,-0.560418,0.747268,-1.36228,1.10803,0
0,12,0.579489,-0.329878,1.27722,-2.03219,-0.932404,1.01368,0
1,12,0.33444,-0.320236,-1.51204,-0.990413,2.885,-0.0284161,0
2,12,0.116819,-0.0456154,-1.82777,-1.20068,-0.889707,0.869178,0
3,12,0.366476,-0.994677,0.816862,-0.91914,0.301463,0.330639,0
4,12,0.138353,-0.0798577,-1.58918,-1.76722,-0.521636,-1.39249,0
5,12,0.202492,-0.0298317,-1.89908,-0.050253,-1.41749,-0.349351,0
6,12,0.247081,-0.56466,0.096539,-1.59968,0.0447056,-0.71046,0
7,12,0.452049,-0.73492,-0.244145,-1.46184,-0.53752,0.626848,0
8,12,0.394022,-0.244015,-1.8295,0.835086,-1.47271,1.01173,0
9,12,0.339763,0.0633967,-2.60638,-1.31814,0.542678,0.756423,0
0,13,-0.261106,0.332864,1.36765,1.28697,0.914406,-0.611447,0
1,13,-0.416101,1.01771,1.23104,1.18369,0.70309,0.763782,0
2,13,-0.60646,0.892745,1.22076,1.7023,0.866989,1.91398,0
3,13,-0.520952,1.58163,0.572074,1.86079,0.257027,0.303394,0
4,13,-0.322935,2.44832,-0.244546,0.761048,-0.704194,-1.45648,0
5,13,-0.807804,0.798062,0.984665,2.09895,-1.40969,-0.791171,0
6,13,-0.516908,1.96223,0.407083,1.39126,-0.573745,-0.928296,0
7,13,-0.407643,0.692825,1.16237,1.86301,-0.957632,1.99976,0
8,13,-0.432006,2.61433,-0.266805,1.43829,-0.17021,0.73522,0
9,13,-0.733749,1.55592,0.892999,1.4913,-0.117661,0.8134,0
0,14,-0.995431,0.415841,-0.236682,-1.55167,0.00900053,-0.40018,0
1,14,-0.815188,0.609896,1.08899,-2.53723,0.891183,-1.04373,0
2,14,-0.90294,0.15994,-0.195854,-0.424254,1.29784,0.327361,0
3,14,-1.13861,0.593783,-1.02462,-1.99453,1.27152,0.375698,0
4,14,-0.713487,0.471166,2.09676,-1.79315,-0.241783,-0.502154,0
5,14,-1.21383,-1.34528,1.36511,0.165245,-1.09154,-1.24731,0
6,14,-1.01065,-1.93539,1.19548,0.225439,-1.65799,-0.69684,0
7,14,-0.988656,-0.406478,0.298268,-0.348264,-0.282787,-1.29677,0
8,14,-0.790476,-0.376215,0.20821,-0.327079,0.441076,-0.589258,0
9,14,-0.812108,-0.119376,-0.243309,-0.079517,-1.36414,0.198325,0
0,15,-1.05327,-1.57255,-0.564448,-1.30898,0.448271,0.551208,0
1,15,-1.0362,-1.93706,-0.158367,-0.986437,-0.502862,0.0827187,0
2,15,-1.08066,-1.51491,-0.930116,-1.10739,-1.77966,-0.000306501,0
3,15,-1.13205,-1.92826,-0.265085,-0.947102,0.447007,-0.277037,0
4,15,-1.09506,-1.26143,-1.05869,-1.5541,-0.415935,-2.05988,0
5,15,-1.14601,-1.97591,-0.528615,-0.874158,0.170369,-1.06681,0
6,15,-1.11957,-1.68724,-0.666752,-1.10144,0.459073,1.05514,0
7,15,-1.05115,-1.31378,-1.0616,-1.34484,0.429212,0.493222,0
8,15,-1.22121,-1.80531,-0.431343,-0.73203,-1.25349,0.0232041,0
9,15,-1.32617,-1.72855,-0.19283,-1.03483,-1.03793,-0.564212,0
