iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtCLCRMLMIN,omega_Cl,omega_Q,omega_V1,omega_V2
58,480.04,1,6.73786,25.0754,14.2614,1.41295,0.0530898,0.697809,0.246006,1.2948,0.307299,0.985567
59,478.91,1,6.51402,25.6182,14.0733,1.49818,0.0519528,0.721492,0.239777,1.26201,0.299518,0.960611
60,487.612,1,6.48586,25.6078,15.0997,1.49703,0.0551102,0.74022,0.23811,1.31735,0.291934,1.01324
61,475.887,1,6.52518,24.8643,14.2551,1.42218,0.0523547,0.730384,0.246802,1.32732,0.284542,0.987585
62,479.243,1,6.71328,25.2624,13.2348,1.48956,0.0507431,0.696818,0.245391,1.29371,0.287306,0.962578
63,488.116,1,6.77595,25.6311,12.0836,1.58261,0.0511297,0.697274,0.245211,1.3085,0.282475,0.938205
64,486.737,1,6.77276,25.6127,11.3092,1.5827,0.054091,0.696868,0.246564,1.27537,0.275322,0.951705
65,471.184,1,6.64134,25.3676,11.9187,1.50356,0.0513865,0.706206,0.240321,1.24307,0.268351,0.944051
66,480.045,1,6.21841,26.4344,11.466,1.51926,0.0490566,0.766026,0.245837,1.2116,0.272668,1.08206
67,478.546,1,6.28198,26.2148,10.7374,1.45851,0.0483048,0.764369,0.239613,1.26033,0.271076,1.1506
68,480.237,1,6.24859,26.3838,11.3721,1.45856,0.0503998,0.776631,0.242571,1.22842,0.264212,1.19569
69,483.276,1,6.40817,25.8836,10.9553,1.39024,0.0524846,0.749327,0.250687,1.24079,0.260479,1.32275
70,478.244,1,7.14029,25.6967,10.3701,1.39025,0.0513119,0.644974,0.249762,1.20937,0.287539,1.28926
71,479.127,1,6.47022,25.778,10.1816,1.39023,0.0504726,0.728499,0.243438,1.21457,0.280258,1.25826
72,470.088,1,6.58128,25.7787,9.81707,1.437,0.0445541,0.725901,0.248659,1.18382,0.273162,1.2264
73,470.227,1,6.82093,25.6613,11.0898,1.4785,0.0462892,0.685168,0.242362,1.15384,0.266245,1.19535
74,471.166,1,6.82684,25.9823,11.7133,1.47846,0.0459212,0.68191,0.242532,1.19113,0.259504,1.16508
75,469.731,1,6.49451,25.3224,12.2382,1.58319,0.04019,0.7225,0.244251,1.16097,0.252933,1.13558
76,462.696,1,6.5478,25.5481,12.3699,1.55961,0.037513,0.712461,0.238378,1.13158,0.262108,1.10683
77,468.131,1,6.92198,25.121,12.4273,1.66007,0.0334677,0.656726,0.240348,1.10293,0.289682,1.0788
78,478.936,1,6.78986,25.2374,12.5432,1.60198,0.0406788,0.680008,0.235732,1.22136,0.296365,1.09126
79,471.013,1,6.39569,24.7732,14.6553,1.61338,0.0357763,0.745527,0.237312,1.19043,0.29747,1.06363
80,470.674,1,6.70389,24.4829,13.8111,1.50593,0.0399906,0.7011,0.246259,1.32749,0.289938,1.0367
81,481.177,1,7.08925,24.1477,13.6892,1.56908,0.0399273,0.650996,0.247285,1.35854,0.318473,1.07084
82,475.75,1,6.96511,24.3777,13.9,1.5977,0.0414871,0.670516,0.252172,1.32414,0.310409,1.04373
83,482.053,1,7.28721,24.0429,12.9214,1.62067,0.0433663,0.622414,0.257359,1.29061,0.30255,1.0173
84,477.143,1,7.0067,23.8311,12.0411,1.58297,0.0440597,0.668312,0.258864,1.26158,0.294889,0.991543
85,475.278,1,5.77161,24.1953,12.429,1.61244,0.043876,0.856824,0.252309,1.22964,0.287422,0.966437
86,473.285,1,6.39611,23.881,12.8896,1.57987,0.0446503,0.75431,0.245921,1.1985,0.280144,0.941966
87,467.929,1,6.9207,23.8244,13.1151,1.54551,0.0435377,0.672559,0.239694,1.16816,0.273051,0.918115
88,457.846,1,7.04105,24.3851,12.7088,1.5759,0.0366972,0.655821,0.245555,1.13858,0.266137,0.894868
89,446.982,1,7.17035,24.5865,12.809,1.57581,0.0324404,0.635111,0.240637,1.10975,0.259398,0.872209
90,453.384,1,7.12097,24.5122,12.1007,1.49372,0.0394126,0.642157,0.239308,1.08165,0.263269,0.871496
91,455.254,1,6.88357,24.7599,12.2741,1.53062,0.0381674,0.676884,0.245297,1.05426,0.260862,0.870458
92,457.463,1,7.23838,24.6345,12.7255,1.5307,0.0413227,0.626404,0.249446,1.04954,0.254257,0.867033
93,464.47,1,6.88938,24.6859,11.5799,1.56734,0.0425155,0.679539,0.248257,1.08102,0.254056,0.857795
94,471.373,1,6.8649,24.4076,11.6567,1.53051,0.0499507,0.678623,0.248267,1.09169,0.247623,0.87227
95,461.818,1,6.66143,24.8063,11.4038,1.45399,0.0474532,0.709709,0.241981,1.06405,0.255046,0.874378
96,460.812,1,6.92717,24.8788,12.9758,1.37332,0.0500128,0.669611,0.240904,1.07175,0.253469,0.91493
97,452.216,1,6.90157,24.373,13.7308,1.30465,0.0475121,0.666515,0.238045,1.06201,0.25528,0.891763
98,464.755,1,6.79149,24.6655,13.4526,1.47453,0.0475364,0.682293,0.236491,1.03512,0.27142,1.00522
99,460.794,1,7.46078,24.1669,13.7752,1.47448,0.0452075,0.595381,0.248241,1.00891,0.281633,0.979765
100,458.707,1,6.39094,23.8987,13.6413,1.49642,0.0402687,0.745469,0.243692,1.06357,0.274502,0.954957
101,464.93,1,6.60618,24.2292,12.4667,1.54639,0.0444088,0.717754,0.246178,1.03664,0.267551,0.930777
102,471.151,1,6.30739,23.6319,13.208,1.65115,0.0410671,0.760452,0.239944,1.01039,0.285178,0.926117
103,459.502,1,6.50014,24.6628,12.5022,1.44623,0.0458922,0.735465,0.245463,1.01495,0.277957,0.902668
104,470.7,1,6.22535,24.3548,12.4497,1.42948,0.0517762,0.781228,0.25156,0.98925,0.270919,1.00846
105,477.368,1,6.70915,24.6986,12.5516,1.44527,0.0520475,0.692341,0.245191,1.03995,0.265675,1.13545
106,479.37,1,6.68341,24.1626,13.1798,1.44531,0.054201,0.700878,0.245908,1.13004,0.267709,1.1067
107,480.753,1,6.50351,24.7477,11.3801,1.58055,0.0533144,0.735282,0.248541,1.10143,0.260931,1.07868
108,480.582,1,7.02874,24.2173,11.7318,1.63294,0.0493309,0.666721,0.242385,1.12293,0.254324,1.05137
109,473.206,1,6.93325,24.7022,12.5275,1.63293,0.0496484,0.675015,0.245396,1.09449,0.247884,1.02475
110,470.884,1,6.51364,24.2813,11.6384,1.51803,0.0498809,0.742625,0.241968,1.06678,0.241608,1.07502
111,467.17,1,6.94829,24.067,12.8595,1.51796,0.0476715,0.669795,0.244585,1.06699,0.23549,1.0478
112,454.75,1,7.23069,23.9854,14.3667,1.44206,0.0452879,0.63231,0.241001,1.14542,0.229527,1.05311
113,460.211,1,6.72721,24.4613,14.1469,1.44201,0.044243,0.702249,0.238964,1.12598,0.237453,1.05789
114,461.739,1,6.94072,24.4853,14.867,1.48633,0.0431267,0.66648,0.237812,1.16158,0.23616,1.03111
115,459.105,1,6.92739,23.6423,13.1776,1.44305,0.0424166,0.660692,0.252927,1.13217,0.237525,1.12043
116,456.426,1,6.91939,24.2054,13.4623,1.44307,0.0440753,0.66554,0.246523,1.1035,0.231511,1.09206
117,465.721,1,6.80344,23.6595,13.2184,1.38162,0.0503887,0.691873,0.24477,1.07556,0.247975,1.08432
118,470.405,1,6.6327,23.7623,13.0667,1.31888,0.0536031,0.727241,0.248904,1.25511,0.241696,1.09237
119,461.167,1,6.61824,24.3308,13.799,1.31887,0.0520645,0.723645,0.242601,1.22333,0.235576,1.06471
120,468.452,1,6.26022,24.5901,12.1592,1.41123,0.0521892,0.767288,0.236459,1.21097,0.229611,1.03776
121,471.378,1,6.36455,24.7447,13.0939,1.37057,0.0558571,0.752251,0.233735,1.1803,0.227244,1.03867
122,461.839,1,6.6396,24.5966,15.2667,1.38847,0.0503682,0.705338,0.239215,1.20994,0.22149,1.01237
123,462.186,1,6.73827,24.5272,14.0865,1.38845,0.0483625,0.696011,0.239454,1.1793,0.219461,1.03767
124,464.326,1,6.42368,24.4781,14.4745,1.31699,0.0536809,0.742962,0.245684,1.17785,0.213905,1.05561
125,469.369,1,6.70411,24.5706,14.1015,1.34807,0.0531767,0.698618,0.243641,1.1968,0.217751,1.13502
126,466.116,1,6.96505,24.5707,12.4984,1.40113,0.0508041,0.663923,0.237472,1.20545,0.212237,1.10628
127,460.751,1,6.46552,24.5766,12.7866,1.40113,0.0502019,0.739553,0.238825,1.17493,0.206863,1.07827
128,467.335,1,6.76111,24.2922,13.0173,1.51455,0.0483746,0.690952,0.236584,1.14518,0.226587,1.05097
129,465.316,1,6.17193,24.6562,12.885,1.4273,0.0500265,0.788525,0.244838,1.11618,0.226931,1.02435
130,468.292,1,6.70616,24.7968,13.6561,1.47764,0.0493142,0.710955,0.250795,1.08792,0.226597,1.03802
131,469.691,1,6.79746,24.5599,15.1381,1.47761,0.0485673,0.693995,0.244444,1.18531,0.238073,1.01174
132,470.033,1,6.52386,24.6956,15.499,1.57066,0.0473298,0.731944,0.238255,1.15754,0.232045,0.987677
133,464.014,1,6.01866,24.5051,14.217,1.61686,0.04014,0.809447,0.242697,1.17202,0.226169,0.962668
134,462.674,1,6.15274,24.4052,14.6161,1.56149,0.0421303,0.77996,0.243989,1.14234,0.220443,0.938293
135,456.443,1,6.44755,24.248,14.435,1.45369,0.0418636,0.732563,0.244153,1.15986,0.220656,0.987281
136,452.568,1,6.64278,24.1017,15.0466,1.36669,0.0452417,0.701441,0.239409,1.23391,0.215069,0.962282
137,463.035,1,6.45698,24.2484,15.4214,1.55086,0.0392667,0.738745,0.251156,1.25815,0.219394,0.971762
138,466.999,1,6.48722,24.2006,16.0783,1.6106,0.0395205,0.7299,0.247705,1.2263,0.219764,0.982128
139,462.745,1,6.55987,24.3879,13.9651,1.45649,0.0457811,0.720151,0.252163,1.24351,0.214199,0.984812
140,468.468,1,6.54137,24.3045,14.0218,1.45646,0.0445709,0.725262,0.26449,1.31836,0.232594,0.994371
141,468.988,1,7.50515,24.2289,13.2868,1.45651,0.0465967,0.58909,0.257793,1.30642,0.236474,0.969193
142,471.616,1,7.24397,24.3287,13.9112,1.51107,0.0466333,0.62315,0.251266,1.33188,0.230487,0.993115
143,472.594,1,6.76467,24.7887,15.2524,1.46205,0.0517033,0.702146,0.254667,1.29816,0.224651,0.996553
144,465.773,1,7.25736,24.4285,14.1,1.36135,0.0522947,0.623826,0.248218,1.26529,0.218962,1.0654
145,472.106,1,6.8839,25.2189,13.0076,1.39036,0.0533517,0.670785,0.242818,1.3656,0.213418,1.03843
146,480.158,1,7.01275,25.7375,12.3458,1.40243,0.0560331,0.645289,0.245575,1.33102,0.216036,1.1385
147,477.552,1,6.47895,25.425,13.7446,1.19367,0.0635088,0.73137,0.247302,1.33518,0.214101,1.19369
148,484.002,1,6.87422,25.7377,12.2207,1.32613,0.0569033,0.679303,0.259232,1.3422,0.234018,1.29547
149,480.543,1,6.88164,25.0872,12.4935,1.4993,0.0513567,0.673793,0.252668,1.30821,0.234332,1.26267
150,473.454,1,7.00754,25.1164,13.4326,1.50319,0.0488033,0.65272,0.24627,1.27509,0.228399,1.2307
151,472.435,1,6.53185,25.2375,13.0033,1.42589,0.0494582,0.733125,0.241883,1.28992,0.222616,1.19954
152,469.233,1,6.60131,25.198,12.6054,1.47807,0.0458288,0.722375,0.244581,1.38987,0.216979,1.16916
153,470.091,1,6.94799,25.2572,11.9451,1.47807,0.0472863,0.669005,0.241856,1.42754,0.211485,1.13956
154,474.027,1,6.76015,25.172,11.4587,1.44097,0.0504653,0.694967,0.244319,1.41523,0.20613,1.13356
155,465.979,1,6.94294,25.1858,11.6293,1.38012,0.0520942,0.67735,0.242977,1.38798,0.200911,1.10485
156,469.596,1,6.58464,25.391,11.6346,1.38011,0.0527532,0.732455,0.246217,1.4226,0.199967,1.07688
157,463.526,1,6.61555,25.2174,11.712,1.32508,0.0533145,0.716935,0.242573,1.38658,0.194903,1.12198
158,466.233,1,6.39074,25.0419,12.9791,1.44355,0.0483917,0.756328,0.242865,1.4045,0.189968,1.09358
159,469.999,1,6.41763,25.0176,13.7478,1.33147,0.0560556,0.749264,0.246663,1.36893,0.202338,1.06589
160,468.991,1,6.56405,25.672,13.3384,1.35293,0.0572895,0.728068,0.24351,1.33427,0.197214,1.0389
161,488.198,1,6.35021,25.2143,14.0003,1.47204,0.0604575,0.745584,0.243638,1.33245,0.192221,1.22331
162,493.668,1,6.64397,25.0662,13.5744,1.47206,0.0620101,0.70076,0.242705,1.31544,0.195635,1.29094
163,471.193,1,6.42483,24.863,14.3577,1.39846,0.0589096,0.741306,0.2394,1.42449,0.190681,1.25825
164,484.217,1,6.81763,24.733,12.5436,1.42338,0.0588933,0.683913,0.241916,1.42063,0.189082,1.22639
165,480.185,1,7.44053,25.0312,12.4316,1.38662,0.0569857,0.596477,0.242278,1.38466,0.200635,1.20069
166,474.438,1,6.80148,25.4296,12.4598,1.42186,0.0522119,0.684959,0.243805,1.3496,0.200224,1.17369
167,469.427,1,6.12137,25.9746,11.8558,1.28587,0.0559014,0.792698,0.243982,1.31542,0.201541,1.21732
168,475.744,1,6.42367,25.602,11.129,1.2817,0.0587888,0.739504,0.248686,1.28212,0.201024,1.28292
169,480.5,1,6.42696,25.8048,11.7334,1.37713,0.0614824,0.743025,0.242389,1.24965,0.209248,1.25044
170,472.496,1,6.60836,25.4102,12.6661,1.30827,0.0584083,0.719648,0.246537,1.21801,0.20395,1.21878
171,477.729,1,6.78005,25.601,11.6595,1.36108,0.0599318,0.695006,0.243902,1.18717,0.205517,1.18792
172,469.494,1,6.46925,25.4668,12.3664,1.42766,0.0529989,0.746276,0.251748,1.15711,0.230138,1.15784
173,466.461,1,6.35554,25.748,11.6621,1.33053,0.0550525,0.754966,0.245373,1.12781,0.245253,1.12852
174,471.012,1,6.42179,25.7436,10.9701,1.35949,0.0547628,0.742219,0.23916,1.09925,0.240942,1.12911
175,470.392,1,6.93011,24.9628,11.6053,1.35944,0.05311,0.67073,0.235475,1.15103,0.234841,1.18086
176,472.419,1,6.58936,24.4976,12.3348,1.4095,0.0511184,0.724547,0.241974,1.12188,0.236899,1.24099
177,474.646,1,6.75049,25.1168,10.9916,1.38691,0.0569978,0.700481,0.245014,1.09347,0.230901,1.23683
178,470.4,1,6.33355,25.2814,10.0825,1.3306,0.0548206,0.76387,0.24167,1.0729,0.225054,1.29058
179,474.934,1,6.4322,25.5676,10.1601,1.46255,0.0506787,0.740235,0.245183,1.07702,0.224279,1.2579
180,472.142,1,6.30162,25.7503,9.23959,1.50411,0.0476472,0.760245,0.243686,1.04975,0.230853,1.22605
181,472.269,1,6.65951,24.9818,10.8334,1.4465,0.0507,0.697755,0.24741,1.02317,0.236237,1.19501
182,472.413,1,6.54999,24.9271,10.1283,1.44648,0.051477,0.734636,0.249423,1.07416,0.234794,1.16475
183,479.936,1,6.40839,24.8282,10.4887,1.44652,0.0520087,0.758589,0.255449,1.16376,0.247168,1.15517
184,468.648,1,6.53741,24.5584,12.2233,1.49022,0.0457417,0.722219,0.248981,1.16356,0.241133,1.12592
185,469.977,1,6.92634,25.0526,12.9081,1.45337,0.0466078,0.678636,0.251127,1.24815,0.239213,1.09741
186,471.764,1,6.29915,24.3336,13.3466,1.54676,0.0428514,0.773376,0.250768,1.23201,0.243349,1.06962
187,471.284,1,6.45072,23.4189,13.8251,1.63496,0.0411409,0.745893,0.252422,1.20082,0.237187,1.06898
188,468.245,1,6.16786,24.0736,12.7507,1.60669,0.0403051,0.785212,0.246031,1.17041,0.231181,1.04191
189,472.444,1,6.39204,23.8887,13.8596,1.67738,0.0404218,0.747039,0.252276,1.20797,0.225328,1.01553
190,473.458,1,6.54121,24.2177,13.2578,1.62279,0.040327,0.733608,0.251342,1.19971,0.238639,1.05619
191,472.998,1,6.44619,24.8818,13.3227,1.5657,0.0432782,0.734971,0.247814,1.21731,0.237752,1.04329
192,466.251,1,6.61641,24.7952,12.2315,1.39938,0.0518258,0.711342,0.242232,1.18649,0.231732,1.01688
193,466.312,1,6.56925,24.2404,11.74,1.39939,0.0528973,0.719993,0.239553,1.15645,0.225864,1.05375
194,462.001,1,6.76891,25.0703,12.4057,1.42445,0.0487279,0.688821,0.242549,1.12716,0.233803,1.02707
195,457.452,1,6.8159,25.0814,12.1532,1.39115,0.0492884,0.690065,0.241772,1.09862,0.234562,1.00106
196,456.944,1,6.59564,24.2142,12.58,1.3619,0.0512076,0.71718,0.243319,1.07081,0.228622,0.975717
197,461.884,1,6.72313,24.3571,12.4006,1.40441,0.0562963,0.704617,0.239303,1.04369,0.237419,0.951011
198,466.381,1,6.79114,24.0023,11.8796,1.43902,0.0569051,0.690538,0.247513,1.01727,0.231407,0.926931
199,465.385,1,7.09396,24.3521,11.7082,1.36707,0.0540599,0.645254,0.252934,0.991508,0.246582,0.90844
200,464.503,1,6.94534,23.9378,12.8687,1.43376,0.0491416,0.666073,0.248631,1.06058,0.247357,0.925579
201,461.632,1,6.90933,24.1085,12.9543,1.38818,0.0494701,0.666933,0.245852,1.03744,0.25398,0.924376
202,460.027,1,7.10286,24.2161,12.6144,1.40997,0.049876,0.644393,0.246947,1.00843,0.249543,0.849019
203,470.485,1,6.99988,24.7261,12.5231,1.50018,0.0501563,0.664175,0.242698,1.02825,0.249638,0.963308
204,467.091,1,7.01325,23.683,12.6081,1.56843,0.0439499,0.651153,0.240304,1.01297,0.264853,0.912136
205,463.279,1,6.37903,23.8853,12.0306,1.5415,0.0398194,0.758243,0.246976,0.994684,0.286137,0.974528
206,468.529,1,6.60491,23.8736,12.8836,1.54154,0.04219,0.718764,0.243875,1.086,0.279389,0.999415
207,459.829,1,6.66079,23.5657,12.4648,1.51029,0.0395283,0.700428,0.24093,1.01229,0.283191,0.951812
208,458.924,1,7.01627,24.1705,13.025,1.51033,0.0413574,0.645329,0.236809,1.03614,0.246021,0.972964
209,451.635,1,6.63,24.3703,12.1887,1.48886,0.0380503,0.718377,0.242105,1.01384,0.242683,0.977466
210,446.866,1,6.55084,24.2672,12.7535,1.48885,0.0368673,0.719134,0.248823,1.02254,0.220151,0.915003
211,453.679,1,6.62834,23.4851,12.9106,1.48893,0.0385074,0.71144,0.254399,1.05895,0.242108,0.893743
212,447.458,1,6.903,23.7241,12.4017,1.41279,0.0419568,0.68,0.255388,0.979911,0.244574,0.840923
213,442.706,1,7.05386,23.8535,12.9889,1.32189,0.0438332,0.653221,0.250189,0.966262,0.241005,0.877517
214,452.251,1,7.06541,23.8291,13.2425,1.42978,0.0475902,0.644462,0.237163,0.831461,0.24108,0.912211
215,464.53,1,6.54398,23.7942,13.4607,1.47757,0.0515168,0.723484,0.239379,0.8965,0.235815,0.962894
216,463.669,1,7.00943,23.8933,12.7975,1.53426,0.0459521,0.657716,0.243314,0.886719,0.229895,1.06392
217,454.762,1,6.62926,24.6921,13.6306,1.43856,0.0491464,0.706959,0.234007,0.815907,0.233686,0.9724
218,462.075,1,6.27998,23.7058,12.9475,1.5541,0.0475766,0.766425,0.238006,0.91263,0.226762,0.899143
219,466.283,1,6.63544,23.4953,13.2316,1.50697,0.0498448,0.704078,0.234044,1.01346,0.234278,0.918714
220,464.394,1,6.5632,24.467,12.0208,1.58145,0.0472755,0.719485,0.235462,0.918476,0.242315,0.863533
221,472.62,1,5.91969,24.5503,11.345,1.67698,0.0464624,0.826378,0.251606,0.83458,0.266177,0.867582
222,454.903,1,6.01726,24.9643,11.7034,1.54072,0.0459092,0.808208,0.247301,0.791639,0.237541,0.834562
223,457.397,1,6.63161,24.7921,11.8406,1.55979,0.0425564,0.713877,0.25607,0.842512,0.242448,0.891472
224,464.827,1,7.11544,24.4794,12.1017,1.5509,0.0456589,0.645708,0.242507,1.01815,0.251674,0.859035
225,463.126,1,7.40849,24.242,13.2779,1.55092,0.0448028,0.599142,0.245677,0.890199,0.256771,0.900893
226,468.786,1,6.49576,24.384,12.6775,1.62397,0.0450531,0.736541,0.250712,0.884798,0.27445,0.864534
227,461.905,1,6.72417,24.1715,12.0893,1.62391,0.0429286,0.700199,0.24434,0.845969,0.272879,0.850181
228,470.192,1,6.82558,24.1283,12.3228,1.66861,0.0438767,0.682027,0.240328,0.859238,0.275405,0.900261
229,463.527,1,6.28034,24.1517,12.0926,1.62958,0.0402556,0.771705,0.241304,0.93033,0.273845,0.875551
230,461.739,1,7.03032,23.9765,12.4422,1.62954,0.0397971,0.656235,0.240589,0.939944,0.26567,0.88521
231,462.873,1,6.77659,23.1495,12.7623,1.60093,0.0436857,0.696442,0.236936,0.965623,0.251053,0.845304
232,463.824,1,6.63762,23.7311,13.039,1.61041,0.0396007,0.713143,0.232335,1.13728,0.249845,0.88652
233,465.454,1,6.70496,24.3559,13.5721,1.52756,0.041669,0.706128,0.246671,1.1751,0.253565,0.951158
234,466.169,1,7.17742,23.9026,13.9232,1.6152,0.0381994,0.644847,0.258726,1.15366,0.245329,0.907055
235,468.596,1,7.05612,24.1693,14.3508,1.61525,0.039598,0.658762,0.237412,1.27505,0.223599,0.998611
