iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
22,458.203,1,22.5189,25.4823,12.3027,1.28174,0.057046,1.194,-0.49422,-7.48549,0.191395,1.10383,0.299628,0.766318
23,461.929,1,22.7591,25.8327,13.21,1.33836,0.0569664,1.10538,-0.502054,-6.47939,0.201647,1.07588,0.292041,0.802367
24,454.488,1,22.5639,25.8606,12.6099,1.261,0.0561883,1.07058,-0.486897,-5.62256,0.200979,1.13256,0.284647,0.78458
25,459.104,1,22.2009,25.7023,12.7166,1.29982,0.0576586,1.09652,-0.472754,-5.14798,0.19589,1.18853,0.277439,0.769522
26,460.219,1,22.1884,25.4936,13.2596,1.34623,0.0563094,1.10008,-0.474362,-4.87142,0.191089,1.15844,0.270414,0.868438
27,460.468,1,23.0122,25.7724,13.4415,1.44028,0.0540314,1.11884,-0.510579,-5.81634,0.186862,1.1291,0.263567,0.884504
28,461.517,1,23.2352,26.1245,12.9646,1.33779,0.0580662,1.09054,-0.522269,-6.03266,0.182131,1.20503,0.256894,0.945039
29,477.633,1,23.2078,26.2164,14.3575,1.41118,0.061036,1.02824,-0.517116,-5.35815,0.187253,1.29418,0.250389,0.9753
30,469.948,1,22.3933,26.3036,14.019,1.3842,0.0591021,1.09149,-0.488342,-5.31443,0.183836,1.26141,0.244049,1.03283
31,465.923,1,22.2306,26.8357,14.4185,1.33238,0.0568913,1.16016,-0.484758,-5.06588,0.18959,1.24179,0.250948,1.00668
32,461.709,1,22.1136,25.541,13.6381,1.33231,0.0536327,1.14067,-0.475451,-4.45482,0.18727,1.31946,0.244594,0.981188
33,461.387,1,22.3658,25.8858,13.3184,1.32113,0.056481,1.12881,-0.478911,-4.27069,0.188521,1.28605,0.24038,0.956344
34,456.006,1,22.6797,25.8269,13.4612,1.36553,0.0525973,1.17901,-0.500649,-4.25742,0.190265,1.25349,0.247384,0.932129
35,466.038,1,22.5606,25.5239,14.7841,1.39942,0.0519681,1.09214,-0.493707,-3.92377,0.196865,1.33543,0.259029,0.908527
36,467.949,1,22.1224,24.9737,12.3767,1.45778,0.0515747,1.0372,-0.475645,-2.57295,0.191881,1.30626,0.26995,0.901449
37,457.3,1,22.7755,24.8551,13.3305,1.38489,0.0489959,1.02627,-0.496969,-2.91746,0.191183,1.32638,0.268439,0.892874
38,468.586,1,22.4524,25.1885,14.7968,1.41584,0.052538,1.08375,-0.489713,-2.84414,0.186342,1.2928,0.292616,0.907632
39,468.819,1,22.5751,25.3759,13.7363,1.38811,0.0544777,1.03242,-0.496143,-2.92886,0.185785,1.26006,0.28733,0.937295
40,470.06,1,22.5843,25.1673,13.5065,1.43016,0.054637,1.12983,-0.492132,-3.94445,0.182626,1.22816,0.302216,0.913562
41,467.653,1,22.2017,25.1214,13.2772,1.37979,0.0580958,1.17927,-0.474872,-3.97183,0.1902,1.19706,0.301769,0.89043
42,461.909,1,22.7508,25.5003,12.2782,1.45145,0.0509528,1.07703,-0.499476,-3.58665,0.186867,1.16675,0.301421,0.867884
43,462.723,1,22.4874,25.7165,11.3445,1.54112,0.0467873,1.11111,-0.488221,-3.12013,0.187676,1.13721,0.293789,0.850797
44,456.387,1,22.1122,25.4317,11.3346,1.56478,0.0416774,1.1396,-0.476982,-3.76171,0.192213,1.10841,0.28635,0.829254
45,458.417,1,21.9968,25.0819,12.1847,1.5074,0.048094,1.18422,-0.4608,-3.56143,0.193175,1.08035,0.2791,0.808257
46,458.899,1,22.5381,24.5347,13.0133,1.59918,0.045884,1.13023,-0.48763,-3.21299,0.195028,1.05299,0.272033,0.797795
47,452.366,1,22.2754,24.8284,12.7244,1.58344,0.0452266,1.13122,-0.485279,-3.21189,0.19009,1.02633,0.268871,0.777594
48,463.698,1,22.2805,25.1925,12.2462,1.50385,0.0541125,1.096,-0.480805,-3.68471,0.192077,1.00034,0.279005,0.773985
49,455.525,1,22.6933,25.1282,11.6694,1.41666,0.0542327,1.11643,-0.502492,-3.33946,0.187213,1.00347,0.271941,0.754387
50,470.847,1,22.8504,25.4727,11.1273,1.37268,0.0648255,1.06735,-0.499053,-3.04766,0.189132,1.0713,0.265055,0.79262
51,467.138,1,23.558,25.8264,11.5126,1.30405,0.0615843,1.06025,-0.525771,-3.1945,0.197148,1.22611,0.264568,0.82682
52,470.172,1,22.7236,25.3486,10.9766,1.37149,0.0599865,1.06872,-0.494612,-3.43972,0.192156,1.21872,0.273271,0.831299
53,470.802,1,21.6641,25.4993,11.5455,1.49202,0.0551809,0.972392,-0.46231,-3.74186,0.188709,1.18786,0.300674,0.81025
54,462.894,1,22.8431,25.2429,11.756,1.53465,0.0492124,1.11317,-0.505281,-3.43268,0.184165,1.15778,0.297874,0.789734
55,465.199,1,22.4238,25.1386,11.9769,1.46324,0.0545802,1.07755,-0.489681,-3.09745,0.186069,1.12846,0.290331,0.810128
56,469.403,1,22.6297,25.6619,11.0903,1.36633,0.0589992,1.02372,-0.492922,-3.53652,0.188351,1.09989,0.29675,0.900292
57,474.982,1,22.8645,25.3208,10.2558,1.49685,0.0561628,1.13952,-0.496164,-3.27417,0.183582,1.0815,0.292431,0.927072
58,459.143,1,22.2631,24.8825,10.9699,1.42201,0.0533546,1.09294,-0.472196,-4.13161,0.197695,1.05412,0.2993,0.903598
59,462.157,1,22.1058,25.5391,10.3509,1.53046,0.0481227,1.03428,-0.470908,-3.57161,0.19269,1.02743,0.291722,0.89639
60,455.735,1,21.8437,25.309,10.6279,1.47841,0.0471712,0.986811,-0.458031,-3.15584,0.188065,1.0213,0.284335,0.877248
61,447.81,1,22.2219,24.8771,11.0328,1.40449,0.0448126,1.15588,-0.472539,-4.02626,0.194067,1.0025,0.277136,0.855036
62,450.974,1,21.9785,24.8617,10.2761,1.52575,0.043215,1.15261,-0.468106,-3.91129,0.19154,0.977119,0.271989,0.856007
63,460.403,1,22.306,25.0509,10.2171,1.6568,0.0418592,1.10744,-0.476045,-3.29882,0.188433,0.995687,0.269835,0.834333
64,459.119,1,22.7536,24.7053,11.4541,1.53317,0.0478836,1.09744,-0.496692,-3.14052,0.195418,0.973605,0.273269,0.813207
65,448.311,1,21.7567,24.6261,12.4032,1.4483,0.0460619,1.00939,-0.459631,-3.14437,0.19047,0.988122,0.269083,0.792616
66,449.353,1,22.0123,25.1799,10.872,1.40387,0.0467762,1.09326,-0.481213,-2.96064,0.188502,0.963102,0.276075,0.898972
67,455.859,1,22.4686,24.9329,12.0388,1.4235,0.0483068,1.18057,-0.490441,-2.93904,0.184785,1.03535,0.278928,0.902139
68,452.478,1,22.0509,24.8603,12.4012,1.43997,0.0484704,1.04034,-0.471048,-2.97639,0.181484,1.00914,0.271865,0.893962
69,452.247,1,22.0928,24.5404,11.7724,1.41606,0.0479666,1.05657,-0.470282,-2.27224,0.190724,0.983586,0.267544,0.973669
70,457.978,1,22.0422,24.4784,11.5028,1.45647,0.0488303,1.04387,-0.473552,-2.44938,0.196661,0.958682,0.28981,0.949015
71,449.82,1,21.8685,23.9285,11.85,1.4564,0.0462559,1.08174,-0.467456,-3.02584,0.191682,0.934407,0.309142,0.924985
72,453.446,1,22.7269,24.2021,12.174,1.53361,0.0436661,1.11862,-0.495297,-2.47758,0.1951,0.910747,0.301315,0.901564
73,454.954,1,22.043,24.0163,13.339,1.5336,0.0424766,1.03144,-0.473794,-2.98441,0.19016,0.930437,0.309111,0.878736
74,455.73,1,22.0248,24.0318,13.0454,1.5825,0.0454709,1.14414,-0.476067,-3.80492,0.185345,0.924734,0.301284,0.856486
75,459.293,1,22.1909,23.8159,13.8536,1.67511,0.0429731,1.12861,-0.489436,-3.4391,0.189425,0.917673,0.293655,0.834799
76,451.652,1,22.8321,23.3681,12.1777,1.55218,0.0434023,1.06,-0.507962,-1.97679,0.186364,0.948379,0.28622,0.813662
77,462.067,1,21.388,23.5265,13.4065,1.65272,0.0446661,1.02875,-0.44603,-2.8361,0.181664,1.03567,0.283124,0.793059
78,464.207,1,22.0223,23.8329,12.5171,1.51452,0.0471257,1.02133,-0.473517,-3.70854,0.183891,1.13916,0.312401,0.810247
79,454.463,1,22.401,23.8726,13.2047,1.41267,0.050925,1.08576,-0.487227,-3.7495,0.180768,1.11031,0.304491,0.789731
80,454.03,1,22.6266,24.0556,12.5965,1.5309,0.0459068,1.1975,-0.490664,-4.02425,0.176904,1.11198,0.296781,0.769735
81,453.677,1,22.5057,23.8772,12.4213,1.49885,0.0473072,1.20944,-0.48224,-4.59498,0.174321,1.08382,0.289266,0.750244
82,458.492,1,22.1744,24.2259,13.0964,1.47308,0.0503153,1.10926,-0.470439,-4.5876,0.189121,1.08757,0.281942,0.7713
83,464.958,1,22.2783,24.1775,11.9901,1.40848,0.0567151,1.17011,-0.478783,-5.36104,0.198604,1.06003,0.274803,0.849362
84,460.292,1,22.3375,24.4102,11.9765,1.40847,0.0552208,1.16914,-0.485177,-6.03925,0.199157,1.03319,0.270085,0.827856
85,457.785,1,22.5752,24.0915,12.6112,1.40856,0.058816,1.13329,-0.494166,-4.60686,0.194114,1.00703,0.263246,0.806894
86,461.579,1,22.6679,24.0177,12.1933,1.40862,0.0626093,1.04357,-0.501624,-4.8127,0.189199,1.0294,0.25658,0.786463
87,461.727,1,22.476,24.9055,12.6007,1.45783,0.0561766,1.0948,-0.481964,-5.0245,0.186997,1.11243,0.250084,0.81753
88,454.978,1,22.6708,25.5709,11.8334,1.38493,0.0533678,1.05862,-0.4956,-3.99825,0.189217,1.08426,0.25149,0.821639
89,445.518,1,22.531,25.8441,12.7895,1.31569,0.0506994,1.04539,-0.487115,-5.13526,0.19173,1.05681,0.245123,0.862602
90,448.818,1,22.6114,25.0474,11.8879,1.37117,0.0486362,1.12714,-0.485056,-4.77006,0.19065,1.09725,0.245547,0.846564
91,447.727,1,21.9885,24.6357,12.156,1.37124,0.0501587,1.16854,-0.464092,-3.95083,0.186773,1.1325,0.239329,0.825129
92,457.19,1,21.7653,24.2247,12.9835,1.45882,0.0524898,1.01909,-0.455561,-3.65198,0.203646,1.2207,0.233269,0.804236
93,459.767,1,22.1392,24.0748,11.8117,1.45887,0.0541942,1.01883,-0.478557,-3.07614,0.19849,1.18979,0.227363,0.783872
94,468.84,1,22.1699,24.2687,11.762,1.45892,0.0582572,1.06494,-0.483811,-3.71308,0.194827,1.15967,0.23109,0.844
95,462.858,1,22.5286,24.5743,11.7357,1.52369,0.0535902,1.03992,-0.489642,-4.10657,0.189894,1.13466,0.225239,0.822629
96,460.329,1,22.1855,24.7285,12.1353,1.456,0.0525672,1.00168,-0.476473,-4.71643,0.185086,1.16141,0.238507,0.834347
97,459.713,1,22.1743,24.8097,12.3854,1.45599,0.0523622,1.12251,-0.485135,-4.06499,0.188062,1.17371,0.232468,0.853348
98,460.137,1,23.021,24.95,11.6977,1.53323,0.0500899,1.13632,-0.516036,-4.00865,0.186622,1.14399,0.22919,0.863431
99,460.22,1,23.389,24.5297,12.3701,1.43789,0.054247,1.17748,-0.514458,-4.24881,0.187776,1.11502,0.231244,0.865112
100,455.097,1,22.9662,24.1812,12.9038,1.38067,0.053419,1.20422,-0.515111,-5.178,0.189425,1.08679,0.225389,0.91898
101,460.647,1,23.1153,24.9276,11.9165,1.36281,0.0578628,1.19895,-0.515172,-5.83533,0.185752,1.08765,0.231332,0.895711
102,458.933,1,22.5925,24.6132,13.9174,1.33175,0.0564143,1.12814,-0.496502,-5.4806,0.187543,1.12656,0.247546,0.875413
103,451.593,1,22.5174,24.766,12.5866,1.29224,0.053192,1.17899,-0.491965,-6.56401,0.185001,1.25162,0.251538,0.853247
104,457.844,1,22.847,24.911,12.895,1.32992,0.0543708,1.23116,-0.503711,-6.68002,0.192055,1.21993,0.245169,0.930476
105,457.05,1,22.166,25.465,13.5198,1.27992,0.053265,1.19355,-0.486795,-6.7944,0.193622,1.20873,0.238961,1.03369
106,454.671,1,22.4344,25.1777,13.4117,1.2448,0.0543196,1.12909,-0.494824,-6.14282,0.188719,1.28618,0.23291,1.00751
107,454.471,1,22.2917,25.7121,12.7737,1.30117,0.0516887,1.09141,-0.48387,-5.35194,0.192444,1.25362,0.228817,1.01187
108,455.139,1,22.0542,25.3834,12.7933,1.28867,0.0561858,1.11034,-0.476109,-5.54923,0.187571,1.22187,0.223201,1.00188
109,450.875,1,22.2785,25.0747,11.6282,1.32214,0.0530224,1.11082,-0.480847,-4.76322,0.193881,1.19093,0.21755,1.00236
110,457.905,1,22.7585,24.2498,12.1002,1.47404,0.0466992,1.11598,-0.49714,-4.29777,0.193969,1.16162,0.212041,1.105
111,459.517,1,22.7005,24.5753,12.7913,1.43485,0.0522684,1.08446,-0.497697,-4.05673,0.189057,1.13298,0.206672,1.07702
112,453.016,1,22.1882,24.7748,12.9696,1.35077,0.0502429,1.04654,-0.467764,-4.00334,0.186257,1.22732,0.203928,1.05236
113,460.942,1,23.0196,24.7179,13.4614,1.42148,0.0545616,1.18894,-0.498012,-3.17608,0.19471,1.19625,0.198765,1.02571
114,468.501,1,22.1568,24.6414,14.441,1.47551,0.0518194,1.07206,-0.474895,-4.58199,0.193173,1.35866,0.2046,1.02773
115,455.386,1,22.2957,24.3865,13.5309,1.40174,0.0492285,1.14957,-0.484958,-3.9243,0.195497,1.32425,0.218169,1.0017
116,451.442,1,22.3395,24.8885,14.5743,1.33881,0.0492266,1.10706,-0.487834,-4.06966,0.190663,1.29072,0.234637,0.980376
117,453.73,1,22.4571,24.9825,14.6072,1.33882,0.0503764,1.09628,-0.494736,-3.7035,0.186005,1.25804,0.247248,0.955552
118,460.185,1,22.8764,24.8167,12.5405,1.3612,0.0528498,1.10412,-0.503627,-4.34302,0.186907,1.27977,0.240988,0.970491
119,456.078,1,22.3974,25.3404,13.4051,1.30277,0.051396,1.12563,-0.479043,-4.3127,0.191752,1.32687,0.234886,0.998291
120,469.05,1,22.435,25.2209,11.9252,1.46779,0.0499175,1.07994,-0.481501,-3.26703,0.19127,1.43093,0.228939,1.0334
121,467.029,1,22.8565,25.2312,13.2627,1.41151,0.0557061,1.11496,-0.496907,-3.9776,0.186427,1.3947,0.22421,1.00724
122,468.815,1,22.149,25.7323,15.1908,1.30288,0.0623132,1.02381,-0.481935,-4.00611,0.187039,1.35938,0.234148,0.981734
123,457.965,1,22.1907,25.2466,15.0859,1.23774,0.0591975,1.08498,-0.475159,-4.37084,0.188867,1.38742,0.2422,0.956876
124,464.966,1,22.8088,24.9099,15.3301,1.31023,0.0573074,1.13839,-0.504561,-4.57719,0.18545,1.3707,0.242495,0.932648
125,465.55,1,22.3472,25.092,15.0215,1.32964,0.0573798,1.08864,-0.486884,-4.43036,0.187011,1.39003,0.236355,0.909033
126,458.05,1,21.9813,25.1302,14.2626,1.34888,0.0541177,1.06101,-0.464735,-4.35716,0.182276,1.39371,0.230371,0.886015
127,466.081,1,22.3899,25.0924,12.8366,1.37288,0.0563642,1.05246,-0.485907,-4.26689,0.190751,1.35842,0.243261,0.86468
128,463.012,1,21.8923,24.4297,12.0306,1.37285,0.0550189,1.11416,-0.466712,-3.79068,0.194546,1.32402,0.237668,0.877815
129,463.914,1,22.6073,24.7076,12.3494,1.33698,0.0559024,1.13525,-0.494462,-4.01644,0.189781,1.2905,0.254384,0.871803
130,463.852,1,22.6706,24.995,13.2781,1.33703,0.0597825,1.10367,-0.492954,-4.5711,0.187325,1.25782,0.258142,0.849729
131,469.215,1,22.4698,25.6684,13.2049,1.3796,0.0576318,1.14219,-0.484348,-4.20122,0.187003,1.27832,0.251605,0.928005
132,472.512,1,22.209,25.7336,13.191,1.47467,0.0578064,1.12763,-0.470173,-4.73241,0.183213,1.24595,0.245234,0.904507
133,461.181,1,22.0991,25.4522,12.3788,1.40094,0.0549161,1.1744,-0.470819,-4.16218,0.190077,1.25002,0.249201,0.881605
134,466.688,1,21.8607,25.9564,12.6729,1.33177,0.0566169,1.14313,-0.467389,-4.60991,0.187376,1.28619,0.260575,0.923666
135,459.506,1,21.7151,25.7169,12.3186,1.3013,0.0538043,1.16975,-0.467976,-4.61505,0.182631,1.25935,0.254238,0.986257
136,464.633,1,21.5158,25.954,11.718,1.32161,0.0528157,1.12746,-0.449806,-4.55961,0.191429,1.35351,0.25536,1.01378
137,466.184,1,22.914,26.0681,12.5999,1.40708,0.0483812,1.14652,-0.503853,-3.8025,0.194763,1.4614,0.257675,0.988111
138,463.192,1,22.5812,25.473,13.3956,1.49564,0.0437713,1.05632,-0.494717,-4.4945,0.196276,1.47414,0.251151,0.963092
139,463.84,1,22.9327,26.1551,13.6048,1.38941,0.0501605,1.08372,-0.509019,-4.13612,0.191306,1.49474,0.244791,0.978584
140,468.905,1,22.6944,25.3461,13.7867,1.37244,0.0533496,1.0908,-0.497116,-5.48476,0.196569,1.53001,0.245488,0.953806
141,465.684,1,22.1697,25.6092,13.642,1.3273,0.0553545,1.06998,-0.47324,-5.43168,0.192283,1.49127,0.251809,0.94339
142,462.578,1,21.9913,25.5488,12.8978,1.38566,0.0499976,1.02961,-0.468974,-4.46659,0.187415,1.45351,0.255919,0.920388
143,459.907,1,21.9589,25.5268,12.5665,1.34355,0.0504976,1.09853,-0.466047,-4.53631,0.198129,1.41671,0.268079,0.897083
144,464.774,1,21.6801,25.5076,12.751,1.33503,0.0547211,1.10917,-0.450296,-5.13835,0.193112,1.38083,0.261291,1.00593
145,465.025,1,22.4548,25.7689,11.6791,1.33501,0.054836,1.07542,-0.488289,-5.34761,0.189177,1.34587,0.254675,0.98046
146,468.1,1,22.4086,26.5009,11.9923,1.36659,0.0563476,1.11277,-0.490106,-4.80784,0.184387,1.31179,0.251767,0.959408
147,465.841,1,21.875,26.2351,12.8454,1.21761,0.0616174,1.0633,-0.464767,-4.71786,0.188347,1.27858,0.255642,0.998938
148,468.063,1,22.669,26.4725,11.3501,1.29384,0.0574424,1.11336,-0.49148,-6.2819,0.20137,1.34817,0.260868,0.973644
149,466.251,1,22.3864,26.426,11.2819,1.37515,0.0550164,1.12173,-0.486215,-5.25028,0.196271,1.31403,0.254262,1.01485
150,465.959,1,22.426,25.9085,11.7659,1.37517,0.0548534,1.14779,-0.486176,-5.42771,0.191301,1.28076,0.247824,1.04357
151,458.887,1,23.3339,26.0271,12.94,1.33353,0.0541457,1.1402,-0.515205,-3.80437,0.191306,1.24833,0.241549,1.03959
152,460.567,1,22.4087,25.8689,12.2784,1.37532,0.0536667,1.1764,-0.488217,-4.5828,0.186462,1.2738,0.235433,1.01758
153,459.565,1,22.5782,25.7651,11.4395,1.31365,0.0516213,1.17771,-0.488754,-4.55968,0.191077,1.37733,0.229472,1.11241
154,475.104,1,22.181,25.6263,11.416,1.31547,0.0600199,1.1046,-0.478779,-3.91844,0.194705,1.34246,0.223662,1.25825
155,468.161,1,22.6301,25.4396,11.4747,1.35142,0.0567133,1.05708,-0.492399,-3.44206,0.191334,1.30846,0.218405,1.22639
156,477.505,1,22.8679,25.5088,11.6322,1.4024,0.0617135,1.00923,-0.495899,-2.88117,0.197215,1.27533,0.214641,1.19533
157,479.383,1,21.9839,25.7091,12.7637,1.30072,0.0711534,1.02355,-0.467318,-3.36916,0.192222,1.30771,0.209206,1.16507
158,480.419,1,22.6865,25.1262,12.6791,1.23568,0.0675957,1.11456,-0.495392,-3.92082,0.192651,1.33497,0.203909,1.13557
159,475.859,1,21.9378,25.1624,12.9578,1.23565,0.0670784,1.13665,-0.460634,-4.97891,0.187773,1.3166,0.236056,1.10681
160,476.209,1,22.4176,25.9445,10.4269,1.30304,0.063355,1.11175,-0.485513,-7.12479,0.183019,1.46639,0.238531,1.07879
161,481.825,1,22.1429,25.592,10.4832,1.31925,0.0675853,1.04276,-0.480707,-6.97316,0.184545,1.42926,0.232491,1.16106
162,481.386,1,22.565,25.9848,11.3316,1.34617,0.0667629,1.14873,-0.483813,-7.097,0.184145,1.39307,0.226604,1.21725
163,473.441,1,22.6771,25.847,10.4591,1.27444,0.0648295,1.15003,-0.497386,-6.36646,0.188033,1.37342,0.220867,1.18643
164,469.416,1,22.2746,25.996,8.78246,1.2744,0.0633155,1.10093,-0.472235,-7.15558,0.192281,1.3841,0.215274,1.16155
165,472.58,1,21.9539,25.749,9.05112,1.25482,0.0650596,1.14666,-0.460118,-6.99223,0.187412,1.34905,0.209823,1.21285
166,457.675,1,22.6828,25.3868,11.7124,1.19208,0.0618066,1.1409,-0.487544,-5.29463,0.189532,1.31489,0.20451,1.18214
167,463.491,1,22.7896,25.881,11.9113,1.31062,0.0609965,1.20126,-0.496842,-6.4623,0.185904,1.2816,0.199332,1.15221
168,469.818,1,22.3776,25.5834,10.7098,1.27097,0.0637155,1.09753,-0.486584,-6.99578,0.186927,1.34296,0.194285,1.17826
169,468.774,1,22.378,25.9746,10.3146,1.37303,0.0577183,1.06891,-0.485666,-6.53584,0.188377,1.30895,0.199321,1.16716
170,460.784,1,22.4957,26.0338,10.636,1.24546,0.0605602,1.08329,-0.482672,-6.73506,0.183607,1.31895,0.202463,1.1376
171,453.204,1,22.5631,25.5137,10.4113,1.27942,0.0569197,1.12432,-0.488445,-6.49188,0.184198,1.28555,0.197337,1.1088
172,458.45,1,23.298,25.9498,11.8739,1.30412,0.0568122,1.19371,-0.516326,-5.09108,0.189368,1.253,0.222337,1.08072
173,457.043,1,22.9337,25.9412,11.8549,1.24261,0.0611715,1.07718,-0.506529,-6.56945,0.184573,1.22127,0.218963,1.05336
174,464.816,1,22.2987,25.6516,12.1955,1.24269,0.0653536,1.03057,-0.483292,-5.37449,0.1821,1.19035,0.219158,1.0592
175,465.987,1,22.762,25.3192,10.8709,1.23403,0.0617495,1.09689,-0.500931,-6.68736,0.184983,1.17575,0.227358,1.15151
176,471.904,1,22.5953,25.2885,9.67522,1.29517,0.0627408,1.07766,-0.493389,-6.11062,0.185101,1.14598,0.221601,1.23329
177,474.496,1,22.858,25.9215,8.54939,1.21616,0.064288,1.12899,-0.499074,-6.62431,0.189753,1.19438,0.221728,1.38995
178,472.947,1,22.3263,25.8322,8.57469,1.28783,0.0634197,1.06187,-0.479729,-5.2388,0.185421,1.20326,0.216114,1.35476
179,484.636,1,22.0018,26.5707,8.24058,1.41018,0.062912,1.1267,-0.466469,-5.59829,0.184238,1.18203,0.226667,1.35761
180,479.558,1,21.8846,26.4657,7.64562,1.38942,0.0594949,1.0315,-0.465398,-5.99456,0.192232,1.1521,0.235755,1.32323
181,472.282,1,22.2982,26.1787,8.19823,1.31918,0.0578913,1.10305,-0.479948,-6.58671,0.194098,1.16674,0.253794,1.28973
182,466.847,1,22.7047,26.4164,8.07542,1.42043,0.0524706,1.0994,-0.487043,-6.75546,0.191171,1.15282,0.248115,1.25707
183,470.626,1,23.1616,26.298,8.21767,1.36755,0.0576131,1.16943,-0.501134,-7.15272,0.192613,1.12582,0.24622,1.22524
184,460.847,1,22.4534,26.2154,10.2421,1.29918,0.0547324,1.11651,-0.488669,-6.56865,0.187736,1.14167,0.239986,1.19422
185,462.994,1,22.9283,26.3864,10.1779,1.4427,0.0486251,1.12463,-0.502157,-6.23163,0.19169,1.1656,0.238099,1.16398
186,466.831,1,22.9011,26.0502,9.77341,1.51939,0.0479233,1.15441,-0.499758,-6.29484,0.192739,1.15631,0.24343,1.13451
187,469.067,1,22.694,25.4854,11.3838,1.58057,0.0488774,1.18457,-0.49329,-5.83404,0.203961,1.12703,0.237266,1.10578
188,457.984,1,22.286,25.669,10.1242,1.43145,0.0498939,1.14797,-0.46827,-5.86377,0.199067,1.09849,0.231259,1.07778
189,465.233,1,22.4821,25.6291,11.2884,1.54986,0.0502711,1.2096,-0.47641,-5.08073,0.194026,1.08374,0.225403,1.09259
190,455.677,1,22.859,25.3145,11.646,1.47236,0.0477575,1.09314,-0.502869,-4.26698,0.189669,1.06931,0.219696,1.06493
191,461.29,1,22.3285,25.4303,11.1587,1.39565,0.0521154,1.06635,-0.485377,-4.1827,0.187073,1.1321,0.224417,1.09216
192,458.409,1,23.0495,25.1583,11.3428,1.26255,0.0597298,1.16452,-0.512228,-4.21655,0.187296,1.10344,0.218734,1.0645
193,460.896,1,22.6037,24.913,10.9969,1.29493,0.0617155,1.14741,-0.494444,-5.21722,0.185647,1.0755,0.213196,1.03755
194,458.971,1,22.6737,25.4766,12.4614,1.29494,0.061803,1.29964,-0.497908,-5.60557,0.180947,1.04827,0.242699,1.01128
195,456.72,1,21.9402,25.597,12.6312,1.27354,0.0604149,1.14778,-0.46649,-5.74894,0.181387,1.0587,0.244095,0.985673
