trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_tCLCR_abscissa,trans_Cl_vs_log_tCLCR_spline,trans_Cl_vs_log_tCLCR_regression,trans_Cl_vs_log_tWT_abscissa,trans_Cl_vs_log_tWT_spline,trans_Cl_vs_log_tWT_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_log_tCLCR_abscissa,trans_V1_vs_log_tCLCR_spline,trans_V1_vs_log_tCLCR_regression,trans_V1_vs_log_tWT_abscissa,trans_V1_vs_log_tWT_spline,trans_V1_vs_log_tWT_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_log_tCLCR_abscissa,trans_V2_vs_log_tCLCR_spline,trans_V2_vs_log_tCLCR_regression,trans_V2_vs_log_tWT_abscissa,trans_V2_vs_log_tWT_spline,trans_V2_vs_log_tWT_regression,split
102.967,2.41184,2.39173,64.3232,2.475,2.49633,0.00788018,2.36099,2.36559,-0.0984464,2.52208,2.48495,102.967,2.97199,3.03702,64.3232,3.05608,2.94648,0.00788018,3.0263,3.05735,-0.0984464,3.01843,2.94069,102.967,2.31893,2.45507,64.3232,2.43464,2.47658,0.00788018,2.35516,2.44837,-0.0984464,2.47062,2.47066,All
103.6,2.42607,2.39589,64.6364,2.45825,2.50131,0.0131208,2.37292,2.36992,-0.094181,2.50753,2.48973,103.6,2.95693,3.03529,64.6364,3.07005,2.94872,0.0131208,3.01383,3.05533,-0.094181,3.03084,2.94288,103.6,2.30743,2.45654,64.6364,2.42197,2.47978,0.0131208,2.34595,2.44984,-0.094181,2.45953,2.47363,All
104.233,2.43954,2.40005,64.9495,2.4415,2.50629,0.0183614,2.38484,2.37425,-0.0899157,2.49298,2.49451,104.233,2.95341,3.03356,64.9495,3.08401,2.95095,0.0183614,3.00137,3.05331,-0.0899157,3.04325,2.94508,104.233,2.30333,2.45802,64.9495,2.4093,2.48298,0.0183614,2.33674,2.45132,-0.0899157,2.44845,2.4766,All
104.867,2.45168,2.4042,65.2626,2.43996,2.51127,0.023602,2.39677,2.37858,-0.0856503,2.47844,2.4993,104.867,2.96966,3.03183,65.2626,3.0708,2.95319,0.023602,2.98891,3.05128,-0.0856503,3.05566,2.94728,104.867,2.3119,2.45949,65.2626,2.40586,2.48617,0.023602,2.32754,2.45279,-0.0856503,2.43736,2.47957,All
105.5,2.46383,2.40836,65.5758,2.44134,2.51625,0.0288426,2.40869,2.3829,-0.0813849,2.46389,2.50408,105.5,2.98592,3.03009,65.5758,3.05236,2.95543,0.0288426,2.97645,3.04926,-0.0813849,3.06807,2.94948,105.5,2.32047,2.46097,65.5758,2.40419,2.48937,0.0288426,2.31833,2.45427,-0.0813849,2.42627,2.48254,All
106.133,2.47597,2.41252,65.8889,2.44272,2.52124,0.0340832,2.42062,2.38723,-0.0771195,2.44934,2.50887,106.133,3.00218,3.02836,65.8889,3.03392,2.95766,0.0340832,2.96399,3.04723,-0.0771195,3.08048,2.95167,106.133,2.32904,2.46244,65.8889,2.40252,2.49257,0.0340832,2.30912,2.45574,-0.0771195,2.41519,2.48551,All
106.767,2.48812,2.41668,66.202,2.4441,2.52622,0.0393238,2.43252,2.39156,-0.0728541,2.43966,2.51365,106.767,3.01843,3.02663,66.202,3.01548,2.9599,0.0393238,2.95205,3.04521,-0.0728541,3.08402,2.95387,106.767,2.33761,2.46392,66.202,2.40086,2.49576,0.0393238,2.30025,2.45722,-0.0728541,2.40708,2.48848,All
107.4,2.50026,2.42084,66.5152,2.44548,2.5312,0.0445644,2.44359,2.39589,-0.0685888,2.44165,2.51843,107.4,3.03469,3.0249,66.5152,2.99704,2.96214,0.0445644,2.96642,3.04318,-0.0685888,3.06627,2.95607,107.4,2.34618,2.46539,66.5152,2.39919,2.49896,0.0445644,2.30795,2.45869,-0.0685888,2.40613,2.49145,All
108.033,2.51241,2.425,66.8283,2.44686,2.53618,0.049805,2.45466,2.40022,-0.0643234,2.44365,2.52322,108.033,3.05095,3.02316,66.8283,2.9786,2.96437,0.049805,2.98078,3.04116,-0.0643234,3.04852,2.95827,108.033,2.35475,2.46686,66.8283,2.39752,2.50216,0.049805,2.31565,2.46017,-0.0643234,2.40517,2.49441,All
108.667,2.52455,2.42915,67.1414,2.45943,2.54116,0.0550456,2.46573,2.40455,-0.060058,2.44565,2.528,108.667,3.06721,3.02143,67.1414,2.95994,2.96661,0.0550456,2.99515,3.03914,-0.060058,3.03076,2.96046,108.667,2.36332,2.46834,67.1414,2.4011,2.50535,0.0550456,2.32336,2.46164,-0.060058,2.40422,2.49738,All
109.3,2.53669,2.43331,67.4545,2.48558,2.54615,0.0602862,2.4768,2.40887,-0.0557926,2.44764,2.53279,109.3,3.08346,3.0197,67.4545,2.94101,2.96884,0.0602862,3.00951,3.03711,-0.0557926,3.01301,2.96266,109.3,2.3719,2.46981,67.4545,2.41105,2.50855,0.0602862,2.33106,2.46312,-0.0557926,2.40327,2.50035,All
109.933,2.54884,2.43747,67.7677,2.51173,2.55113,0.0655268,2.48788,2.4132,-0.0515273,2.44964,2.53757,109.933,3.09972,3.01796,67.7677,2.92207,2.97108,0.0655268,3.02387,3.03509,-0.0515273,2.99526,2.96486,109.933,2.38047,2.47129,67.7677,2.421,2.51175,0.0655268,2.33876,2.46459,-0.0515273,2.40231,2.50332,All
110.567,2.56098,2.44163,68.0808,2.53967,2.55611,0.0707674,2.49895,2.41753,-0.0472619,2.45164,2.54235,110.567,3.11598,3.01623,68.0808,2.90846,2.97332,0.0707674,3.03824,3.03306,-0.0472619,2.9775,2.96706,110.567,2.38904,2.47276,68.0808,2.43284,2.51495,0.0707674,2.34646,2.46607,-0.0472619,2.40136,2.50629,All
111.2,2.57313,2.44579,68.3939,2.57278,2.56109,0.076008,2.51002,2.42186,-0.0429965,2.45778,2.54714,111.2,3.13224,3.0145,68.3939,2.91016,2.97555,0.076008,3.0526,3.03104,-0.0429965,2.95996,2.96925,111.2,2.39761,2.47424,68.3939,2.45013,2.51814,0.076008,2.35417,2.46754,-0.0429965,2.40237,2.50926,All
111.833,2.58527,2.44995,68.7071,2.60588,2.56608,0.0812486,2.52109,2.42619,-0.0387311,2.48169,2.55192,111.833,3.14849,3.01277,68.7071,2.91185,2.97779,0.0812486,3.06697,3.02901,-0.0387311,2.94332,2.97145,111.833,2.40618,2.47571,68.7071,2.46741,2.52134,0.0812486,2.36187,2.46901,-0.0387311,2.41176,2.51223,All
112.467,2.57545,2.45411,69.0202,2.63899,2.57106,0.0864892,2.53216,2.43051,-0.0344658,2.50561,2.5567,112.467,3.12929,3.01103,69.0202,2.91355,2.98003,0.0864892,3.08133,3.02699,-0.0344658,2.92669,2.97365,112.467,2.41564,2.47719,69.0202,2.4847,2.52454,0.0864892,2.36957,2.47049,-0.0344658,2.42116,2.5152,All
113.1,2.55779,2.45826,69.3333,2.67209,2.57604,0.0917298,2.54323,2.43484,-0.0302004,2.52952,2.56149,113.1,3.09742,3.0093,69.3333,2.91525,2.98226,0.0917298,3.09569,3.02497,-0.0302004,2.91005,2.97585,113.1,2.42543,2.47866,69.3333,2.50198,2.52773,0.0917298,2.37728,2.47196,-0.0302004,2.43056,2.51817,All
113.733,2.54012,2.46242,69.6465,2.7052,2.58102,0.0969704,2.5543,2.43917,-0.025935,2.55851,2.56627,113.733,3.06555,3.00757,69.6465,2.91694,2.9845,0.0969704,3.11006,3.02294,-0.025935,2.90761,2.97804,113.733,2.43522,2.48014,69.6465,2.51927,2.53093,0.0969704,2.38498,2.47344,-0.025935,2.44452,2.52113,All
114.367,2.52245,2.46658,69.9596,2.7383,2.586,0.102211,2.56537,2.4435,-0.0216696,2.58951,2.57106,114.367,3.03368,3.00584,69.9596,2.91864,2.98674,0.102211,3.12442,3.02092,-0.0216696,2.91081,2.98024,114.367,2.445,2.48161,69.9596,2.53655,2.53413,0.102211,2.39268,2.47491,-0.0216696,2.4603,2.5241,All
115,2.50479,2.47074,70.2727,2.73984,2.59099,0.107452,2.57644,2.44783,-0.0174043,2.62051,2.57584,115,3.00181,3.0041,70.2727,2.92486,2.98897,0.107452,3.13879,3.01889,-0.0174043,2.91401,2.98244,115,2.45479,2.48309,70.2727,2.54447,2.53732,0.107452,2.40038,2.47639,-0.0174043,2.47607,2.52707,All
115.633,2.48712,2.4749,70.5859,2.7367,2.59597,0.112692,2.58751,2.45215,-0.0131389,2.6515,2.58062,115.633,2.96994,3.00237,70.5859,2.93175,2.99121,0.112692,3.15315,3.01687,-0.0131389,2.91721,2.98464,115.633,2.46458,2.48456,70.5859,2.551,2.54052,0.112692,2.40809,2.47786,-0.0131389,2.49185,2.53004,All
116.267,2.46945,2.47906,70.899,2.73355,2.60095,0.117933,2.57416,2.45648,-0.00887351,2.6825,2.58541,116.267,2.93807,3.00064,70.899,2.93865,2.99345,0.117933,3.12791,3.01485,-0.00887351,2.92041,2.98683,116.267,2.47437,2.48603,70.899,2.55753,2.54372,0.117933,2.41724,2.47934,-0.00887351,2.50762,2.53301,All
116.9,2.45179,2.48322,71.2121,2.73041,2.60593,0.123173,2.55744,2.46081,-0.00460813,2.7135,2.59019,116.9,2.9062,2.99891,71.2121,2.94554,2.99568,0.123173,3.0972,3.01282,-0.00460813,2.92361,2.98903,116.9,2.48415,2.48751,71.2121,2.56406,2.54691,0.123173,2.42659,2.48081,-0.00460813,2.52339,2.53598,All
117.533,2.43412,2.48737,71.5253,2.72727,2.61092,0.128414,2.54072,2.46514,-0.000342757,2.7445,2.59498,117.533,2.87433,2.99717,71.5253,2.95244,2.99792,0.128414,3.06649,3.0108,-0.000342757,2.92682,2.99123,117.533,2.49394,2.48898,71.5253,2.57059,2.55011,0.128414,2.43594,2.48229,-0.000342757,2.53917,2.53895,All
118.167,2.41645,2.49153,71.8384,2.72413,2.6159,0.133655,2.52399,2.46947,0.00392262,2.74353,2.59976,118.167,2.84246,2.99544,71.8384,2.95933,3.00015,0.133655,3.03578,3.00877,0.00392262,2.9328,2.99343,118.167,2.50373,2.49046,71.8384,2.57712,2.55331,0.133655,2.4453,2.48376,0.00392262,2.54584,2.54192,All
118.8,2.4544,2.49569,72.1515,2.72098,2.62088,0.138895,2.50727,2.4738,0.00818799,2.73977,2.60454,118.8,2.85072,2.99371,72.1515,2.96622,3.00239,0.138895,3.00507,3.00675,0.00818799,2.93903,2.99562,118.8,2.52588,2.49193,72.1515,2.58366,2.55651,0.138895,2.45465,2.48524,0.00818799,2.55172,2.54489,All
119.433,2.50717,2.49985,72.4646,2.71784,2.62586,0.144136,2.49055,2.47812,0.0124534,2.73601,2.60933,119.433,2.86969,2.99197,72.4646,2.97312,3.00463,0.144136,2.97436,3.00472,0.0124534,2.94526,2.99782,119.433,2.55133,2.49341,72.4646,2.59019,2.5597,0.144136,2.464,2.48671,0.0124534,2.5576,2.54786,All
120.067,2.56297,2.50401,72.7778,2.7147,2.63084,0.149376,2.47383,2.48245,0.0167187,2.73225,2.61411,120.067,2.89894,2.99024,72.7778,2.98001,3.00686,0.149376,2.94365,3.0027,0.0167187,2.95149,3.00002,120.067,2.56889,2.49488,72.7778,2.59672,2.5629,0.149376,2.47335,2.48818,0.0167187,2.56348,2.55082,All
120.7,2.61912,2.50817,73.0909,2.71156,2.63583,0.154617,2.4571,2.48678,0.0209841,2.72849,2.6189,120.7,2.9294,2.98851,73.0909,2.98691,3.0091,0.154617,2.91293,3.00068,0.0209841,2.95772,3.00222,120.7,2.58552,2.49636,73.0909,2.60325,2.5661,0.154617,2.4827,2.48966,0.0209841,2.56935,2.55379,All
121.333,2.67528,2.51232,73.404,2.70841,2.64081,0.159858,2.44038,2.49111,0.0252495,2.72473,2.62368,121.333,2.95986,2.98678,73.404,2.9938,3.01134,0.159858,2.88222,2.99865,0.0252495,2.96395,3.00441,121.333,2.60215,2.49783,73.404,2.60978,2.56929,0.159858,2.49206,2.49113,0.0252495,2.57523,2.55676,All
121.967,2.69646,2.51648,73.7172,2.70527,2.64579,0.165098,2.42366,2.49544,0.0295149,2.72097,2.62846,121.967,2.97925,2.98504,73.7172,3.00069,3.01357,0.165098,2.85151,2.99663,0.0295149,2.97018,3.00661,121.967,2.59484,2.49931,73.7172,2.61631,2.57249,0.165098,2.50141,2.49261,0.0295149,2.58111,2.55973,All
122.6,2.67088,2.52064,74.0303,2.6961,2.65077,0.170339,2.43758,2.49976,0.0337803,2.71721,2.63325,122.6,2.97792,2.98331,74.0303,3.00497,3.01581,0.170339,2.84281,2.9946,0.0337803,2.97641,3.00881,122.6,2.56228,2.50078,74.0303,2.62023,2.57569,0.170339,2.51791,2.49408,0.0337803,2.58699,2.5627,All
123.233,2.64529,2.5248,74.3434,2.63065,2.65576,0.175579,2.49112,2.50409,0.0380456,2.71345,2.63803,123.233,2.9766,2.98158,74.3434,2.98482,3.01805,0.175579,2.86258,2.99258,0.0380456,2.98263,3.01101,123.233,2.52972,2.50226,74.3434,2.59971,2.57888,0.175579,2.54366,2.49556,0.0380456,2.59287,2.56567,All
123.867,2.61971,2.52896,74.6566,2.56519,2.66074,0.18082,2.54554,2.50842,0.042311,2.70969,2.64281,123.867,2.97527,2.97985,74.6566,2.96468,3.02028,0.18082,2.88769,2.99055,0.042311,2.98886,3.0132,123.867,2.49715,2.50373,74.6566,2.5792,2.58208,0.18082,2.56452,2.49703,0.042311,2.59875,2.56864,All
124.5,2.59412,2.53312,74.9697,2.49974,2.66572,0.186061,2.6008,2.51275,0.0465764,2.70593,2.6476,124.5,2.97394,2.97811,74.9697,2.94453,3.02252,0.186061,2.91794,2.98853,0.0465764,2.99509,3.0154,124.5,2.46459,2.5052,74.9697,2.55868,2.58528,0.186061,2.58068,2.49851,0.0465764,2.60462,2.57161,All
125.133,2.56854,2.53728,75.2828,2.52313,2.6707,0.191301,2.65605,2.51708,0.0508418,2.70216,2.65238,125.133,2.97261,2.97638,75.2828,2.94816,3.02476,0.191301,2.94819,2.98651,0.0508418,3.00132,3.0176,125.133,2.43202,2.50668,75.2828,2.56773,2.58847,0.191301,2.59684,2.49998,0.0508418,2.6105,2.57458,All
125.767,2.54295,2.54143,75.596,2.55604,2.67568,0.196542,2.70028,2.5214,0.0551071,2.6984,2.65717,125.767,2.97129,2.97465,75.596,2.95433,3.02699,0.196542,2.97624,2.98448,0.0551071,3.00755,3.0198,125.767,2.39946,2.50815,75.596,2.57995,2.59167,0.196542,2.60385,2.50146,0.0551071,2.61638,2.57754,All
126.4,2.51737,2.54559,75.9091,2.58895,2.68067,0.201782,2.68145,2.52573,0.0593725,2.64238,2.66195,126.4,2.96996,2.97292,75.9091,2.96051,3.02923,0.201782,2.97817,2.98246,0.0593725,2.98993,3.02199,126.4,2.3669,2.50963,75.9091,2.59216,2.59487,0.201782,2.57417,2.50293,0.0593725,2.6015,2.58051,All
127.033,2.49179,2.54975,76.2222,2.62186,2.68565,0.207023,2.65502,2.53006,0.0636379,2.57999,2.66673,127.033,2.96863,2.97118,76.2222,2.96669,3.03146,0.207023,2.97659,2.98043,0.0636379,2.96941,3.02419,127.033,2.33433,2.5111,76.2222,2.60438,2.59807,0.207023,2.54047,2.50441,0.0636379,2.58409,2.58348,All
127.667,2.4662,2.55391,76.5354,2.65477,2.69063,0.212264,2.62858,2.53439,0.0679033,2.5176,2.67152,127.667,2.9673,2.96945,76.5354,2.97286,3.0337,0.212264,2.97502,2.97841,0.0679033,2.94888,3.02639,127.667,2.30177,2.51258,76.5354,2.6166,2.60126,0.212264,2.50676,2.50588,0.0679033,2.56668,2.58645,All
128.3,2.44062,2.55807,76.8485,2.68768,2.69561,0.217504,2.60214,2.53872,0.0721686,2.52661,2.6763,128.3,2.96597,2.96772,76.8485,2.97904,3.03594,0.217504,2.97345,2.97639,0.0721686,2.94845,3.02859,128.3,2.2692,2.51405,76.8485,2.62881,2.60446,0.217504,2.47306,2.50735,0.0721686,2.5712,2.58942,All
128.933,2.41503,2.56223,77.1616,2.72059,2.70059,0.222745,2.57571,2.54305,0.076434,2.56011,2.68109,128.933,2.96465,2.96598,77.1616,2.98522,3.03817,0.222745,2.97187,2.97436,0.076434,2.9549,3.03078,128.933,2.23664,2.51553,77.1616,2.64103,2.60766,0.222745,2.43935,2.50883,0.076434,2.58324,2.59239,All
129.567,2.41087,2.56638,77.4747,2.75351,2.70558,0.227985,2.54927,2.54737,0.0806994,2.59361,2.68587,129.567,2.94953,2.96425,77.4747,2.99139,3.04041,0.227985,2.9703,2.97234,0.0806994,2.96136,3.03298,129.567,2.24636,2.517,77.4747,2.65324,2.61085,0.227985,2.40565,2.5103,0.0806994,2.59527,2.59536,All
130.2,2.40922,2.57054,77.7879,2.78642,2.71056,0.233226,2.52283,2.5517,0.0849648,2.62711,2.69065,130.2,2.93279,2.96252,77.7879,2.99757,3.04265,0.233226,2.96873,2.97031,0.0849648,2.96782,3.03518,130.2,2.26105,2.51848,77.7879,2.66546,2.61405,0.233226,2.37195,2.51178,0.0849648,2.60731,2.59833,All
130.833,2.40757,2.5747,78.101,2.80961,2.71554,0.238467,2.49639,2.55603,0.0892301,2.66061,2.69544,130.833,2.91606,2.96079,78.101,3.00313,3.04488,0.238467,2.96715,2.96829,0.0892301,2.97427,3.03738,130.833,2.27574,2.51995,78.101,2.6746,2.61725,0.238467,2.33824,2.51325,0.0892301,2.61935,2.6013,All
131.467,2.40592,2.57886,78.4141,2.81239,2.72052,0.243707,2.46996,2.56036,0.0934955,2.69411,2.70022,131.467,2.89932,2.95905,78.4141,3.0074,3.04712,0.243707,2.96558,2.96626,0.0934955,2.98073,3.03957,131.467,2.29043,2.52142,78.4141,2.67727,2.62044,0.243707,2.30454,2.51473,0.0934955,2.63139,2.60427,All
132.1,2.40428,2.58302,78.7273,2.81518,2.72551,0.248948,2.44352,2.56469,0.0977609,2.7276,2.70501,132.1,2.88258,2.95732,78.7273,3.01167,3.04936,0.248948,2.96401,2.96424,0.0977609,2.98718,3.04177,132.1,2.30513,2.5229,78.7273,2.67994,2.62364,0.248948,2.27083,2.5162,0.0977609,2.64343,2.60723,All
132.733,2.40263,2.58718,79.0404,2.81796,2.73049,0.254188,2.41708,2.56901,0.102026,2.7611,2.70979,132.733,2.86585,2.95559,79.0404,3.01593,3.05159,0.254188,2.96243,2.96222,0.102026,2.99364,3.04397,132.733,2.31982,2.52437,79.0404,2.68262,2.62684,0.254188,2.23713,2.51768,0.102026,2.65547,2.6102,All
133.367,2.40098,2.59134,79.3535,2.82075,2.73547,0.259429,2.41318,2.57334,0.106292,2.7946,2.71457,133.367,2.84911,2.95386,79.3535,3.0202,3.05383,0.259429,2.94562,2.96019,0.106292,3.0001,3.04617,133.367,2.33451,2.52585,79.3535,2.68529,2.63003,0.259429,2.24887,2.51915,0.106292,2.66751,2.61317,All
134,2.39933,2.59549,79.6667,2.82354,2.74045,0.26467,2.41141,2.57767,0.110557,2.81125,2.71936,134,2.83237,2.95212,79.6667,3.02447,3.05607,0.26467,2.92736,2.95817,0.110557,3.00561,3.04836,134,2.3492,2.52732,79.6667,2.68796,2.63323,0.26467,2.26492,2.52063,0.110557,2.67446,2.61614,All
134.633,2.39769,2.59965,79.9798,2.82632,2.74543,0.26991,2.40965,2.582,0.114822,2.81407,2.72414,134.633,2.81564,2.95039,79.9798,3.02874,3.0583,0.26991,2.90911,2.95614,0.114822,3.01034,3.05056,134.633,2.36389,2.5288,79.9798,2.69064,2.63643,0.26991,2.28097,2.5221,0.114822,2.67725,2.61911,All
