iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
75,481.741,1,13.369,20.0828,24.9037,11.4845,1.6629,0.0508575,0.256209,0.804039,0.272718,0.989223
76,468.987,1,13.436,21.4807,25.336,11.148,1.64037,0.0415696,0.26137,0.85516,0.273883,0.942827
77,469.067,1,13.3367,20.6026,25.2039,11.5369,1.64032,0.0386468,0.2532,0.842686,0.29134,1.03039
78,470.659,1,13.4842,21.9162,25.0792,11.4921,1.57351,0.0394252,0.253517,0.998488,0.318591,0.997714
79,460.541,1,13.4604,19.7184,25.0214,12.5872,1.49477,0.0407327,0.254727,0.895453,0.313116,0.935824
80,474.132,1,13.583,21.2667,25.0385,10.8959,1.59167,0.0411225,0.252396,1.05679,0.307998,0.983912
81,468.393,1,13.6919,22.7939,24.8924,11.4128,1.53453,0.0427492,0.260432,0.973279,0.302689,0.947562
82,466.332,1,13.5301,20.728,24.8023,11.5585,1.59811,0.0391399,0.26394,0.937303,0.304935,0.880066
83,474.505,1,13.6713,22.1076,24.7826,11.6004,1.6124,0.0448955,0.264364,0.94017,0.298932,0.888216
84,466.959,1,13.5477,20.734,24.9482,11.1761,1.55052,0.044482,0.266943,0.839672,0.306562,0.880062
85,480.388,1,13.5939,21.3988,24.907,10.976,1.55885,0.0485547,0.258314,0.954092,0.312234,1.00662
86,477.928,1,13.5372,19.9775,24.758,10.4315,1.64971,0.0446401,0.258653,0.893764,0.305278,0.943585
87,474.489,1,13.6501,21.4913,25.1737,10.352,1.59531,0.0453468,0.263988,0.939359,0.275068,0.987388
88,470.405,1,13.6452,22.2428,25.4415,11.6024,1.58535,0.0408856,0.264107,0.942796,0.298158,0.993497
89,458.322,1,13.552,22.8064,25.2266,11.5911,1.53213,0.041818,0.249293,0.880751,0.271569,0.909652
90,463.024,1,13.4676,21.7805,25.136,11.6325,1.57981,0.0412496,0.260357,0.831145,0.291061,0.890831
91,461.203,1,13.6507,21.4834,25.1898,10.3731,1.53653,0.0439059,0.262114,0.769787,0.285927,0.929951
92,468.909,1,13.5907,22.867,25.2071,10.3442,1.61151,0.0417458,0.264544,0.834343,0.305546,0.924412
93,460.557,1,13.6099,23.3879,24.9753,10.2691,1.61365,0.0385832,0.265457,0.753638,0.305854,0.885054
94,463.923,1,13.5823,24.3127,24.6276,11.3534,1.69587,0.0379244,0.26853,0.716802,0.30274,0.862819
95,461.395,1,13.5082,22.5715,24.9357,11.2781,1.58651,0.0415464,0.259535,0.694443,0.333528,0.876716
96,460.123,1,13.5733,19.6709,24.7779,11.7277,1.5522,0.0428073,0.252012,0.69426,0.328415,0.905894
97,459.555,1,13.3267,21.9424,24.6832,12.2906,1.58787,0.0409569,0.256267,0.696553,0.338025,0.822505
98,457.542,1,13.4952,21.1701,25.2277,11.5773,1.70798,0.0364495,0.26194,0.654356,0.322225,0.759015
99,456.223,1,13.6389,22.8389,24.5741,12.2503,1.6688,0.036217,0.262817,0.705587,0.319276,0.762151
100,454.134,1,13.4823,21.1211,24.8856,11.6317,1.71857,0.0279911,0.26622,0.756566,0.308381,0.823333
101,452.951,1,13.605,20.1706,25.417,12.1338,1.60911,0.03434,0.262131,0.793201,0.303137,0.820121
102,448.038,1,13.5973,19.446,25.1056,13.6161,1.52441,0.0344434,0.266358,0.796196,0.304472,0.854508
103,449.494,1,13.5664,21.8358,25.4004,12.3281,1.46425,0.0366015,0.262881,0.900913,0.303869,0.856925
104,465.398,1,13.4949,19.6329,24.9577,13.1479,1.47327,0.0448657,0.259801,0.984377,0.291346,0.912992
105,463.281,1,13.4238,18.3123,25.5385,12.4661,1.47333,0.0461006,0.26203,0.929528,0.284524,0.839596
106,466.797,1,13.4495,21.5727,25.071,14.3283,1.53253,0.044325,0.257143,0.955012,0.293638,0.874718
107,458.847,1,13.4248,22.5851,25.3662,13.2108,1.58083,0.0389916,0.254184,0.901431,0.278544,0.85036
108,457.367,1,13.4695,20.8624,24.71,13.4143,1.54389,0.0419263,0.253702,0.861309,0.268509,0.853909
109,453.915,1,13.4776,19.7402,25.1912,12.8264,1.50627,0.0407641,0.259419,0.963143,0.249238,0.837376
110,452.388,1,13.5337,20.0175,24.7147,12.3218,1.53435,0.0387872,0.260338,0.824213,0.255096,0.925736
111,458.101,1,13.4907,18.7271,25.1886,11.881,1.57173,0.0416162,0.25208,0.826255,0.258603,0.900687
112,452.907,1,13.573,20.6918,24.9115,12.9159,1.36425,0.0457764,0.253826,0.914171,0.253692,0.997632
113,457.258,1,13.5775,20.9213,24.9488,12.1809,1.39737,0.0452383,0.268316,0.935635,0.256075,0.983127
114,459.985,1,13.4365,20.3897,25.2688,13.4016,1.45691,0.0405343,0.257775,1.06892,0.273202,0.976057
115,451.327,1,13.4171,21.0009,25.3089,11.8616,1.50019,0.0353865,0.262363,0.94488,0.263416,0.962648
116,450.502,1,13.4025,19.9105,25.4974,12.6694,1.50021,0.0369006,0.25825,0.852859,0.266747,0.977188
117,455.001,1,13.4451,19.6911,25.2132,13.5236,1.50031,0.0410416,0.258095,0.829398,0.266527,0.973909
118,450.427,1,13.5199,18.0805,24.8728,11.561,1.3437,0.0444311,0.257118,0.938465,0.253421,0.981164
119,453.337,1,13.5765,15.6168,25.5526,12.6845,1.37285,0.0443094,0.258901,0.975926,0.24695,0.998123
120,460.351,1,13.576,15.6261,25.5903,11.1784,1.45689,0.0416256,0.25866,1.09237,0.249289,1.0103
121,463.149,1,13.4806,16.1924,25.9943,11.5977,1.43895,0.0458871,0.250651,1.05586,0.24978,1.00037
122,463.977,1,13.5243,14.9802,26.2024,13.7678,1.43898,0.0490091,0.253307,1.0995,0.244001,0.904657
123,460.591,1,13.6103,16.2348,25.7717,12.7454,1.44289,0.0444556,0.252111,1.10584,0.25333,0.924082
124,467.009,1,13.5994,17.4479,25.6296,12.5482,1.46805,0.0478167,0.261491,1.02865,0.239181,0.992322
125,462.599,1,13.4289,19.2462,25.6251,13.31,1.44592,0.0457369,0.252764,1.06682,0.22155,1.07306
126,464.21,1,13.4967,19.7093,25.1726,13.7286,1.55884,0.0419758,0.258029,1.01485,0.224587,1.02687
127,460.09,1,13.5063,19.5418,25.2882,12.5002,1.52466,0.0406968,0.258762,0.961761,0.24192,1.02244
128,462.026,1,13.4275,18.6815,24.7025,12.7003,1.56695,0.0394491,0.2521,0.904753,0.266859,1.00885
129,463.697,1,13.4671,16.7764,25.1734,12.7616,1.53832,0.0401823,0.259508,1.04923,0.250716,0.98977
130,461.964,1,13.5525,16.9917,25.4449,13.4023,1.48218,0.043588,0.266062,1.0001,0.244534,0.978985
131,469.356,1,13.5529,16.4444,25.8895,13.786,1.48234,0.0494744,0.253902,1.00881,0.233481,1.05145
132,476.83,1,13.5634,15.8464,26.1039,14.8938,1.56829,0.0505737,0.253644,1.03098,0.239757,0.981132
133,461.528,1,13.596,17.8071,26.021,13.205,1.47383,0.0428137,0.256796,1.05675,0.243541,1.02267
134,459.439,1,13.4498,18.2335,25.9391,13.3023,1.47201,0.0395261,0.26128,1.2087,0.246741,0.942664
135,456.195,1,13.4988,17.3668,25.4123,12.4629,1.44198,0.0398021,0.258715,1.15467,0.238561,0.982297
136,459.341,1,13.5382,17.2477,25.7157,12.0947,1.39468,0.0436002,0.253793,1.18665,0.252696,0.973126
137,464.636,1,13.6087,18.4871,25.7357,11.8594,1.48663,0.0396173,0.267364,1.23444,0.253523,0.99765
138,463.844,1,13.5831,14.9662,25.4098,13.4112,1.43144,0.0425044,0.264722,1.23481,0.254702,0.982204
