trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_log_tCLCRLH_abscissa,trans_Cl_vs_log_tCLCRLH_spline,trans_Cl_vs_log_tCLCRLH_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_log_tCLCRLH_abscissa,trans_V1_vs_log_tCLCRLH_spline,trans_V1_vs_log_tCLCRLH_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_log_tCLCRLH_abscissa,trans_V2_vs_log_tCLCRLH_spline,trans_V2_vs_log_tCLCRLH_regression,split
140.967,2.55807,2.56679,0.168166,2.52969,2.55614,140.967,1.92134,1.8023,0.168166,1.85474,1.83191,140.967,2.63561,2.56859,0.168166,2.45738,2.58418,All
141.6,2.56005,2.56975,0.173406,2.57775,2.55926,141.6,1.96289,1.79443,0.173406,1.85385,1.8237,141.6,2.56251,2.56536,0.173406,2.65508,2.58101,All
142.233,2.56204,2.57272,0.178647,2.55494,2.56239,142.233,2.00443,1.78657,0.178647,1.82353,1.81548,142.233,2.48941,2.56214,0.178647,2.80463,2.57785,All
142.867,2.56403,2.57568,0.183887,2.55704,2.56551,142.867,2.04598,1.77871,0.183887,1.87236,1.80726,142.867,2.4163,2.55891,0.183887,2.71967,2.57468,All
143.5,2.56602,2.57864,0.189128,2.55914,2.56864,143.5,2.08752,1.77084,0.189128,1.92119,1.79904,143.5,2.3432,2.55569,0.189128,2.63472,2.57151,All
144.133,2.57101,2.58161,0.194369,2.56124,2.57176,144.133,2.079,1.76298,0.194369,1.97002,1.79083,144.133,2.32952,2.55247,0.194369,2.54976,2.56834,All
144.767,2.5774,2.58457,0.199609,2.56334,2.57489,144.767,2.04737,1.75511,0.199609,2.01885,1.78261,144.767,2.34327,2.54924,0.199609,2.46481,2.56517,All
145.4,2.58378,2.58753,0.20485,2.56545,2.57801,145.4,2.01573,1.74725,0.20485,2.06768,1.77439,145.4,2.35703,2.54602,0.20485,2.37985,2.562,All
146.033,2.59016,2.59049,0.21009,2.56933,2.58114,146.033,1.9841,1.73939,0.21009,2.08847,1.76617,146.033,2.37078,2.5428,0.21009,2.32775,2.55884,All
146.667,2.59654,2.59346,0.215331,2.577,2.58426,146.667,1.95246,1.73152,0.215331,2.05,1.75796,146.667,2.38453,2.53957,0.215331,2.34505,2.55567,All
147.3,2.60292,2.59642,0.220572,2.58467,2.58739,147.3,1.92083,1.72366,0.220572,2.01154,1.74974,147.3,2.39828,2.53635,0.220572,2.36236,2.5525,All
147.933,2.6093,2.59938,0.225812,2.59233,2.59051,147.933,1.8892,1.71579,0.225812,1.97307,1.74152,147.933,2.41203,2.53313,0.225812,2.37966,2.54933,All
148.567,2.61568,2.60234,0.231053,2.6,2.59364,148.567,1.85756,1.70793,0.231053,1.93461,1.7333,148.567,2.42578,2.5299,0.231053,2.39697,2.54616,All
149.2,2.62206,2.60531,0.236293,2.60766,2.59676,149.2,1.82593,1.70007,0.236293,1.89614,1.72509,149.2,2.43953,2.52668,0.236293,2.41427,2.543,All
149.833,2.62844,2.60827,0.241534,2.61533,2.59989,149.833,1.79429,1.6922,0.241534,1.85768,1.71687,149.833,2.45329,2.52345,0.241534,2.43158,2.53983,All
150.467,2.63482,2.61123,0.246775,2.62299,2.60301,150.467,1.76266,1.68434,0.246775,1.81921,1.70865,150.467,2.46704,2.52023,0.246775,2.44889,2.53666,All
151.1,2.6412,2.6142,0.252015,2.63066,2.60614,151.1,1.73103,1.67647,0.252015,1.78075,1.70043,151.1,2.48079,2.51701,0.252015,2.46619,2.53349,All
151.733,2.64758,2.61716,0.257256,2.63833,2.60926,151.733,1.69939,1.66861,0.257256,1.74228,1.69222,151.733,2.49454,2.51378,0.257256,2.4835,2.53032,All
152.367,2.65396,2.62012,0.262496,2.64599,2.61239,152.367,1.66776,1.66075,0.262496,1.70382,1.684,152.367,2.50829,2.51056,0.262496,2.5008,2.52716,All
153,2.66034,2.62308,0.267737,2.65366,2.61551,153,1.63612,1.65288,0.267737,1.66535,1.67578,153,2.52204,2.50734,0.267737,2.51811,2.52399,All
153.633,2.66673,2.62605,0.272978,2.66132,2.61864,153.633,1.60449,1.64502,0.272978,1.62689,1.66756,153.633,2.53579,2.50411,0.272978,2.53541,2.52082,All
154.267,2.67311,2.62901,0.278218,2.66899,2.62176,154.267,1.57286,1.63715,0.278218,1.58842,1.65935,154.267,2.54955,2.50089,0.278218,2.55272,2.51765,All
154.9,2.67949,2.63197,0.283459,2.67665,2.62489,154.9,1.54122,1.62929,0.283459,1.54996,1.65113,154.9,2.5633,2.49767,0.283459,2.57002,2.51448,All
