iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tCLCRMLMIN,omega_Cl,omega_Q,omega_V1,omega_V2
20,546.166,1,4.80778,24.237,10.1802,1.81314,0.0288985,9.16286,3.29461,0.954144,0.274141,1.12179
21,545.694,1,4.79415,24.5981,11.8474,1.81305,0.0270343,9.19603,3.3018,1.01527,0.2672,1.09339
22,550.182,1,4.46924,24.2936,11.7087,1.71272,0.0338037,9.69807,3.43275,1.10384,0.260434,1.10128
23,558.642,1,4.33611,24.4004,12.0971,1.7128,0.0358338,9.8865,3.46741,1.12294,0.270814,1.17492
24,550.476,1,4.19323,24.4657,11.8088,1.53486,0.0429007,9.94856,3.46542,1.09451,0.263957,1.15519
25,556.52,1,4.25803,24.5599,12.6794,1.52068,0.0497472,9.75605,3.37768,1.0841,0.262556,1.12594
26,550.189,1,3.36294,23.6775,13.2234,1.61128,0.0406407,10.6532,3.29215,1.14418,0.255908,1.12162
27,553.748,1,2.75906,23.7967,13.6315,1.63701,0.0421186,11.2334,3.29677,1.11521,0.249428,1.11726
28,551.076,1,3.86874,23.9692,12.8886,1.63695,0.0401326,10.1245,3.32147,1.23659,0.243112,1.08897
29,552.083,1,4.46398,23.3666,14.0998,1.63696,0.0414297,9.51766,3.36889,1.27292,0.236957,1.0614
30,545.781,1,4.09237,22.7163,13.832,1.47897,0.044302,9.79597,3.2946,1.31181,0.230957,1.05707
31,541.216,1,5.07965,22.9777,13.8412,1.55175,0.0399821,8.81349,3.44629,1.2786,0.225109,1.03771
32,541.722,1,5.06796,22.6617,12.9844,1.53158,0.0418008,8.76373,3.39436,1.25419,0.219409,1.06902
33,535.303,1,5.02392,22.2763,13.0005,1.53154,0.0400209,9.09021,3.52242,1.23886,0.213853,1.04195
34,529.885,1,5.04615,22.8321,13.428,1.53152,0.0383406,8.90133,3.43323,1.2075,0.208439,1.01557
35,538.336,1,5.9557,22.9298,14.8419,1.56997,0.0376334,8.10305,3.51564,1.17692,0.217991,0.989856
36,540.599,1,5.55162,23.1843,13.9894,1.59485,0.0384002,8.34073,3.42662,1.20584,0.21814,0.969529
37,532.073,1,5.6677,23.3079,15.4118,1.56262,0.0381777,8.23005,3.33986,1.17531,0.212616,0.94498
38,539.104,1,6.22498,23.4115,17.6054,1.60392,0.0407037,7.51646,3.29474,1.14555,0.217527,0.921053
39,534.189,1,5.19721,23.3919,16.5185,1.75993,0.0305837,8.61952,3.26789,1.11654,0.212019,0.905938
40,524.251,1,5.46826,23.5795,15.0769,1.67194,0.0290545,8.42831,3.28177,1.10928,0.20665,0.889415
41,533.324,1,5.53706,23.6125,13.7832,1.70121,0.0298212,8.41124,3.272,1.08451,0.201418,0.986599
42,534.056,1,5.60286,23.7642,12.9292,1.72637,0.0296871,8.29757,3.31759,1.06564,0.212762,0.961618
43,528.275,1,5.15546,23.4307,13.5713,1.58904,0.032138,8.78969,3.4122,1.21228,0.207375,0.937269
44,527.808,1,5.27785,23.3209,13.414,1.56743,0.0327206,8.77505,3.44111,1.18223,0.211041,0.913537
45,526.588,1,5.70435,23.1559,13.7577,1.59079,0.0317529,8.48901,3.51148,1.1523,0.215006,0.890406
46,534.093,1,6.18291,23.3589,13.6576,1.74501,0.0255929,7.96028,3.5674,1.12312,0.237127,0.86786
47,528.755,1,5.37606,23.5097,13.5397,1.69808,0.027653,8.64117,3.47707,1.09468,0.231123,0.845885
48,532.319,1,5.14662,23.5216,13.4387,1.63045,0.0301471,8.88988,3.46,1.06697,0.25671,0.944791
49,535.798,1,4.93856,23.8337,13.3507,1.65294,0.0331947,9.1091,3.37239,1.12685,0.25021,0.920869
50,547.666,1,5.9675,23.648,12.1146,1.72804,0.0396491,7.92213,3.31359,1.09832,0.243874,0.897552
51,547.722,1,5.89866,23.7431,12.5693,1.55613,0.0431751,8.05819,3.39975,1.25851,0.253518,0.874825
52,557.526,1,6.22294,23.7284,12.8465,1.59403,0.0418305,7.67837,3.46594,1.33929,0.274806,0.969125
53,549.203,1,5.82247,24.0952,13.276,1.59399,0.040047,8.08823,3.4827,1.30538,0.267847,0.944586
54,549.434,1,5.76955,24.3368,12.5109,1.64016,0.0373972,8.20294,3.46246,1.27233,0.261065,0.920669
55,551.195,1,5.20768,24.1615,14.0303,1.65005,0.0399125,8.72625,3.41501,1.31791,0.254455,0.900689
56,539.9,1,5.50507,24.2856,14.3461,1.45478,0.0430647,8.52174,3.32854,1.30819,0.248012,0.917208
57,536.618,1,4.53414,24.0642,12.8524,1.38659,0.0449138,9.52269,3.36979,1.27506,0.241732,0.949338
58,544.955,1,5.47093,23.4728,14.2532,1.44547,0.048795,8.52874,3.41573,1.24278,0.235612,0.970776
59,554.221,1,5.94153,24.0656,13.1858,1.57301,0.0489801,7.8817,3.32924,1.21131,0.239001,0.946195
60,548.708,1,5.03816,24.3799,13.4427,1.60399,0.0476692,8.86921,3.24494,1.18064,0.23295,0.922237
61,544.951,1,4.61033,24.0343,14.1481,1.56434,0.0452277,9.29661,3.33131,1.15801,0.227051,0.898885
62,552.464,1,5.08641,24.1067,13.1961,1.55898,0.0494314,8.75295,3.29699,1.20095,0.223043,0.913188
63,549.547,1,4.8092,24.2554,12.5314,1.58962,0.0461501,9.07697,3.34398,1.24244,0.219354,0.890065
64,551.089,1,5.63421,24.362,12.5398,1.55577,0.0483834,8.35318,3.43152,1.21098,0.230771,0.926054
65,541.582,1,5.70511,24.4899,13.0037,1.47798,0.0459642,8.24933,3.34463,1.18031,0.225147,0.98464
66,548.979,1,5.13763,25.44,11.4214,1.54841,0.0462423,8.77716,3.25994,1.15043,0.227263,1.06075
67,547.113,1,5.70846,25.1764,11.9295,1.51793,0.0452885,8.19908,3.29415,1.12855,0.250553,1.03389
68,551.37,1,5.96223,24.8822,11.5475,1.61888,0.0449376,8.12824,3.3969,1.09997,0.244209,1.00771
69,551.945,1,5.47989,24.8287,11.2621,1.68637,0.0419085,8.78227,3.46777,1.07212,0.238026,0.982197
70,559.521,1,6.19593,25.0215,10.9117,1.61931,0.0499826,7.98102,3.55411,1.07224,0.240567,0.972187
71,552.023,1,5.78466,24.5801,10.858,1.53835,0.0474835,8.25943,3.46812,1.13355,0.247053,0.990259
72,542.54,1,4.60364,24.9655,11.4772,1.53834,0.0463964,9.55946,3.49625,1.10485,0.250228,0.965185
73,545.478,1,4.35618,24.2929,12.6801,1.60778,0.0425123,9.57198,3.40772,1.07687,0.277752,0.940746
74,542.992,1,4.59458,24.649,12.8714,1.66778,0.0363528,9.26138,3.32143,1.05573,0.270719,0.91882
75,547.605,1,4.58112,23.9872,13.1842,1.64157,0.0410979,9.28634,3.29912,1.05526,0.263864,0.950078
76,547.241,1,4.96432,24.404,13.3727,1.64627,0.0409999,8.90748,3.31666,1.02854,0.265478,0.926021
77,542.103,1,5.37034,24.4884,13.5934,1.5733,0.0409395,8.46444,3.23268,1.0025,0.281038,0.927478
78,547.345,1,4.96299,24.4234,12.8566,1.54565,0.0436063,8.88593,3.19637,1.12303,0.274599,0.937555
79,540.74,1,4.73726,24.7434,13.3307,1.62608,0.0384983,9.14951,3.15824,1.0946,0.271508,0.913815
80,538.323,1,5.05383,24.4568,12.8113,1.54478,0.0365733,8.9187,3.24546,1.14857,0.274693,1.00422
81,537.966,1,5.7202,23.9669,13.804,1.51062,0.0401361,8.21133,3.25001,1.11949,0.267738,0.978789
82,538.272,1,5.8032,24.1772,13.17,1.51062,0.041551,8.16962,3.33385,1.11267,0.260959,0.954006
83,549.912,1,5.47029,24.2928,12.2477,1.53574,0.0442477,8.50012,3.44061,1.11967,0.254351,1.05058
84,545.348,1,4.81808,24.4122,12.2819,1.53568,0.0422104,9.2362,3.52341,1.15192,0.247911,1.02398
85,550.084,1,4.08563,24.032,11.9714,1.48327,0.0481784,9.97812,3.4342,1.13039,0.257724,1.0133
86,543.236,1,4.55273,24.0932,12.7352,1.4484,0.0466633,9.41685,3.34724,1.17758,0.251199,0.987642
87,546.868,1,4.54938,24.2366,12.8704,1.52006,0.0458627,9.46525,3.26249,1.14776,0.244838,1.0385
88,536.488,1,4.98799,24.5991,12.7612,1.44406,0.0435696,8.99154,3.25272,1.1187,0.247549,1.0122
89,532.191,1,4.44983,24.7897,11.6017,1.39486,0.0437051,9.53464,3.29187,1.09037,0.241281,1.06136
90,530.979,1,4.70083,24.9125,11.4222,1.35041,0.0453197,9.22839,3.22959,1.06276,0.243482,1.03449
91,540.928,1,3.9434,25.1498,11.2694,1.43226,0.046045,9.97553,3.26606,1.07545,0.237317,1.10507
92,552.317,1,6.06719,25.1398,11.3326,1.59743,0.0442034,7.92456,3.30849,1.04822,0.247586,1.11257
93,554.788,1,5.70603,24.4542,10.1041,1.62072,0.0475056,8.22288,3.39667,1.02168,0.243704,1.0844
94,543.724,1,5.55297,24.3476,11.2649,1.56573,0.045152,8.4488,3.46234,0.995811,0.242206,1.05694
95,545.565,1,5.67753,24.427,11.8486,1.60988,0.0422093,8.41693,3.41729,0.977816,0.243333,1.03018
96,539.797,1,5.45022,24.6764,11.725,1.49091,0.0457785,8.61371,3.44087,0.987307,0.242357,1.0041
97,550.894,1,6.03243,24.3373,12.7938,1.57571,0.0474237,7.97672,3.50706,1.04075,0.23622,0.978673
98,552.493,1,5.35578,24.9944,12.0629,1.57568,0.0462017,8.6671,3.51938,1.0144,0.260853,0.979813
99,547.412,1,6.09323,24.5456,11.8626,1.53155,0.0477907,7.9309,3.50361,0.988716,0.287519,0.955004
100,557.633,1,5.63687,24.5347,12.3997,1.57461,0.048816,8.4227,3.53912,0.974318,0.280239,1.02495
101,549.823,1,4.59086,25.1326,11.9618,1.57453,0.046799,9.47099,3.44951,0.971179,0.273143,0.998998
102,548.391,1,4.65949,24.5059,11.8104,1.58309,0.0423616,9.54037,3.49314,0.946588,0.28203,1.0222
103,540.247,1,3.95343,25.1003,11.4076,1.54555,0.0389967,10.2114,3.49357,1.01805,0.274888,0.996316
104,548.625,1,3.99522,24.9304,11.8861,1.54564,0.0438218,10.0557,3.42784,1.06494,0.267928,1.08193
105,549.237,1,4.35629,24.7468,11.7426,1.51085,0.0414317,9.65351,3.48335,1.14489,0.261144,1.15305
106,547.037,1,4.21947,24.388,12.4589,1.55318,0.0410011,9.74269,3.39515,1.13077,0.254812,1.12385
107,546.192,1,4.20825,24.5908,11.9539,1.55321,0.0429698,9.93146,3.42941,1.11216,0.24836,1.09539
108,543.209,1,5.57319,23.8765,11.6895,1.5894,0.0388821,8.62595,3.63804,1.09926,0.242072,1.06766
109,530.855,1,4.86883,23.5117,13.7559,1.52935,0.0396494,9.12623,3.54592,1.07142,0.235942,1.04062
110,533.803,1,4.86596,23.267,13.195,1.52936,0.0393222,9.09729,3.45614,1.06499,0.229968,1.01428
111,537.194,1,5.21227,24.0686,13.5189,1.53251,0.0432336,8.62035,3.36863,1.12985,0.224145,0.988593
112,534.253,1,6.17159,24.223,13.6471,1.52867,0.0386683,7.76516,3.28333,1.10762,0.21847,1.05606
113,527.398,1,4.65123,24.4646,14.2065,1.48019,0.0377148,9.45561,3.41803,1.07957,0.212938,1.04726
114,537.668,1,5.32404,24.3501,14.5527,1.55821,0.0381833,8.56141,3.33149,1.05224,0.22422,1.09511
115,535.936,1,5.08923,23.9745,12.6059,1.50669,0.0414251,8.86113,3.31391,1.02559,0.233114,1.06738
116,533.376,1,4.78036,24.5599,12.8893,1.50665,0.0405901,9.28969,3.42501,0.999625,0.229488,1.04035
117,540.079,1,5.78549,24.2867,12.8499,1.5277,0.0451278,8.06844,3.33829,0.974314,0.238127,1.03295
118,542.368,1,5.50809,23.8572,11.8386,1.55124,0.0450094,8.49503,3.25376,0.949644,0.232097,1.07157
119,538.498,1,5.04697,24.14,12.3875,1.47817,0.0475729,8.8316,3.19058,0.951061,0.22622,1.04444
120,548.256,1,4.90707,24.6266,11.6768,1.5616,0.0468833,9.08574,3.22041,0.964263,0.22414,1.14784
121,555.283,1,4.05458,24.4629,13.1788,1.60653,0.0475295,9.84444,3.3045,1.00543,0.222116,1.17995
122,553.186,1,3.71939,24.6584,15.2317,1.52283,0.0507919,10.2006,3.41858,1.10499,0.221619,1.15008
123,552.877,1,5.14513,24.8036,15.0711,1.49827,0.0504903,8.78371,3.35593,1.13147,0.216008,1.13762
124,554.88,1,4.21451,24.0999,14.2541,1.4983,0.0517057,9.64242,3.27096,1.10282,0.234374,1.16048
125,552.867,1,5.31393,24.3236,14.3107,1.43419,0.051376,8.46299,3.28284,1.16195,0.22844,1.17587
126,547.993,1,5.02892,23.9297,13.7224,1.45433,0.0508833,8.94932,3.35081,1.14004,0.222655,1.1461
127,549.398,1,4.34885,23.9181,11.9717,1.48062,0.0517039,9.59081,3.26596,1.11117,0.221415,1.11708
128,539.395,1,5.21187,23.9798,12.5979,1.40659,0.0491187,8.81715,3.4314,1.08303,0.229903,1.08879
129,541.75,1,4.85604,24.6025,11.7831,1.45823,0.0471975,9.31165,3.52848,1.05561,0.239143,1.06123
130,550.381,1,5.27211,24.1735,13.3065,1.4172,0.0528807,8.8336,3.5055,1.05179,0.236842,1.05303
131,552.864,1,4.71354,24.7079,13.752,1.39521,0.05392,9.41729,3.42996,1.17141,0.230845,1.10652
132,553.45,1,4.53654,24.7731,13.9568,1.44338,0.0541408,9.59268,3.34311,1.14175,0.234014,1.0785
133,557.9,1,3.42292,24.7638,12.8707,1.44338,0.053317,10.633,3.38043,1.18423,0.231253,1.16838
134,564.221,1,4.32728,25.0412,13.2005,1.44343,0.0546555,9.59958,3.3041,1.24758,0.258647,1.16145
135,553.101,1,5.37114,25.2136,12.3922,1.40691,0.0516105,8.54502,3.26389,1.22843,0.254758,1.13205
136,535.971,1,5.05709,24.9836,12.9056,1.33657,0.04903,8.88613,3.25317,1.21067,0.257329,1.10338
137,547.383,1,3.94523,25.1381,13.006,1.40955,0.0493513,10.0734,3.33236,1.25613,0.250813,1.07544
138,549.556,1,4.75788,24.8324,12.2286,1.46023,0.045646,9.44841,3.47995,1.22432,0.261646,1.06416
139,558.399,1,4.24246,25.2646,10.6965,1.39921,0.0533206,9.91417,3.44741,1.29381,0.255571,1.08896
140,565.381,1,4.77788,25.171,10.7537,1.4703,0.0555507,9.273,3.42954,1.26105,0.260517,1.07411
141,558.208,1,5.72388,25.5772,11.3312,1.43942,0.0536907,8.43582,3.55999,1.22912,0.257553,1.04692
142,554.773,1,4.7611,25.6365,11.0989,1.48029,0.0501587,9.42886,3.46984,1.198,0.266318,1.02384
143,556.649,1,4.38334,25.7957,11.204,1.56076,0.0451847,9.7964,3.52538,1.16767,0.281985,1.02379
144,558.051,1,5.98896,25.6998,11.7423,1.45872,0.0525999,8.12788,3.47213,1.1381,0.274845,1.11319
145,556.272,1,6.01115,25.3424,11.7996,1.51129,0.0500179,7.95922,3.40913,1.10928,0.267886,1.085
146,552.636,1,5.17371,25.4928,11.4544,1.51128,0.0509538,8.67909,3.32281,1.08119,0.26782,1.05753
147,550.374,1,5.614,25.4945,13.0717,1.44868,0.0490037,8.25696,3.35809,1.17764,0.264123,1.03075
148,550.449,1,5.65375,25.5145,11.5207,1.44865,0.0489428,8.50977,3.5794,1.14782,0.257435,1.03779
149,549.188,1,5.52781,24.5589,12.1177,1.39291,0.053642,8.50158,3.48877,1.11876,0.256726,1.01151
150,544.461,1,5.03502,24.6614,12.545,1.41785,0.0517922,8.87498,3.40043,1.09043,0.254199,0.985902
151,543.597,1,4.87269,24.1497,12.7462,1.4842,0.0468757,9.1368,3.31433,1.06282,0.284446,0.960938
152,543.194,1,6.1636,24.077,13.0972,1.45376,0.0501782,7.91423,3.43173,1.03591,0.277244,0.936607
153,535.174,1,6.26782,23.9283,12.4212,1.38107,0.0476693,7.8,3.38084,1.00968,0.270224,0.998627
154,543.468,1,5.87495,24.5553,11.9018,1.42638,0.0433794,8.05811,3.42694,1.06961,0.263382,1.17079
155,543.199,1,4.9813,24.4288,11.9323,1.4094,0.0456919,8.99715,3.39805,1.17517,0.256713,1.14115
156,543.771,1,4.85052,24.9406,12.0516,1.47617,0.045712,9.07896,3.32429,1.14541,0.251888,1.11225
157,543.413,1,4.79774,25.4618,11.5808,1.43213,0.049066,9.18597,3.24511,1.11641,0.24551,1.08879
158,553.921,1,5.53329,25.2659,11.0176,1.5624,0.0456256,8.52413,3.44207,1.14486,0.239294,1.15442
159,553.733,1,5.25468,25.4039,10.0101,1.4948,0.0490873,8.82692,3.45272,1.11587,0.261963,1.12519
160,557.031,1,5.01037,25.9677,9.694,1.49484,0.0506769,9.02734,3.39752,1.09942,0.277579,1.0967
161,559.592,1,5.20444,25.4695,11.5353,1.55054,0.0516563,8.75121,3.31149,1.12178,0.27055,1.09118
162,563.926,1,5.55336,25.2329,11.165,1.45293,0.0554619,8.46442,3.24743,1.17029,0.2637,1.18252
163,550.272,1,5.42223,25.0483,11.6733,1.38028,0.0526888,8.52517,3.38663,1.14066,0.257023,1.15258
164,548.998,1,5.56068,25.3818,9.90679,1.35044,0.0504033,8.51512,3.42587,1.16262,0.250515,1.22002
165,547.261,1,6.20838,25.079,11.2274,1.37389,0.0482345,7.76906,3.41187,1.13318,0.2592,1.18913
166,545.455,1,6.46652,25.1565,12.1192,1.40089,0.0480409,7.61986,3.47768,1.10449,0.2574,1.15902
167,547.186,1,4.73905,26.3414,12.286,1.35326,0.0536862,9.31423,3.42018,1.07652,0.250883,1.12967
168,546.974,1,5.10414,25.8151,11.7332,1.4323,0.0471807,8.88656,3.33358,1.07209,0.259739,1.13908
169,552.356,1,6.0212,25.8936,11.1464,1.42603,0.0529406,7.98246,3.37845,1.04495,0.268038,1.12651
170,540.982,1,5.75897,26.0809,12.3336,1.35473,0.0502936,8.17726,3.3295,1.01849,0.261251,1.10153
171,542.454,1,5.59217,26.0345,13.2797,1.35464,0.0456172,8.37075,3.49152,1.19012,0.280627,1.07364
172,545.446,1,4.97529,26.1156,13.8905,1.40886,0.047918,9.10282,3.42331,1.15998,0.28659,1.04646
173,550.423,1,5.09484,25.8582,13.3998,1.46244,0.0482812,8.86218,3.33663,1.13061,0.279333,1.08233
174,556.88,1,3.9232,25.415,12.8539,1.45965,0.0539388,9.82989,3.25214,1.10198,0.27226,1.21602
175,551.519,1,5.40147,25.4472,12.2534,1.38667,0.0512418,8.51552,3.24724,1.07408,0.266573,1.28876
176,555.869,1,4.82116,25.4343,11.1672,1.38662,0.0497034,9.1556,3.31708,1.26904,0.259824,1.31347
177,566.856,1,5.72314,25.2805,10.5837,1.55454,0.047727,8.30341,3.42533,1.2369,0.253245,1.44336
178,551.612,1,5.25698,25.155,10.0274,1.48351,0.0471596,8.68684,3.3386,1.20558,0.246832,1.40681
179,560.093,1,4.57535,26.1056,9.04442,1.57368,0.0453871,9.45675,3.3256,1.21966,0.240583,1.37119
180,555.832,1,4.20576,25.8078,8.74845,1.53911,0.0447287,9.95451,3.49461,1.18878,0.247233,1.33647
181,557.584,1,5.16936,25.7358,9.23526,1.4585,0.0492341,8.86175,3.40612,1.15868,0.268024,1.30263
182,553.786,1,5.36655,25.5756,10.1503,1.44456,0.0484498,8.72284,3.44197,1.12934,0.278258,1.26965
183,561.81,1,4.90627,26.2454,10.577,1.43536,0.0545239,9.16762,3.39921,1.10075,0.287419,1.2375
184,557.801,1,4.35312,25.7059,11.3761,1.48879,0.0523284,9.69211,3.44422,1.07288,0.299129,1.20617
185,557.825,1,5.83331,25.611,12.1407,1.52826,0.0490425,8.25639,3.51712,1.049,0.291554,1.17563
186,562.373,1,5.74951,24.5941,13.7076,1.5508,0.048736,8.34545,3.47647,1.18735,0.284172,1.14586
187,559.174,1,4.68959,23.5888,13.0203,1.48,0.0487703,9.29855,3.4093,1.25804,0.276977,1.14403
188,551.464,1,4.48245,23.8048,13.5069,1.47995,0.047568,9.49467,3.46859,1.22618,0.278122,1.11506
189,553.229,1,5.20962,24.0376,13.7566,1.48001,0.049607,8.86457,3.60699,1.19514,0.27108,1.08683
190,546.333,1,5.52984,24.177,12.6041,1.47013,0.0451548,8.54409,3.51566,1.16487,0.264216,1.05931
191,545.692,1,5.48894,24.451,12.9097,1.42353,0.0466273,8.38997,3.42664,1.13777,0.257526,1.08598
192,549.747,1,5.23171,24.2113,11.3795,1.37279,0.0541781,8.87196,3.47348,1.15601,0.251005,1.05849
193,550.315,1,5.45535,24.0956,11.7777,1.43386,0.0507591,8.55882,3.38553,1.12874,0.249563,1.07495
194,549.337,1,5.16616,24.5501,12.7506,1.38374,0.0536421,8.81074,3.37941,1.10016,0.277092,1.04773
195,543.716,1,5.20566,24.4744,12.9119,1.35908,0.0527674,8.80392,3.30772,1.07231,0.270075,1.0212
196,548.017,1,5.47043,24.0976,13.6557,1.39777,0.0512711,8.40122,3.28714,1.04515,0.282066,1.00975
197,544.209,1,4.72725,24.0038,14.1485,1.45141,0.0496834,9.22179,3.2039,1.01869,0.308899,0.984187
198,539.702,1,5.62921,23.957,13.6036,1.49673,0.0443196,8.40947,3.39157,0.992897,0.301077,0.959267
199,541.609,1,5.02315,24.0628,12.4187,1.51203,0.0466632,9.03218,3.49356,0.967756,0.294051,0.934977
200,538.991,1,5.55969,23.8224,13.3062,1.43643,0.0443301,8.41723,3.48873,0.978788,0.288932,0.911303
201,534.638,1,5.35136,24.4245,13.1458,1.51101,0.0399331,8.48451,3.4004,0.976776,0.284076,0.888229
202,535.169,1,5.61106,24.0812,13.8984,1.47221,0.041724,8.25228,3.27033,0.987677,0.285863,0.883424
203,538.42,1,5.98255,24.1235,15.4791,1.40896,0.0441911,7.91945,3.27618,1.0386,0.28862,0.981388
204,535.591,1,5.67612,23.8351,13.9635,1.40898,0.0449541,8.23388,3.23767,1.01909,0.297746,0.873255
205,552.06,1,5.11183,23.6084,13.8872,1.52805,0.0435266,8.84727,3.3263,1.19381,0.309301,0.931939
206,548.654,1,5.48557,23.4534,13.6915,1.48296,0.0471757,8.45347,3.33292,1.15964,0.302128,0.826701
207,538.317,1,5.24777,23.6659,13.897,1.43008,0.0468843,8.59452,3.29729,1.0905,0.277269,0.786729
208,541.105,1,5.32718,23.8852,14.3339,1.48769,0.0452273,8.57505,3.30546,1.05459,0.273927,0.854028
209,536.056,1,4.43502,23.8745,12.843,1.48768,0.0438021,9.51375,3.21296,0.920879,0.266734,0.928808
210,538.381,1,5.30638,24.2899,12.8341,1.48781,0.0502598,8.66059,3.25813,0.854695,0.265567,0.849905
211,537.047,1,5.17752,23.8005,12.771,1.48778,0.0487967,8.71949,3.30704,0.818445,0.276432,0.800702
212,530.729,1,6.46667,24.2416,13.4129,1.52789,0.0451286,7.481,3.38109,0.742299,0.287016,0.724397
213,521.538,1,6.66162,24.4896,12.865,1.45538,0.0419492,7.37778,3.39677,0.772836,0.273636,0.757177
214,523.473,1,6.71331,23.6435,13.2161,1.4554,0.0410607,7.17641,3.25615,0.780227,0.280247,0.81451
215,531.78,1,6.00039,24.3912,14.4681,1.42686,0.0484014,7.89313,3.18983,0.812927,0.249774,0.935005
216,534.056,1,5.14151,24.0951,13.7633,1.45539,0.0441034,8.7229,3.18298,0.864756,0.274927,0.967453
217,529.777,1,5.10563,24.581,14.174,1.4554,0.0437898,8.78207,3.16535,0.763861,0.293461,0.903208
218,532.487,1,4.53857,24.1855,13.1571,1.51699,0.0409431,9.38139,3.15771,0.834114,0.296294,0.891461
219,529.092,1,5.20049,23.9454,13.1141,1.51697,0.0389943,8.74239,3.1848,0.857153,0.280817,0.888895
220,532.998,1,4.22931,24.7359,11.8621,1.57035,0.0388726,9.74537,3.25133,0.928263,0.258925,0.860799
221,537.208,1,3.8812,24.7703,11.0125,1.60918,0.0397968,10.1012,3.40439,0.789653,0.297521,0.82516
222,529.566,1,4.5826,25.2873,11.8293,1.53146,0.038641,9.45641,3.39931,0.807111,0.312348,0.782691
223,531.304,1,5.58286,25.197,11.0516,1.62738,0.0329565,8.51432,3.39454,0.769307,0.313857,0.870713
224,529.391,1,5.49172,24.6989,12.0193,1.65628,0.0285422,8.53761,3.35116,0.854356,0.309122,0.840032
225,531.524,1,5.76687,24.6969,12.9126,1.62111,0.0331454,8.34146,3.40992,0.831811,0.302411,0.843947
226,531.685,1,5.1123,24.5404,13.6643,1.72023,0.0308747,8.84509,3.52345,0.73759,0.293564,0.793131
227,530.799,1,4.4234,24.6854,12.249,1.66597,0.0339719,9.52562,3.42495,0.677691,0.318409,0.809818
228,538.65,1,4.71816,24.1843,12.0151,1.7462,0.0346821,9.09589,3.21832,0.710343,0.310546,0.847282
229,533.943,1,4.84975,24.3397,11.4535,1.6935,0.0389546,9.15347,3.29991,0.668928,0.295647,0.766185
230,540.589,1,4.8461,24.7912,11.8398,1.73813,0.0377009,9.0905,3.33586,0.734311,0.309827,0.769942
231,537.701,1,4.36212,24.8856,12.7761,1.61152,0.0419209,9.52326,3.19595,0.754194,0.305203,0.837412
232,533.781,1,5.25565,24.7284,12.2597,1.56749,0.0398034,8.63711,3.16871,0.828246,0.311466,0.817775
233,530.125,1,5.13032,25.1802,13.4743,1.45744,0.0409316,8.91291,3.43801,0.892135,0.303392,0.81441
234,535.429,1,4.99318,24.8666,13.9358,1.44639,0.0466867,8.94341,3.28671,0.885708,0.294693,0.81122
235,533.1,1,5.32014,24.844,13.9742,1.52319,0.0420143,8.60307,3.22753,0.82857,0.296168,0.836014
