Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-0.070518,-0.00862902,0.00267769,-0.262756,-0.00472267,0.00978406
-0.0574981,0.000827316,0.00344407,-0.252732,-0.0103388,0.0103586
-0.0444782,0.0161694,0.00421045,-0.242709,-0.0146124,0.0109332
-0.0314583,0.0346969,0.00497683,-0.232686,-0.018242,0.0115078
-0.0184384,0.0534614,0.00574321,-0.222663,-0.0209383,0.0120824
-0.00541844,0.0694044,0.00650959,-0.21264,-0.0229398,0.012657
0.00760147,0.0791033,0.00727597,-0.202616,-0.0242386,0.0132316
0.0206214,0.0832047,0.00804235,-0.192593,-0.0249703,0.0138062
0.0336413,0.0841527,0.00880873,-0.18257,-0.0251874,0.0143807
0.0466612,0.0814501,0.00957511,-0.172547,-0.0249132,0.0149553
0.0596811,0.0774708,0.0103415,-0.162523,-0.0243427,0.0155299
0.072701,0.0736543,0.0111079,-0.1525,-0.0233672,0.0161045
0.085721,0.0704303,0.0118742,-0.142477,-0.022244,0.0166791
0.0987409,0.0675462,0.0126406,-0.132454,-0.0209046,0.0172537
0.111761,0.0650689,0.013407,-0.12243,-0.019412,0.0178283
0.124781,0.0626992,0.0141734,-0.112407,-0.0178783,0.0184028
0.137801,0.0603503,0.0149398,-0.102384,-0.0163387,0.0189774
0.150821,0.0578581,0.0157061,-0.0923607,-0.0148628,0.019552
0.16384,0.0550689,0.0164725,-0.0823375,-0.0135186,0.0201266
0.17686,0.051814,0.0172389,-0.0723142,-0.0123024,0.0207012
0.18988,0.047929,0.0180053,-0.062291,-0.0111425,0.0212758
0.2029,0.0435223,0.0187717,-0.0522678,-0.00996594,0.0218504
0.21592,0.0385974,0.019538,-0.0422445,-0.00850043,0.0224249
0.22894,0.0333018,0.0203044,-0.0322213,-0.00694861,0.0229995
0.24196,0.027692,0.0210708,-0.0221981,-0.00539679,0.0235741
0.25498,0.021947,0.0218372,-0.0121748,-0.00325971,0.0241487
0.268,0.0161077,0.0226036,-0.0021516,-0.000438554,0.0247233
0.28102,0.0102737,0.0233699,0.00787164,0.00273657,0.0252979
0.29404,0.00447121,0.0241363,0.0178949,0.00640658,0.0258725
0.307059,-0.00129075,0.0249027,0.0279181,0.0109059,0.026447
0.320079,-0.00697039,0.0256691,0.0379413,0.0162324,0.0270216
0.333099,-0.0126421,0.0264355,0.0479646,0.0218362,0.0275962
0.346119,-0.0182527,0.0272018,0.0579878,0.0276486,0.0281708
0.359139,-0.0237834,0.0279682,0.068011,0.033279,0.0287454
0.372159,-0.0292518,0.0287346,0.0780343,0.0384398,0.02932
0.385179,-0.0345851,0.029501,0.0880575,0.0428102,0.0298946
0.398199,-0.0398226,0.0302674,0.0980807,0.045819,0.0304692
0.411219,-0.04506,0.0310337,0.108104,0.0479221,0.0310437
0.424239,-0.0501724,0.0318001,0.118127,0.0481964,0.0316183
0.437259,-0.0549544,0.0325665,0.12815,0.046863,0.0321929
0.450279,-0.0597363,0.0333329,0.138174,0.0447455,0.0327675
0.463298,-0.0645182,0.0340993,0.148197,0.041562,0.0333421
0.476318,-0.0693002,0.0348656,0.15822,0.0377962,0.0339167
0.489338,-0.0740821,0.035632,0.168243,0.0336088,0.0344913
0.502358,-0.0780793,0.0363984,0.178267,0.0292959,0.0350658
0.515378,-0.0820279,0.0371648,0.18829,0.025145,0.0356404
0.528398,-0.0859766,0.0379311,0.198313,0.0215327,0.036215
0.541418,-0.0899253,0.0386975,0.208336,0.0181521,0.0367896
0.554438,-0.093874,0.0394639,0.21836,0.015933,0.0373642
0.567458,-0.0978226,0.0402303,0.228383,0.0145441,0.0379388
0.580478,-0.101583,0.0409967,0.238406,0.014266,0.0385134
0.593498,-0.104846,0.041763,0.248429,0.0153853,0.0390879
0.606518,-0.107923,0.0425294,0.258452,0.0171452,0.0396625
0.619537,-0.110718,0.0432958,0.268476,0.0204953,0.0402371
0.632557,-0.113369,0.0440622,0.278499,0.0252768,0.0408117
0.645577,-0.115874,0.0448286,0.288522,0.0313288,0.0413863
0.658597,-0.116838,0.0455949,0.298545,0.0390943,0.0419609
0.671617,-0.117803,0.0463613,0.308569,0.0481314,0.0425355
0.684637,-0.118767,0.0471277,0.318592,0.0580175,0.04311
0.697657,-0.119731,0.0478941,0.328615,0.0690332,0.0436846
0.710677,-0.120696,0.0486605,0.338638,0.0809194,0.0442592
0.723697,-0.12166,0.0494268,0.348662,0.0930721,0.0448338
0.736717,-0.122625,0.0501932,0.358685,0.10553,0.0454084
0.749737,-0.123589,0.0509596,0.368708,0.118166,0.045983
0.762756,-0.124553,0.051726,0.378731,0.130704,0.0465576
0.775776,-0.125518,0.0524924,0.388755,0.142519,0.0471321
0.788796,-0.126482,0.0532587,0.398778,0.154279,0.0477067
0.801816,-0.127447,0.0540251,0.408801,0.165689,0.0482813
