trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
98.5333,2.38841,2.43732,0.774877,2.38841,2.43732,98.5333,3.70869,3.74826,0.774877,3.70869,3.74826,98.5333,3.31441,3.31404,0.774877,3.31441,3.31404,98.5333,2.6939,2.8139,0.774877,2.6939,2.8139,All
99.1667,2.40134,2.44091,0.779857,2.40134,2.44091,99.1667,3.68714,3.737,0.779857,3.68714,3.737,99.1667,3.29203,3.31125,0.779857,3.29203,3.31125,99.1667,2.67479,2.80843,0.779857,2.67479,2.80843,All
99.8,2.41427,2.4445,0.784838,2.41427,2.4445,99.8,3.66559,3.72574,0.784838,3.66559,3.72574,99.8,3.26965,3.30847,0.784838,3.26965,3.30847,99.8,2.65567,2.80297,0.784838,2.65567,2.80297,All
100.433,2.42721,2.44809,0.789819,2.42721,2.44809,100.433,3.64404,3.71447,0.789819,3.64404,3.71447,100.433,3.24727,3.30568,0.789819,3.24727,3.30568,100.433,2.63656,2.7975,0.789819,2.63656,2.7975,All
101.067,2.44014,2.45168,0.794799,2.44014,2.45168,101.067,3.62249,3.70321,0.794799,3.62249,3.70321,101.067,3.22489,3.30289,0.794799,3.22489,3.30289,101.067,2.61744,2.79203,0.794799,2.61744,2.79203,All
101.7,2.45307,2.45527,0.79978,2.45307,2.45527,101.7,3.60095,3.69195,0.79978,3.60095,3.69195,101.7,3.20251,3.3001,0.79978,3.20251,3.3001,101.7,2.59833,2.78656,0.79978,2.59833,2.78656,All
102.333,2.46601,2.45886,0.80476,2.46601,2.45886,102.333,3.5794,3.68069,0.80476,3.5794,3.68069,102.333,3.18013,3.29732,0.80476,3.18013,3.29732,102.333,2.57921,2.78109,0.80476,2.57921,2.78109,All
102.967,2.47894,2.46245,0.809741,2.47894,2.46245,102.967,3.55785,3.66943,0.809741,3.55785,3.66943,102.967,3.15775,3.29453,0.809741,3.15775,3.29453,102.967,2.5601,2.77563,0.809741,2.5601,2.77563,All
103.6,2.49187,2.46603,0.814722,2.49187,2.46603,103.6,3.5363,3.65817,0.814722,3.5363,3.65817,103.6,3.13537,3.29174,0.814722,3.13537,3.29174,103.6,2.54098,2.77016,0.814722,2.54098,2.77016,All
104.233,2.5044,2.46962,0.819702,2.5044,2.46962,104.233,3.51253,3.64691,0.819702,3.51253,3.64691,104.233,3.12692,3.28896,0.819702,3.12692,3.28896,104.233,2.55537,2.76469,0.819702,2.55537,2.76469,All
104.867,2.51621,2.47321,0.824683,2.51621,2.47321,104.867,3.48495,3.63564,0.824683,3.48495,3.63564,104.867,3.14237,3.28617,0.824683,3.14237,3.28617,104.867,2.6272,2.75922,0.824683,2.6272,2.75922,All
105.5,2.52803,2.4768,0.829663,2.52803,2.4768,105.5,3.45737,3.62438,0.829663,3.45737,3.62438,105.5,3.15782,3.28338,0.829663,3.15782,3.28338,105.5,2.69903,2.75375,0.829663,2.69903,2.75375,All
106.133,2.53985,2.48039,0.834644,2.53985,2.48039,106.133,3.4298,3.61312,0.834644,3.4298,3.61312,106.133,3.17327,3.2806,0.834644,3.17327,3.2806,106.133,2.77086,2.74829,0.834644,2.77086,2.74829,All
106.767,2.55166,2.48398,0.839625,2.55166,2.48398,106.767,3.40222,3.60186,0.839625,3.40222,3.60186,106.767,3.18872,3.27781,0.839625,3.18872,3.27781,106.767,2.84269,2.74282,0.839625,2.84269,2.74282,All
107.4,2.56348,2.48757,0.844605,2.56348,2.48757,107.4,3.37464,3.5906,0.844605,3.37464,3.5906,107.4,3.20416,3.27502,0.844605,3.20416,3.27502,107.4,2.91452,2.73735,0.844605,2.91452,2.73735,All
108.033,2.5753,2.49116,0.849586,2.5753,2.49116,108.033,3.34706,3.57934,0.849586,3.34706,3.57934,108.033,3.21961,3.27223,0.849586,3.21961,3.27223,108.033,2.98635,2.73188,0.849586,2.98635,2.73188,All
108.667,2.58712,2.49475,0.854566,2.58712,2.49475,108.667,3.31949,3.56808,0.854566,3.31949,3.56808,108.667,3.23506,3.26945,0.854566,3.23506,3.26945,108.667,3.05818,2.72641,0.854566,3.05818,2.72641,All
109.3,2.59893,2.49834,0.859547,2.59893,2.49834,109.3,3.29191,3.55682,0.859547,3.29191,3.55682,109.3,3.25051,3.26666,0.859547,3.25051,3.26666,109.3,3.13001,2.72094,0.859547,3.13001,2.72094,All
109.933,2.61075,2.50192,0.864528,2.61075,2.50192,109.933,3.26433,3.54555,0.864528,3.26433,3.54555,109.933,3.26596,3.26387,0.864528,3.26596,3.26387,109.933,3.20184,2.71548,0.864528,3.20184,2.71548,All
110.567,2.62257,2.50551,0.869508,2.62257,2.50551,110.567,3.23676,3.53429,0.869508,3.23676,3.53429,110.567,3.28141,3.26109,0.869508,3.28141,3.26109,110.567,3.27367,2.71001,0.869508,3.27367,2.71001,All
111.2,2.63439,2.5091,0.874489,2.63439,2.5091,111.2,3.20918,3.52303,0.874489,3.20918,3.52303,111.2,3.29686,3.2583,0.874489,3.29686,3.2583,111.2,3.3455,2.70454,0.874489,3.3455,2.70454,All
111.833,2.6462,2.51269,0.879469,2.6462,2.51269,111.833,3.1816,3.51177,0.879469,3.1816,3.51177,111.833,3.3123,3.25551,0.879469,3.3123,3.25551,111.833,3.41733,2.69907,0.879469,3.41733,2.69907,All
112.467,2.63631,2.51628,0.88445,2.63631,2.51628,112.467,3.17899,3.50051,0.88445,3.17899,3.50051,112.467,3.31475,3.25272,0.88445,3.31475,3.25272,112.467,3.33746,2.6936,0.88445,3.33746,2.6936,All
113.1,2.61866,2.51987,0.889431,2.61866,2.51987,113.1,3.1853,3.48925,0.889431,3.1853,3.48925,113.1,3.31256,3.24994,0.889431,3.31256,3.24994,113.1,3.20342,2.68814,0.889431,3.20342,2.68814,All
113.733,2.60101,2.52346,0.894411,2.60101,2.52346,113.733,3.19161,3.47799,0.894411,3.19161,3.47799,113.733,3.31037,3.24715,0.894411,3.31037,3.24715,113.733,3.06938,2.68267,0.894411,3.06938,2.68267,All
114.367,2.58335,2.52705,0.899392,2.58335,2.52705,114.367,3.19792,3.46672,0.899392,3.19792,3.46672,114.367,3.30818,3.24436,0.899392,3.30818,3.24436,114.367,2.93534,2.6772,0.899392,2.93534,2.6772,All
115,2.5657,2.53064,0.904372,2.5657,2.53064,115,3.20423,3.45546,0.904372,3.20423,3.45546,115,3.30599,3.24158,0.904372,3.30599,3.24158,115,2.80129,2.67173,0.904372,2.80129,2.67173,All
115.633,2.54805,2.53422,0.909353,2.54805,2.53422,115.633,3.21054,3.4442,0.909353,3.21054,3.4442,115.633,3.3038,3.23879,0.909353,3.3038,3.23879,115.633,2.66725,2.66626,0.909353,2.66725,2.66626,All
116.267,2.5304,2.53781,0.914334,2.5304,2.53781,116.267,3.21685,3.43294,0.914334,3.21685,3.43294,116.267,3.3016,3.236,0.914334,3.3016,3.236,116.267,2.53321,2.6608,0.914334,2.53321,2.6608,All
116.9,2.51275,2.5414,0.919314,2.51275,2.5414,116.9,3.22316,3.42168,0.919314,3.22316,3.42168,116.9,3.29941,3.23322,0.919314,3.29941,3.23322,116.9,2.39917,2.65533,0.919314,2.39917,2.65533,All
117.533,2.4951,2.54499,0.924295,2.4951,2.54499,117.533,3.22947,3.41042,0.924295,3.22947,3.41042,117.533,3.29722,3.23043,0.924295,3.29722,3.23043,117.533,2.26513,2.64986,0.924295,2.26513,2.64986,All
118.167,2.47745,2.54858,0.929275,2.47745,2.54858,118.167,3.23578,3.39916,0.929275,3.23578,3.39916,118.167,3.29503,3.22764,0.929275,3.29503,3.22764,118.167,2.13108,2.64439,0.929275,2.13108,2.64439,All
118.8,2.51518,2.55217,0.934256,2.51518,2.55217,118.8,3.29009,3.38789,0.934256,3.29009,3.38789,118.8,3.26822,3.22485,0.934256,3.26822,3.22485,118.8,2.20152,2.63892,0.934256,2.20152,2.63892,All
119.433,2.56768,2.55576,0.939237,2.56768,2.55576,119.433,3.3572,3.37663,0.939237,3.3572,3.37663,119.433,3.23484,3.22207,0.939237,3.23484,3.22207,119.433,2.32648,2.63346,0.939237,2.32648,2.63346,All
120.067,2.6232,2.55935,0.944217,2.6232,2.55935,120.067,3.43222,3.36537,0.944217,3.43222,3.36537,120.067,3.20267,3.21928,0.944217,3.20267,3.21928,120.067,2.48276,2.62799,0.944217,2.48276,2.62799,All
120.7,2.67906,2.56294,0.949198,2.67906,2.56294,120.7,3.50817,3.35411,0.949198,3.50817,3.35411,120.7,3.17065,3.21649,0.949198,3.17065,3.21649,120.7,2.64273,2.62252,0.949198,2.64273,2.62252,All
121.333,2.73493,2.56652,0.954178,2.73493,2.56652,121.333,3.58412,3.34285,0.954178,3.58412,3.34285,121.333,3.13862,3.21371,0.954178,3.13862,3.21371,121.333,2.80269,2.61705,0.954178,2.80269,2.61705,All
121.967,2.75571,2.57011,0.959159,2.75571,2.57011,121.967,3.64032,3.33159,0.959159,3.64032,3.33159,121.967,3.12289,3.21092,0.959159,3.12289,3.21092,121.967,2.86997,2.61158,0.959159,2.86997,2.61158,All
122.6,2.72921,2.5737,0.96414,2.72921,2.5737,122.6,3.65941,3.32033,0.96414,3.65941,3.32033,122.6,3.12434,3.20813,0.96414,3.12434,3.20813,122.6,2.80281,2.60612,0.96414,2.80281,2.60612,All
123.233,2.7027,2.57729,0.96912,2.7027,2.57729,123.233,3.67851,3.30906,0.96912,3.67851,3.30906,123.233,3.1258,3.20535,0.96912,3.1258,3.20535,123.233,2.73566,2.60065,0.96912,2.73566,2.60065,All
123.867,2.6762,2.58088,0.974101,2.6762,2.58088,123.867,3.6976,3.2978,0.974101,3.6976,3.2978,123.867,3.12725,3.20256,0.974101,3.12725,3.20256,123.867,2.6685,2.59518,0.974101,2.6685,2.59518,All
124.5,2.6497,2.58447,0.979081,2.6497,2.58447,124.5,3.71669,3.28654,0.979081,3.71669,3.28654,124.5,3.1287,3.19977,0.979081,3.1287,3.19977,124.5,2.60135,2.58971,0.979081,2.60135,2.58971,All
125.133,2.6232,2.58806,0.984062,2.6232,2.58806,125.133,3.73578,3.27528,0.984062,3.73578,3.27528,125.133,3.13015,3.19698,0.984062,3.13015,3.19698,125.133,2.53419,2.58424,0.984062,2.53419,2.58424,All
125.767,2.5967,2.59165,0.989043,2.5967,2.59165,125.767,3.75487,3.26402,0.989043,3.75487,3.26402,125.767,3.1316,3.1942,0.989043,3.1316,3.1942,125.767,2.46703,2.57878,0.989043,2.46703,2.57878,All
126.4,2.57019,2.59524,0.994023,2.57019,2.59524,126.4,3.77396,3.25276,0.994023,3.77396,3.25276,126.4,3.13305,3.19141,0.994023,3.13305,3.19141,126.4,2.39988,2.57331,0.994023,2.39988,2.57331,All
127.033,2.54369,2.59882,0.999004,2.54369,2.59882,127.033,3.79306,3.2415,0.999004,3.79306,3.2415,127.033,3.1345,3.18862,0.999004,3.1345,3.18862,127.033,2.33272,2.56784,0.999004,2.33272,2.56784,All
127.667,2.51719,2.60241,1.00398,2.51719,2.60241,127.667,3.81215,3.23023,1.00398,3.81215,3.23023,127.667,3.13595,3.18584,1.00398,3.13595,3.18584,127.667,2.26557,2.56237,1.00398,2.26557,2.56237,All
128.3,2.49069,2.606,1.00897,2.49069,2.606,128.3,3.83124,3.21897,1.00897,3.83124,3.21897,128.3,3.1374,3.18305,1.00897,3.1374,3.18305,128.3,2.19841,2.5569,1.00897,2.19841,2.5569,All
128.933,2.46419,2.60959,1.01395,2.46419,2.60959,128.933,3.85033,3.20771,1.01395,3.85033,3.20771,128.933,3.13886,3.18026,1.01395,3.13886,3.18026,128.933,2.13126,2.55144,1.01395,2.13126,2.55144,All
129.567,2.45725,2.61318,1.01893,2.45725,2.61318,129.567,3.77508,3.19645,1.01893,3.77508,3.19645,129.567,3.12431,3.17748,1.01893,3.12431,3.17748,129.567,2.10572,2.54597,1.01893,2.10572,2.54597,All
130.2,2.45262,2.61677,1.02391,2.45262,2.61677,130.2,3.68873,3.18519,1.02391,3.68873,3.18519,130.2,3.10788,3.17469,1.02391,3.10788,3.17469,130.2,2.08508,2.5405,1.02391,2.08508,2.5405,All
130.833,2.44799,2.62036,1.02889,2.44799,2.62036,130.833,3.60238,3.17393,1.02889,3.60238,3.17393,130.833,3.09146,3.1719,1.02889,3.09146,3.1719,130.833,2.06443,2.53503,1.02889,2.06443,2.53503,All
131.467,2.44336,2.62395,1.03387,2.44336,2.62395,131.467,3.51603,3.16267,1.03387,3.51603,3.16267,131.467,3.07503,3.16911,1.03387,3.07503,3.16911,131.467,2.04379,2.52956,1.03387,2.04379,2.52956,All
132.1,2.43873,2.62754,1.03885,2.43873,2.62754,132.1,3.42967,3.1514,1.03885,3.42967,3.1514,132.1,3.0586,3.16633,1.03885,3.0586,3.16633,132.1,2.02315,2.5241,1.03885,2.02315,2.5241,All
132.733,2.4341,2.63113,1.04383,2.4341,2.63113,132.733,3.34332,3.14014,1.04383,3.34332,3.14014,132.733,3.04217,3.16354,1.04383,3.04217,3.16354,132.733,2.00251,2.51863,1.04383,2.00251,2.51863,All
133.367,2.42947,2.63471,1.04881,2.42947,2.63471,133.367,3.25697,3.12888,1.04881,3.25697,3.12888,133.367,3.02575,3.16075,1.04881,3.02575,3.16075,133.367,1.98186,2.51316,1.04881,1.98186,2.51316,All
134,2.42484,2.6383,1.05379,2.42484,2.6383,134,3.17062,3.11762,1.05379,3.17062,3.11762,134,3.00932,3.15797,1.05379,3.00932,3.15797,134,1.96122,2.50769,1.05379,1.96122,2.50769,All
134.633,2.42021,2.64189,1.05877,2.42021,2.64189,134.633,3.08427,3.10636,1.05877,3.08427,3.10636,134.633,2.99289,3.15518,1.05877,2.99289,3.15518,134.633,1.94058,2.50222,1.05877,1.94058,2.50222,All
135.267,2.41558,2.64548,1.06375,2.41558,2.64548,135.267,2.99791,3.0951,1.06375,2.99791,3.0951,135.267,2.97646,3.15239,1.06375,2.97646,3.15239,135.267,1.91994,2.49676,1.06375,1.91994,2.49676,All
135.9,2.41095,2.64907,1.06873,2.41095,2.64907,135.9,2.91156,3.08384,1.06873,2.91156,3.08384,135.9,2.96004,3.1496,1.06873,2.96004,3.1496,135.9,1.89929,2.49129,1.06873,1.89929,2.49129,All
136.533,2.4721,2.65266,1.07371,2.4721,2.65266,136.533,2.75719,3.07257,1.07371,2.75719,3.07257,136.533,2.97823,3.14682,1.07371,2.97823,3.14682,136.533,2.088,2.48582,1.07371,2.088,2.48582,All
137.167,2.54557,2.65625,1.07869,2.54557,2.65625,137.167,2.59007,3.06131,1.07869,2.59007,3.06131,137.167,3.00292,3.14403,1.07869,3.00292,3.14403,137.167,2.31595,2.48035,1.07869,2.31595,2.48035,All
137.8,2.61905,2.65984,1.08367,2.61905,2.65984,137.8,2.42294,3.05005,1.08367,2.42294,3.05005,137.8,3.02761,3.14124,1.08367,3.02761,3.14124,137.8,2.54391,2.47488,1.08367,2.54391,2.47488,All
138.433,2.66875,2.66343,1.08865,2.66875,2.66343,138.433,2.69991,3.03879,1.08865,2.69991,3.03879,138.433,3.11224,3.13846,1.08865,3.11224,3.13846,138.433,2.74706,2.46941,1.08865,2.74706,2.46941,All
139.067,2.66038,2.66701,1.09364,2.66038,2.66701,139.067,3.47945,3.02753,1.09364,3.47945,3.02753,139.067,3.23527,3.13567,1.09364,3.23527,3.13567,139.067,2.8049,2.46395,1.09364,2.8049,2.46395,All
139.7,2.66106,2.6706,1.09862,2.66106,2.6706,139.7,3.34561,3.01627,1.09862,3.34561,3.01627,139.7,3.21664,3.13288,1.09862,3.21664,3.13288,139.7,2.70513,2.45848,1.09862,2.70513,2.45848,All
140.333,2.66175,2.67419,1.1036,2.66175,2.67419,140.333,3.21177,3.00501,1.1036,3.21177,3.00501,140.333,3.198,3.1301,1.1036,3.198,3.1301,140.333,2.60537,2.45301,1.1036,2.60537,2.45301,All
140.967,2.66244,2.67778,1.10858,2.66244,2.67778,140.967,3.07792,2.99374,1.10858,3.07792,2.99374,140.967,3.17937,3.12731,1.10858,3.17937,3.12731,140.967,2.5056,2.44754,1.10858,2.5056,2.44754,All
141.6,2.66313,2.68137,1.11356,2.66313,2.68137,141.6,2.94408,2.98248,1.11356,2.94408,2.98248,141.6,3.16073,3.12452,1.11356,3.16073,3.12452,141.6,2.40583,2.44207,1.11356,2.40583,2.44207,All
142.233,2.66382,2.68496,1.11854,2.66382,2.68496,142.233,2.81024,2.97122,1.11854,2.81024,2.97122,142.233,3.1421,3.12173,1.11854,3.1421,3.12173,142.233,2.30606,2.43661,1.11854,2.30606,2.43661,All
142.867,2.6645,2.68855,1.12352,2.6645,2.68855,142.867,2.6764,2.95996,1.12352,2.6764,2.95996,142.867,3.12346,3.11895,1.12352,3.12346,3.11895,142.867,2.20629,2.43114,1.12352,2.20629,2.43114,All
143.5,2.66519,2.69214,1.1285,2.66519,2.69214,143.5,2.54255,2.9487,1.1285,2.54255,2.9487,143.5,3.10483,3.11616,1.1285,3.10483,3.11616,143.5,2.10653,2.42567,1.1285,2.10653,2.42567,All
144.133,2.67179,2.69573,1.13348,2.67179,2.69573,144.133,2.51652,2.93744,1.13348,2.51652,2.93744,144.133,3.104,3.11337,1.13348,3.104,3.11337,144.133,2.08382,2.4202,1.13348,2.08382,2.4202,All
144.767,2.68112,2.69931,1.13846,2.68112,2.69931,144.767,2.54025,2.92618,1.13846,2.54025,2.92618,144.767,3.11139,3.11059,1.13846,3.11139,3.11059,144.767,2.09669,2.41473,1.13846,2.09669,2.41473,All
145.4,2.69045,2.7029,1.14344,2.69045,2.7029,145.4,2.56398,2.91492,1.14344,2.56398,2.91492,145.4,3.11879,3.1078,1.14344,3.11879,3.1078,145.4,2.10955,2.40927,1.14344,2.10955,2.40927,All
146.033,2.69977,2.70649,1.14842,2.69977,2.70649,146.033,2.58771,2.90365,1.14842,2.58771,2.90365,146.033,3.12618,3.10501,1.14842,3.12618,3.10501,146.033,2.12242,2.4038,1.14842,2.12242,2.4038,All
146.667,2.7091,2.71008,1.1534,2.7091,2.71008,146.667,2.61145,2.89239,1.1534,2.61145,2.89239,146.667,3.13357,3.10223,1.1534,3.13357,3.10223,146.667,2.13528,2.39833,1.1534,2.13528,2.39833,All
147.3,2.71843,2.71367,1.15838,2.71843,2.71367,147.3,2.63518,2.88113,1.15838,2.63518,2.88113,147.3,3.14096,3.09944,1.15838,3.14096,3.09944,147.3,2.14815,2.39286,1.15838,2.14815,2.39286,All
147.933,2.72776,2.71726,1.16336,2.72776,2.71726,147.933,2.65891,2.86987,1.16336,2.65891,2.86987,147.933,3.14836,3.09665,1.16336,3.14836,3.09665,147.933,2.16101,2.38739,1.16336,2.16101,2.38739,All
148.567,2.73709,2.72085,1.16834,2.73709,2.72085,148.567,2.68264,2.85861,1.16834,2.68264,2.85861,148.567,3.15575,3.09386,1.16834,3.15575,3.09386,148.567,2.17387,2.38193,1.16834,2.17387,2.38193,All
149.2,2.74641,2.72444,1.17332,2.74641,2.72444,149.2,2.70637,2.84735,1.17332,2.70637,2.84735,149.2,3.16314,3.09108,1.17332,3.16314,3.09108,149.2,2.18674,2.37646,1.17332,2.18674,2.37646,All
149.833,2.75574,2.72803,1.17831,2.75574,2.72803,149.833,2.7301,2.83609,1.17831,2.7301,2.83609,149.833,3.17053,3.08829,1.17831,3.17053,3.08829,149.833,2.1996,2.37099,1.17831,2.1996,2.37099,All
150.467,2.76507,2.73161,1.18329,2.76507,2.73161,150.467,2.75383,2.82482,1.18329,2.75383,2.82482,150.467,3.17793,3.0855,1.18329,3.17793,3.0855,150.467,2.21247,2.36552,1.18329,2.21247,2.36552,All
151.1,2.7744,2.7352,1.18827,2.7744,2.7352,151.1,2.77756,2.81356,1.18827,2.77756,2.81356,151.1,3.18532,3.08272,1.18827,3.18532,3.08272,151.1,2.22533,2.36005,1.18827,2.22533,2.36005,All
151.733,2.78372,2.73879,1.19325,2.78372,2.73879,151.733,2.80129,2.8023,1.19325,2.80129,2.8023,151.733,3.19271,3.07993,1.19325,3.19271,3.07993,151.733,2.2382,2.35459,1.19325,2.2382,2.35459,All
152.367,2.79305,2.74238,1.19823,2.79305,2.74238,152.367,2.82502,2.79104,1.19823,2.82502,2.79104,152.367,3.2001,3.07714,1.19823,3.2001,3.07714,152.367,2.25106,2.34912,1.19823,2.25106,2.34912,All
153,2.80238,2.74597,1.20321,2.80238,2.74597,153,2.84875,2.77978,1.20321,2.84875,2.77978,153,3.2075,3.07435,1.20321,3.2075,3.07435,153,2.26393,2.34365,1.20321,2.26393,2.34365,All
153.633,2.81171,2.74956,1.20819,2.81171,2.74956,153.633,2.87248,2.76852,1.20819,2.87248,2.76852,153.633,3.21489,3.07157,1.20819,3.21489,3.07157,153.633,2.27679,2.33818,1.20819,2.27679,2.33818,All
154.267,2.82104,2.75315,1.21317,2.82104,2.75315,154.267,2.89621,2.75726,1.21317,2.89621,2.75726,154.267,3.22228,3.06878,1.21317,3.22228,3.06878,154.267,2.28966,2.33271,1.21317,2.28966,2.33271,All
154.9,2.83036,2.75674,1.21815,2.83036,2.75674,154.9,2.91994,2.74599,1.21815,2.91994,2.74599,154.9,3.22968,3.06599,1.21815,3.22968,3.06599,154.9,2.30252,2.32725,1.21815,2.30252,2.32725,All
