rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
6,6,0.0962563,0.23159,-0.801133,-1.38348,2.12065e-08,-5.41829e-08,All,#4682B4,0
7,6,-0.022973,0.387312,-1.44563,0.600666,-3.26736e-08,-3.26785e-09,All,#4682B4,0
8,6,0.125939,0.212558,2.83871,-1.12137,-9.04868e-08,-1.36364e-08,All,#4682B4,0
9,6,0.0637872,0.388508,-1.84816,1.02745,-6.60452e-09,-3.27894e-08,All,#4682B4,0
0,7,-0.486679,0.76947,0.335954,0.149016,-8.82507e-08,3.62414e-08,All,#4682B4,0
1,7,-0.438552,0.673897,-0.189423,0.590824,5.71984e-08,3.99368e-08,All,#4682B4,0
2,7,-0.452492,0.584835,0.837813,0.877161,8.84003e-08,2.14656e-08,All,#4682B4,0
3,7,-0.446175,0.463338,1.44113,0.767344,-1.01941e-07,-2.33991e-08,All,#4682B4,0
4,7,-0.447744,0.684761,0.618784,-0.021303,1.65818e-08,-1.40151e-09,All,#4682B4,0
5,7,-0.406078,0.598554,0.195829,0.59639,1.85214e-08,3.29451e-08,All,#4682B4,0
6,7,-0.435792,0.84409,0.173039,0.26,2.66275e-08,3.92451e-09,All,#4682B4,0
7,7,-0.465144,0.833877,-0.36906,-0.439277,-5.64861e-08,2.90217e-09,All,#4682B4,0
8,7,-0.480985,0.615646,1.05892,0.522347,5.6885e-08,-4.50441e-09,All,#4682B4,0
9,7,-0.386109,-0.336519,2.47938,0.986768,-6.43803e-08,-2.65988e-09,All,#4682B4,0
0,8,-0.337233,0.0657099,0.908251,-1.63834,-2.45478e-08,2.45976e-08,All,#4682B4,0
1,8,-0.358899,-0.250102,1.48264,-0.419856,-3.5728e-08,2.98321e-08,All,#4682B4,0
2,8,-0.28989,-0.181463,0.421009,-0.723194,-2.75681e-08,4.88482e-09,All,#4682B4,0
3,8,-0.374457,-0.106662,0.646723,-0.750081,-5.62516e-08,4.66742e-08,All,#4682B4,0
4,8,-0.328281,0.0168219,-0.360032,-1.10062,-7.66234e-08,9.77413e-08,All,#4682B4,0
5,8,-0.315241,-0.0741843,0.710769,-0.90619,-1.24598e-08,-8.8658e-09,All,#4682B4,0
6,8,-0.322539,-0.234352,0.778469,-0.437353,-3.47403e-08,1.49239e-08,All,#4682B4,0
7,8,-0.354654,0.127361,-1.17069,-1.35086,6.94888e-08,2.72879e-09,All,#4682B4,0
8,8,-0.380661,-0.555022,0.862237,0.116605,1.43965e-08,-2.43707e-08,All,#4682B4,0
9,8,-0.354983,0.0151676,0.28528,-1.18607,-5.2647e-08,-9.82122e-08,All,#4682B4,0
0,9,0.205678,-0.231798,0.682315,0.517757,3.90805e-10,1.04499e-07,All,#4682B4,0
1,9,0.306286,-0.0713485,0.644461,0.0753362,-1.07952e-08,3.76727e-09,All,#4682B4,0
2,9,0.329898,0.0602233,0.6058,-0.252173,4.16e-08,-4.65853e-08,All,#4682B4,0
3,9,0.333856,0.128607,-0.498399,-0.246014,-1.33736e-08,5.44134e-08,All,#4682B4,0
4,9,0.295878,0.0434211,0.172317,0.228915,5.99101e-08,3.43475e-08,All,#4682B4,0
5,9,0.265697,-0.0609472,0.585715,0.142567,2.71097e-08,4.84455e-08,All,#4682B4,0
6,9,0.251315,-0.0722008,0.171235,0.0554934,7.11893e-08,5.53335e-08,All,#4682B4,0
7,9,0.277927,-0.564893,0.843698,0.493895,-7.11714e-09,-5.27798e-08,All,#4682B4,0
8,9,0.214211,0.221549,-0.333779,0.721748,-8.02224e-08,-2.59765e-08,All,#4682B4,0
9,9,0.375151,0.0241153,0.0740157,-0.373971,2.30084e-09,-4.06227e-08,All,#4682B4,0
0,10,0.304883,-0.266085,1.19254,0.479846,8.23643e-08,4.65628e-08,All,#4682B4,0
1,10,0.345838,0.0925475,-0.139554,0.430269,6.71218e-08,-4.42156e-09,All,#4682B4,0
2,10,0.468833,0.432933,-2.05238,1.14866,7.59049e-09,2.73017e-08,All,#4682B4,0
3,10,0.316718,0.221507,0.2483,-0.0295491,-3.82358e-08,1.95716e-08,All,#4682B4,0
4,10,0.279131,0.0675955,0.386525,0.283284,-5.41905e-08,-6.26443e-09,All,#4682B4,0
5,10,0.367077,0.0125807,0.995081,0.0694128,-2.50857e-08,-3.50435e-08,All,#4682B4,0
6,10,0.303208,0.18051,0.172015,-0.25289,3.16597e-08,-3.6462e-08,All,#4682B4,0
7,10,0.358611,0.159229,-0.0711205,0.100546,-3.79953e-08,2.59388e-08,All,#4682B4,0
8,10,0.43195,0.249083,0.312958,-0.623434,-5.79398e-08,-6.40366e-08,All,#4682B4,0
9,10,0.367323,0.338042,0.52978,-1.42594,-6.51153e-08,7.89074e-08,All,#4682B4,0
0,11,0.109608,0.34183,-1.18485,0.266441,1.21527e-08,-1.14442e-07,All,#4682B4,0
1,11,0.129549,-0.113167,0.172816,1.23748,-6.54332e-08,-5.42499e-08,All,#4682B4,0
2,11,0.077598,0.258374,-0.153329,1.28982,-1.51002e-08,7.47073e-09,All,#4682B4,0
3,11,0.167087,0.27671,-0.554435,1.06827,-4.58792e-08,-7.3615e-08,All,#4682B4,0
4,11,0.139419,0.149992,-0.244756,0.835841,2.07389e-08,5.50979e-08,All,#4682B4,0
5,11,0.171609,0.103966,-0.0929881,0.627667,-2.27644e-08,-8.4201e-08,All,#4682B4,0
6,11,0.0916035,0.0105171,0.128494,0.956823,-7.54944e-09,1.21446e-07,All,#4682B4,0
7,11,0.10983,0.282894,-0.37374,1.10528,-2.86603e-08,8.37298e-10,All,#4682B4,0
8,11,0.224389,0.0674311,-0.109776,0.838779,-1.82279e-08,-5.60218e-08,All,#4682B4,0
9,11,0.234503,0.231981,-0.513553,0.603415,-7.29404e-08,5.98031e-08,All,#4682B4,0
0,12,0.151259,-0.0938597,1.17041,-1.64098,-4.99238e-08,5.47105e-08,All,#4682B4,0
1,12,0.0872964,-0.0911163,-1.3856,-0.799754,1.54471e-07,-1.53369e-09,All,#4682B4,0
2,12,0.0304923,-0.0129789,-1.67492,-0.96954,-4.76376e-08,4.69116e-08,All,#4682B4,0
3,12,0.0956584,-0.283014,0.748551,-0.742201,1.61412e-08,1.78454e-08,All,#4682B4,0
4,12,0.0361133,-0.0227218,-1.45629,-1.42702,-2.793e-08,-7.51563e-08,All,#4682B4,0
5,12,0.0528549,-0.00848797,-1.74027,-0.040579,-7.58965e-08,-1.88553e-08,All,#4682B4,0
6,12,0.0644935,-0.160662,0.088466,-1.29174,2.39367e-09,-3.83452e-08,All,#4682B4,0
7,12,0.117995,-0.209106,-0.223728,-1.18043,-2.87804e-08,3.38325e-08,All,#4682B4,0
8,12,0.102849,-0.0694292,-1.67651,0.674328,-7.88531e-08,5.46057e-08,All,#4682B4,0
9,12,0.0886858,0.0180382,-2.38842,-1.06439,2.90566e-08,4.0826e-08,All,#4682B4,0
0,13,-0.0681545,0.0947094,1.25328,1.03922,4.89601e-08,-3.30013e-08,All,#4682B4,0
1,13,-0.108612,0.289567,1.12809,0.955822,3.76456e-08,4.12232e-08,All,#4682B4,0
2,13,-0.1583,0.254012,1.11868,1.3746,4.64212e-08,1.03302e-07,All,#4682B4,0
3,13,-0.13598,0.450019,0.524234,1.50258,1.3762e-08,1.63749e-08,All,#4682B4,0
4,13,-0.0842931,0.696618,-0.224096,0.614542,-3.77047e-08,-7.86096e-08,All,#4682B4,0
5,13,-0.210855,0.227072,0.902323,1.69489,-7.54788e-08,-4.27014e-08,All,#4682B4,0
6,13,-0.134925,0.558312,0.373041,1.12343,-3.072e-08,-5.01024e-08,All,#4682B4,0
7,13,-0.106404,0.197129,1.06517,1.50437,-5.12745e-08,1.07932e-07,All,#4682B4,0
8,13,-0.112763,0.743853,-0.244493,1.16142,-9.11358e-09,3.96816e-08,All,#4682B4,0
9,13,-0.191525,0.442703,0.818322,1.20422,-6.29991e-09,4.39012e-08,All,#4682B4,0
0,14,-0.25983,0.118319,-0.216889,-1.25297,4.81916e-10,-2.15987e-08,All,#4682B4,0
1,14,-0.212782,0.173533,0.997924,-2.0488,4.77166e-08,-5.63327e-08,All,#4682B4,0
2,14,-0.235687,0.0455075,-0.179475,-0.342583,6.94905e-08,1.76685e-08,All,#4682B4,0
3,14,-0.297203,0.168948,-0.93894,-1.61057,6.8081e-08,2.02773e-08,All,#4682B4,0
4,14,-0.186236,0.13406,1.92142,-1.44796,-1.29458e-08,-2.71025e-08,All,#4682B4,0
5,14,-0.316838,-0.382772,1.25095,0.133435,-5.84443e-08,-6.73206e-08,All,#4682B4,0
6,14,-0.263801,-0.550673,1.09551,0.182041,-8.87738e-08,-3.76102e-08,All,#4682B4,0
7,14,-0.258061,-0.115655,0.273325,-0.281221,-1.51413e-08,-6.999e-08,All,#4682B4,0
8,14,-0.206332,-0.107044,0.190798,-0.264115,2.36165e-08,-3.18037e-08,All,#4682B4,0
9,14,-0.211978,-0.0339658,-0.222963,-0.0642096,-7.30403e-08,1.07041e-08,All,#4682B4,0
0,15,-0.274928,-0.447437,-0.517246,-1.057,2.40018e-08,2.975e-08,All,#4682B4,0
1,15,-0.27047,-0.551149,-0.145123,-0.796543,-2.69247e-08,4.46453e-09,All,#4682B4,0
2,15,-0.282076,-0.431035,-0.852335,-0.894214,-9.52886e-08,-1.65426e-11,All,#4682B4,0
3,15,-0.29549,-0.548646,-0.242917,-0.76478,2.39341e-08,-1.49523e-08,All,#4682B4,0
4,15,-0.285835,-0.358914,-0.970159,-1.25493,-2.22704e-08,-1.11177e-07,All,#4682B4,0
5,15,-0.299133,-0.562202,-0.48441,-0.705878,9.12207e-09,-5.75782e-08,All,#4682B4,0
6,15,-0.292234,-0.480068,-0.610994,-0.889404,2.45802e-08,5.69485e-08,All,#4682B4,0
7,15,-0.274373,-0.373809,-0.972822,-1.08595,2.29813e-08,2.66204e-08,All,#4682B4,0
8,15,-0.318764,-0.513662,-0.395272,-0.591111,-6.71157e-08,1.25238e-09,All,#4682B4,0
9,15,-0.34616,-0.491823,-0.176704,-0.835624,-5.55741e-08,-3.04519e-08,All,#4682B4,0
