trans_V_vs_CLCRMLMIN_abscissa,trans_V_vs_CLCRMLMIN_spline,trans_V_vs_CLCRMLMIN_regression,trans_V_vs_WTKG_abscissa,trans_V_vs_WTKG_spline,trans_V_vs_WTKG_regression,trans_V_vs_log_tCLCR_abscissa,trans_V_vs_log_tCLCR_spline,trans_V_vs_log_tCLCR_regression,trans_V_vs_log_tWT_abscissa,trans_V_vs_log_tWT_spline,trans_V_vs_log_tWT_regression,trans_k_vs_CLCRMLMIN_abscissa,trans_k_vs_CLCRMLMIN_spline,trans_k_vs_CLCRMLMIN_regression,trans_k_vs_WTKG_abscissa,trans_k_vs_WTKG_spline,trans_k_vs_WTKG_regression,trans_k_vs_log_tCLCR_abscissa,trans_k_vs_log_tCLCR_spline,trans_k_vs_log_tCLCR_regression,trans_k_vs_log_tWT_abscissa,trans_k_vs_log_tWT_spline,trans_k_vs_log_tWT_regression,trans_k12_vs_CLCRMLMIN_abscissa,trans_k12_vs_CLCRMLMIN_spline,trans_k12_vs_CLCRMLMIN_regression,trans_k12_vs_WTKG_abscissa,trans_k12_vs_WTKG_spline,trans_k12_vs_WTKG_regression,trans_k12_vs_log_tCLCR_abscissa,trans_k12_vs_log_tCLCR_spline,trans_k12_vs_log_tCLCR_regression,trans_k12_vs_log_tWT_abscissa,trans_k12_vs_log_tWT_spline,trans_k12_vs_log_tWT_regression,trans_k21_vs_CLCRMLMIN_abscissa,trans_k21_vs_CLCRMLMIN_spline,trans_k21_vs_CLCRMLMIN_regression,trans_k21_vs_WTKG_abscissa,trans_k21_vs_WTKG_spline,trans_k21_vs_WTKG_regression,trans_k21_vs_log_tCLCR_abscissa,trans_k21_vs_log_tCLCR_spline,trans_k21_vs_log_tCLCR_regression,trans_k21_vs_log_tWT_abscissa,trans_k21_vs_log_tWT_spline,trans_k21_vs_log_tWT_regression,split
111.2,3.21508,3.26115,68.3939,3.10782,3.18886,0.076008,3.11636,3.28398,4.2055,3.16172,3.19117,111.2,0.612956,0.543147,68.3939,0.612434,0.612947,0.076008,0.629541,0.525775,4.2055,0.525249,0.604906,111.2,1.28,1.2815,68.3939,0.685637,1.08824,0.076008,1.62331,1.32028,4.2055,0.70837,1.09339,111.2,1.42727,1.80187,68.3939,1.80223,1.78088,0.076008,1.84034,1.82333,4.2055,1.75425,1.77057,All
111.833,3.23513,3.25835,68.7071,3.10858,3.188,0.0812486,3.13401,3.28084,4.20976,3.14237,3.19049,111.833,0.609327,0.545673,68.7071,0.635474,0.615853,0.0812486,0.626463,0.5285,4.20976,0.544806,0.607558,111.833,1.2126,1.27396,68.7071,0.725412,1.08672,0.0812486,1.56263,1.31259,4.20976,0.68416,1.0907,111.833,1.34749,1.80073,68.7071,1.84854,1.78453,0.0812486,1.76883,1.82164,4.20976,1.74916,1.7742,All
112.467,3.24825,3.25556,69.0202,3.10934,3.18714,0.0864892,3.15166,3.2777,4.21403,3.12303,3.18982,112.467,0.596079,0.5482,69.0202,0.658514,0.61876,0.0864892,0.623384,0.531225,4.21403,0.564363,0.610211,112.467,1.14724,1.26642,69.0202,0.765187,1.08519,0.0864892,1.50196,1.30489,4.21403,0.659949,1.08801,112.467,1.35323,1.79959,69.0202,1.89485,1.78818,0.0864892,1.69731,1.81996,4.21403,1.74407,1.77783,All
113.1,3.2589,3.25276,69.3333,3.11009,3.18628,0.0917298,3.16931,3.27457,4.21829,3.10369,3.18915,113.1,0.579396,0.550726,69.3333,0.681554,0.621666,0.0917298,0.620305,0.53395,4.21829,0.58392,0.612864,113.1,1.08262,1.25888,69.3333,0.804962,1.08367,0.0917298,1.44128,1.2972,4.21829,0.635739,1.08531,113.1,1.38953,1.79845,69.3333,1.94115,1.79183,0.0917298,1.6258,1.81827,4.21829,1.73898,1.78146,All
113.733,3.26955,3.24997,69.6465,3.11085,3.18542,0.0969704,3.18696,3.27143,4.22256,3.10062,3.18848,113.733,0.562713,0.553253,69.6465,0.704594,0.624572,0.0969704,0.617227,0.536675,4.22256,0.604245,0.615516,113.733,1.01799,1.25133,69.6465,0.844738,1.08215,0.0969704,1.3806,1.28951,4.22256,0.657101,1.08262,113.733,1.42582,1.79732,69.6465,1.98746,1.79548,0.0969704,1.55428,1.81658,4.22256,1.77153,1.78509,All
114.367,3.2802,3.24717,69.9596,3.11161,3.18456,0.102211,3.20461,3.26829,4.22683,3.10402,3.1878,114.367,0.546029,0.55578,69.9596,0.727634,0.627478,0.102211,0.614148,0.5394,4.22683,0.624875,0.618169,114.367,0.953371,1.24379,69.9596,0.884513,1.08062,0.102211,1.31992,1.28181,4.22683,0.696572,1.07993,114.367,1.46211,1.79618,69.9596,2.03377,1.79913,0.102211,1.48277,1.8149,4.22683,1.81903,1.78872,All
115,3.29086,3.24437,70.2727,3.11952,3.1837,0.107452,3.22226,3.26515,4.23109,3.10741,3.18713,115,0.529346,0.558306,70.2727,0.727393,0.630384,0.107452,0.61107,0.542124,4.23109,0.645505,0.620822,115,0.888747,1.23625,70.2727,0.892773,1.0791,0.107452,1.25924,1.27412,4.23109,0.736042,1.07724,115,1.49841,1.79504,70.2727,2.044,1.80278,0.107452,1.41126,1.81321,4.23109,1.86654,1.79235,All
115.633,3.30151,3.24158,70.5859,3.12848,3.18284,0.112692,3.23991,3.26202,4.23536,3.11081,3.18646,115.633,0.512662,0.560833,70.5859,0.723704,0.63329,0.112692,0.607991,0.544849,4.23536,0.666136,0.623474,115.633,0.824124,1.22871,70.5859,0.896365,1.07758,0.112692,1.19857,1.26642,4.23536,0.775513,1.07454,115.633,1.5347,1.7939,70.5859,2.04889,1.80643,0.112692,1.33974,1.81153,4.23536,1.91404,1.79598,All
116.267,3.31216,3.23878,70.899,3.13745,3.18197,0.117933,3.25083,3.25888,4.23962,3.11421,3.18579,116.267,0.495979,0.563359,70.899,0.720014,0.636196,0.117933,0.593762,0.547574,4.23962,0.686766,0.626127,116.267,0.7595,1.22117,70.899,0.899956,1.07605,0.117933,1.13713,1.25873,4.23962,0.814983,1.07185,116.267,1.57099,1.79276,70.899,2.05379,1.81008,0.117933,1.3613,1.80984,4.23962,1.96155,1.79961,All
116.9,3.32281,3.23598,71.2121,3.14642,3.18111,0.123173,3.26082,3.25574,4.24389,3.11761,3.18511,116.9,0.479296,0.565886,71.2121,0.716324,0.639103,0.123173,0.577991,0.550299,4.24389,0.707396,0.62878,116.9,0.694876,1.21363,71.2121,0.903548,1.07453,0.123173,1.07559,1.25104,4.24389,0.854453,1.06916,116.9,1.60729,1.79162,71.2121,2.05868,1.81372,0.123173,1.39572,1.80815,4.24389,2.00905,1.80324,All
