iteration,convergenceIndicator,phase,Km_logit_pop,V_logit_pop,Vm_logit_pop,a_,omega_Km_logit,omega_V_logit,omega_Vm_logit
46,398.463,1,1.0966,8.93266,1.66513,1.10709,1.79902,0.47824,1.18269
47,394.476,1,0.876248,9.56791,1.95769,1.09809,1.75347,0.491026,1.15275
48,397.336,1,1.17755,9.02585,2.06132,1.10514,1.70907,0.478593,1.12848
49,399.799,1,0.950316,10.079,1.73026,1.11722,1.6658,0.466474,1.21098
50,402.05,1,1.14141,9.98551,1.79881,1.10228,2.02361,0.454663,1.24307
51,399.241,1,1.07861,9.18,2.17243,1.07437,1.97237,0.443151,1.42558
52,392.901,1,1.13738,8.55432,2.22092,1.07528,1.92243,0.465713,1.38949
53,400.694,1,1.13954,8.69038,2.11024,1.08079,2.01483,0.45392,1.35431
54,409.69,1,1.29617,9.17554,2.30846,1.12018,1.96563,0.506542,1.32001
55,397.902,1,1.06765,9.48131,2.58724,1.10374,1.91586,0.493716,1.28659
56,393.921,1,0.716221,8.34966,2.54206,1.09268,1.86735,0.481215,1.25401
57,400.156,1,1.00916,9.092,2.41373,1.07846,1.93632,0.46903,1.29866
58,392.709,1,1.05247,9.25326,2.03951,1.07775,1.88729,0.457154,1.29127
59,396.467,1,0.783133,8.94972,2.08134,1.10243,1.8395,0.445578,1.25857
60,392.081,1,0.913965,8.77368,2.30116,1.0809,1.79292,0.434296,1.2267
61,394.786,1,0.902846,8.6924,2.3822,1.08576,1.74753,0.481059,1.19564
62,396.156,1,0.859575,8.50594,2.32423,1.10397,1.70328,0.468878,1.22215
63,395.739,1,0.716372,8.29583,2.53061,1.07686,1.66015,0.479365,1.31854
64,386.616,1,0.59305,7.25602,2.60676,1.06073,1.62114,0.467227,1.28515
65,386.664,1,0.530645,6.84983,2.526,1.05851,1.5801,0.511784,1.25261
66,386.044,1,0.408687,6.62263,2.95138,1.04054,1.54009,0.541287,1.2209
67,395.074,1,0.336527,7.09197,2.71211,1.05266,1.53397,0.635232,1.18998
68,389.527,1,0.286613,7.27496,2.10829,1.05846,1.49513,0.619147,1.19217
69,398.051,1,0.375206,6.608,2.9908,1.05731,1.64092,0.623381,1.16199
70,391.96,1,0.501483,6.0949,3.3452,1.05586,1.59937,0.653355,1.13257
71,390.727,1,0.59573,5.69806,3.40589,1.02912,1.67443,0.636811,1.10389
72,383.392,1,0.591927,5.09457,3.74619,1.03623,1.63203,0.620687,1.11351
73,382.757,1,0.445024,5.01735,3.67157,1.00999,1.59071,0.608183,1.15336
74,385.317,1,0.355658,5.16222,3.03933,1.04084,1.55043,0.592783,1.12416
75,389.502,1,0.391637,5.91743,3.09226,1.0396,1.68901,0.599847,1.09569
76,387.934,1,0.305224,5.44022,3.35821,1.0342,1.64624,0.612811,1.06795
77,381.011,1,0.361373,5.16526,3.56813,1.02401,1.60456,0.597294,1.04091
78,372.371,1,0.28596,4.71194,4.00889,1.00511,1.56393,0.632512,1.01455
79,379.805,1,0.240936,4.36598,3.89465,1.00142,1.52433,0.696222,0.988861
80,367.566,1,0.173393,3.63714,3.93391,0.985328,1.48573,0.697586,0.963823
81,373.072,1,0.168341,3.78744,3.34175,0.960379,1.44811,0.722243,0.959705
82,357.006,1,0.188958,2.74451,4.56323,0.938261,1.41145,0.730841,0.935405
83,347.152,1,0.203352,2.06514,5.14921,0.914504,1.37571,0.914663,0.91172
84,335.984,1,0.214147,1.60562,5.58266,0.891348,1.34087,0.962626,0.888634
85,311.595,1,0.246572,1.16334,6.58749,0.868779,1.30692,0.938252,0.866134
86,294.762,1,0.254893,0.878041,6.94244,0.846781,1.27383,0.914495,0.844203
87,291.817,1,0.287329,0.762878,7.5637,0.82534,1.24158,0.891339,0.822827
88,271.187,1,0.283927,0.773257,7.99218,0.804442,1.21014,0.86877,0.801993
89,275.078,1,0.320505,0.72257,8.45481,0.784073,1.1795,0.846772,0.781686
90,254.013,1,0.356079,0.618122,8.9436,0.76422,1.14963,0.825331,0.761893
91,249.432,1,0.385092,0.541669,9.30593,0.744869,1.12052,0.804433,0.742601
92,246.558,1,0.433098,0.579739,9.81441,0.726009,1.09215,0.784065,0.723798
93,231.401,1,0.50143,0.564592,11.1534,0.707626,1.0645,0.764212,0.705471
94,239.202,1,0.592732,0.581939,11.8148,0.689708,1.03754,0.744862,0.687608
95,218.969,1,0.550754,0.526835,11.5424,0.672244,1.01127,0.726001,0.670198
96,216.551,1,0.63153,0.51627,12.8975,0.655223,0.985665,0.707618,0.653228
97,215.559,1,0.686634,0.502697,13.9817,0.638632,0.960708,0.689701,0.636688
98,206.719,1,0.739711,0.517593,14.7806,0.622462,0.936382,0.672238,0.620567
99,197.318,1,0.669804,0.498529,13.7512,0.606701,0.912672,0.655216,0.604854
100,191.118,1,0.680622,0.493301,13.4058,0.591339,0.889563,0.638626,0.589538
101,185.052,1,0.681465,0.482389,13.5628,0.576366,0.867039,0.622455,0.574611
102,177.237,1,0.654824,0.477937,12.9908,0.561772,0.845085,0.606694,0.560061
103,165.364,1,0.682335,0.485535,13.3078,0.547547,0.823687,0.591333,0.54588
104,168.618,1,0.684127,0.465322,13.2462,0.533683,0.80283,0.57636,0.532058
105,158.047,1,0.731042,0.457684,14.1399,0.52017,0.782502,0.561766,0.518586
106,155.422,1,0.711682,0.466633,13.9374,0.506999,0.762689,0.547542,0.505455
107,148.625,1,0.720952,0.450575,14.0923,0.494161,0.743377,0.533678,0.492657
108,132.299,1,0.707224,0.463904,14.0357,0.481649,0.724554,0.520165,0.480183
109,128.564,1,0.758411,0.460037,14.7081,0.469453,0.706208,0.506994,0.468024
110,115.26,1,0.85283,0.451671,15.8036,0.457567,0.688327,0.494156,0.456173
111,118.166,1,0.927488,0.442236,16.771,0.445981,0.670898,0.481644,0.444623
112,115.737,1,0.959093,0.477234,17.8865,0.434688,0.65391,0.469449,0.433365
113,105.394,1,1.02565,0.434239,17.8588,0.423682,0.637353,0.457562,0.422392
114,102.804,1,1.02009,0.430194,18.0035,0.412954,0.621215,0.445976,0.411697
115,104.139,1,1.09979,0.435661,18.9667,0.402498,0.605485,0.434684,0.426672
116,103.586,1,1.07196,0.431919,19.2901,0.392306,0.590154,0.423677,0.44852
117,114.024,1,1.1229,0.425388,19.7532,0.382373,0.575211,0.41295,0.437163
118,100.745,1,1.10423,0.435089,19.8156,0.372691,0.560646,0.402493,0.445268
119,101.231,1,1.20329,0.437497,21.0578,0.363254,0.546451,0.392302,0.438034
120,79.6026,1,1.21067,0.429991,20.7654,0.354056,0.532614,0.382369,0.426943
121,76.934,1,1.23574,0.453338,21.3685,0.345091,0.519128,0.372687,0.416776
122,68.3032,1,1.23236,0.4206,21.1195,0.336353,0.505983,0.36325,0.406223
123,64.4253,1,1.2456,0.401588,20.7959,0.327837,0.493172,0.354053,0.395937
124,53.5828,1,1.15435,0.404036,19.6047,0.319536,0.480684,0.345088,0.385911
125,50.6402,1,1.21065,0.412645,20.3443,0.311445,0.468513,0.33635,0.37614
126,51.6245,1,1.21864,0.411401,20.6499,0.303559,0.45665,0.327833,0.366616
127,54.9845,1,1.2134,0.401212,19.8525,0.295873,0.445087,0.319532,0.357333
128,45.4935,1,1.21284,0.402145,20.1682,0.288381,0.433818,0.311442,0.348285
129,42.5514,1,1.16194,0.408562,19.756,0.281079,0.422833,0.303556,0.339466
130,41.1251,1,1.1523,0.416104,19.771,0.273962,0.412127,0.29587,0.330871
131,29.2913,1,1.14233,0.416938,19.3329,0.267025,0.401691,0.288378,0.322493
132,32.5271,1,1.11946,0.419198,19.0801,0.263784,0.39152,0.281076,0.314651
133,31.6688,1,1.16625,0.406505,19.9383,0.263349,0.381607,0.273959,0.306684
134,31.6284,1,1.19352,0.409933,20.2539,0.261921,0.371944,0.267022,0.298918
135,31.0375,1,1.15283,0.422834,19.7376,0.266052,0.362526,0.260261,0.29135
136,23.5576,1,1.13146,0.425406,19.6053,0.265177,0.353347,0.253671,0.283972
137,17.6399,1,1.12607,0.409378,19.2989,0.259354,0.3444,0.247248,0.276782
138,19.3283,1,1.12208,0.419202,19.3103,0.260254,0.33568,0.249124,0.269774
139,14.1941,1,1.12976,0.407842,19.4695,0.255535,0.32718,0.242816,0.262943
140,16.708,1,1.1464,0.408239,19.4089,0.259328,0.318896,0.239706,0.256285
141,17.8769,1,1.13477,0.407754,19.2749,0.267585,0.310821,0.233636,0.249796
142,12.6007,1,1.12993,0.402682,19.0753,0.267359,0.302951,0.227721,0.243471
143,10.3693,1,1.10753,0.411663,18.916,0.270937,0.29528,0.221955,0.237306
144,13.3856,1,1.09451,0.420869,19.1142,0.275384,0.287803,0.216335,0.231297
145,17.3486,1,1.12692,0.412547,19.1808,0.271993,0.280516,0.210857,0.22777
146,14.2855,1,1.12423,0.414489,19.3009,0.266291,0.27362,0.205518,0.234106
147,9.75623,1,1.12855,0.411284,19.2664,0.264375,0.277657,0.200314,0.228263
148,10.7752,1,1.13782,0.418307,19.4496,0.266036,0.270627,0.200675,0.223783
149,5.69601,1,1.17008,0.412377,20.0302,0.261997,0.263774,0.197854,0.218117
150,11.5697,1,1.16425,0.406825,19.8688,0.276585,0.257095,0.192844,0.212594
151,9.09643,1,1.16552,0.400469,19.8763,0.272867,0.250586,0.187961,0.20934
152,2.86951,1,1.19064,0.397377,20.0042,0.265958,0.244241,0.187171,0.22166
153,-4.85415,1,1.20635,0.391225,20.0092,0.264404,0.238056,0.182432,0.216047
154,-3.24179,1,1.22632,0.387181,20.0041,0.270915,0.232029,0.177813,0.210577
155,-5.15494,1,1.24615,0.381941,20.3167,0.272101,0.226153,0.17331,0.205245
156,-11.57,1,1.22009,0.399756,20.4259,0.269439,0.220427,0.168922,0.200048
157,-8.0737,1,1.21639,0.39235,20.1248,0.270818,0.214846,0.164645,0.207399
158,-6.85642,1,1.23957,0.403008,20.5849,0.275117,0.209406,0.160476,0.202147
159,-9.48307,1,1.25962,0.398053,21.0033,0.268151,0.205987,0.185193,0.197029
160,-1.50273,1,1.26047,0.399288,20.7349,0.26539,0.215794,0.183576,0.19541
161,-8.33178,1,1.24153,0.406037,20.7359,0.258671,0.21033,0.20287,0.190462
162,-8.67484,1,1.25595,0.402405,20.859,0.256596,0.205004,0.199972,0.192895
163,-3.98335,1,1.25857,0.405886,21.0136,0.264546,0.213105,0.194909,0.188011
164,-4.10053,1,1.28876,0.400728,20.9945,0.263556,0.209941,0.192392,0.18325
165,-7.19287,1,1.30257,0.406117,21.6528,0.271574,0.204625,0.18752,0.17861
166,-12.9749,1,1.31,0.408149,21.6845,0.264697,0.199444,0.189839,0.182404
167,-9.58655,1,1.2962,0.407128,21.5479,0.260705,0.194394,0.19853,0.180906
168,-18.5623,1,1.27887,0.412506,21.4869,0.254104,0.189472,0.206121,0.176326
169,-16.1658,1,1.29188,0.40519,21.512,0.25379,0.184674,0.22075,0.171861
170,-12.7677,1,1.29302,0.402282,21.4463,0.254987,0.179998,0.21516,0.1821
171,-20.8568,1,1.28389,0.402992,21.1867,0.251473,0.175441,0.209712,0.186434
172,-9.85427,1,1.29387,0.395948,21.2658,0.263224,0.170998,0.205618,0.193822
173,-0.284797,1,1.2893,0.391535,21.3092,0.271758,0.166669,0.211321,0.206261
174,-6.40992,1,1.30299,0.393504,21.6381,0.274191,0.166574,0.205971,0.201038
175,-2.404,1,1.32095,0.387291,21.4542,0.283031,0.168646,0.200755,0.195948
176,-8.07211,1,1.30377,0.398075,21.3711,0.275864,0.164376,0.195672,0.190986
177,-5.83887,1,1.34072,0.382032,21.6261,0.276444,0.160214,0.190718,0.186151
178,-14.6943,1,1.33509,0.382195,21.4246,0.269445,0.165172,0.185889,0.181437
179,-10.1496,1,1.34894,0.388196,22.0639,0.269196,0.16099,0.195202,0.176843
180,-17.3538,1,1.34588,0.394465,22.0561,0.26238,0.156914,0.190259,0.184376
181,-18.1527,1,1.33259,0.395138,22.0131,0.257915,0.15294,0.189711,0.184262
182,-18.0551,1,1.32217,0.397529,21.9113,0.257848,0.150016,0.192339,0.183696
183,-12.4521,1,1.32608,0.396234,21.6998,0.264899,0.152471,0.187469,0.192991
184,-13.2589,1,1.29913,0.409929,21.6814,0.265242,0.159,0.182723,0.188104
185,-13.3495,1,1.30981,0.411945,22.1645,0.264996,0.1583,0.178096,0.192474
186,-13.283,1,1.31583,0.400145,21.9042,0.260603,0.160709,0.185079,0.196018
187,-11.5469,1,1.32381,0.402113,21.8041,0.255956,0.182174,0.180393,0.209632
188,-7.26281,1,1.3295,0.403254,21.8011,0.267532,0.177561,0.175825,0.215683
189,-10.0788,1,1.32326,0.392749,21.6334,0.265645,0.175228,0.171373,0.210567
190,-9.30246,1,1.30958,0.388836,21.4567,0.260796,0.182458,0.179911,0.205235
191,-8.08184,1,1.33871,0.388528,21.8592,0.269507,0.177838,0.175355,0.212771
192,-13.8952,1,1.31571,0.393823,21.9364,0.262683,0.173335,0.175816,0.216391
193,-5.87709,1,1.3428,0.39967,22.0206,0.269606,0.168946,0.180712,0.220845
194,-12.5465,1,1.33982,0.396023,21.8815,0.272772,0.164668,0.176136,0.221773
195,-6.23414,1,1.32588,0.401346,22.0709,0.265865,0.164535,0.190747,0.237398
196,-6.9421,1,1.32698,0.400247,22.0712,0.262744,0.160369,0.196885,0.231387
197,-6.17065,1,1.34723,0.397983,22.1552,0.261428,0.163691,0.1919,0.237072
198,-2.12034,1,1.37229,0.393504,22.603,0.268336,0.16436,0.193233,0.231069
199,-9.39839,1,1.37458,0.385254,22.1439,0.261936,0.160198,0.18834,0.225218
200,-13.8886,1,1.36646,0.393785,22.2771,0.256684,0.157801,0.183571,0.221475
201,-3.48344,1,1.38642,0.392021,22.3648,0.267712,0.177992,0.182335,0.215867
202,-9.76882,1,1.34638,0.394895,22.3441,0.260934,0.173485,0.200967,0.21787
203,-6.50555,1,1.38576,0.395052,22.6572,0.266349,0.169093,0.195878,0.23237
204,-10.2704,1,1.37259,0.402555,22.7929,0.268511,0.164811,0.190918,0.227357
205,-6.30462,1,1.41836,0.39237,22.9728,0.268235,0.169884,0.186084,0.229608
206,3.50971,1,1.42804,0.391004,23.2068,0.266507,0.172062,0.190472,0.27221
207,4.38868,1,1.46627,0.395382,23.6833,0.270134,0.190136,0.185649,0.265318
208,-3.57313,1,1.48725,0.392901,24.111,0.266726,0.185321,0.180948,0.2586
209,-2.58034,1,1.46444,0.393395,24.1393,0.262544,0.180629,0.191893,0.271586
210,-2.19443,1,1.4761,0.391144,24.0902,0.262494,0.176055,0.211536,0.264709
211,-4.68976,1,1.52498,0.387543,24.7562,0.262447,0.171597,0.20618,0.258007
212,-8.93001,1,1.53848,0.395054,25.0283,0.255802,0.167253,0.20096,0.251474
213,-13.6949,1,1.61736,0.392049,25.7993,0.251488,0.163018,0.197261,0.245106
214,-14.0545,1,1.59736,0.393265,25.4997,0.24753,0.160693,0.201666,0.2389
215,-11.3338,1,1.60568,0.394408,26.0025,0.254635,0.170297,0.196559,0.232851
216,-9.90359,1,1.66203,0.396678,26.5207,0.252483,0.184981,0.196891,0.226955
217,-11.7362,1,1.69858,0.391987,26.9035,0.254702,0.180298,0.191905,0.221208
218,-12.0327,1,1.73742,0.381314,27.2923,0.261,0.175732,0.187046,0.215607
219,-7.10428,1,1.76003,0.382749,27.6505,0.258954,0.171283,0.196199,0.229349
220,-5.87352,1,1.76704,0.387105,28.0307,0.261257,0.172814,0.191232,0.239155
221,-10.9403,1,1.83549,0.387272,28.3909,0.254642,0.180019,0.18639,0.2331
222,-9.11468,1,1.82233,0.388524,28.7599,0.259404,0.181516,0.18167,0.227198
223,-6.02905,1,1.8461,0.39656,29.0592,0.268105,0.17692,0.17707,0.235343
224,-1.50187,1,1.87867,0.393705,29.7725,0.261316,0.185791,0.188634,0.26611
225,-8.57028,1,1.90947,0.388696,29.9013,0.257236,0.187563,0.183858,0.259371
226,-3.85196,1,1.88671,0.385385,29.6492,0.253228,0.201934,0.203626,0.252804
227,-10.2179,1,1.85605,0.380981,28.9933,0.253601,0.196821,0.19847,0.246403
228,-6.6485,1,1.81335,0.381265,28.1701,0.253397,0.191838,0.193445,0.240164
229,-4.00199,1,1.83508,0.375608,28.4875,0.261422,0.18698,0.199087,0.234083
230,5.26106,1,1.87158,0.370254,28.6035,0.273327,0.182246,0.194046,0.238737
231,-4.65143,1,1.87721,0.376291,28.818,0.266406,0.178485,0.189132,0.257389
232,-6.24418,1,1.87928,0.373706,28.7977,0.267556,0.173966,0.184343,0.250871
233,-5.75268,1,1.88904,0.377381,29.0414,0.262691,0.173593,0.183879,0.244519
234,-3.15224,1,1.88048,0.380564,28.6587,0.259539,0.185957,0.180099,0.250089
235,-7.47499,1,1.86501,0.389021,29.6196,0.253292,0.181248,0.192523,0.243757
236,-8.2936,1,1.93406,0.389709,30.0911,0.260003,0.176659,0.187648,0.242466
237,-6.21283,1,1.92186,0.392645,30.4645,0.26585,0.172186,0.182897,0.24471
238,-10.6705,1,1.92109,0.395844,30.8994,0.259119,0.167826,0.188214,0.238513
239,-5.1564,1,1.92546,0.401964,30.7341,0.268591,0.172267,0.183448,0.232474
240,-9.1532,1,1.90585,0.398274,30.3952,0.267738,0.167905,0.178803,0.233727
241,-16.3454,1,1.92469,0.397451,30.7988,0.260958,0.163654,0.174275,0.237166
242,-16.7275,1,1.91679,0.398314,30.1443,0.258245,0.15951,0.169863,0.231161
243,-18.2676,1,1.89926,0.403569,30.294,0.255834,0.155471,0.176084,0.225308
244,-14.4302,1,1.89049,0.399479,29.9309,0.255374,0.162514,0.196128,0.219603
245,-14.2825,1,1.92768,0.399467,30.3013,0.257117,0.158399,0.20132,0.214043
246,-13.2524,1,1.91706,0.403623,30.0175,0.265372,0.154388,0.196222,0.208623
247,-17.4468,1,1.87255,0.401453,30.0255,0.258653,0.152662,0.193864,0.20334
248,-20.3328,1,1.89374,0.398424,29.806,0.252406,0.154569,0.18929,0.198192
249,-22.5328,1,1.84479,0.394371,29.4714,0.251575,0.150655,0.193776,0.193173
250,-19.5448,1,1.80763,0.393818,28.7266,0.256376,0.151881,0.18887,0.201256
251,-16.2304,1,1.80077,0.392771,28.7622,0.257978,0.161903,0.184087,0.19616
252,-28.7652,1,1.82731,0.384628,28.6847,0.251446,0.16754,0.179426,0.191193
253,-17.8109,1,1.84304,0.394075,28.9772,0.258335,0.174228,0.18341,0.186352
254,-16.9466,1,1.82291,0.399072,28.5946,0.255543,0.169816,0.209073,0.191479
255,-17.684,1,1.84549,0.403672,29.1749,0.26043,0.165516,0.203779,0.186631
256,-15.7205,1,1.81627,0.401012,29.4131,0.253836,0.179481,0.199981,0.208841
257,-10.6922,1,1.84252,0.404025,29.4443,0.249615,0.174936,0.212229,0.230514
258,-9.3108,1,1.90288,0.405258,29.7458,0.248569,0.171945,0.221881,0.231677
259,-13.9218,1,1.91003,0.391409,30.2501,0.25245,0.167591,0.224351,0.225811
260,-19.5264,1,1.89167,0.390419,29.9421,0.25129,0.163348,0.218671,0.220093
261,-16.2939,1,1.86215,0.398777,29.4212,0.251455,0.161817,0.213134,0.214521
262,-18.2249,1,1.84262,0.400151,29.0657,0.252992,0.15772,0.207737,0.209089
263,-9.22733,1,1.82453,0.399399,29.0259,0.257111,0.166509,0.202477,0.225195
264,-7.77745,1,1.84146,0.402071,29.1165,0.265235,0.162293,0.19735,0.236323
265,-12.8813,1,1.85122,0.399305,29.2484,0.258519,0.158184,0.192821,0.230339
266,-10.8575,1,1.84396,0.403547,29.168,0.257866,0.15633,0.187938,0.235258
267,-13.8925,1,1.81457,0.405463,28.8233,0.258451,0.164603,0.18318,0.229301
268,-21.9302,1,1.82024,0.398853,28.9078,0.251907,0.160435,0.179137,0.223495
269,-19.5398,1,1.81682,0.396234,28.7919,0.247738,0.173052,0.183304,0.217836
270,-6.21765,1,1.79001,0.386864,28.2004,0.261157,0.170534,0.189725,0.225171
271,-11.6182,1,1.77444,0.387022,27.9032,0.257188,0.169425,0.190548,0.21947
272,-13.7142,1,1.74732,0.383283,27.8929,0.257985,0.165135,0.185723,0.214332
273,-17.4393,1,1.76504,0.399714,27.8893,0.251452,0.160954,0.204712,0.22701
274,-8.55284,1,1.75634,0.395676,27.7315,0.261413,0.157238,0.199528,0.226129
275,-10.8708,1,1.7477,0.396177,27.7698,0.259255,0.155165,0.194476,0.245041
276,-16.8126,1,1.71389,0.392961,27.4704,0.259005,0.151236,0.189552,0.250452
277,-17.0001,1,1.70042,0.396694,27.6101,0.259241,0.147406,0.184753,0.267261
278,-12.7516,1,1.71901,0.393011,27.4468,0.255471,0.143674,0.180074,0.288467
279,-12.5345,1,1.74793,0.389237,27.744,0.254687,0.141393,0.182391,0.281163
280,-18.0841,1,1.7421,0.393956,27.4115,0.248239,0.137813,0.205981,0.286308
281,-13.2058,1,1.70041,0.396037,27.4035,0.256842,0.142863,0.200766,0.279058
282,-9.70266,1,1.73272,0.397901,27.5668,0.259945,0.139245,0.195682,0.271992
283,-9.96934,1,1.70179,0.389671,27.028,0.25857,0.141285,0.190727,0.265105
284,-15.1045,1,1.70908,0.390504,27.2563,0.25638,0.137708,0.185898,0.265209
285,-13.3306,1,1.76543,0.396422,28.1122,0.258535,0.134221,0.184703,0.268711
286,-6.46581,1,1.73752,0.404489,28.0416,0.256606,0.140519,0.190345,0.300184
287,-10.6579,1,1.74412,0.404472,28.245,0.264693,0.136961,0.185525,0.292583
288,-17.9877,1,1.71981,0.401686,27.7044,0.257991,0.133493,0.184991,0.285174
289,-19.4681,1,1.74887,0.397977,27.7486,0.251459,0.130113,0.191075,0.283434
290,-22.4231,1,1.77272,0.38835,28.0553,0.255855,0.126818,0.186237,0.276257
291,-15.3229,1,1.75742,0.379997,27.6885,0.264822,0.123607,0.181521,0.269262
292,-14.3541,1,1.72734,0.395838,27.5833,0.270408,0.120477,0.176925,0.262444
293,-19.8557,1,1.7313,0.388756,27.2755,0.263561,0.117427,0.172445,0.267511
294,-22.5773,1,1.70742,0.386223,27.4381,0.262746,0.114453,0.168079,0.267027
295,-19.6351,1,1.70486,0.400235,27.6284,0.261388,0.111555,0.163823,0.276914
296,-16.1425,1,1.72022,0.403837,27.6804,0.263436,0.113212,0.166543,0.269903
297,-14.6259,1,1.74623,0.406969,27.8669,0.273761,0.110346,0.162326,0.263622
298,-24.3443,1,1.72632,0.406897,28.1717,0.266829,0.107552,0.159321,0.256947
299,-13.9362,1,1.72811,0.405865,28.3206,0.271499,0.106321,0.159235,0.263547
300,-16.3683,1,1.73656,0.401916,28.2901,0.271763,0.103629,0.162487,0.256874
301,-27.6373,1,1.74303,0.394509,28.3152,0.264882,0.101005,0.169798,0.250369
302,-29.7533,1,1.73108,0.403431,28.0502,0.258175,0.107453,0.165499,0.24403
303,-23.6254,1,1.77892,0.390559,27.9452,0.259715,0.119636,0.161308,0.237851
304,-23.5982,1,1.75169,0.388113,27.5667,0.261176,0.116607,0.157815,0.231828
305,-20.4064,1,1.74202,0.382519,27.3745,0.263354,0.113655,0.170897,0.234545
306,-20.8059,1,1.74999,0.383983,27.2829,0.26636,0.116443,0.166569,0.228606
307,-19.6523,1,1.74104,0.372272,26.9729,0.266554,0.113495,0.162352,0.246153
308,-12.5975,1,1.73423,0.378527,27.0088,0.270869,0.114894,0.186001,0.23992
309,-18.0701,1,1.7373,0.379677,27.1212,0.26401,0.115336,0.181291,0.242394
310,-13.5815,1,1.70999,0.380843,26.8701,0.260225,0.127206,0.187828,0.243723
311,-22.8876,1,1.73145,0.385259,27.3106,0.253635,0.123985,0.183072,0.257987
312,-15.2324,1,1.73567,0.400727,27.8936,0.260629,0.120846,0.188224,0.27398
313,-26.7426,1,1.72599,0.403395,27.633,0.25403,0.117786,0.183458,0.267043
314,-18.8084,1,1.72303,0.403157,27.624,0.258532,0.115732,0.178813,0.260281
315,-28.5198,1,1.75322,0.401088,28.3396,0.251986,0.112802,0.174285,0.257652
