iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
64,470.616,1,23.1498,25.4312,10.9911,1.41322,0.0623228,1.07547,-0.50895,1.70892,-3.28284,0.195225,1.01462,0.28071,0.799225
65,465.715,1,21.7906,25.4022,11.4755,1.48252,0.0562472,1.01455,-0.461952,1.22828,-3.65824,0.190282,0.988927,0.281497,0.846332
66,464.624,1,22.0636,26.2844,10.0999,1.5189,0.0518004,1.1396,-0.47722,1.03651,-3.74988,0.18758,0.963887,0.277839,0.974006
67,465.796,1,22.3387,25.9427,10.8319,1.51894,0.0537153,1.12403,-0.489346,1.53607,-3.01403,0.18283,0.939481,0.270804,0.978339
68,465.37,1,22.6109,25.7849,10.6947,1.41328,0.0577714,1.16382,-0.492905,2.31921,-4.7471,0.183331,0.951501,0.263947,1.04116
69,460.629,1,22.2983,25.38,10.1991,1.30235,0.0573752,1.15616,-0.481226,1.59797,-4.99125,0.186832,0.939983,0.257264,1.11181
70,468.185,1,22.0709,25.7834,9.99588,1.36912,0.0565417,1.16715,-0.474752,1.38327,-5.47951,0.195475,0.916182,0.275162,1.15876
71,472.161,1,21.7318,25.571,9.22232,1.45177,0.0560855,1.13392,-0.455649,0.615057,-5.36634,0.190526,0.918514,0.278847,1.13758
72,475.809,1,22.8798,25.583,9.85785,1.54119,0.0544788,1.20625,-0.503435,0.214964,-4.49962,0.197133,0.918131,0.277689,1.10878
73,462.134,1,22.3535,25.8727,11.8473,1.46413,0.0517549,1.09021,-0.476183,0.0406417,-4.58057,0.192141,0.894883,0.270658,1.0807
74,460.735,1,22.5038,25.3362,11.7758,1.61654,0.0457719,1.17461,-0.488741,-0.575862,-5.2402,0.187276,0.960883,0.263804,1.05334
75,461.574,1,22.1467,24.5494,12.3525,1.72891,0.037083,1.10201,-0.478709,-0.824449,-4.34318,0.190883,1.02091,0.257125,1.02667
76,449.091,1,22.5216,25.0338,11.1817,1.64247,0.0352289,1.05918,-0.495301,-0.947093,-2.21813,0.190489,1.00449,0.273045,1.00067
77,466.757,1,21.4679,24.7688,11.6934,1.66133,0.0422853,1.0199,-0.456569,-1.41748,-2.14529,0.185665,1.03308,0.276572,0.975333
78,466.274,1,22.0712,24.5568,11.1023,1.52351,0.0467832,1.08831,-0.48145,-1.82468,-3.3192,0.180964,1.20415,0.296933,0.950637
79,462.948,1,22.4626,24.1602,10.9521,1.66292,0.0393121,1.04552,-0.489429,-2.23561,-3.52835,0.185283,1.17366,0.298365,0.926566
80,463.835,1,22.8303,24.424,11.1033,1.53915,0.0445632,1.16682,-0.492802,-1.40559,-4.55245,0.183079,1.14395,0.290811,0.931016
81,465.116,1,22.5873,24.3497,12.1404,1.53921,0.0464556,1.13305,-0.486672,-0.545528,-4.06171,0.184912,1.11498,0.307477,0.948758
82,463.707,1,22.5787,24.5457,11.2576,1.44737,0.0527833,1.08889,-0.486366,-0.0641952,-4.72211,0.196451,1.08675,0.299692,0.924735
83,470.358,1,22.3627,24.1915,12.1631,1.44744,0.0547643,1.17291,-0.481529,0.122114,-5.18738,0.194522,1.05923,0.292104,0.960518
84,465.042,1,22.0186,23.8143,11.0287,1.51009,0.0528097,1.18086,-0.471552,-1.17998,-4.67105,0.198243,1.03241,0.284707,0.936197
85,463.182,1,22.7252,24.0524,11.2729,1.5101,0.0522688,1.15286,-0.493308,-0.628249,-3.58836,0.193223,1.00627,0.277498,0.912492
86,461.906,1,22.6553,24.0134,12.0707,1.44288,0.0544426,1.03412,-0.497459,-1.2552,-3.74427,0.188331,1.00357,0.270472,0.905731
87,465.004,1,22.5495,24.3499,11.7284,1.40918,0.0601254,0.999173,-0.486965,-0.624005,-3.66285,0.183562,1.02996,0.263623,0.894099
88,457.37,1,22.6095,24.4352,11.7581,1.33872,0.0571191,1.06578,-0.494074,-0.0116413,-4.06514,0.181218,1.00388,0.256948,0.905997
89,451.975,1,22.3221,24.5167,12.2742,1.35142,0.0519013,1.06416,-0.488407,-0.701908,-4.64887,0.184546,1.01618,0.250442,0.924463
90,456.607,1,22.1519,24.5882,12.0044,1.37515,0.0519991,1.11884,-0.478012,-1.16856,-5.07278,0.191412,1.03812,0.244101,0.95671
91,452.033,1,22.2558,25.0647,11.2476,1.39938,0.04779,1.2044,-0.470846,-1.77912,-3.99326,0.187719,1.0791,0.238358,0.972961
92,458.455,1,22.7343,25.0773,12.3006,1.52345,0.0418692,1.05014,-0.491889,-0.842383,-3.45778,0.204243,1.29811,0.232322,0.963737
93,467.018,1,22.1746,24.6923,11.0472,1.5675,0.0498996,1.04279,-0.465276,-0.992922,-2.80379,0.199072,1.26524,0.22644,0.939335
94,470.729,1,22.0131,24.1723,11.3011,1.5156,0.0568086,1.012,-0.472137,0.915302,-3.95262,0.194147,1.2332,0.220706,0.91555
95,467.664,1,22.157,24.6864,11.6654,1.47304,0.0581518,1.01203,-0.475296,-1.35632,-4.02694,0.189231,1.20198,0.22667,0.892368
96,469.111,1,21.9596,24.6182,11.8968,1.32839,0.0625432,1.04427,-0.466385,-0.54015,-5.07866,0.187778,1.17154,0.254514,0.889334
97,466.238,1,22.171,24.3302,14.4582,1.36227,0.0592286,1.10967,-0.486419,-0.903747,-4.0318,0.186221,1.18443,0.24807,0.866815
98,472.347,1,22.7141,24.8354,13.9484,1.42889,0.0571269,1.1189,-0.505521,0.279401,-4.34358,0.189294,1.15444,0.276358,0.944124
99,468.719,1,22.175,24.2452,15.9014,1.42883,0.0536241,1.11447,-0.478798,0.522701,-4.34528,0.194183,1.1877,0.273926,0.920218
