V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
52.5468,0.00497682,0.96738,24.9596,0.0102184,0.965469,All
53.3276,0.00444206,0.971053,25.3371,0.00917826,0.969127,All
54.1084,0.00396046,0.974331,25.7147,0.00823685,0.972411,All
54.8892,0.00352749,0.977251,26.0922,0.00738605,0.975358,All
55.67,0.00313888,0.979851,26.4697,0.00661817,0.977998,All
56.4508,0.0027906,0.982163,26.8472,0.005926,0.980364,All
57.2316,0.00247891,0.984218,27.2247,0.0053028,0.982481,All
58.0124,0.00220033,0.986043,27.6022,0.00474231,0.984376,All
58.7933,0.00195165,0.987662,27.9797,0.00423872,0.986069,All
59.5741,0.00172992,0.989098,28.3572,0.00378667,0.987582,All
60.3549,0.00153242,0.99037,28.7347,0.00338125,0.988934,All
61.1357,0.00135668,0.991496,29.1123,0.00301793,0.990141,All
61.9165,0.00120045,0.992493,29.4898,0.00269258,0.991217,All
62.6973,0.00106167,0.993375,29.8673,0.00240143,0.992178,All
63.4781,0.00093851,0.994155,30.2448,0.00214106,0.993034,All
64.2589,0.00082928,0.994845,30.6223,0.00190834,0.993798,All
65.0397,0.000732476,0.995454,30.9998,0.00170045,0.994478,All
65.8206,0.000646737,0.995991,31.3773,0.00151484,0.995085,All
66.6014,0.000570846,0.996466,31.7548,0.00134919,0.995625,All
67.3822,0.000503708,0.996885,32.1324,0.00120142,0.996105,All
68.163,0.000444343,0.997255,32.5099,0.00106964,0.996534,All
68.9438,0.000391877,0.997581,32.8874,0.000952178,0.996915,All
69.7246,0.000345528,0.997868,33.2649,0.000847501,0.997254,All
70.5054,0.000304599,0.998122,33.6424,0.000754247,0.997556,All
71.2862,0.00026847,0.998345,34.0199,0.000671192,0.997825,All
72.067,0.000236589,0.998542,34.3974,0.000597236,0.998064,All
72.8479,0.000208464,0.998716,34.7749,0.000531397,0.998277,All
73.6287,0.000183661,0.998869,35.1525,0.000472795,0.998466,All
74.4095,0.000161792,0.999003,35.53,0.000420643,0.998635,All
75.1903,0.000142515,0.999122,35.9075,0.000374238,0.998785,All
75.9711,0.000125526,0.999226,36.285,0.000332952,0.998918,All
76.7519,0.000110557,0.999318,36.6625,0.000296223,0.999037,All
77.5327,9.73686e-05,0.9994,37.04,0.000263552,0.999142,All
78.3135,8.57514e-05,0.999471,37.4175,0.000234492,0.999236,All
79.0943,7.55194e-05,0.999534,37.795,0.000208646,0.99932,All
79.8752,6.65083e-05,0.999589,38.1725,0.000185659,0.999394,All
80.656,5.85732e-05,0.999638,38.5501,0.000165215,0.99946,All
81.4368,5.15861e-05,0.999681,38.9276,0.000147033,0.999519,All
82.2176,4.54341e-05,0.999719,39.3051,0.000130863,0.999571,All
82.9984,4.00176e-05,0.999752,39.6826,0.000116481,0.999618,All
83.7792,3.52488e-05,0.999781,40.0601,0.000103691,0.999659,All
84.56,3.10503e-05,0.999807,40.4376,9.23145e-05,0.999696,All
85.3408,2.73539e-05,0.99983,40.8151,8.21958e-05,0.999729,All
86.1216,2.40996e-05,0.99985,41.1926,7.31949e-05,0.999759,All
86.9025,2.12343e-05,0.999868,41.5702,6.5188e-05,0.999785,All
87.6833,1.87116e-05,0.999883,41.9477,5.80647e-05,0.999808,All
88.4641,1.64903e-05,0.999897,42.3252,5.17269e-05,0.999829,All
