iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
104,21.006,1,15.8973,43.4488,21.7629,15.2578,1.41275,0.0603403,0.228225,1.37464,1.11393e-07,0.60373
105,27.8426,1,15.6638,41.6315,21.7629,14.3561,1.4952,0.0607624,0.225542,1.31252,1.19902e-07,0.577137
106,33.796,1,15.7961,48.0667,21.7629,15.7288,1.48659,0.0574127,0.226106,1.43446,1.45513e-07,0.634513
107,32.9173,1,15.845,42.815,21.7629,15.1406,1.4582,0.0560256,0.229766,1.55692,1.47862e-07,0.616029
108,26.4097,1,15.7794,35.9186,21.7629,15.3431,1.45816,0.0539544,0.226374,1.40587,1.51884e-07,0.602684
109,23.3016,1,15.7944,33.4256,21.7629,15.4342,1.45811,0.0515678,0.227229,1.41043,1.49956e-07,0.599507
110,20.9709,1,15.8499,35.8949,21.7629,15.2147,1.40051,0.0515853,0.229079,1.49206,1.43364e-07,0.632512
111,14.0103,1,15.8126,33.5397,21.7629,15.0947,1.40052,0.0514332,0.228169,1.36502,1.29283e-07,0.59612
112,10.3311,1,15.9062,36.4119,21.7629,15.8108,1.44629,0.046129,0.234279,1.40913,1.26596e-07,0.581627
113,22.4249,1,15.921,37.6317,21.7629,15.7837,1.54616,0.0450449,0.247916,1.34394,1.38597e-07,0.62143
114,24.913,1,15.8766,44.3775,21.7629,16.0522,1.60556,0.0432204,0.235365,1.40537,1.40435e-07,0.615937
115,21.5041,1,15.7758,43.3308,21.7629,14.6484,1.5159,0.0448106,0.235287,1.47147,1.38258e-07,0.629088
116,5.35352,1,15.8406,37.6952,21.7629,15.4977,1.46606,0.0443221,0.23122,1.34284,1.20722e-07,0.55357
117,18.2436,1,15.7414,35.4438,21.7629,15.6448,1.53501,0.0440222,0.224438,1.45958,1.32175e-07,0.608302
118,20.7189,1,15.8878,39.7403,21.7629,15.6684,1.43506,0.0452937,0.227796,1.53539,1.62042e-07,0.64267
119,17.4118,1,15.9105,38.1588,21.7629,16.6947,1.46295,0.0451702,0.231965,1.45988,1.54188e-07,0.585391
120,25.713,1,15.7693,37.8998,21.7629,15.1968,1.51056,0.0492961,0.22941,1.45842,1.54007e-07,0.5676
121,20.5264,1,15.6097,40.1828,21.7629,15.848,1.51052,0.0465911,0.225257,1.45365,1.43952e-07,0.603739
122,17.0844,1,15.7097,42.8373,21.7629,15.9983,1.51049,0.0442323,0.232948,1.44658,1.30048e-07,0.61703
123,7.86404,1,15.7386,42.1575,21.7629,15.0441,1.42435,0.0443908,0.22841,1.50178,1.24266e-07,0.593811
124,15.4742,1,15.6633,46.065,21.7629,15.7357,1.42801,0.0505657,0.221868,1.57844,1.13788e-07,0.617503
125,17.8184,1,15.7111,39.3774,21.7629,15.8431,1.43921,0.0573581,0.219764,1.39135,1.07714e-07,0.597257
126,17.7616,1,15.744,41.8751,21.7629,15.5504,1.51757,0.0526652,0.219894,1.4187,1.11434e-07,0.558983
