iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
29,29.2027,1,13.4617,2.39196,28.1721,40.1961,0.621169,0.457069,0.25413,2.37786,0.190866,1.05507e-07
30,25.8507,1,13.48,2.81585,27.8265,40.1961,0.624231,0.457069,0.243113,2.25712,0.182614,1.04396e-07
31,19.756,1,13.5979,2.46717,28.05,40.1961,0.584432,0.457069,0.267123,2.38957,0.187704,1.09925e-07
32,24.5369,1,13.5478,2.26062,27.9295,40.1961,0.592209,0.457069,0.260339,2.57043,0.209786,9.86332e-08
33,23.0636,1,13.4887,2.65527,27.9768,40.1961,0.589628,0.457069,0.269106,2.42109,0.213704,9.61781e-08
34,22.0751,1,13.6555,2.97363,28.2192,40.1961,0.604206,0.457069,0.270543,2.14817,0.209088,9.63202e-08
35,17.8235,1,13.5634,2.68984,27.6182,40.1961,0.625802,0.457069,0.262545,2.09705,0.175053,8.71088e-08
36,21.7422,1,13.4707,2.72711,28.1704,40.1961,0.625802,0.457069,0.267157,2.03503,0.185914,9.10333e-08
37,21.2041,1,13.5208,2.44573,29.3062,40.1961,0.627087,0.457069,0.258311,2.13413,0.209308,7.85315e-08
38,27.5699,1,13.4466,2.21181,29.0212,40.1961,0.631822,0.457069,0.256434,2.30375,0.200911,8.65606e-08
39,26.8355,1,13.3303,2.25777,29.5826,40.1961,0.632862,0.457069,0.249367,2.27515,0.202418,8.34158e-08
40,37.708,1,13.494,2.22054,28.6362,40.1961,0.631256,0.457069,0.263061,2.55129,0.217618,9.86251e-08
41,40.6904,1,13.5856,1.97131,28.1386,40.1961,0.639076,0.45604,0.251392,2.56544,0.215182,1.13352e-07
42,37.2943,1,13.5893,2.60735,27.7085,40.1961,0.637511,0.45604,0.264356,2.2583,0.208868,1.15687e-07
43,40.1306,1,13.5061,2.59809,27.6508,40.1961,0.641082,0.45604,0.260924,2.21821,0.20638,1.24901e-07
44,46.6582,1,13.5017,2.8033,28.3152,40.1961,0.650592,0.45604,0.256607,2.15787,0.223995,1.36646e-07
45,44.3572,1,13.3593,2.47776,27.9586,40.1961,0.633978,0.45604,0.244156,2.30949,0.232145,1.32152e-07
46,27.26,1,13.6196,2.78976,28.5209,40.1961,0.597113,0.45604,0.272854,2.07755,0.205518,1.30655e-07
47,30.049,1,13.6768,2.79871,28,40.1961,0.612977,0.45604,0.276341,2.16898,0.209966,1.13153e-07
48,24.325,1,13.646,3.12784,28.0951,40.1961,0.622647,0.45604,0.274656,2.04738,0.18839,1.01791e-07
49,25.86,1,13.6199,2.586,28.631,40.1961,0.623663,0.45604,0.259044,2.08628,0.203072,1.03042e-07
50,23.2269,1,13.4834,2.63626,29.0785,40.1961,0.600686,0.45604,0.268001,2.04773,0.210713,1.05318e-07
51,21.2954,1,13.278,2.81141,28.73,40.1961,0.591856,0.45604,0.264981,1.98594,0.230194,9.83703e-08
52,18.6633,1,13.5299,2.86554,28.9292,40.1961,0.589163,0.45604,0.254766,1.93283,0.232503,9.80024e-08
53,16.2415,1,13.3803,2.70409,29.4576,40.1961,0.583899,0.45604,0.250407,1.81174,0.228711,1.04921e-07
54,19.3742,1,13.3134,2.9037,29.2334,40.1961,0.591338,0.45604,0.255412,1.79213,0.22475,1.07435e-07
55,19.2357,1,13.4122,3.40048,28.0627,40.1961,0.608585,0.45604,0.263098,1.78372,0.194085,1.05819e-07
56,18.4664,1,13.4429,3.31101,28.404,40.1961,0.610324,0.45604,0.258531,1.76546,0.191564,1.08334e-07
57,20.0573,1,13.3474,3.59225,28.4215,40.1961,0.601974,0.45604,0.267449,1.85312,0.184362,1.13304e-07
58,15.9086,1,13.5202,3.06894,29.1078,40.1961,0.598112,0.45604,0.267502,1.89248,0.202745,9.52636e-08
59,8.92296,1,13.6042,3.09836,28.6499,40.1961,0.600456,0.45604,0.259481,1.91853,0.198677,7.81701e-08
60,10.0219,1,13.6616,2.90167,28.22,40.1961,0.605436,0.45604,0.262782,2.05987,0.190185,7.6002e-08
61,4.62526,1,13.5693,2.97277,28.3421,40.1961,0.634752,0.440133,0.255361,2.01445,0.183731,6.73565e-08
62,8.68942,1,13.6156,3.1297,28.6478,40.1961,0.63855,0.440133,0.254132,2.18634,0.181649,6.82211e-08
63,11.7024,1,13.4858,2.41717,28.0511,40.1961,0.643803,0.440133,0.263463,2.30799,0.183565,6.57904e-08
64,4.87623,1,13.5053,2.92549,27.8409,40.1961,0.624078,0.440133,0.269864,2.20461,0.195088,6.12481e-08
65,6.94579,1,13.5482,2.82321,28.0942,40.1961,0.613872,0.440133,0.275202,2.07846,0.210206,7.03991e-08
66,4.86353,1,13.3798,2.31252,28.7622,40.1961,0.598885,0.440133,0.263544,2.24042,0.210397,6.88233e-08
67,-0.186065,1,13.4549,2.77897,28.6017,40.1961,0.592298,0.440133,0.274598,2.23868,0.197693,6.49258e-08
68,3.90214,1,13.4196,2.75034,28.5928,40.1961,0.612554,0.440133,0.257938,2.1404,0.188577,6.9671e-08
69,12.0825,1,13.5421,2.94748,28.5488,40.1961,0.625304,0.440133,0.269762,2.13199,0.20329,7.65753e-08
70,7.40495,1,13.4355,2.83115,28.4911,40.1961,0.602212,0.440133,0.265695,2.24299,0.18652,8.27074e-08
71,4.62313,1,13.5761,2.80161,28.0591,40.1961,0.608118,0.440133,0.27423,2.08054,0.184421,8.01992e-08
72,14.2498,1,13.4632,2.77819,27.9935,40.1961,0.640325,0.440133,0.26741,2.10032,0.177252,8.23611e-08
73,20.5759,1,13.6507,2.72924,28.4367,40.1961,0.639142,0.440133,0.268282,2.15654,0.19508,9.60459e-08
74,21.7614,1,13.528,2.93949,28.6856,40.1961,0.624994,0.440133,0.269274,2.16545,0.197129,1.04087e-07
75,19.3731,1,13.3833,2.93556,28.5578,40.1961,0.623171,0.440133,0.261507,2.12601,0.19916,9.99687e-08
76,22.3631,1,13.5809,2.70769,28.7549,40.1961,0.641237,0.440133,0.265047,2.26973,0.182561,9.85061e-08
77,15.3931,1,13.4499,3.50993,28.1869,40.1961,0.615598,0.440133,0.253021,2.13355,0.200443,9.43473e-08
78,5.80639,1,13.505,3.32042,28.1201,40.1961,0.590672,0.440133,0.257406,2.20332,0.18137,9.44054e-08
79,3.87765,1,13.338,2.93696,28.0961,40.1961,0.6011,0.440133,0.250067,2.19089,0.186204,8.05596e-08
80,10.8103,1,13.4925,3.21726,27.7215,40.1961,0.616307,0.440133,0.263724,2.22973,0.200326,7.81689e-08
81,11.7814,1,13.6042,3.31457,28.4225,40.1961,0.60855,0.445041,0.27069,2.14232,0.197436,8.15317e-08
82,9.83339,1,13.5656,2.7059,28.1475,40.1961,0.619264,0.445041,0.254244,2.23528,0.198079,7.16724e-08
83,17.1392,1,13.4549,2.62044,27.8311,40.1961,0.628675,0.445041,0.255216,2.3127,0.20361,7.72597e-08
84,15.5825,1,13.3973,2.76335,27.8735,40.1961,0.637902,0.445041,0.253791,2.27872,0.200687,6.73557e-08
85,14.8534,1,13.506,2.29355,28.668,40.1961,0.627659,0.445041,0.262405,2.33464,0.210132,6.67272e-08
86,-1.78731,1,13.4613,2.28781,29.1102,40.1961,0.605843,0.445041,0.26804,2.15939,0.192707,5.56924e-08
87,-2.11614,1,13.5585,2.34965,29.043,40.1961,0.610292,0.445041,0.270652,2.06034,0.199577,5.32745e-08
88,-1.05692,1,13.6587,2.24922,28.811,40.1961,0.612717,0.445041,0.262707,2.11049,0.210197,5.3269e-08
89,-10.8755,1,13.4864,2.94522,28.4869,40.1961,0.588961,0.445041,0.257314,1.98103,0.212383,4.9065e-08
90,-16.158,1,13.4669,2.83364,28.2682,40.1961,0.58368,0.445041,0.262496,1.91635,0.211376,4.54651e-08
91,-8.69963,1,13.4334,2.95183,28.1691,40.1961,0.600487,0.445041,0.26034,2.02199,0.208845,4.66005e-08
92,-3.9638,1,13.4953,2.82969,28.332,40.1961,0.600043,0.445041,0.267971,2.10178,0.194898,5.46501e-08
93,-8.87281,1,13.3848,2.7346,28.5593,40.1961,0.589355,0.445041,0.257031,2.15858,0.196397,4.97215e-08
94,-7.22186,1,13.4869,2.90167,28.2136,40.1961,0.596745,0.445041,0.262749,2.2118,0.19122,5.01682e-08
95,-9.16209,1,13.4994,3.46819,28.0727,40.1961,0.598417,0.445041,0.262682,1.96951,0.194991,5.0525e-08
96,-15.6075,1,13.4226,3.64266,28.2627,40.1961,0.568192,0.445041,0.258409,1.94446,0.200855,5.30824e-08
97,-17.8369,1,13.4603,3.30904,28.0135,40.1961,0.590512,0.445041,0.254862,2.13428,0.183306,4.10945e-08
98,-11.2949,1,13.4679,2.87577,27.5812,40.1961,0.612871,0.445041,0.257961,2.25466,0.184442,3.90182e-08
99,-18.3677,1,13.4649,3.54958,28.013,40.1961,0.589939,0.445041,0.258896,1.93012,0.197611,4.07433e-08
100,-15.1298,1,13.4332,3.23139,28.6952,40.1961,0.586568,0.445041,0.258141,1.92179,0.206959,4.55579e-08
101,-13.8371,1,13.41,3.20251,28.6154,40.1961,0.546874,0.470924,0.267208,1.83398,0.220087,4.35632e-08
102,-9.37082,1,13.3828,3.39531,28.3414,40.1961,0.568171,0.470924,0.263261,1.71889,0.204362,4.61018e-08
103,-6.59024,1,13.5513,3.09422,28.4511,40.1961,0.582558,0.470924,0.259293,1.80979,0.209128,4.34204e-08
104,-4.39635,1,13.5243,3.01168,28.7525,40.1961,0.597454,0.470924,0.250004,2.00262,0.203083,3.7947e-08
105,-1.89536,1,13.5901,3.27466,28.2947,40.1961,0.59992,0.470924,0.272442,1.86301,0.195015,4.17402e-08
106,-8.84515,1,13.4929,3.18136,29.1759,40.1961,0.579059,0.470924,0.259829,1.8644,0.187064,4.29614e-08
107,-13.7493,1,13.5002,2.9476,28.9592,40.1961,0.560031,0.470924,0.259663,1.83749,0.185133,4.64643e-08
108,-21.7098,1,13.5896,2.97882,28.5489,40.1961,0.539398,0.470924,0.266502,1.8872,0.202132,4.03894e-08
109,-19.2943,1,13.481,3.14619,28.5016,40.1961,0.560416,0.470924,0.269997,1.93624,0.201275,3.18009e-08
110,-7.04238,1,13.4555,3.70777,27.9003,40.1961,0.583966,0.470924,0.265294,1.87722,0.216704,3.70956e-08
111,0.825479,1,13.2909,3.34078,28.071,40.1961,0.6036,0.470924,0.269585,1.98071,0.21405,3.66855e-08
112,0.27416,1,13.4841,3.62664,27.9803,40.1961,0.60764,0.470924,0.258832,1.89481,0.209216,3.91256e-08
113,-5.16105,1,13.5187,3.67235,28.3933,40.1961,0.583496,0.470924,0.265008,1.88907,0.196943,4.36404e-08
114,-1.59591,1,13.4656,3.23501,28.587,40.1961,0.596499,0.470924,0.261595,1.84519,0.19087,4.65254e-08
115,-0.680866,1,13.3891,3.23394,28.0609,40.1961,0.585111,0.470924,0.266857,1.86608,0.192415,5.13928e-08
116,2.79429,1,13.4096,2.99126,28.4858,40.1961,0.583627,0.470924,0.257363,1.87514,0.209348,5.5502e-08
117,2.21198,1,13.5156,2.94763,28.9623,40.1961,0.586954,0.470924,0.266773,1.93534,0.218704,4.73913e-08
118,-13.6622,1,13.4687,2.80665,28.6732,40.1961,0.554061,0.470924,0.263663,1.96109,0.19793,4.36351e-08
119,-6.25441,1,13.45,3.11664,28.4787,40.1961,0.58258,0.470924,0.257224,1.96533,0.186654,4.39169e-08
120,-2.91705,1,13.5502,3.35814,28.3581,40.1961,0.586914,0.470924,0.268136,2.0333,0.183439,4.57986e-08
121,-4.90349,1,13.5548,2.71134,28.076,40.1961,0.577511,0.474468,0.263159,2.2159,0.172382,4.57154e-08
122,-3.14733,1,13.5305,2.46233,27.8384,40.1961,0.55934,0.474468,0.262227,2.41083,0.186824,4.87466e-08
123,1.47184,1,13.5881,1.94477,27.9891,40.1961,0.572648,0.474468,0.263511,2.55827,0.20602,4.22176e-08
124,5.30096,1,13.5698,2.228,28.4341,40.1961,0.572715,0.474468,0.263654,2.54905,0.216537,4.61263e-08
125,10.0368,1,13.5205,2.18676,28.3638,40.1961,0.577263,0.474468,0.272503,2.62866,0.209447,4.9105e-08
126,6.78082,1,13.5133,2.6425,28.3065,40.1961,0.584703,0.474468,0.271706,2.39587,0.189273,4.82653e-08
127,-3.06062,1,13.3381,2.67673,28.0688,40.1961,0.570779,0.474468,0.264854,2.47372,0.170621,4.36778e-08
128,0.25936,1,13.6384,2.0906,28.4724,40.1961,0.586327,0.474468,0.258635,2.41459,0.189934,4.27251e-08
129,-2.19231,1,13.5292,2.18698,28.4833,40.1961,0.587918,0.474468,0.245821,2.35228,0.192923,3.95562e-08
130,-1.06352,1,13.3986,2.71875,27.7816,40.1961,0.579399,0.474468,0.245792,2.37857,0.191333,4.25385e-08
131,-3.57065,1,13.5859,2.43234,27.4541,40.1961,0.575182,0.474468,0.265117,2.58201,0.184971,3.84528e-08
132,-7.32852,1,13.5071,2.68108,27.4207,40.1961,0.564189,0.474468,0.255871,2.44065,0.180162,4.10879e-08
133,-9.70142,1,13.5082,1.96655,27.5581,40.1961,0.550982,0.474468,0.258428,2.55682,0.18329,4.31133e-08
134,-6.29634,1,13.3887,2.00048,27.9271,40.1961,0.551934,0.474468,0.268355,2.64499,0.19118,4.04079e-08
135,-11.8152,1,13.5645,2.23823,28.0322,40.1961,0.549118,0.474468,0.264829,2.48702,0.180178,4.11319e-08
136,-7.82543,1,13.4439,3.17336,27.7138,40.1961,0.550085,0.474468,0.271032,2.09193,0.186775,4.81636e-08
137,-2.5304,1,13.6172,3.16369,28.1178,40.1961,0.576128,0.474468,0.258307,2.13776,0.18468,4.78702e-08
138,-3.19279,1,13.5997,2.55127,28.5716,40.1961,0.554925,0.474468,0.264231,2.38227,0.183738,5.16617e-08
139,0.141114,1,13.4812,2.66834,28.653,40.1961,0.565694,0.474468,0.254822,2.52478,0.192332,4.69514e-08
140,1.49337,1,13.4712,2.58317,28.2977,40.1961,0.574382,0.474468,0.245688,2.28633,0.199208,4.92361e-08
141,5.53973,1,13.592,2.49264,28.4123,40.1961,0.601371,0.458071,0.259912,2.33092,0.213724,5.01538e-08
142,-4.914,1,13.6139,2.49883,28.5497,40.1961,0.569728,0.458071,0.260377,2.37168,0.200731,5.21453e-08
143,0.656644,1,13.4616,2.11637,28.2268,40.1961,0.575249,0.458071,0.265301,2.4914,0.204458,5.34765e-08
144,-5.67112,1,13.5629,2.2009,28.5668,40.1961,0.566042,0.458071,0.255172,2.40117,0.212566,5.06469e-08
145,4.94353,1,13.429,2.36405,28.7602,40.1961,0.593197,0.458071,0.261128,2.17431,0.21398,5.66807e-08
146,4.81376,1,13.4301,3.58008,29.0991,40.1961,0.600283,0.458071,0.267419,1.95764,0.20596,5.62527e-08
147,3.07432,1,13.5455,3.40439,28.4563,40.1961,0.59018,0.458071,0.262836,1.97139,0.210912,6.05444e-08
148,11.5736,1,13.3614,3.55582,28.1671,40.1961,0.611706,0.458071,0.269512,1.91191,0.220529,5.96206e-08
149,4.36284,1,13.4484,3.30798,28.7416,40.1961,0.589879,0.458071,0.263676,2.0191,0.21637,5.90942e-08
150,3.94093,1,13.4459,3.08151,28.5054,40.1961,0.603458,0.458071,0.265311,1.99306,0.202707,5.50083e-08
151,3.20179,1,13.455,3.10872,28.9345,40.1961,0.601493,0.458071,0.252201,1.9218,0.200055,6.02873e-08
152,6.80034,1,13.5528,3.10308,28.7621,40.1961,0.598839,0.458071,0.266817,1.85051,0.204262,7.1028e-08
153,1.64107,1,13.6499,3.61395,28.3568,40.1961,0.598698,0.458071,0.264748,1.87432,0.194741,6.244e-08
154,-0.46277,1,13.6554,2.69219,28.5404,40.1961,0.593831,0.458071,0.259979,2.25288,0.199953,5.10815e-08
155,-7.49268,1,13.4361,2.65922,28.6512,40.1961,0.579805,0.458071,0.246965,2.20415,0.197657,4.66952e-08
156,-2.96775,1,13.4355,2.77693,28.2054,40.1961,0.597044,0.458071,0.262719,2.10648,0.200519,4.47675e-08
157,-2.07343,1,13.3745,3.21815,28.1293,40.1961,0.596353,0.458071,0.265177,2.13956,0.202047,4.50358e-08
158,2.19657,1,13.4507,2.68998,28.2649,40.1961,0.604607,0.458071,0.250283,2.09639,0.211863,4.99305e-08
159,0.406899,1,13.4985,2.34586,28.4795,40.1961,0.603024,0.458071,0.259855,2.33281,0.206213,4.35253e-08
160,-5.50226,1,13.4688,2.58154,28.2558,40.1961,0.590295,0.458071,0.269889,2.23711,0.189346,4.34544e-08
161,-17.6335,1,13.5539,2.62527,28.2594,40.1961,0.501693,0.50504,0.260406,2.20795,0.177723,3.85988e-08
162,-17.3317,1,13.5742,2.57448,28.413,40.1961,0.499318,0.50504,0.25637,2.34256,0.164556,4.19884e-08
163,-7.83196,1,13.4447,2.20959,28.3288,40.1961,0.515805,0.50504,0.241986,2.48829,0.17859,4.22449e-08
164,1.96725,1,13.5785,2.21422,28.7307,40.1961,0.535371,0.50504,0.2596,2.47657,0.18068,4.39302e-08
165,1.80076,1,13.419,2.341,27.9869,40.1961,0.54073,0.50504,0.258962,2.43892,0.1735,4.27624e-08
166,-4.56022,1,13.5727,1.94151,27.9448,40.1961,0.526876,0.50504,0.264886,2.6103,0.196086,3.54588e-08
167,-5.95829,1,13.3946,1.75825,28.9211,40.1961,0.524396,0.50504,0.25641,2.74156,0.197072,3.15906e-08
168,-8.44849,1,13.4483,1.79556,28.8125,40.1961,0.525795,0.50504,0.257376,2.70037,0.203576,2.88145e-08
169,-21.1742,1,13.556,1.89744,28.5864,40.1961,0.50502,0.50504,0.261112,2.74391,0.185517,2.5642e-08
170,-29.6829,1,13.5422,2.33354,28.6487,40.1961,0.488774,0.50504,0.265183,2.42674,0.190918,2.56995e-08
171,-22.183,1,13.5187,2.50773,28.5744,40.1961,0.491601,0.50504,0.271416,2.58639,0.201992,2.68892e-08
172,-15.5347,1,13.503,2.06544,28.422,40.1961,0.522667,0.50504,0.259207,2.50395,0.191061,2.80398e-08
173,-20.3635,1,13.4772,2.26977,28.0378,40.1961,0.511265,0.50504,0.25131,2.43087,0.18983,2.74794e-08
174,-16.3674,1,13.474,2.09089,28.1738,40.1961,0.510549,0.50504,0.250415,2.61049,0.199513,2.8151e-08
175,-23.0825,1,13.2566,2.40931,28.2263,40.1961,0.506786,0.50504,0.248514,2.36156,0.188126,2.63405e-08
176,-15.788,1,13.5128,2.64993,28.3622,40.1961,0.529603,0.50504,0.260079,2.31523,0.206113,2.48931e-08
177,-15.3585,1,13.4735,2.58849,28.6694,40.1961,0.533421,0.50504,0.254189,2.45246,0.177874,2.64105e-08
178,-17.7083,1,13.3992,2.31189,28.0724,40.1961,0.522078,0.50504,0.264222,2.45536,0.169046,2.74169e-08
179,-19.1653,1,13.4795,2.76471,27.8921,40.1961,0.508315,0.50504,0.263192,2.51915,0.175513,2.93732e-08
180,-25.3284,1,13.4199,2.16764,28.0643,40.1961,0.493012,0.50504,0.257578,2.5901,0.183875,2.731e-08
181,-27.3386,1,13.4456,1.90324,28.132,40.1961,0.532478,0.482585,0.260437,2.5271,0.196567,2.30659e-08
182,-19.3764,1,13.4308,1.9733,28.0975,40.1961,0.553637,0.482585,0.256412,2.48988,0.20913,2.29485e-08
183,-19.4507,1,13.3079,2.15403,28.2231,40.1961,0.563692,0.482585,0.26002,2.34468,0.211683,2.03806e-08
184,-23.0833,1,13.3477,2.13325,28.404,40.1961,0.539345,0.482585,0.260614,2.4389,0.208182,2.26337e-08
185,-13.2608,1,13.5426,2.60182,28.8474,40.1961,0.584729,0.482585,0.262356,2.34125,0.188987,2.35115e-08
186,-23.1594,1,13.5387,2.703,28.5161,40.1961,0.553597,0.482585,0.265265,2.32357,0.198486,2.20678e-08
187,-28.7967,1,13.5179,3.4023,28.9202,40.1961,0.531777,0.482585,0.268109,2.09178,0.237856,2.08294e-08
188,-41.9896,1,13.5634,3.21832,28.7447,40.1961,0.517235,0.482585,0.263685,1.90888,0.21072,1.98946e-08
189,-37.0705,1,13.6038,3.3525,29.3922,40.1961,0.52903,0.482585,0.259511,1.91089,0.220402,1.97945e-08
190,-24.8682,1,13.4209,3.09424,29.0435,40.1961,0.546787,0.482585,0.262626,1.91256,0.21072,2.40895e-08
191,-27.8712,1,13.4736,3.15752,28.5287,40.1961,0.547928,0.482585,0.25593,2.01136,0.204126,2.27873e-08
192,-24.9686,1,13.5945,2.5444,28.4194,40.1961,0.542792,0.482585,0.269789,2.17183,0.232592,2.16692e-08
193,-26.9613,1,13.4543,2.74879,28.313,40.1961,0.541269,0.482585,0.256404,2.13246,0.231838,2.14845e-08
194,-31.4938,1,13.6399,2.95121,28.8704,40.1961,0.539307,0.482585,0.273599,2.01001,0.22583,1.99152e-08
195,-30.2898,1,13.5421,3.06484,28.4183,40.1961,0.538988,0.482585,0.268727,2.05687,0.222501,2.02736e-08
196,-42.1948,1,13.4559,3.16977,28.0921,40.1961,0.51992,0.482585,0.255531,2.02366,0.208224,1.89149e-08
197,-34.248,1,13.5404,2.89414,28.0797,40.1961,0.538714,0.482585,0.258045,2.18533,0.213757,1.81354e-08
198,-40.663,1,13.5158,2.55501,28.8079,40.1961,0.527425,0.482585,0.259551,2.24572,0.200855,1.70991e-08
199,-43.8552,1,13.4548,3.47312,28.4458,40.1961,0.537783,0.482585,0.259671,1.96323,0.194493,1.59158e-08
200,-43.3152,1,13.6214,3.35451,28.1806,40.1961,0.533351,0.482585,0.261726,2.09931,0.212946,1.51425e-08
201,-40.3339,1,13.6148,3.35487,28.5662,40.1961,0.579883,0.455679,0.262878,2.02807,0.223732,1.56438e-08
202,-46.2659,1,13.5102,2.53937,28.7721,40.1961,0.566379,0.455679,0.26238,2.13811,0.222079,1.49012e-08
203,27.9445,1,13.3873,2.71883,28.8975,40.1961,0.590802,0.455679,0.259672,1.91892,0.221115,1.39525e-07
204,32.1473,1,13.3782,3.25104,28.5152,40.1961,0.598254,0.455679,0.267337,1.93369,0.203854,1.57017e-07
205,30.0642,1,13.4081,3.65652,27.7028,40.1961,0.581189,0.455679,0.262673,2.0894,0.195279,1.70326e-07
206,31.2897,1,13.4208,3.19292,28.1554,40.1961,0.600622,0.455679,0.255512,2.00638,0.189401,1.62438e-07
207,39.3138,1,13.5686,3.50018,27.6848,40.1961,0.624492,0.455679,0.258564,2.04068,0.182781,1.75992e-07
208,34.8932,1,13.389,4.24692,27.7516,40.1961,0.617546,0.455679,0.257733,1.94313,0.171682,1.64863e-07
209,30.3016,1,13.4814,3.72845,28.1589,40.1961,0.602321,0.455679,0.272667,1.9131,0.180673,1.60753e-07
210,28.0493,1,13.5317,3.34908,28.2591,40.1961,0.603712,0.455679,0.263591,1.87372,0.189515,1.54286e-07
211,27.815,1,13.5426,2.92518,28.6007,40.1961,0.584907,0.455679,0.258472,2.0297,0.206328,1.57781e-07
212,30.2205,1,13.3981,3.21066,28.1625,40.1961,0.598437,0.455679,0.272544,2.02006,0.185253,1.53452e-07
213,25.7709,1,13.5429,4.02162,28.1868,40.1961,0.593537,0.455679,0.269397,1.90144,0.185287,1.48387e-07
214,26.0377,1,13.5453,3.82851,28.1898,40.1961,0.595709,0.455679,0.260858,1.88535,0.191594,1.47166e-07
215,19.0215,1,13.4257,3.61121,27.6478,40.1961,0.574734,0.455679,0.258557,1.90269,0.186425,1.5012e-07
216,25.4295,1,13.6156,3.38009,28.0632,40.1961,0.609185,0.455679,0.26016,1.93074,0.183295,1.35337e-07
217,25.8033,1,13.6086,3.21066,28.2366,40.1961,0.60732,0.455679,0.253585,2.0335,0.187236,1.3263e-07
218,21.0414,1,13.5844,3.15773,28.2236,40.1961,0.590828,0.455679,0.257723,2.08718,0.18637,1.24849e-07
219,27.38,1,13.5024,3.2236,28.6284,40.1961,0.594021,0.455679,0.261917,2.08566,0.203222,1.34614e-07
220,23.1548,1,13.5047,3.01205,28.3532,40.1961,0.584536,0.455679,0.267034,2.02876,0.190521,1.42628e-07
221,21.033,1,13.5027,3.08902,28.0345,40.1961,0.607433,0.439193,0.256769,1.97112,0.199962,1.39582e-07
222,15.3104,1,13.4409,3.53812,27.9745,40.1961,0.607433,0.439193,0.265116,1.8564,0.201483,1.14486e-07
223,18.4722,1,13.4601,3.63723,28.4779,40.1961,0.629096,0.439193,0.260284,1.81489,0.206299,1.05934e-07
