trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
119.433,13.6287,13.3924,0.939237,13.6287,13.3924,119.433,3.2129,3.29375,0.939237,3.2129,3.29375,119.433,3.22283,3.23214,0.939237,3.22283,3.23214,119.433,2.41271,2.62983,0.939237,2.41271,2.62983,All
120.067,14.3668,13.4405,0.944217,14.3668,13.4405,120.067,3.29644,3.28444,0.944217,3.29644,3.28444,120.067,3.20672,3.22846,0.944217,3.20672,3.22846,120.067,2.54125,2.62285,0.944217,2.54125,2.62285,All
120.7,15.1086,13.4885,0.949198,15.1086,13.4885,120.7,3.37983,3.27513,0.949198,3.37983,3.27513,120.7,3.19087,3.22477,0.949198,3.19087,3.22477,120.7,2.67335,2.61587,0.949198,2.67335,2.61587,All
121.333,15.8505,13.5365,0.954178,15.8505,13.5365,121.333,3.46322,3.26582,0.954178,3.46322,3.26582,121.333,3.17502,3.22109,0.954178,3.17502,3.22109,121.333,2.80545,2.60888,0.954178,2.80545,2.60888,All
121.967,16.1204,13.5846,0.959159,16.1204,13.5846,121.967,3.50076,3.25651,0.959159,3.50076,3.25651,121.967,3.16715,3.21741,0.959159,3.16715,3.21741,121.967,2.86018,2.6019,0.959159,2.86018,2.6019,All
122.6,15.7545,13.6326,0.96414,15.7545,13.6326,122.6,3.48998,3.2472,0.96414,3.48998,3.2472,122.6,3.16604,3.21372,0.96414,3.16604,3.21372,122.6,2.7947,2.59491,0.96414,2.7947,2.59491,All
123.233,15.3886,13.6806,0.96912,15.3886,13.6806,123.233,3.4792,3.2379,0.96912,3.4792,3.2379,123.233,3.16493,3.21004,0.96912,3.16493,3.21004,123.233,2.72923,2.58793,0.96912,2.72923,2.58793,All
123.867,15.0227,13.7287,0.974101,15.0227,13.7287,123.867,3.46842,3.22859,0.974101,3.46842,3.22859,123.867,3.16382,3.20636,0.974101,3.16382,3.20636,123.867,2.66375,2.58094,0.974101,2.66375,2.58094,All
124.5,14.6568,13.7767,0.979081,14.6568,13.7767,124.5,3.45764,3.21928,0.979081,3.45764,3.21928,124.5,3.16272,3.20267,0.979081,3.16272,3.20267,124.5,2.59828,2.57396,0.979081,2.59828,2.57396,All
125.133,14.2909,13.8247,0.984062,14.2909,13.8247,125.133,3.44686,3.20997,0.984062,3.44686,3.20997,125.133,3.16161,3.19899,0.984062,3.16161,3.19899,125.133,2.5328,2.56697,0.984062,2.5328,2.56697,All
125.767,13.925,13.8728,0.989043,13.925,13.8728,125.767,3.43607,3.20066,0.989043,3.43607,3.20066,125.767,3.1605,3.19531,0.989043,3.1605,3.19531,125.767,2.46733,2.55999,0.989043,2.46733,2.55999,All
126.4,13.5591,13.9208,0.994023,13.5591,13.9208,126.4,3.42529,3.19135,0.994023,3.42529,3.19135,126.4,3.15939,3.19162,0.994023,3.15939,3.19162,126.4,2.40185,2.553,0.994023,2.40185,2.553,All
127.033,13.1932,13.9688,0.999004,13.1932,13.9688,127.033,3.41451,3.18204,0.999004,3.41451,3.18204,127.033,3.15829,3.18794,0.999004,3.15829,3.18794,127.033,2.33638,2.54602,0.999004,2.33638,2.54602,All
127.667,12.8273,14.0169,1.00398,12.8273,14.0169,127.667,3.40373,3.17273,1.00398,3.40373,3.17273,127.667,3.15718,3.18425,1.00398,3.15718,3.18425,127.667,2.2709,2.53904,1.00398,2.2709,2.53904,All
128.3,12.4614,14.0649,1.00897,12.4614,14.0649,128.3,3.39295,3.16342,1.00897,3.39295,3.16342,128.3,3.15607,3.18057,1.00897,3.15607,3.18057,128.3,2.20543,2.53205,1.00897,2.20543,2.53205,All
128.933,12.0955,14.1129,1.01395,12.0955,14.1129,128.933,3.38217,3.15411,1.01395,3.38217,3.15411,128.933,3.15497,3.17689,1.01395,3.15497,3.17689,128.933,2.13995,2.52507,1.01395,2.13995,2.52507,All
129.567,11.9977,14.161,1.01893,11.9977,14.161,129.567,3.36761,3.1448,1.01893,3.36761,3.1448,129.567,3.1409,3.1732,1.01893,3.1409,3.1732,129.567,2.09764,2.51808,1.01893,2.09764,2.51808,All
130.2,11.9313,14.209,1.02391,11.9313,14.209,130.2,3.35261,3.13549,1.02391,3.35261,3.13549,130.2,3.1253,3.16952,1.02391,3.1253,3.16952,130.2,2.05805,2.5111,1.02391,2.05805,2.5111,All
130.833,11.865,14.257,1.02889,11.865,14.257,130.833,3.33761,3.12618,1.02889,3.33761,3.12618,130.833,3.10971,3.16584,1.02889,3.10971,3.16584,130.833,2.01846,2.50411,1.02889,2.01846,2.50411,All
131.467,11.7986,14.3051,1.03387,11.7986,14.3051,131.467,3.32261,3.11687,1.03387,3.32261,3.11687,131.467,3.09411,3.16215,1.03387,3.09411,3.16215,131.467,1.97887,2.49713,1.03387,1.97887,2.49713,All
132.1,11.7323,14.3531,1.03885,11.7323,14.3531,132.1,3.30761,3.10756,1.03885,3.30761,3.10756,132.1,3.07852,3.15847,1.03885,3.07852,3.15847,132.1,1.93928,2.49014,1.03885,1.93928,2.49014,All
132.733,11.6659,14.4011,1.04383,11.6659,14.4011,132.733,3.29261,3.09825,1.04383,3.29261,3.09825,132.733,3.06293,3.15479,1.04383,3.06293,3.15479,132.733,1.89969,2.48316,1.04383,1.89969,2.48316,All
133.367,11.5996,14.4492,1.04881,11.5996,14.4492,133.367,3.2776,3.08894,1.04881,3.2776,3.08894,133.367,3.04733,3.1511,1.04881,3.04733,3.1511,133.367,1.86011,2.47617,1.04881,1.86011,2.47617,All
134,11.5333,14.4972,1.05379,11.5333,14.4972,134,3.2626,3.07963,1.05379,3.2626,3.07963,134,3.03174,3.14742,1.05379,3.03174,3.14742,134,1.82052,2.46919,1.05379,1.82052,2.46919,All
134.633,11.4669,14.5452,1.05877,11.4669,14.5452,134.633,3.2476,3.07032,1.05877,3.2476,3.07032,134.633,3.01614,3.14374,1.05877,3.01614,3.14374,134.633,1.78093,2.46221,1.05877,1.78093,2.46221,All
135.267,11.4006,14.5933,1.06375,11.4006,14.5933,135.267,3.2326,3.06101,1.06375,3.2326,3.06101,135.267,3.00055,3.14005,1.06375,3.00055,3.14005,135.267,1.74134,2.45522,1.06375,1.74134,2.45522,All
135.9,11.3342,14.6413,1.06873,11.3342,14.6413,135.9,3.2176,3.0517,1.06873,3.2176,3.0517,135.9,2.98496,3.13637,1.06873,2.98496,3.13637,135.9,1.70175,2.44824,1.06873,1.70175,2.44824,All
136.533,12.2071,14.6893,1.07371,12.2071,14.6893,136.533,2.95952,3.04239,1.07371,2.95952,3.04239,136.533,2.99724,3.13269,1.07371,2.99724,3.13269,136.533,1.94637,2.44125,1.07371,1.94637,2.44125,All
137.167,13.2561,14.7374,1.07869,13.2561,14.7374,137.167,2.65587,3.03308,1.07869,2.65587,3.03308,137.167,3.01475,3.129,1.07869,3.01475,3.129,137.167,2.24428,2.43427,1.07869,2.24428,2.43427,All
137.8,14.3051,14.7854,1.08367,14.3051,14.7854,137.8,2.35221,3.02377,1.08367,2.35221,3.02377,137.8,3.03226,3.12532,1.08367,3.03226,3.12532,137.8,2.54219,2.42728,1.08367,2.54219,2.42728,All
138.433,14.9509,14.8334,1.08865,14.9509,14.8334,138.433,2.6333,3.01446,1.08865,2.6333,3.01446,138.433,3.08915,3.12164,1.08865,3.08915,3.12164,138.433,2.77439,2.4203,1.08865,2.77439,2.4203,All
139.067,14.6935,14.8815,1.09364,14.6935,14.8815,139.067,3.68055,3.00515,1.09364,3.68055,3.00515,139.067,3.1689,3.11795,1.09364,3.1689,3.11795,139.067,2.7669,2.41331,1.09364,2.7669,2.41331,All
139.7,14.7096,14.9295,1.09862,14.7096,14.9295,139.7,3.48997,2.99584,1.09862,3.48997,2.99584,139.7,3.15959,3.11427,1.09862,3.15959,3.11427,139.7,2.65524,2.40633,1.09862,2.65524,2.40633,All
140.333,14.7258,14.9775,1.1036,14.7258,14.9775,140.333,3.29939,2.98653,1.1036,3.29939,2.98653,140.333,3.15029,3.11059,1.1036,3.15029,3.11059,140.333,2.54358,2.39934,1.1036,2.54358,2.39934,All
140.967,14.7419,15.0256,1.10858,14.7419,15.0256,140.967,3.10881,2.97722,1.10858,3.10881,2.97722,140.967,3.14098,3.1069,1.10858,3.14098,3.1069,140.967,2.43191,2.39236,1.10858,2.43191,2.39236,All
141.6,14.7581,15.0736,1.11356,14.7581,15.0736,141.6,2.91823,2.96791,1.11356,2.91823,2.96791,141.6,3.13167,3.10322,1.11356,3.13167,3.10322,141.6,2.32025,2.38538,1.11356,2.32025,2.38538,All
142.233,14.7742,15.1216,1.11854,14.7742,15.1216,142.233,2.72765,2.9586,1.11854,2.72765,2.9586,142.233,3.12236,3.09954,1.11854,3.12236,3.09954,142.233,2.20859,2.37839,1.11854,2.20859,2.37839,All
142.867,14.7903,15.1697,1.12352,14.7903,15.1697,142.867,2.53708,2.94929,1.12352,2.53708,2.94929,142.867,3.11305,3.09585,1.12352,3.11305,3.09585,142.867,2.09693,2.37141,1.12352,2.09693,2.37141,All
143.5,14.8065,15.2177,1.1285,14.8065,15.2177,143.5,2.3465,2.93998,1.1285,2.3465,2.93998,143.5,3.10374,3.09217,1.1285,3.10374,3.09217,143.5,1.98526,2.36442,1.1285,1.98526,2.36442,All
144.133,14.9066,15.2657,1.13348,14.9066,15.2657,144.133,2.3161,2.93067,1.13348,2.3161,2.93067,144.133,3.10432,3.08849,1.13348,3.10432,3.08849,144.133,1.95705,2.35744,1.13348,1.95705,2.35744,All
144.767,15.0455,15.3138,1.13846,15.0455,15.3138,144.767,2.35964,2.92137,1.13846,2.35964,2.92137,144.767,3.10946,3.0848,1.13846,3.10946,3.0848,144.767,1.96735,2.35045,1.13846,1.96735,2.35045,All
145.4,15.1845,15.3618,1.14344,15.1845,15.3618,145.4,2.40317,2.91206,1.14344,2.40317,2.91206,145.4,3.1146,3.08112,1.14344,3.1146,3.08112,145.4,1.97766,2.34347,1.14344,1.97766,2.34347,All
146.033,15.3234,15.4098,1.14842,15.3234,15.4098,146.033,2.44671,2.90275,1.14842,2.44671,2.90275,146.033,3.11974,3.07744,1.14842,3.11974,3.07744,146.033,1.98796,2.33648,1.14842,1.98796,2.33648,All
146.667,15.4623,15.4579,1.1534,15.4623,15.4579,146.667,2.49024,2.89344,1.1534,2.49024,2.89344,146.667,3.12488,3.07375,1.1534,3.12488,3.07375,146.667,1.99827,2.3295,1.1534,1.99827,2.3295,All
147.3,15.6012,15.5059,1.15838,15.6012,15.5059,147.3,2.53378,2.88413,1.15838,2.53378,2.88413,147.3,3.13002,3.07007,1.15838,3.13002,3.07007,147.3,2.00857,2.32252,1.15838,2.00857,2.32252,All
147.933,15.7401,15.5539,1.16336,15.7401,15.5539,147.933,2.57731,2.87482,1.16336,2.57731,2.87482,147.933,3.13516,3.06639,1.16336,3.13516,3.06639,147.933,2.01888,2.31553,1.16336,2.01888,2.31553,All
148.567,15.8791,15.602,1.16834,15.8791,15.602,148.567,2.62085,2.86551,1.16834,2.62085,2.86551,148.567,3.1403,3.0627,1.16834,3.1403,3.0627,148.567,2.02918,2.30855,1.16834,2.02918,2.30855,All
149.2,16.018,15.65,1.17332,16.018,15.65,149.2,2.66438,2.8562,1.17332,2.66438,2.8562,149.2,3.14544,3.05902,1.17332,3.14544,3.05902,149.2,2.03948,2.30156,1.17332,2.03948,2.30156,All
149.833,16.1569,15.698,1.17831,16.1569,15.698,149.833,2.70792,2.84689,1.17831,2.70792,2.84689,149.833,3.15058,3.05534,1.17831,3.15058,3.05534,149.833,2.04979,2.29458,1.17831,2.04979,2.29458,All
150.467,16.2958,15.7461,1.18329,16.2958,15.7461,150.467,2.75145,2.83758,1.18329,2.75145,2.83758,150.467,3.15573,3.05165,1.18329,3.15573,3.05165,150.467,2.06009,2.28759,1.18329,2.06009,2.28759,All
151.1,16.4347,15.7941,1.18827,16.4347,15.7941,151.1,2.79499,2.82827,1.18827,2.79499,2.82827,151.1,3.16087,3.04797,1.18827,3.16087,3.04797,151.1,2.0704,2.28061,1.18827,2.0704,2.28061,All
151.733,16.5736,15.8421,1.19325,16.5736,15.8421,151.733,2.83852,2.81896,1.19325,2.83852,2.81896,151.733,3.16601,3.04429,1.19325,3.16601,3.04429,151.733,2.0807,2.27362,1.19325,2.0807,2.27362,All
152.367,16.7126,15.8902,1.19823,16.7126,15.8902,152.367,2.88206,2.80965,1.19823,2.88206,2.80965,152.367,3.17115,3.0406,1.19823,3.17115,3.0406,152.367,2.09101,2.26664,1.19823,2.09101,2.26664,All
153,16.8515,15.9382,1.20321,16.8515,15.9382,153,2.92559,2.80034,1.20321,2.92559,2.80034,153,3.17629,3.03692,1.20321,3.17629,3.03692,153,2.10131,2.25965,1.20321,2.10131,2.25965,All
153.633,16.9904,15.9862,1.20819,16.9904,15.9862,153.633,2.96913,2.79103,1.20819,2.96913,2.79103,153.633,3.18143,3.03324,1.20819,3.18143,3.03324,153.633,2.11161,2.25267,1.20819,2.11161,2.25267,All
154.267,17.1293,16.0343,1.21317,17.1293,16.0343,154.267,3.01266,2.78172,1.21317,3.01266,2.78172,154.267,3.18657,3.02955,1.21317,3.18657,3.02955,154.267,2.12192,2.24569,1.21317,2.12192,2.24569,All
154.9,17.2682,16.0823,1.21815,17.2682,16.0823,154.9,3.0562,2.77241,1.21815,3.0562,2.77241,154.9,3.19171,3.02587,1.21815,3.19171,3.02587,154.9,2.13222,2.2387,1.21815,2.13222,2.2387,All
