iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
29,476.901,1,21.2445,25.7548,13.437,1.62106,0.0499106,-0.436781,-2.50713,0.224846,1.13517,0.252242,0.868545
30,466.045,1,20.3319,25.648,13.0547,1.46181,0.0512136,-0.397857,-2.80726,0.219704,1.10642,0.260261,0.908832
31,460.815,1,20.1573,25.6523,13.6468,1.4816,0.0455193,-0.397294,-2.65996,0.224251,1.07841,0.269778,0.905628
32,459.871,1,20.283,24.2232,13.4807,1.45926,0.0465934,-0.40258,-3.31914,0.22424,1.0511,0.268892,0.934044
33,464.187,1,20.7546,24.665,12.7915,1.50125,0.0499939,-0.41068,-2.83048,0.221897,1.02449,0.264152,0.911536
34,456.755,1,20.9754,24.9466,12.6185,1.50125,0.0487172,-0.426303,-2.55219,0.225323,0.998547,0.257464,0.888455
35,469.558,1,20.8281,25.0319,12.9001,1.54347,0.0498672,-0.42644,-2.95486,0.223834,1.02031,0.250945,0.925803
36,472.227,1,20.4533,25.1525,11.0758,1.66646,0.0476813,-0.405019,-2.22979,0.218166,1.06845,0.24459,0.902362
37,459.595,1,20.913,25.2324,12.4022,1.55283,0.0469045,-0.416816,-2.43285,0.216446,1.0414,0.238397,0.879513
38,464.811,1,20.9228,25.5387,13.648,1.55283,0.0458663,-0.428601,-2.95072,0.216646,1.01503,0.257278,0.910611
39,459.053,1,21.3373,25.687,12.9475,1.55284,0.0453915,-0.442326,-3.4755,0.220747,0.99033,0.250763,0.887554
40,466.382,1,20.5407,25.8853,11.2685,1.52475,0.0494657,-0.403542,-3.1813,0.232031,1.02336,0.274188,0.865081
41,478.517,1,20.0675,25.5952,11.4376,1.57768,0.0532906,-0.389431,-2.97345,0.226156,1.03085,0.280265,0.875583
42,465.583,1,20.9147,25.1264,11.5094,1.5279,0.0516001,-0.427594,-2.47695,0.22043,1.00475,0.273168,0.887661
43,459.931,1,20.48,25.482,12.1278,1.45151,0.04902,-0.408092,-2.46841,0.225495,1.03675,0.266252,0.880089
44,465.823,1,20.7118,25.1689,11.3963,1.45146,0.0465112,-0.41363,-4.03694,0.23025,1.24531,0.25951,0.954766
45,464.236,1,20.6394,24.9635,12.8184,1.45155,0.0500137,-0.407308,-3.80772,0.234146,1.21378,0.252939,0.930591
46,476.042,1,20.1744,24.837,13.9471,1.46966,0.0536238,-0.391195,-3.6792,0.239501,1.18304,0.288067,0.929476
47,462.954,1,20.7039,24.9804,14.2815,1.39618,0.0509426,-0.426867,-3.59682,0.233437,1.15309,0.280773,0.905941
48,467.964,1,20.1359,25.287,14.3738,1.39626,0.0529903,-0.391387,-3.41601,0.227526,1.12389,0.273664,0.945492
49,463.856,1,20.7096,25.3827,13.4463,1.37392,0.0514684,-0.423279,-3.61365,0.225509,1.18654,0.269916,0.921552
50,466.194,1,20.8402,25.0963,11.4821,1.35916,0.0558716,-0.424134,-4.33511,0.228527,1.18099,0.263081,0.898218
51,468.451,1,21.1647,25.5425,11.7588,1.40971,0.0518359,-0.427704,-4.15358,0.229726,1.24192,0.269704,0.875474
52,474.615,1,21.3035,25.4769,11.0059,1.47505,0.0511751,-0.442968,-4.39694,0.231437,1.23218,0.269316,0.901606
53,475.411,1,20.3375,25.4281,11.4993,1.49899,0.0528263,-0.398688,-4.99645,0.225577,1.20098,0.286566,0.878777
54,464.9,1,20.3674,25.1394,12.8082,1.49892,0.0507244,-0.405322,-3.75164,0.227039,1.17057,0.27931,0.856526
55,465.449,1,20.0272,25.0733,12.9352,1.404,0.0531273,-0.393692,-4.45685,0.22129,1.25477,0.272238,0.834838
56,461.658,1,21.114,26.0537,12.2986,1.31325,0.0525927,-0.432625,-4.40353,0.220697,1.22299,0.279962,0.859003
57,469.715,1,20.9577,25.983,11.1637,1.43036,0.0510604,-0.426028,-4.35889,0.226816,1.19203,0.275101,0.893144
58,463.116,1,20.3812,25.4039,12.2336,1.35181,0.0514084,-0.399736,-4.83833,0.232195,1.16185,0.280347,0.887903
59,464.188,1,20.3606,25.4668,11.4337,1.39633,0.0535738,-0.405376,-4.46195,0.226316,1.13243,0.27951,0.865421
60,463.566,1,20.5591,25.5051,11.4086,1.37467,0.0561968,-0.39859,-4.31038,0.228476,1.10375,0.272433,0.843508
61,465.784,1,20.5983,24.5915,11.2506,1.37465,0.0544509,-0.409238,-3.51136,0.231348,1.07581,0.269773,0.880488
62,470.338,1,20.5415,25.0158,11.6612,1.42099,0.056675,-0.40924,-3.0987,0.225735,1.04857,0.280605,0.933863
63,477.518,1,20.6981,25.0429,12.0443,1.51859,0.0565358,-0.414846,-2.80526,0.220019,1.02201,0.281647,0.926269
64,477.529,1,21.1878,25.036,12.2904,1.51857,0.0547308,-0.434812,-2.56563,0.229004,0.996137,0.292969,0.971685
65,466.434,1,20.8278,25.1682,11.3835,1.46448,0.052904,-0.425271,-3.25618,0.223206,0.970914,0.285551,0.95866
66,464.161,1,20.5034,25.9711,10.9559,1.42004,0.0495576,-0.415176,-2.54729,0.230326,0.94633,0.27832,1.02988
67,464.99,1,20.9362,26.1239,11.0266,1.50464,0.0467409,-0.430937,-2.64468,0.224494,0.922368,0.2802,1.05304
68,460.833,1,20.885,25.8585,11.2569,1.48007,0.0465436,-0.415729,-3.49483,0.224931,0.899014,0.273105,1.02638
69,462.384,1,20.9695,25.7882,10.8347,1.48003,0.0460927,-0.415821,-3.50575,0.228185,0.87625,0.276737,1.10945
70,461.831,1,20.4845,25.7834,9.78979,1.45603,0.0496898,-0.399021,-3.19466,0.228724,0.854063,0.275926,1.08136
71,463.246,1,20.5357,25.9779,9.48455,1.45604,0.0492111,-0.401933,-3.6657,0.226002,0.855056,0.273816,1.05398
72,458.767,1,20.9093,26.0956,9.78707,1.52571,0.0460452,-0.417753,-3.42586,0.228842,0.833405,0.270154,1.02729
73,460.791,1,20.8962,25.6819,11.3932,1.47158,0.0476161,-0.416205,-3.48565,0.223048,0.926646,0.263314,1.00864
74,458.098,1,20.5567,25.6806,11.6896,1.47159,0.0482144,-0.408554,-3.37024,0.232425,0.903183,0.256647,0.983099
75,452.994,1,20.2268,24.775,12.0981,1.5499,0.04317,-0.404322,-3.4462,0.229278,0.880314,0.250148,0.958207
76,446.347,1,20.4934,25.2399,12.2709,1.48207,0.0437431,-0.417207,-2.84028,0.223472,0.875743,0.243814,0.933944
77,463.637,1,20.219,25.0591,12.6031,1.52014,0.0493427,-0.399773,-2.83967,0.219568,0.912245,0.270755,0.910296
78,471.03,1,20.7457,25.3099,11.684,1.44824,0.0541139,-0.420919,-3.28814,0.214009,1.0045,0.29479,0.908444
79,469.15,1,20.3535,25.465,11.1862,1.4483,0.0561327,-0.401002,-4.27138,0.211606,0.979068,0.287326,0.919827
80,463.379,1,20.6369,25.5015,10.7439,1.37589,0.0533261,-0.404572,-4.74993,0.216867,0.954278,0.280051,0.970975
81,470.175,1,20.8242,25.6154,11.4288,1.41409,0.0548334,-0.405302,-5.24277,0.222144,0.960428,0.284188,0.993037
82,461.809,1,20.7545,25.659,12.3087,1.41397,0.0514218,-0.415915,-4.64241,0.223102,0.93611,0.276992,1.0471
83,461.713,1,20.6583,25.2526,12.5615,1.30387,0.0546946,-0.401847,-4.7099,0.233498,0.912407,0.27257,1.0398
84,459.123,1,20.4985,25.3251,10.8427,1.27229,0.0563697,-0.403784,-6.1267,0.239225,0.889304,0.274984,1.01348
85,462.814,1,20.8184,25.433,11.5629,1.31929,0.0602696,-0.418837,-5.20435,0.233167,0.888024,0.268022,0.987814
86,467.475,1,20.9743,25.365,11.2201,1.27665,0.0632415,-0.430902,-4.41945,0.227263,0.960609,0.261235,1.00226
87,471.104,1,20.6239,25.6269,10.7558,1.31784,0.0632905,-0.40695,-3.72652,0.221509,0.945833,0.254621,1.0762
88,461.484,1,20.6638,25.5137,11.0591,1.25194,0.060126,-0.416723,-4.22909,0.217758,0.966746,0.256712,1.04895
89,457.087,1,20.8456,25.746,11.8891,1.32146,0.0531554,-0.417261,-4.95789,0.219695,1.02478,0.259637,1.02239
90,458.14,1,20.3884,25.4467,10.1629,1.32143,0.050239,-0.397417,-4.97912,0.228247,1.11096,0.253063,1.01298
91,467.002,1,20.2512,25.4959,10.6748,1.37607,0.0534152,-0.392744,-4.90203,0.222468,1.1177,0.248841,1.01103
92,470.268,1,20.3725,25.3123,11.0353,1.35376,0.055722,-0.395989,-3.637,0.232607,1.17162,0.243858,0.995094
93,470.256,1,20.3093,24.6179,10.4738,1.4106,0.0569536,-0.395809,-3.02268,0.226717,1.14195,0.242177,0.969897
94,471.962,1,20.4227,24.8624,10.6299,1.35986,0.0607934,-0.404242,-3.0597,0.226839,1.11304,0.236045,0.954657
95,461.002,1,20.8929,25.1952,11.2423,1.3029,0.0614496,-0.42184,-3.72927,0.221095,1.08486,0.230068,0.930484
96,456.577,1,20.8217,25.7374,10.9589,1.23775,0.0583771,-0.421097,-4.17205,0.220238,1.05739,0.230186,0.965531
97,466.527,1,20.3138,25.1041,11.9398,1.38703,0.0569626,-0.404411,-3.67538,0.220407,1.05867,0.234412,0.941083
98,472.822,1,20.9953,25.3945,10.9315,1.47212,0.0541397,-0.430845,-3.51404,0.224712,1.03187,0.254966,0.989755
99,468.079,1,21.2639,24.9001,12.3296,1.41658,0.0562604,-0.433675,-3.78467,0.224125,1.00574,0.264203,0.964694
100,462.318,1,20.8649,24.7413,12.4094,1.34575,0.0534473,-0.427427,-3.096,0.224025,0.980274,0.270551,0.940267
101,471.071,1,20.9252,25.4215,12.1578,1.36911,0.0580513,-0.430041,-4.08579,0.225133,1.0318,0.263701,0.949245
102,463.977,1,20.5408,25.1853,12.3736,1.30066,0.0551487,-0.411201,-3.53936,0.221613,1.01639,0.257024,1.02676
103,457.946,1,20.7763,25.84,11.3471,1.33694,0.0525886,-0.420619,-4.98054,0.225501,1.01529,0.250516,1.00076
104,471.905,1,20.6144,25.431,12.3716,1.38508,0.0567017,-0.410354,-4.5514,0.230313,1.00756,0.244607,1.0721
105,476.211,1,20.1013,25.6108,12.2702,1.36863,0.0598937,-0.394561,-5.23243,0.235846,0.982049,0.248691,1.08932
106,479.962,1,20.383,25.2491,13.0311,1.31785,0.061623,-0.406346,-4.45339,0.231838,1.11169,0.257488,1.11835
107,470.504,1,20.6153,25.2358,11.7927,1.25196,0.0585419,-0.411614,-3.22199,0.231396,1.13627,0.251891,1.09003
108,457.641,1,20.5998,24.8676,11.5381,1.18936,0.0556148,-0.408307,-3.04335,0.227567,1.1075,0.245513,1.10188
109,455.728,1,20.5444,24.7028,13.476,1.29437,0.0509541,-0.410321,-3.3691,0.23009,1.09926,0.239296,1.07398
110,459.244,1,20.8351,24.0027,13.5612,1.42719,0.0452407,-0.414523,-3.17781,0.227915,1.19473,0.233237,1.04679
111,469.902,1,20.78,24.551,13.1404,1.56204,0.0468626,-0.413511,-3.10928,0.222144,1.18444,0.228432,1.02028
112,465.681,1,20.5543,24.4,13.4239,1.48394,0.0445195,-0.404182,-3.48574,0.218325,1.29645,0.23028,1.01029
113,469.233,1,20.6896,24.4199,14.0284,1.484,0.047659,-0.404552,-2.59049,0.245146,1.26363,0.246729,0.984708
114,466.77,1,20.3247,24.9587,14.6281,1.40422,0.05014,-0.392116,-3.62185,0.238939,1.24976,0.240482,0.999347
115,466.763,1,20.7782,24.4517,13.2759,1.40428,0.0537444,-0.419219,-3.41447,0.232889,1.21812,0.243269,0.974043
116,463.392,1,20.4717,24.9754,13.2233,1.34984,0.0558264,-0.402034,-3.73518,0.227495,1.18728,0.237109,0.949379
117,460.127,1,20.9524,24.4193,13.2649,1.34982,0.0561612,-0.425246,-3.25198,0.232246,1.15721,0.231105,0.925341
118,467.943,1,21.273,24.3523,11.7341,1.39727,0.0590642,-0.439001,-3.04988,0.228141,1.1677,0.225254,0.90191
119,464.986,1,20.3879,25.3833,12.3147,1.34096,0.0577108,-0.39817,-3.67545,0.224352,1.17311,0.21955,0.937077
120,470.21,1,20.7942,25.4285,10.9399,1.39454,0.0569662,-0.412919,-3.3054,0.219882,1.2352,0.218413,0.944162
121,462.156,1,20.4401,25.5043,12.3415,1.31257,0.0595821,-0.402791,-4.37388,0.223124,1.20392,0.212883,0.929904
122,458.535,1,20.4465,25.7608,13.9045,1.31254,0.0574619,-0.398908,-3.96368,0.223169,1.17344,0.208273,0.906358
123,461.539,1,20.5343,25.2852,14.0903,1.36853,0.0556667,-0.405684,-4.02912,0.222057,1.14372,0.202999,0.943185
124,452.948,1,20.6651,25.1522,14.4096,1.2989,0.0547177,-0.413711,-3.90792,0.21758,1.11476,0.197859,0.960861
125,453.422,1,20.4445,25.0436,13.8404,1.25629,0.0547357,-0.403477,-4.24662,0.219613,1.17522,0.193041,0.99794
126,454.967,1,20.1718,24.9466,13.7099,1.36259,0.0526289,-0.390288,-4.22418,0.218157,1.20895,0.188153,0.972672
127,457.234,1,20.6676,24.8825,12.4786,1.28701,0.057291,-0.413314,-3.92208,0.21591,1.19608,0.197579,0.948043
128,461.96,1,20.6963,24.5411,11.7709,1.39057,0.0532893,-0.415593,-4.33913,0.224598,1.16579,0.205505,1.00116
129,465.524,1,20.7855,24.9405,10.8027,1.34901,0.0565039,-0.415329,-4.76691,0.22642,1.24929,0.201297,0.975807
130,465.197,1,21.0746,24.6424,11.3333,1.31093,0.0620714,-0.427912,-5.28266,0.22423,1.21765,0.201526,0.969273
131,474.461,1,20.7154,25.181,11.2015,1.35239,0.063145,-0.415743,-4.77126,0.220296,1.24289,0.196423,0.995494
132,478.852,1,20.3007,25.1299,12.1822,1.41059,0.06833,-0.38948,-5.11574,0.218954,1.21142,0.191449,0.970288
133,469.304,1,20.3414,25.1721,12.3004,1.34006,0.0649135,-0.400514,-4.44344,0.22216,1.31825,0.186602,0.94572
134,477.327,1,19.7633,24.8448,12.4091,1.37731,0.0656058,-0.377452,-5.37188,0.226769,1.35016,0.181877,0.921773
135,476.055,1,20.2356,24.6196,13.0803,1.34207,0.065701,-0.398661,-5.16272,0.226573,1.36019,0.183957,0.898434
136,477.112,1,20.3778,24.6142,12.4287,1.34201,0.0629669,-0.402466,-4.50258,0.228752,1.42701,0.193114,0.965955
137,477.935,1,21.3525,24.764,11.4114,1.38904,0.0602805,-0.44721,-5.15314,0.234251,1.43229,0.205867,0.941497
138,476.168,1,21.0493,24.5316,12.7286,1.4554,0.0585226,-0.433855,-3.92956,0.228319,1.39602,0.200655,0.917657
139,475.414,1,20.7588,24.4973,12.3948,1.45541,0.058793,-0.416008,-3.82118,0.222538,1.44308,0.195574,0.894422
140,485.285,1,20.4174,24.796,12.404,1.41918,0.0612081,-0.401722,-4.48197,0.222575,1.61514,0.21234,0.927428
141,483.804,1,20.2356,25.0383,13.1223,1.46354,0.0587335,-0.393101,-4.39442,0.217437,1.57424,0.220691,0.920917
142,486.037,1,20.2862,25.5459,12.9213,1.50728,0.0595509,-0.396894,-5.3362,0.220253,1.53438,0.215103,0.922737
143,480.704,1,20.553,25.4151,12.4028,1.43192,0.0565734,-0.407929,-5.95077,0.237162,1.49553,0.252669,0.957794
144,479.217,1,20.8892,25.4404,12.2378,1.43189,0.0554652,-0.413409,-5.37958,0.233527,1.45766,0.246272,1.08107
145,477,1,20.5237,25.4579,11.0236,1.4419,0.0559559,-0.402992,-5.39908,0.227614,1.42075,0.240036,1.05369
146,479.34,1,20.5269,25.876,11.0978,1.4419,0.0573602,-0.408447,-4.64322,0.230905,1.38478,0.233958,1.02701
147,473.788,1,20.759,26.1253,12.0665,1.29783,0.0628853,-0.42356,-5.67258,0.225058,1.34971,0.228034,1.00101
148,476.902,1,20.6321,26.1167,10.7577,1.33104,0.0625341,-0.409898,-6.73831,0.222939,1.31997,0.22226,1.03226
149,481.252,1,20.9623,25.2975,9.96954,1.4474,0.0597977,-0.422206,-4.83361,0.223166,1.28655,0.225514,1.02083
150,487.99,1,20.4457,25.2596,10.2272,1.50556,0.0627434,-0.406016,-4.74669,0.219062,1.25397,0.219804,1.09857
151,487.59,1,21.2973,25.7995,11.2479,1.42162,0.0648448,-0.433616,-4.60322,0.222802,1.30695,0.232264,1.07076
152,474.561,1,20.8759,25.962,10.2498,1.354,0.0636612,-0.42135,-6.90723,0.232628,1.27386,0.226383,1.04365
153,471.078,1,20.7664,26.1343,9.77488,1.35392,0.0611643,-0.414841,-6.3996,0.226738,1.28329,0.220651,1.01722
154,478.756,1,21.0136,26.2747,8.89769,1.31954,0.0652696,-0.41994,-7.06304,0.225025,1.2878,0.215064,1.02933
155,481.273,1,20.7372,26.5379,8.91021,1.31751,0.070358,-0.404088,-6.71456,0.219327,1.25519,0.212342,1.00327
156,483.784,1,20.4374,26.6316,9.00834,1.25597,0.0748833,-0.392581,-6.73515,0.219279,1.22341,0.21403,0.984779
157,487.669,1,20.4187,26.8852,9.80433,1.22964,0.0780269,-0.389988,-5.31049,0.222005,1.33478,0.20861,1.00461
158,485.134,1,20.8382,26.0443,10.4635,1.16816,0.0741255,-0.406662,-5.24547,0.235226,1.31479,0.208657,0.979168
159,485.401,1,20.5319,26.2755,10.9176,1.30579,0.0701425,-0.405842,-6.15531,0.233494,1.2815,0.235038,0.954375
160,479.027,1,20.6629,25.9961,10.0274,1.2405,0.0666354,-0.414017,-6.87663,0.227582,1.29796,0.229087,1.02659
161,475.102,1,20.9534,25.2086,12.2152,1.30062,0.0653726,-0.429065,-5.36435,0.22182,1.27469,0.223286,1.0141
162,469.297,1,20.475,25.9731,12.8976,1.21942,0.0648635,-0.400577,-4.37132,0.226592,1.24241,0.217632,1.03633
163,466.68,1,20.7743,25.4276,12.3961,1.30076,0.0587638,-0.415863,-4.09383,0.220854,1.27353,0.212122,1.01009
164,460.804,1,20.776,25.5478,10.1557,1.23572,0.0558256,-0.40619,-4.84131,0.226855,1.24129,0.206751,1.08767
165,465.252,1,20.2743,25.7696,9.99458,1.34566,0.0521673,-0.39414,-4.77719,0.2224,1.20986,0.230912,1.11162
166,463.992,1,20.6828,25.3271,11.0148,1.36808,0.0516326,-0.416814,-5.24907,0.226163,1.17922,0.230118,1.08348
167,469.225,1,20.7584,26.1224,9.63471,1.32162,0.0574053,-0.4172,-6.19154,0.230347,1.17321,0.224291,1.05778
168,471.189,1,20.9808,25.8231,8.85737,1.32163,0.0571762,-0.429143,-6.64172,0.224514,1.14351,0.233091,1.14251
169,481.496,1,20.5766,26.0369,9.39849,1.36836,0.0624361,-0.406102,-6.01395,0.219044,1.11455,0.251187,1.21426
170,477.834,1,20.6271,26.356,10.4849,1.29472,0.0632696,-0.416361,-6.6921,0.218668,1.08633,0.246516,1.24878
171,481.433,1,20.9629,26.6082,10.2603,1.29472,0.0651816,-0.424574,-7.38604,0.226244,1.09065,0.245728,1.21716
172,479.135,1,21.4353,27.3576,10.6593,1.19978,0.0671603,-0.443045,-7.33759,0.232001,1.09972,0.273318,1.18634
173,490.27,1,21.0938,26.8329,9.1981,1.19994,0.0739686,-0.431533,-8.96011,0.226126,1.10117,0.285916,1.1563
174,488.127,1,20.3603,27.0049,9.52042,1.28607,0.0694481,-0.394604,-6.45216,0.220401,1.11421,0.278676,1.18385
175,485.462,1,20.5542,25.9505,9.78443,1.3168,0.064999,-0.40369,-7.32918,0.215824,1.14539,0.27162,1.18085
176,495.805,1,21.3154,26.2154,8.38933,1.39868,0.0643206,-0.440238,-6.79854,0.229395,1.11968,0.264743,1.36767
177,500.455,1,20.6572,26.4844,7.41011,1.46145,0.0627401,-0.417575,-7.50937,0.234545,1.13108,0.263559,1.4071
178,492.615,1,20.2962,26.2393,8.25151,1.33118,0.0685956,-0.38865,-6.3339,0.228606,1.12842,0.256886,1.37147
179,490.279,1,20.482,25.9898,8.4447,1.44594,0.0605865,-0.402678,-5.52376,0.230194,1.12263,0.250381,1.33674
180,480.371,1,20.3154,26.028,8.06265,1.48593,0.0562592,-0.39708,-6.02959,0.224366,1.09421,0.244041,1.3029
181,477.661,1,20.2674,25.4992,8.68378,1.38866,0.0549575,-0.399851,-6.36713,0.226405,1.09405,0.268059,1.26991
182,478.726,1,20.8973,25.6453,8.4378,1.42599,0.0561799,-0.41768,-6.12405,0.229101,1.06635,0.271716,1.23775
183,472.476,1,21.1644,25.3782,9.25085,1.42596,0.0529336,-0.422798,-4.82613,0.227467,1.03935,0.273544,1.20641
184,473.932,1,20.6109,25.3499,9.0748,1.46574,0.0532959,-0.411603,-5.07156,0.2233,1.01303,0.269553,1.17587
185,475.412,1,21.0939,26.0388,9.23601,1.53395,0.0496563,-0.424874,-5.53843,0.230086,0.987379,0.262728,1.15159
186,471.191,1,21.0883,25.304,11.0796,1.55293,0.0461288,-0.431624,-5.13348,0.226654,1.03245,0.260095,1.12243
187,465.02,1,20.3233,24.7481,11.8164,1.51404,0.0456907,-0.397481,-5.22368,0.237924,1.00631,0.253509,1.09401
188,458.714,1,20.4902,24.7884,11.6529,1.46644,0.0478046,-0.400286,-4.20836,0.231899,0.980828,0.248297,1.06631
189,456.743,1,20.3945,24.8013,11.8158,1.4234,0.0481628,-0.397579,-4.04245,0.23246,0.955993,0.24201,1.03931
190,456.181,1,20.7226,25.0817,11.1838,1.48055,0.0462546,-0.409461,-3.67182,0.226574,0.998403,0.235882,1.01299
191,460.554,1,20.4674,25.2167,11.3055,1.39174,0.0487032,-0.404063,-2.70743,0.221077,1.08892,0.244476,1.02448
192,462.304,1,20.7197,25.0829,11.9704,1.39184,0.0527627,-0.4093,-2.59327,0.228433,1.06134,0.238285,0.998538
193,465.61,1,19.9989,24.8412,11.6938,1.42284,0.0551637,-0.384932,-4.08459,0.222649,1.03447,0.232252,0.984749
194,458.443,1,20.3031,25.5791,13.161,1.38824,0.0536028,-0.394058,-4.35171,0.231151,1.00828,0.226371,0.959815
195,457.691,1,20.4047,25.6609,13.3122,1.34896,0.0561712,-0.399503,-4.25667,0.225298,0.982747,0.237194,0.935512
196,453.69,1,20.2373,25.5832,12.3938,1.28152,0.0533627,-0.397197,-3.90935,0.223344,0.957863,0.256302,0.95308
197,457.032,1,20.4701,25.6749,12.4417,1.37379,0.0536118,-0.40308,-3.67217,0.218008,0.933609,0.268025,0.928947
198,457.676,1,20.8824,25.0727,12.8447,1.34859,0.0547488,-0.418553,-3.46732,0.228679,0.941262,0.261239,0.905426
199,457.406,1,21.0228,24.9459,12.7845,1.44892,0.0484916,-0.425742,-3.96524,0.231336,0.917429,0.261831,0.90057
200,465.851,1,20.241,24.4012,12.6509,1.50089,0.0486168,-0.398357,-3.59118,0.225479,1.04651,0.270703,0.877768
201,462.246,1,20.8027,24.7804,11.8658,1.5008,0.0461292,-0.417241,-3.86109,0.229471,1.10406,0.272037,0.855542
202,466.886,1,20.3136,24.9023,11.7545,1.42502,0.0527347,-0.401593,-4.00799,0.226082,1.03129,0.282425,0.839905
203,452.412,1,20.3327,25.2444,12.794,1.36629,0.0516628,-0.397487,-3.76405,0.216273,0.893996,0.266455,0.833006
204,463.205,1,20.2425,24.9624,12.7927,1.38187,0.0554072,-0.38959,-4.08735,0.224682,0.967625,0.256336,0.882909
205,469.021,1,20.2347,24.6014,12.7505,1.34813,0.059086,-0.387922,-5.0046,0.227335,1.04003,0.264089,0.888124
206,473.884,1,20.5606,24.9413,12.1278,1.34808,0.0576841,-0.413123,-4.43378,0.219962,1.22021,0.290396,0.882942
207,469.869,1,20.4746,25.0525,11.8504,1.3481,0.0565103,-0.414727,-4.00449,0.217021,1.16753,0.277574,0.857528
208,473.489,1,20.3139,25.0924,11.4389,1.39318,0.0582221,-0.41488,-4.53961,0.219032,1.07868,0.266712,0.904153
209,466.263,1,20.8583,25.2736,11.4168,1.30737,0.0592091,-0.417696,-4.26183,0.223706,1.17267,0.249001,0.842227
210,454.306,1,20.0592,25.2767,12.4875,1.3259,0.0547391,-0.391388,-4.15658,0.22555,1.01936,0.248685,0.750218
