iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
122,60.7187,1,13.6441,24.1583,21.7629,15.8396,1.46181,0.0619128,0.240363,1.27433,2.0587e-07,0.732066
123,60.563,1,13.6706,24.5165,21.7629,15.8844,1.48559,0.0588906,0.240388,1.33539,2.05237e-07,0.755711
124,67.5526,1,13.6505,24.1898,21.7629,16.9067,1.67228,0.0574904,0.243906,1.31062,1.78508e-07,0.766052
125,69.9247,1,13.7346,25.4755,21.7629,16.0902,1.72763,0.0597012,0.246485,1.23722,1.721e-07,0.741619
126,65.3046,1,13.6875,28.6956,21.7629,15.1842,1.70163,0.0563774,0.245734,1.27595,1.71794e-07,0.743116
127,66.3047,1,13.6847,31.1492,21.7629,13.9882,1.70164,0.055953,0.228089,1.37659,1.61901e-07,0.809852
128,70.9273,1,13.7051,27.9605,21.7629,13.514,1.73582,0.0600138,0.236348,1.24951,1.62618e-07,0.80659
129,67.2996,1,13.5488,25.8261,21.7629,14.3468,1.73581,0.0596163,0.235255,1.24341,1.53038e-07,0.770126
130,76.4803,1,13.6745,25.9391,21.7629,14.497,1.73587,0.0613078,0.243781,1.3477,1.75339e-07,0.754637
131,68.6629,1,13.5928,23.6579,21.7629,16.3302,1.64347,0.0614258,0.230509,1.36365,1.72203e-07,0.761135
132,64.9468,1,13.5613,22.8029,21.7629,17.3991,1.62307,0.0599049,0.24339,1.33848,1.739e-07,0.712605
133,59.4848,1,13.5853,25.2451,21.7629,17.1413,1.67563,0.0553344,0.234309,1.29692,1.46939e-07,0.806246
134,62.6471,1,13.6082,30.2661,21.7629,16.9382,1.72372,0.0553288,0.240503,1.49215,1.30172e-07,0.776349
135,59.3013,1,13.5507,30.2205,21.7629,16.0203,1.68552,0.0587555,0.225854,1.38986,1.24502e-07,0.792431
136,55.743,1,13.5491,25.634,21.7629,15.8399,1.578,0.0596787,0.239266,1.48784,1.23734e-07,0.74194
137,52.1914,1,13.597,28.6673,21.7629,16.973,1.53923,0.0600708,0.241364,1.46329,1.23569e-07,0.725399
138,44.1109,1,13.5776,21.5694,21.7629,16.7,1.5392,0.0577836,0.231364,1.34162,1.20866e-07,0.706892
139,45.0011,1,13.5982,25.2015,21.7629,15.5829,1.63328,0.0561013,0.242163,1.36658,9.34936e-08,0.763461
140,48.0243,1,13.6028,27.5502,21.7629,15.9584,1.60832,0.0579059,0.233307,1.51774,9.39099e-08,0.771046
141,49.1677,1,13.66,28.0555,21.7629,16.3759,1.60832,0.0576856,0.235409,1.54218,9.33392e-08,0.796647
142,45.251,1,13.6448,29.3619,21.7629,16.8947,1.60828,0.0563668,0.250174,1.46794,8.76307e-08,0.79161
143,53.8952,1,13.5584,27.6028,21.7629,17.8506,1.62685,0.0614602,0.229509,1.55116,9.71848e-08,0.75463
144,61.3147,1,13.678,30.7572,21.7629,17.245,1.70558,0.0597003,0.239433,1.5488,1.0284e-07,0.807712
145,66.4379,1,13.6213,28.4602,21.7629,15.7095,1.68198,0.0652485,0.232755,1.52172,1.10582e-07,0.779081
146,64.9414,1,13.5868,28.3473,21.7629,15.1383,1.58544,0.0693186,0.235698,1.54381,9.89374e-08,0.825588
147,69.1264,1,13.5092,27.6976,21.7629,15.274,1.61185,0.0734327,0.240159,1.58861,8.84274e-08,0.811476
148,66.3436,1,13.7108,36.1402,21.7629,13.3324,1.56964,0.0701898,0.237421,1.6696,9.21131e-08,0.865115
149,50.1444,1,13.5651,36.8041,21.7629,14.1676,1.55571,0.0662725,0.237582,1.48842,8.10297e-08,0.764242
150,39.9894,1,13.657,32.0168,21.7629,14.8265,1.5556,0.0631874,0.234024,1.51548,7.00623e-08,0.748113
151,29.1646,1,13.7682,27.3645,21.7629,14.1644,1.58288,0.0567283,0.238375,1.25662,6.66631e-08,0.776249
152,35.9542,1,13.5916,24.4484,21.7629,15.4782,1.58298,0.0606936,0.238423,1.34127,6.97678e-08,0.718174
153,43.4016,1,13.5442,25.8981,21.7629,16.7417,1.63677,0.061392,0.237133,1.47602,7.36072e-08,0.697219
154,48.1464,1,13.5564,24.3449,21.7629,15.9576,1.63675,0.0623672,0.237443,1.48244,7.97795e-08,0.738961
155,42.1482,1,13.656,27.0465,21.7629,16.1717,1.59133,0.0627598,0.229668,1.4174,7.72052e-08,0.723288
156,39.7952,1,13.6209,27.8111,21.7629,16.6088,1.55573,0.0593021,0.228415,1.53013,8.50086e-08,0.705408
157,37.7061,1,13.5657,27.8699,21.7629,14.9728,1.55576,0.0602356,0.228754,1.60215,7.47066e-08,0.669171
158,41.6251,1,13.7964,27.517,21.7629,15.4175,1.64608,0.0599359,0.22478,1.501,8.10317e-08,0.659345
159,38.7245,1,13.6612,26.1009,21.7629,15.5989,1.64601,0.0576305,0.239367,1.40231,8.25691e-08,0.669045
160,50.9329,1,13.578,30.9727,21.7629,14.9103,1.7061,0.0607058,0.241602,1.41092,8.09858e-08,0.733195
161,41.6421,1,13.6525,32.1178,21.7629,14.7909,1.62999,0.0591493,0.23981,1.39065,7.45096e-08,0.769992
162,38.7549,1,13.6472,28.5466,21.7629,14.2492,1.5764,0.0640155,0.241932,1.32826,6.36763e-08,0.78001
163,31.6955,1,13.6204,27.8182,21.7629,14.5687,1.61381,0.0562897,0.232967,1.48469,6.3295e-08,0.716165
164,35.5782,1,13.6841,26.3191,21.7629,13.8122,1.61384,0.059037,0.23607,1.39326,6.75354e-08,0.735417
165,34.4358,1,13.505,25.3939,21.7629,15.2343,1.61387,0.0581458,0.230537,1.25448,7.58725e-08,0.707367
166,34.501,1,13.6893,23.9557,21.7629,15.553,1.61384,0.0585506,0.240861,1.26869,6.8852e-08,0.774122
167,23.1993,1,13.5285,24.7332,21.7629,16.5752,1.65167,0.0497937,0.230584,1.29707,6.74643e-08,0.705865
168,19.8535,1,13.5844,24.9416,21.7629,16.6065,1.55184,0.0554757,0.234269,1.1904,6.35628e-08,0.720122
169,25.8785,1,13.5876,24.5957,21.7629,15.7977,1.5243,0.0587618,0.238771,1.26536,6.15494e-08,0.77484
170,32.3529,1,13.6408,26.0971,21.7629,17.1343,1.57025,0.0615632,0.242095,1.35849,5.71066e-08,0.77689
171,30.8581,1,13.5194,26.9475,21.7629,16.5379,1.53579,0.0630799,0.230967,1.25384,5.82072e-08,0.818394
172,30.768,1,13.6834,22.4791,21.7629,17.203,1.51303,0.0650459,0.235241,1.28678,5.50547e-08,0.806931
173,25.4993,1,13.5525,23.8796,21.7629,15.7301,1.43507,0.0669094,0.227857,1.28328,5.41721e-08,0.765856
174,33.4837,1,13.6129,25.8043,21.7629,15.6516,1.46353,0.0665993,0.229342,1.39275,6.00644e-08,0.799366
175,32.039,1,13.5173,23.3537,21.7629,14.8017,1.52593,0.0625474,0.235491,1.38531,5.74321e-08,0.792171
176,30.6371,1,13.5877,25.163,21.7629,15.4164,1.55007,0.0617121,0.235969,1.44047,5.4967e-08,0.748029
177,35.9537,1,13.625,25.2486,21.7629,15.1154,1.63121,0.0624973,0.246265,1.35744,5.1357e-08,0.786832
178,32.3218,1,13.6789,24.109,21.7629,14.9222,1.6036,0.0620022,0.241248,1.34403,5.47559e-08,0.735505
179,26.002,1,13.5138,26.0174,21.7629,14.5768,1.57026,0.0651246,0.230952,1.23522,4.68445e-08,0.739975
180,28.4061,1,13.5188,27.1585,21.7629,15.6399,1.64505,0.0608168,0.249226,1.35621,3.93231e-08,0.809918
181,34.3344,1,13.4892,24.1734,21.7629,15.7369,1.67682,0.0609735,0.239135,1.40701,4.3946e-08,0.825162
182,23.581,1,13.5167,26.2842,21.7629,14.9806,1.60484,0.0581214,0.233036,1.38287,4.24959e-08,0.811771
183,17.4475,1,13.6275,24.0766,21.7629,15.5369,1.57172,0.056647,0.232222,1.29451,4.52757e-08,0.78889
184,26.8248,1,13.5303,24.2687,21.7629,15.6012,1.61349,0.0573057,0.233526,1.3734,4.69834e-08,0.843715
185,21.8673,1,13.6941,24.5407,21.7629,15.9896,1.64463,0.057183,0.235364,1.44025,4.07519e-08,0.752655
186,37.0009,1,13.7367,25.7685,21.7629,16.0002,1.68349,0.0616517,0.230108,1.64761,4.33698e-08,0.807374
187,33.2305,1,13.6655,29.3438,21.7629,16.2999,1.68354,0.062102,0.248362,1.48126,3.73345e-08,0.80737
188,28.6228,1,13.5718,28.2275,21.7629,15.6194,1.5723,0.0637098,0.227519,1.44911,3.98096e-08,0.879395
189,23.9995,1,13.572,29.2449,21.7629,16.1672,1.57231,0.0625619,0.231589,1.39528,3.90337e-08,0.80608
190,13.0807,1,13.6654,30.5098,21.7629,16.9473,1.46756,0.0615276,0.239468,1.45966,3.48447e-08,0.796178
191,15.411,1,13.4252,26.8581,21.7629,15.5634,1.5215,0.0611459,0.225699,1.32387,3.85539e-08,0.793583
192,14.8291,1,13.639,24.9401,21.7629,15.6374,1.59262,0.06145,0.233147,1.27499,3.56622e-08,0.730963
193,9.82541,1,13.5542,25.1802,21.7629,15.4414,1.568,0.0613484,0.222167,1.29271,3.40861e-08,0.697431
194,21.1515,1,13.684,24.9936,21.7629,15.9797,1.64552,0.0625656,0.231709,1.25962,3.42667e-08,0.814807
195,21.6502,1,13.6561,27.3757,21.7629,16.5764,1.54727,0.0680796,0.22598,1.41735,3.20474e-08,0.796007
196,26.7262,1,13.4714,29.5017,21.7629,16.5191,1.44107,0.0729061,0.222342,1.55889,3.32772e-08,0.841795
197,28.172,1,13.6773,34.1165,21.7629,15.9585,1.59989,0.0642585,0.227699,1.62902,3.53199e-08,0.812526
198,28.2662,1,13.6672,31.728,21.7629,16.4711,1.71552,0.0579743,0.246319,1.62047,3.31606e-08,0.794445
199,29.2692,1,13.58,29.932,21.7629,14.5629,1.61014,0.0614697,0.2393,1.56989,3.77908e-08,0.830872
200,21.4839,1,13.5158,30.1157,21.7629,13.6538,1.65997,0.0612449,0.229588,1.34136,3.36136e-08,0.792436
201,26.2889,1,13.6382,28.9048,21.7629,13.865,1.63224,0.0658907,0.230144,1.40495,3.6169e-08,0.732719
202,25.3514,1,13.6698,31.3567,21.7629,13.6712,1.60469,0.0646498,0.225926,1.50431,3.95308e-08,0.689644
203,16.0593,1,13.6335,25.792,21.7629,15.5201,1.59126,0.0623929,0.226916,1.34426,3.80059e-08,0.662483
204,15.7805,1,13.5338,22.3705,21.7629,16.0673,1.50453,0.0639276,0.239365,1.29761,3.7873e-08,0.723186
205,21.4829,1,13.5874,22.3698,21.7629,14.8659,1.46699,0.0670424,0.231104,1.37479,4.12612e-08,0.757164
206,17.8206,1,13.6203,24.6276,21.7629,16.1218,1.5158,0.0585676,0.245741,1.4593,3.66371e-08,0.859307
207,15.3839,1,13.3779,23.6561,21.7629,15.851,1.61586,0.0568248,0.226573,1.41286,3.56505e-08,0.765019
208,19.3397,1,13.5327,29.0598,21.7629,16.906,1.58992,0.0607808,0.225545,1.49928,3.7789e-08,0.719879
209,15.2557,1,13.645,28.194,21.7629,15.7646,1.53986,0.0589272,0.232095,1.46056,3.80852e-08,0.755793
210,14.5593,1,13.52,25.9678,21.7629,14.8331,1.56784,0.0559612,0.233291,1.3992,3.80727e-08,0.798975
211,16.6971,1,13.5398,29.0968,21.7629,15.22,1.56786,0.0554532,0.237815,1.42178,3.84111e-08,0.819735
212,9.21732,1,13.5115,26.2486,21.7629,14.9202,1.5679,0.0575519,0.237062,1.41266,2.98811e-08,0.764669
213,1.37118,1,13.5252,26.0657,21.7629,15.8145,1.5494,0.0578692,0.235335,1.27707,2.49898e-08,0.820899
214,10.7164,1,13.6484,31.3965,21.7629,15.0329,1.63597,0.0534834,0.244045,1.3789,3.00632e-08,0.826795
215,14.9495,1,13.5595,31.0638,21.7629,15.3694,1.63596,0.0507866,0.244184,1.39154,3.39225e-08,0.892138
216,15.7502,1,13.5232,30.1028,21.7629,14.7729,1.69155,0.051164,0.243886,1.3906,2.98259e-08,0.93512
217,1.9239,1,13.663,24.6954,21.7629,14.4972,1.60399,0.0548084,0.240961,1.2059,2.64929e-08,0.827166
218,6.58216,1,13.6377,25.6821,21.7629,15.1334,1.62172,0.0606777,0.242705,1.22906,2.53143e-08,0.746111
219,12.2182,1,13.4862,25.2406,21.7629,14.6379,1.57253,0.062496,0.231428,1.4024,2.84655e-08,0.74708
220,11.1583,1,13.5817,26.8428,21.7629,15.4367,1.57247,0.0605121,0.239317,1.37927,2.86777e-08,0.779328
