iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
60,458.542,1,22.1439,25.3798,13.438,1.47935,0.0468973,1.06271,-0.469498,0.186368,1.00874,0.271101,1.02158
61,456.747,1,22.357,25.0661,12.6824,1.5546,0.0431839,1.15648,-0.482632,0.181649,1.0296,0.264237,0.995715
62,459.23,1,22.0223,24.9475,12.5912,1.55462,0.0453666,1.1773,-0.473868,0.180626,1.00353,0.266441,0.988727
63,465.704,1,22.9386,25.0091,12.4565,1.59351,0.047831,1.11879,-0.502804,0.180449,1.03111,0.263001,0.963692
64,466.518,1,22.8295,25.126,12.5315,1.56187,0.0497748,1.11993,-0.505194,0.18765,1.005,0.263095,0.958275
65,455.085,1,22.5995,24.8068,12.4853,1.49785,0.047417,1.00323,-0.497823,0.182899,0.979554,0.256433,1.02412
66,449.877,1,22.0264,25.6808,10.6911,1.46952,0.0436168,1.05714,-0.480248,0.183098,0.954751,0.24994,1.11458
67,450.906,1,22.7064,25.2695,10.7467,1.43546,0.0432421,1.11496,-0.499642,0.184647,1.03976,0.243611,1.08635
68,455.351,1,22.5068,25.3634,11.4154,1.41247,0.0462816,1.06382,-0.490524,0.187466,1.07155,0.237443,1.18525
69,454.391,1,22.3975,24.6904,11.1988,1.4125,0.0481594,1.02057,-0.484598,0.191276,1.04442,0.231431,1.23177
70,455.356,1,22.2236,24.4534,11.8765,1.32712,0.0511401,0.9788,-0.480865,0.194278,1.01797,0.242553,1.20058
71,458.507,1,21.6837,24.3795,10.6608,1.48205,0.0454967,1.11489,-0.460567,0.189359,0.992197,0.262453,1.17018
72,454.972,1,22.7384,24.6674,11.4143,1.48202,0.045097,1.11223,-0.501028,0.187971,0.967074,0.267967,1.14055
73,454.656,1,22.3296,24.8404,11.9195,1.51079,0.043087,0.996422,-0.477477,0.185817,0.962609,0.261182,1.11167
74,450.237,1,22.0964,24.7874,12.2108,1.51077,0.0423425,1.20541,-0.469484,0.181615,0.938235,0.259415,1.08352
75,446.858,1,22.1349,24.0042,12.8659,1.56563,0.0386477,1.08072,-0.484552,0.184977,0.914478,0.255693,1.05609
76,450.157,1,22.3081,24.6304,11.8957,1.56564,0.0387732,1.05697,-0.490424,0.182948,0.980102,0.265522,1.02934
77,464.519,1,21.6721,24.6835,13.0186,1.56493,0.0450989,1.01982,-0.467385,0.178851,0.974371,0.292117,1.0149
78,469.415,1,22.0591,24.9436,12.1185,1.47524,0.0511731,1.01652,-0.479358,0.176378,1.05691,0.303995,1.01986
79,460.106,1,22.3542,24.5014,14.2684,1.49216,0.0460541,1.09635,-0.479795,0.185423,1.03015,0.301646,0.994039
80,465.442,1,22.6019,24.5017,13.2033,1.44536,0.0497965,1.14737,-0.491309,0.180844,1.15289,0.294008,0.992652
81,471.543,1,22.2151,24.0428,12.9741,1.37665,0.0563969,1.10498,-0.468433,0.177277,1.1237,0.330458,0.994041
82,471.434,1,22.104,24.0882,12.6933,1.52606,0.054996,0.999843,-0.462949,0.185913,1.09525,0.322091,0.968871
83,475.539,1,21.5734,24.2281,11.8797,1.46867,0.0571112,1.05251,-0.447146,0.190768,1.06752,0.313935,1.02055
84,474.127,1,22.3213,24.1717,12.3326,1.51447,0.0530519,1.12319,-0.479657,0.196393,1.11693,0.305986,0.994708
85,466.693,1,22.0482,23.8339,12.056,1.51445,0.0524525,1.08356,-0.476061,0.191421,1.08864,0.298239,0.978339
86,462.185,1,22.0011,23.2823,12.3021,1.41318,0.057075,0.951061,-0.480938,0.186574,1.06108,0.290687,0.953567
87,467.003,1,21.9011,24.0795,12.671,1.56792,0.0516328,0.989149,-0.467199,0.18185,1.03421,0.283327,0.956347
88,460.164,1,22.6283,24.7716,12.0905,1.48952,0.0490512,1.07579,-0.493386,0.187198,1.00803,0.276153,0.971985
89,449.394,1,21.9402,25.1661,12.7589,1.41505,0.0465986,1.03561,-0.473029,0.183738,0.982502,0.271898,0.949518
90,455.454,1,21.9705,25.0957,11.3914,1.46085,0.0477459,1.1421,-0.468711,0.185948,0.957624,0.268824,0.975449
91,458.679,1,22.0441,25.1801,10.3266,1.51484,0.0457964,1.09401,-0.466488,0.188139,0.933377,0.273254,0.995521
92,458.262,1,22.341,24.7582,10.9508,1.54661,0.0439878,1.00877,-0.474139,0.198695,0.977383,0.266335,0.970314
93,461.242,1,22.3856,24.3698,10.5227,1.56812,0.0464782,1.01361,-0.474491,0.197037,0.981971,0.259591,0.945745
94,463.659,1,22.3751,24.302,11.8214,1.51191,0.0526152,1.02257,-0.480647,0.198967,1.01823,0.253018,0.921798
95,456.105,1,22.4154,24.7183,12.6289,1.43146,0.0516748,1.01745,-0.478905,0.193929,0.992451,0.253492,0.898458
96,459.004,1,21.9713,24.8861,12.4705,1.30081,0.0579757,1.01527,-0.467321,0.189019,0.981314,0.265306,0.951798
97,454.999,1,21.5879,24.9313,13.0061,1.37914,0.0531716,1.00434,-0.466619,0.185271,0.956467,0.264888,0.927698
98,462.136,1,22.791,24.9696,12.1546,1.54016,0.0492675,1.09321,-0.515537,0.185833,0.932249,0.258181,0.943905
99,456.221,1,22.4481,24.6448,13.3524,1.47915,0.0479471,1.15475,-0.490324,0.189319,0.908644,0.272651,0.961507
100,451.853,1,22.1377,25.1782,13.1763,1.37817,0.049003,1.12179,-0.482888,0.188255,0.885636,0.270001,1.05243
101,458.237,1,22.0505,25.9709,12.1224,1.32033,0.0548084,1.11033,-0.471033,0.186694,0.928056,0.267463,1.07402
102,450.202,1,22.1479,25.4845,12.5507,1.25432,0.052068,1.05096,-0.473228,0.184372,0.907801,0.271787,1.05156
103,453.233,1,22.0738,25.8279,12.3668,1.33942,0.0508616,1.09119,-0.474027,0.181725,0.989861,0.264905,1.05331
104,460.2,1,22.5973,25.1419,12.9733,1.42283,0.0491279,1.15393,-0.490837,0.190382,1.02403,0.258197,1.12441
105,461.506,1,22.0499,25.3311,11.4898,1.42287,0.0498652,1.10747,-0.476451,0.190015,0.998099,0.25166,1.13535
106,463.507,1,22.3378,25.1585,13.1317,1.45334,0.0487585,1.09185,-0.487766,0.185359,1.07453,0.272918,1.1066
107,462.204,1,22.0997,25.0518,12.7049,1.37219,0.0508854,0.932604,-0.4746,0.192587,1.04732,0.278952,1.07858
108,463.449,1,22.5146,24.7274,12.4655,1.4321,0.0491707,1.1011,-0.489716,0.187711,1.02081,0.280558,1.10785
109,455.941,1,22.1218,24.92,13.2694,1.36337,0.0468069,1.06448,-0.470779,0.193912,1.19649,0.273454,1.0798
110,459.593,1,22.6344,24.4741,13.296,1.38117,0.0501447,1.10894,-0.486904,0.19179,1.17067,0.26653,1.05246
111,463.137,1,22.1847,24.8043,13.4968,1.38116,0.0513999,1.02203,-0.482793,0.186934,1.28001,0.260615,1.02581
112,463.931,1,21.9305,24.5226,14.9318,1.34545,0.048311,1.01046,-0.46541,0.198054,1.34294,0.264497,1.10726
113,468.977,1,23.0567,24.7197,14.1043,1.43932,0.048404,1.17304,-0.512256,0.193039,1.40142,0.257799,1.07922
114,476.772,1,21.5703,24.202,15.0783,1.46506,0.0521211,1.06284,-0.451176,0.189525,1.36594,0.258613,1.12234
115,463.752,1,21.9551,24.3879,14.0985,1.39181,0.049515,1.06187,-0.466647,0.196617,1.33135,0.252065,1.09392
116,455.446,1,21.9646,24.7379,15.4121,1.37066,0.0469985,1.02798,-0.465326,0.195901,1.29764,0.251204,1.06622
117,458.488,1,22.2145,24.7064,16.2126,1.35195,0.0478973,1.03145,-0.478293,0.192613,1.26479,0.276061,1.03923
118,456.622,1,22.7548,24.0538,14.542,1.33058,0.0490288,1.03726,-0.496448,0.187736,1.25808,0.269071,1.01291
119,456.411,1,22.5015,24.6072,14.5731,1.35038,0.047888,1.01304,-0.485699,0.18727,1.22622,0.262258,1.12354
120,463.236,1,22.2636,24.7247,12.5816,1.4729,0.0465623,1.05305,-0.477394,0.18968,1.19518,0.255617,1.09509
121,462.614,1,22.445,25.0555,14.398,1.52883,0.0478047,1.06427,-0.484856,0.184878,1.16491,0.249145,1.06736
122,453.781,1,22.4297,25.0731,15.8322,1.45002,0.0467637,1.0372,-0.49003,0.181361,1.13542,0.242836,1.04033
123,450.643,1,22.3065,25.3709,15.6355,1.37752,0.0444255,1.04532,-0.478195,0.187867,1.1435,0.250465,1.06479
124,450.067,1,22.7468,25.1709,13.6437,1.44892,0.0419902,1.19011,-0.500386,0.183667,1.11454,0.24814,1.07768
125,446.857,1,21.947,25.092,13.1643,1.34962,0.0456891,1.022,-0.472523,0.18497,1.08632,0.241857,1.13742
126,449.827,1,22.0551,24.8378,12.8858,1.37247,0.0469896,0.995834,-0.471951,0.188504,1.05881,0.235733,1.10862
127,443.527,1,22.1404,25.2431,11.4137,1.37244,0.0448456,1.01496,-0.476977,0.188022,1.032,0.229764,1.09038
128,448.021,1,22.3786,24.7262,11.8477,1.50374,0.0441226,1.07836,-0.486036,0.184302,1.00587,0.223946,1.06277
129,455.115,1,22.5803,25.3288,12.5834,1.41016,0.0493779,1.15899,-0.494304,0.184185,1.16642,0.218276,1.0417
130,460.261,1,22.8091,25.6202,11.99,1.25435,0.0581801,1.10981,-0.502431,0.187667,1.13689,0.22293,1.13122
131,467.852,1,22.4552,26.0295,13.5795,1.30651,0.0608867,1.05754,-0.484052,0.182915,1.1081,0.25292,1.10258
132,472.867,1,22.1054,25.9557,14.5636,1.35112,0.0634544,1.11552,-0.472053,0.178284,1.08338,0.246516,1.10571
133,468.979,1,22.9235,26.0737,12.8971,1.28357,0.0602817,1.13469,-0.505087,0.181439,1.05595,0.25653,1.11134
134,468.064,1,21.8891,25.3709,12.879,1.34737,0.0567793,1.07632,-0.471581,0.181926,1.05404,0.257693,1.16444
135,459.449,1,21.9457,25.2501,12.2575,1.28709,0.0549182,1.12586,-0.469447,0.181847,1.02735,0.267038,1.13496
136,458.538,1,22.1339,25.7984,11.0205,1.30862,0.0509908,1.07851,-0.475992,0.177243,1.10907,0.270445,1.18592
137,462.602,1,22.6699,25.2729,11.6974,1.39629,0.0496564,1.10001,-0.496321,0.183512,1.10203,0.275123,1.15589
138,468.752,1,22.5317,25.7043,12.4618,1.44259,0.0500106,1.07743,-0.495174,0.187546,1.08533,0.268737,1.1934
139,468.477,1,22.5571,26.2182,12.262,1.38641,0.0526444,1.10259,-0.497196,0.188339,1.1224,0.261932,1.19602
140,464.946,1,22.6258,25.1151,11.9712,1.3864,0.0528619,1.14019,-0.490584,0.193527,1.09398,0.2553,1.17314
141,471.959,1,22.2648,25.4153,12.1344,1.38651,0.058983,1.00506,-0.472195,0.188627,1.08176,0.253436,1.14343
142,472.25,1,21.6366,25.6664,11.5688,1.45848,0.0552455,1.03196,-0.449213,0.18881,1.05437,0.247801,1.16566
143,476.248,1,22.149,25.7113,12.4243,1.5093,0.0523213,1.0706,-0.478655,0.201531,1.11185,0.244721,1.16185
144,471.488,1,22.1115,25.5713,11.2191,1.45956,0.0533344,1.05775,-0.471125,0.196428,1.08369,0.238524,1.21817
145,477.12,1,22.2198,25.5596,10.9136,1.48183,0.0568563,1.05618,-0.482557,0.191454,1.15706,0.233803,1.18733
146,477.528,1,22.3533,25.921,11.343,1.4818,0.0562467,1.18808,-0.491301,0.186607,1.19197,0.236037,1.17502
147,477.51,1,21.7034,25.7169,11.8372,1.2996,0.0643971,1.09729,-0.457071,0.185628,1.16179,0.236168,1.25473
148,485.221,1,22.7236,25.9487,10.1689,1.37326,0.0639509,1.04304,-0.490297,0.195789,1.2183,0.237198,1.26409
149,472.13,1,21.9846,25.4406,11.8513,1.35474,0.0609196,1.01021,-0.465852,0.190831,1.18746,0.231192,1.23208
150,472.176,1,21.9198,25.3524,12.5294,1.31925,0.0622424,1.02072,-0.472714,0.185999,1.15739,0.225338,1.31977
151,468.101,1,22.9554,25.6886,11.5663,1.29856,0.0607924,1.10073,-0.502312,0.191421,1.12808,0.219632,1.30199
152,467.951,1,22.0056,25.4451,11.8928,1.35014,0.057281,1.0622,-0.474033,0.191307,1.10778,0.214071,1.26902
153,467.678,1,21.8847,25.2452,11.603,1.40796,0.0533559,1.02746,-0.465608,0.188654,1.14065,0.20865,1.31225
154,472.133,1,21.7755,25.389,10.7799,1.51281,0.0529643,1.06131,-0.461217,0.188482,1.11176,0.204513,1.35482
155,467.463,1,22.1817,25.2598,11.0599,1.36982,0.0555394,0.992089,-0.474506,0.186294,1.20023,0.201052,1.32051
156,463.973,1,22.548,25.8743,11.6709,1.30676,0.0592012,0.987193,-0.481327,0.194154,1.16984,0.207762,1.28708
157,459.874,1,22.0678,26.3673,10.6697,1.22117,0.0616917,1.03554,-0.469857,0.189238,1.14022,0.202502,1.25449
158,466.276,1,22.167,26.0672,11.2529,1.3268,0.0589914,1.07165,-0.473351,0.19188,1.15175,0.197374,1.23887
159,469.054,1,22.3165,25.923,11.7451,1.29587,0.0589888,1.05579,-0.486529,0.193708,1.17255,0.223755,1.2075
160,468.451,1,22.8924,26.161,11.1127,1.36585,0.0549646,1.12663,-0.510578,0.188803,1.3077,0.218089,1.17693
161,468.567,1,22.646,25.2629,13.3749,1.38662,0.0556736,1.02506,-0.496724,0.191149,1.27459,0.212567,1.14713
162,468.381,1,22.482,25.7388,14.2372,1.31819,0.0609967,1.15141,-0.490437,0.186309,1.24231,0.209636,1.18151
163,460.182,1,22.8355,25.2383,14.1437,1.28733,0.0570994,1.06743,-0.51014,0.185426,1.25027,0.204328,1.1516
164,464.843,1,22.292,25.0436,11.2118,1.3634,0.0566893,1.12288,-0.47793,0.18683,1.23354,0.199154,1.14032
165,465.914,1,22.0213,24.5415,11.5518,1.36339,0.0564534,1.11299,-0.46947,0.191322,1.2023,0.219502,1.11144
166,459.171,1,22.3412,24.7493,13.044,1.36334,0.0531033,1.07218,-0.477607,0.192914,1.17186,0.216068,1.0833
167,466.511,1,22.343,25.3453,12.7048,1.38059,0.0565537,1.13512,-0.483209,0.188029,1.25454,0.210598,1.10068
168,473.287,1,22.8983,24.9161,12.2578,1.45208,0.0561363,1.06677,-0.511193,0.185084,1.31229,0.205265,1.12134
169,469.67,1,22.3444,24.7544,12.5626,1.41612,0.0550723,1.05843,-0.486394,0.19292,1.27906,0.207025,1.21302
170,463.621,1,22.8365,25.1489,12.0127,1.28117,0.0568675,1.10446,-0.50407,0.188035,1.29834,0.205071,1.18408
171,467.619,1,22.6214,24.7969,12.9708,1.39542,0.0555125,1.07884,-0.490275,0.189773,1.26546,0.20791,1.1541
172,467.451,1,23.1511,25.1401,12.2627,1.39544,0.0575479,1.12144,-0.508071,0.187943,1.23342,0.227884,1.12488
173,470.275,1,22.7201,25.4972,11.593,1.40566,0.0580556,1.05002,-0.493607,0.183184,1.20219,0.246119,1.1303
174,478.953,1,21.8614,25.0773,10.6648,1.38725,0.0630813,0.952883,-0.465843,0.178546,1.17175,0.239887,1.23127
175,472.933,1,22.7164,25.1189,11.0935,1.426,0.0574262,0.972562,-0.4988,0.182923,1.14208,0.233813,1.35827
176,482.663,1,22.084,24.9344,10.1005,1.3445,0.0649896,1.09173,-0.477506,0.183317,1.11316,0.227892,1.47269
177,481.161,1,22.4361,25.6208,9.20599,1.34443,0.060129,1.09829,-0.481958,0.185718,1.0947,0.249087,1.54083
178,481.963,1,22.3525,25.0689,8.35883,1.45439,0.058431,1.04877,-0.480565,0.182184,1.06698,0.24278,1.50182
179,481.081,1,22.0434,25.097,8.86132,1.51735,0.0526937,1.1365,-0.470679,0.189675,1.10285,0.247719,1.46379
180,471.442,1,21.6488,25.4324,8.4703,1.47311,0.0496385,1.08067,-0.452156,0.193664,1.07493,0.247473,1.42672
181,470.426,1,22.2146,25.4508,10.0373,1.38149,0.0525473,1.14087,-0.484927,0.188761,1.11169,0.258334,1.3906
182,470.667,1,22.3845,25.3834,9.93218,1.4729,0.052109,1.1604,-0.482305,0.188726,1.08354,0.251793,1.35539
183,465.624,1,23.0333,24.7994,11.4174,1.47286,0.0478244,1.17322,-0.505739,0.188981,1.0561,0.245798,1.32107
184,460.449,1,22.4053,24.8001,11.5712,1.47285,0.0488448,1.09991,-0.490659,0.190645,1.02936,0.258776,1.28762
185,457.336,1,22.9465,25.4649,12.5993,1.54217,0.0420241,1.11322,-0.498746,0.190895,1.0033,0.257436,1.25502
186,456.968,1,22.5941,24.6925,12.1541,1.58794,0.0378904,1.02792,-0.487007,0.194548,1.01385,0.25783,1.22324
187,460.693,1,21.5227,24.1319,11.165,1.6195,0.0389276,1.07159,-0.448934,0.193838,1.02426,0.251302,1.19227
188,454.45,1,21.8529,24.3044,11.859,1.55271,0.0426584,1.03042,-0.460507,0.18893,0.99833,0.244939,1.16208
189,457.816,1,22.0088,24.0961,11.5621,1.51067,0.0471537,1.16868,-0.469157,0.187625,1.02103,0.238737,1.13265
190,453.991,1,22.7843,24.4688,12.9755,1.54561,0.0448003,1.05812,-0.497303,0.186423,0.995173,0.232692,1.10397
191,452.527,1,22.8078,25.4849,12.9955,1.49156,0.0437218,1.01315,-0.509329,0.182565,1.00204,0.239747,1.07602
192,450.947,1,22.8403,25.559,12.3182,1.43425,0.0462561,1.07729,-0.505794,0.186667,1.09911,0.233677,1.04877
193,453.951,1,21.7586,24.6927,11.8076,1.33392,0.0520546,1.07878,-0.462804,0.18194,1.07128,0.22776,1.13034
194,450.579,1,22.2229,25.1969,12.2156,1.35544,0.0507478,1.17339,-0.481071,0.18183,1.04415,0.2236,1.10172
195,449.466,1,21.7851,25.2656,12.505,1.35546,0.0512931,1.01699,-0.456206,0.188439,1.03125,0.217938,1.07383
196,457.023,1,21.5894,24.7056,12.1978,1.35552,0.0534354,1.09841,-0.458149,0.186092,1.00514,0.235003,1.04664
197,457.214,1,22.333,24.7193,12.411,1.34531,0.0562231,1.09146,-0.479786,0.187258,0.979689,0.235335,1.02014
198,459.58,1,22.6741,24.803,12.3896,1.34532,0.0571359,1.15585,-0.493726,0.18784,1.02994,0.229376,1.05495
199,460.273,1,22.5405,24.6416,11.8201,1.39222,0.055914,1.09377,-0.491955,0.192978,1.00386,0.233838,1.02824
200,464.413,1,22.23,24.5668,12.3852,1.34509,0.0586701,1.12318,-0.479975,0.190088,1.06524,0.228564,1.02546
201,466.065,1,22.4781,24.9774,11.8333,1.36622,0.0590486,1.0332,-0.485885,0.185275,1.09377,0.239206,0.99949
202,461.11,1,22.1635,24.8354,11.569,1.3662,0.058266,1.0095,-0.470056,0.187736,1.01244,0.23171,0.94551
203,456.933,1,21.6934,25.1141,12.0272,1.449,0.0504166,0.996508,-0.454143,0.187296,0.936154,0.24324,1.01029
204,447.534,1,21.7023,24.4627,11.7074,1.36459,0.0494978,1.07925,-0.459052,0.185378,0.884087,0.246845,0.998468
205,459.593,1,22.3619,24.1613,12.1688,1.39948,0.0514143,1.051,-0.48376,0.192208,0.955714,0.2725,1.00761
206,457.081,1,22.1774,24.1597,12.6251,1.39945,0.0492163,1.03517,-0.475279,0.191342,1.01262,0.265214,0.984267
207,455.032,1,22.0547,24.6378,12.8542,1.34849,0.0511623,1.01609,-0.474525,0.186096,0.964886,0.281274,0.983957
208,455.337,1,21.96,24.4538,12.229,1.41996,0.0489336,1.04667,-0.472225,0.176256,1.00511,0.262673,0.992882
209,454.644,1,22.5617,24.7637,11.9149,1.52281,0.0435111,1.0489,-0.496374,0.186237,0.913535,0.255278,1.03559
210,449.365,1,22.1088,24.7596,12.7215,1.52284,0.0454628,1.08112,-0.480029,0.18814,0.836681,0.229332,0.963402
211,454.054,1,22.3511,24.5329,12.3361,1.52576,0.0480882,1.05596,-0.492664,0.188549,0.776174,0.253448,0.941018
212,445.002,1,22.5094,24.8336,11.4327,1.43724,0.0461282,1.0585,-0.494534,0.185952,0.786518,0.271838,0.905515
213,440.868,1,22.2489,24.2308,12.6842,1.41252,0.0464667,1.00107,-0.480459,0.186563,0.725676,0.273688,0.89101
214,449.442,1,22.2479,24.1557,12.8682,1.41258,0.049376,0.971803,-0.491655,0.175528,0.779406,0.285755,0.964008
