rep,ID,eta_V_simulated,eta_Cl_simulated,split,color,filter
8,5,-0.372188,-0.10988,All,#4682B4,0
9,5,-0.353975,-0.207179,All,#4682B4,0
0,6,0.143252,0.0653128,All,#4682B4,0
1,6,-0.144503,0.0991366,All,#4682B4,0
2,6,0.0652176,0.0897066,All,#4682B4,0
3,6,-0.0626873,0.167627,All,#4682B4,0
4,6,0.148368,0.0592227,All,#4682B4,0
5,6,-0.0469202,0.0519916,All,#4682B4,0
6,6,0.107368,-0.0932613,All,#4682B4,0
7,6,0.0872441,-0.0116476,All,#4682B4,0
8,6,-0.0403947,0.148045,All,#4682B4,0
9,6,-0.0244544,0.029381,All,#4682B4,0
0,7,0.742473,-0.683579,All,#4682B4,0
1,7,0.504114,-0.448789,All,#4682B4,0
2,7,0.342969,-0.425639,All,#4682B4,0
3,7,0.412098,-0.492237,All,#4682B4,0
4,7,0.495682,-0.513501,All,#4682B4,0
5,7,0.490598,-0.510358,All,#4682B4,0
6,7,0.559132,-0.582109,All,#4682B4,0
7,7,0.677935,-0.501603,All,#4682B4,0
8,7,0.587495,-0.48802,All,#4682B4,0
9,7,0.334795,-0.400288,All,#4682B4,0
0,8,-0.1747,-0.330526,All,#4682B4,0
1,8,-0.275145,-0.299952,All,#4682B4,0
2,8,-0.165041,-0.416575,All,#4682B4,0
3,8,-0.203027,-0.473718,All,#4682B4,0
4,8,-0.0794731,-0.450538,All,#4682B4,0
5,8,-0.134207,-0.297314,All,#4682B4,0
6,8,-0.0361945,-0.471746,All,#4682B4,0
7,8,-0.180609,-0.351484,All,#4682B4,0
8,8,-0.0686221,-0.362267,All,#4682B4,0
9,8,-0.0420809,-0.337801,All,#4682B4,0
0,9,0.119362,0.309988,All,#4682B4,0
1,9,-0.0167261,0.235388,All,#4682B4,0
2,9,0.163352,0.5293,All,#4682B4,0
3,9,0.0481881,0.3932,All,#4682B4,0
4,9,0.043875,0.509756,All,#4682B4,0
5,9,0.01862,0.391843,All,#4682B4,0
6,9,0.0658934,0.304042,All,#4682B4,0
7,9,0.0845658,0.173784,All,#4682B4,0
8,9,0.105945,0.283129,All,#4682B4,0
9,9,-0.0722543,0.225887,All,#4682B4,0
0,10,0.110805,0.455518,All,#4682B4,0
1,10,0.278804,0.0150922,All,#4682B4,0
2,10,0.337932,0.255957,All,#4682B4,0
3,10,0.356824,0.161106,All,#4682B4,0
4,10,0.103521,0.112517,All,#4682B4,0
5,10,0.0285566,0.299712,All,#4682B4,0
6,10,0.179006,0.231002,All,#4682B4,0
7,10,0.233979,0.284164,All,#4682B4,0
8,10,0.171371,0.221418,All,#4682B4,0
9,10,0.278087,0.351573,All,#4682B4,0
0,11,0.0801747,0.115291,All,#4682B4,0
1,11,0.180823,0.160179,All,#4682B4,0
2,11,-0.00489304,0.191591,All,#4682B4,0
3,11,0.175775,0.0998573,All,#4682B4,0
4,11,0.1441,0.298393,All,#4682B4,0
5,11,-0.00384122,0.31649,All,#4682B4,0
6,11,0.119036,0.420123,All,#4682B4,0
7,11,0.204436,0.220983,All,#4682B4,0
8,11,-0.00434904,0.215967,All,#4682B4,0
9,11,0.178017,0.20471,All,#4682B4,0
0,12,-0.170264,-0.000781846,All,#4682B4,0
1,12,-0.191059,-0.0774297,All,#4682B4,0
2,12,-0.307548,0.0428229,All,#4682B4,0
3,12,-0.229507,0.00442096,All,#4682B4,0
4,12,-0.300784,0.0514923,All,#4682B4,0
5,12,-0.313045,-0.0219012,All,#4682B4,0
6,12,-0.08476,-0.0176652,All,#4682B4,0
7,12,-0.302319,-0.00301037,All,#4682B4,0
8,12,-0.265629,0.052993,All,#4682B4,0
9,12,-0.337572,0.00996866,All,#4682B4,0
0,13,0.52391,-0.209533,All,#4682B4,0
1,13,0.500744,-0.174208,All,#4682B4,0
2,13,0.474062,-0.136549,All,#4682B4,0
3,13,0.53235,-0.0636869,All,#4682B4,0
4,13,0.675334,-0.133939,All,#4682B4,0
5,13,0.62194,-0.205799,All,#4682B4,0
6,13,0.43008,-0.0698517,All,#4682B4,0
7,13,0.39851,-0.194579,All,#4682B4,0
8,13,0.437388,-0.261124,All,#4682B4,0
9,13,0.656043,-0.07304,All,#4682B4,0
0,14,-0.0794886,-0.244569,All,#4682B4,0
1,14,-0.10143,-0.23773,All,#4682B4,0
2,14,-0.0561001,-0.297155,All,#4682B4,0
3,14,-0.045242,-0.402773,All,#4682B4,0
4,14,0.00920027,-0.346468,All,#4682B4,0
5,14,-0.0752105,-0.210925,All,#4682B4,0
6,14,-0.033285,-0.294503,All,#4682B4,0
7,14,-0.0137985,-0.431094,All,#4682B4,0
8,14,0.0755484,-0.36914,All,#4682B4,0
9,14,0.0636721,-0.444434,All,#4682B4,0
0,15,-0.422473,-0.362934,All,#4682B4,0
1,15,-0.442143,-0.297841,All,#4682B4,0
2,15,-0.478284,-0.329205,All,#4682B4,0
3,15,-0.51443,-0.365589,All,#4682B4,0
4,15,-0.52763,-0.394732,All,#4682B4,0
5,15,-0.511639,-0.340583,All,#4682B4,0
6,15,-0.414898,-0.322859,All,#4682B4,0
7,15,-0.526011,-0.160717,All,#4682B4,0
8,15,-0.437358,-0.352378,All,#4682B4,0
9,15,-0.450706,-0.423468,All,#4682B4,0
