iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,beta_V1_logtWTKG,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
48,467.645,1,22.3644,25.4164,13.9799,1.47154,0.0497297,1.0228,-0.481604,2.34346,-0.681696,-2.28999,0.197685,1.05006,0.29249,1.00646
49,464.453,1,22.5555,24.9498,14.4312,1.41387,0.0525211,0.997708,-0.496688,3.90596,-1.07526,-1.64154,0.19268,1.08995,0.286923,0.980973
50,466.263,1,22.4781,24.2165,12.8215,1.33677,0.057483,0.961737,-0.491591,4.12805,-1.22719,-1.71388,0.189294,1.17682,0.279658,0.956135
51,469.04,1,23.0195,25.1982,12.818,1.40015,0.0550412,0.952178,-0.516183,4.97901,-0.889588,-1.61264,0.191413,1.21007,0.275024,0.931925
52,473.676,1,23.0201,24.5909,12.9299,1.46803,0.0499721,1.01856,-0.511044,4.16802,-0.971106,-1.73403,0.194319,1.26981,0.305081,0.96295
53,469.474,1,22.0778,24.4105,13.144,1.50533,0.0464456,0.997695,-0.478111,4.34637,-0.9867,-2.32106,0.196657,1.23766,0.313303,0.9511
54,465.897,1,22.3851,24.6867,13.2044,1.55961,0.0469055,1.12251,-0.492724,3.93135,-0.925606,-2.37796,0.193491,1.20632,0.30537,0.927018
55,474.619,1,22.2027,24.481,13.7352,1.59096,0.0475517,1.06456,-0.493171,4.61593,-1.0164,-2.80064,0.188592,1.17821,0.297638,0.950814
56,473.124,1,22.7589,25.2344,12.4958,1.50795,0.051055,0.972402,-0.505067,3.08232,-1.03698,-2.14266,0.184105,1.14837,0.302143,1.07907
57,468.95,1,22.3651,24.5797,11.4535,1.54518,0.0477171,1.04713,-0.494266,2.44412,-1.04593,-1.73426,0.179443,1.1193,0.299691,1.05174
58,457.612,1,21.8813,24.4232,12.8137,1.36748,0.0495765,1.0028,-0.464761,2.12639,-0.799109,-1.85214,0.192739,1.09096,0.298923,1.04762
59,460.473,1,22.0761,25.0086,12.1732,1.42402,0.0509746,1.08276,-0.480962,2.6494,-0.740442,-1.99587,0.187859,1.06333,0.291354,1.02109
60,457.551,1,22.1855,25.0731,13.9768,1.39367,0.0526289,1.08423,-0.473167,3.32496,-0.704463,-2.12539,0.186514,1.03641,0.283977,0.995235
61,457.449,1,21.9602,24.694,12.8269,1.45826,0.0483997,1.1086,-0.468944,3.11521,-0.675971,-2.44878,0.186649,1.02385,0.276787,0.970035
62,465.846,1,22.1644,25.2188,12.0193,1.45827,0.0497238,1.07273,-0.475373,3.52812,-0.881604,-1.74765,0.183262,1.02172,0.297426,1.04783
63,464.096,1,22.2123,24.8433,13.0588,1.48136,0.0525742,1.03588,-0.473226,2.80432,-1.07532,-1.59229,0.178622,0.995846,0.289895,1.02129
64,470.563,1,22.3933,25.3894,12.9967,1.45774,0.0569375,1.04642,-0.489882,3.42194,-0.940137,-2.22042,0.190468,0.970631,0.282555,1.00771
65,465.855,1,21.6065,25.2032,12.1891,1.45769,0.0551256,1.00208,-0.458312,1.7138,-0.756613,-3.01005,0.186508,0.946054,0.2754,0.995557
66,459.965,1,21.7786,25.7165,10.9378,1.38481,0.0523694,1.03487,-0.474476,2.19367,-0.746414,-1.87961,0.185846,0.934471,0.268567,1.00901
67,459.166,1,22.1889,25.7256,11.4754,1.28454,0.0571868,1.01735,-0.484818,3.72641,-0.817604,-1.6937,0.182877,0.9647,0.266197,1.04685
68,452.979,1,22.3813,25.7385,12.5733,1.17591,0.0586299,1.00716,-0.480618,3.62561,-0.784227,-3.24848,0.189753,1.00093,0.259457,1.09977
69,452.364,1,22.3594,25.5297,12.1187,1.25769,0.0555402,1.02366,-0.48125,2.93395,-0.701159,-2.91993,0.185632,0.975586,0.252887,1.15822
70,451.976,1,22.0847,25.5061,11.3087,1.27714,0.0529196,1.01624,-0.477559,2.83004,-0.63431,-3.03995,0.189307,0.950883,0.265695,1.12889
71,462.51,1,21.7378,25.3051,11.641,1.4824,0.0479521,1.09587,-0.459255,3.28983,-0.651064,-3.90381,0.185786,0.926806,0.285411,1.10031
72,454.174,1,22.5479,25.2073,12.1351,1.50382,0.0444172,1.13841,-0.492256,2.93645,-0.795811,-2.60557,0.186473,0.903339,0.278184,1.07245
73,448.241,1,21.921,24.8459,13.0383,1.37712,0.0453939,1.00002,-0.461557,2.79914,-1.02261,-2.79056,0.193572,0.880466,0.27114,1.12591
74,450.029,1,21.6978,24.673,13.7153,1.3491,0.0482889,1.10759,-0.450362,2.05732,-0.781985,-3.47308,0.202332,0.928276,0.264275,1.0974
75,448.082,1,21.5581,23.6524,13.4519,1.3706,0.0479603,1.04624,-0.456399,2.59433,-0.5367,-3.51162,0.19845,0.925505,0.257583,1.06962
76,439.968,1,21.7705,24.0252,13.7767,1.42268,0.0434196,1.0103,-0.469842,2.2476,-0.819131,-2.54364,0.193425,0.90207,0.25474,1.04253
77,450.552,1,21.4891,23.6876,14.7466,1.44565,0.0442738,1.01486,-0.458879,2.36702,-1.02081,-2.95186,0.188527,0.919599,0.279325,1.01614
78,464.654,1,21.6817,23.7676,13.3716,1.48275,0.0480427,1.01627,-0.45988,2.66146,-1.01042,-3.51342,0.183754,1.00316,0.290875,1.04799
79,460.873,1,22.0006,23.952,14.7058,1.50757,0.0478818,1.0635,-0.473456,2.05005,-0.733898,-3.04682,0.18145,0.99927,0.28351,1.02145
80,462.304,1,23.0153,23.9389,14.0298,1.41189,0.0502717,1.15326,-0.512245,2.71372,-0.814978,-2.90458,0.179804,1.07768,0.280668,1.03023
81,466.119,1,21.77,23.9018,13.2681,1.49783,0.0486493,1.00722,-0.459831,2.11469,-0.913544,-3.43533,0.178473,1.0504,0.305102,1.00414
82,464.987,1,21.9831,24.2738,13.7878,1.49783,0.0495491,1.04963,-0.462647,2.96745,-0.862301,-3.2014,0.187329,1.0238,0.297377,1.01472
83,459.649,1,22.2851,23.9813,12.5999,1.46293,0.0481809,1.09576,-0.470735,2.29208,-0.760477,-2.65862,0.198648,0.997875,0.289847,0.989023
84,452.619,1,22.1701,23.8891,13.0261,1.40012,0.0487289,1.06045,-0.475309,1.26621,-0.496974,-2.76177,0.194234,0.987298,0.282508,0.96398
85,448.84,1,22.6993,23.9766,12.0598,1.45269,0.0461035,1.06526,-0.493808,1.14228,-0.195937,-3.25555,0.189315,0.971354,0.275355,0.939571
86,453.214,1,22.3093,23.6921,12.442,1.41486,0.0517119,0.980727,-0.484421,1.25275,-0.160864,-3.28747,0.184522,0.946758,0.268383,0.915781
87,458.597,1,21.8739,24.0164,12.7704,1.41485,0.051418,1.01711,-0.464432,1.84972,-0.139283,-3.51569,0.182177,0.981766,0.27207,0.970755
88,454.973,1,22.8348,24.4325,11.6936,1.48429,0.0452758,1.06718,-0.501557,1.72638,-0.274282,-3.38123,0.188346,0.997202,0.277088,0.946175
89,449.893,1,21.8072,25.1931,12.0729,1.42355,0.0460295,1.06989,-0.468415,1.22856,-0.162829,-3.44792,0.183577,0.984178,0.270072,0.941893
90,457.954,1,22.116,25.2599,10.6098,1.42359,0.0466812,1.10565,-0.477507,0.62663,-0.0319185,-3.8944,0.185122,1.09544,0.265282,1.02239
91,459.039,1,21.8454,24.9989,11.2857,1.39829,0.0514817,1.15591,-0.457233,1.16802,0.0902866,-4.15505,0.190727,1.1127,0.258565,0.996505
92,460.654,1,22.2088,24.7283,11.4231,1.34811,0.0536206,1.02075,-0.471431,0.354843,-0.113567,-3.79193,0.206606,1.19782,0.252018,0.971273
93,464.477,1,22.3454,24.3485,10.6398,1.49708,0.051141,1.04551,-0.479345,0.133569,0.054325,-2.99471,0.201374,1.16749,0.245637,0.94668
94,465.458,1,22.3566,24.3945,11.2641,1.44105,0.0535563,1.0345,-0.480721,2.05588,0.146303,-3.88507,0.196276,1.15569,0.239417,0.957814
95,463.976,1,22.7164,24.5074,11.2481,1.40077,0.0558486,0.999013,-0.491119,1.36702,0.147667,-4.58944,0.196736,1.12642,0.244122,0.933562
96,461.448,1,22.3182,24.5128,10.9692,1.30139,0.0575095,1.04118,-0.47891,1.6004,0.143881,-5.66067,0.191755,1.0979,0.253038,0.986354
97,464.821,1,21.9505,24.4772,11.5229,1.33628,0.0572336,1.15848,-0.479506,0.410626,0.213982,-4.84388,0.189951,1.12618,0.246631,0.986778
98,471.389,1,22.6558,25.1508,10.8085,1.39333,0.0555777,1.16752,-0.508786,1.65116,0.201631,-4.9786,0.195946,1.09767,0.283324,1.01617
99,464.773,1,22.0861,24.6032,12.3272,1.39322,0.0509593,1.1317,-0.477938,2.32502,0.0475796,-5.56509,0.194881,1.06987,0.27615,1.14596
100,470.322,1,21.7939,24.1353,13.8847,1.43937,0.0485559,1.17762,-0.475956,2.0076,-0.324094,-5.22699,0.196885,1.10426,0.279214,1.20159
101,471.183,1,21.4243,24.1018,13.7659,1.32778,0.0546572,1.1724,-0.460335,1.43648,-0.298707,-5.08745,0.192516,1.14964,0.274153,1.22193
102,471.073,1,21.4089,23.8869,14.1176,1.41685,0.0510225,1.07416,-0.453891,2.03902,-0.116503,-4.92254,0.190329,1.12343,0.271255,1.22565
103,464.438,1,22.0221,24.3185,13.4824,1.32776,0.0500097,1.12574,-0.476294,1.35649,-0.097466,-4.67948,0.188234,1.26917,0.28279,1.19462
104,472.25,1,22.1054,24.6754,12.8677,1.32847,0.0538891,1.14602,-0.474512,1.07185,0.093356,-4.9531,0.194708,1.23704,0.275629,1.30519
105,468.022,1,21.3338,24.6217,12.1594,1.38173,0.0509909,1.13648,-0.453282,-0.372104,0.246109,-4.40798,0.200054,1.20571,0.26865,1.27827
106,465.645,1,21.5815,24.9485,12.4174,1.33169,0.0519812,1.18644,-0.462383,-0.194404,0.10811,-4.63877,0.204479,1.21485,0.261848,1.24591
107,464.813,1,22.1473,25.1798,13.2856,1.35253,0.0513318,1.08297,-0.485816,1.03739,0.00931087,-4.40962,0.199302,1.18409,0.255218,1.22645
108,463.065,1,21.9238,24.5156,13.22,1.35249,0.0505337,1.0732,-0.470602,0.766281,0.0380173,-3.78189,0.195036,1.15411,0.248756,1.32232
109,466.004,1,21.9444,25.1167,14.7668,1.41487,0.0509721,1.12414,-0.468568,0.0712626,0.0533722,-3.61172,0.199639,1.14211,0.242457,1.28884
110,467.882,1,22.5003,24.4164,13.1044,1.55097,0.0427688,1.15179,-0.482117,0.0867475,-0.029026,-3.09413,0.197339,1.14757,0.239653,1.25727
111,468.453,1,21.8664,24.6849,13.5153,1.53559,0.0473127,1.06191,-0.46532,0.807828,0.148439,-3.64317,0.192342,1.12612,0.244374,1.22543
112,455.799,1,22.0356,24.6274,12.5651,1.45881,0.044947,1.04998,-0.468886,2.1043,0.104216,-4.06256,0.194752,1.19309,0.238186,1.1944
113,462.886,1,23.5603,24.944,13.0684,1.4355,0.0499039,1.29904,-0.52184,1.05171,-0.0197814,-4.25483,0.18982,1.19294,0.232155,1.16416
114,466.73,1,22.0278,24.7827,13.6032,1.43555,0.0508219,1.12742,-0.468365,0.782871,0.0798287,-3.92311,0.191131,1.33659,0.226277,1.13468
115,459.876,1,22.3169,24.41,13.2186,1.38368,0.0492873,1.11997,-0.490232,0.507063,0.0427847,-3.69897,0.19654,1.30275,0.229995,1.10595
116,459.994,1,21.9454,24.8528,13.4346,1.38375,0.0534319,1.0805,-0.469975,2.02725,-0.0217146,-4.30741,0.191564,1.26976,0.224171,1.07795
117,459.321,1,22.7557,24.722,13.1529,1.38378,0.053305,1.07746,-0.50205,1.12833,-0.0627039,-3.78937,0.19163,1.23761,0.222211,1.05065
118,456.915,1,23.0178,24.0338,11.2,1.35785,0.0546673,1.07987,-0.505131,0.398628,-0.0261389,-3.9713,0.186777,1.20628,0.216584,1.04576
119,462.008,1,22.5494,24.806,12.5483,1.39786,0.0575824,1.12746,-0.479734,0.428989,-0.0662676,-3.3871,0.185007,1.17573,0.2111,1.01929
120,470.787,1,21.8299,24.7987,11.6788,1.49542,0.0540636,1.05575,-0.459573,-0.00693534,-0.00235012,-3.1578,0.180323,1.27482,0.205755,1.08686
121,462.434,1,22.2306,24.8904,12.2587,1.43739,0.05729,1.06825,-0.483591,1.36303,-0.0445788,-4.05309,0.175757,1.24254,0.200545,1.05934
122,453.455,1,22.1439,25.6646,12.8964,1.36552,0.0544255,1.03854,-0.475448,1.41514,0.253837,-4.61089,0.181032,1.21108,0.203609,1.03252
123,451.821,1,22.43,25.0327,12.9833,1.34355,0.0523825,1.10606,-0.482631,1.93094,0.152999,-4.42587,0.18521,1.20544,0.198453,1.00637
124,452.244,1,23.0844,24.8239,13.4661,1.34354,0.0510141,1.15891,-0.514387,1.88442,0.146701,-4.28482,0.185954,1.19734,0.204096,1.01273
125,460.049,1,22.5044,24.9634,14.2049,1.30684,0.0571122,1.12201,-0.496507,1.32428,0.177951,-4.52307,0.182614,1.24628,0.201716,1.04631
126,462.259,1,21.9012,24.6026,13.3864,1.38118,0.0564786,1.06069,-0.464886,1.99265,0.39219,-3.86661,0.183744,1.2595,0.196609,1.01982
127,463.042,1,22.8755,24.4075,13.1261,1.34795,0.0604228,1.14123,-0.508617,0.997667,0.165418,-3.4324,0.184833,1.22761,0.196412,0.993994
128,468.042,1,22.1566,24.1842,13.2687,1.44854,0.0613915,1.1156,-0.4803,-1.33572,0.346055,-3.77809,0.191235,1.19653,0.211372,0.968826
129,469.941,1,22.3774,24.2788,12.8887,1.37662,0.0638206,1.13211,-0.489312,-2.16364,0.283512,-4.03169,0.186393,1.20962,0.20602,0.944294
130,471.636,1,23.1278,24.6468,12.6589,1.37671,0.0664924,1.11873,-0.515785,-0.814919,0.0784746,-4.75703,0.181674,1.179,0.200803,0.984315
131,464.474,1,22.5713,25.2802,12.6403,1.42275,0.0603163,1.11279,-0.488719,-0.327899,0.28291,-4.15268,0.177074,1.22947,0.195719,0.959392
132,475.421,1,22.2596,25.4916,13.0119,1.43339,0.06577,1.09619,-0.477351,0.315654,0.262476,-5.32118,0.178614,1.27475,0.206967,0.9351
133,472.888,1,22.4845,25.7256,11.534,1.25051,0.0699209,1.16559,-0.486145,1.94953,0.0981909,-4.36619,0.188108,1.35759,0.203956,0.911422
134,473.754,1,21.9287,25.3916,13.1253,1.25047,0.0682479,1.1255,-0.471488,1.76631,-0.0121823,-4.64168,0.184955,1.61098,0.201118,0.888345
135,470.219,1,21.9266,25.3179,13.1971,1.25045,0.0692964,1.15675,-0.468241,3.20038,-0.0191947,-4.39388,0.187457,1.57019,0.196025,0.865851
136,476.148,1,22.6498,25.1236,13.1236,1.25042,0.0679849,1.16777,-0.496052,2.17376,0.094226,-4.70784,0.18271,1.70234,0.204025,0.900869
137,468.413,1,23.6037,25.4271,13.2175,1.1879,0.0645856,1.17938,-0.530445,0.74092,0.178117,-5.17177,0.187517,1.75466,0.202035,0.878058
138,464.876,1,22.6403,25.2947,13.9112,1.38881,0.0539477,1.02729,-0.499332,-0.111219,0.250357,-4.75379,0.187808,1.76458,0.19692,0.855826
139,475.493,1,22.7239,25.0203,14.0788,1.32307,0.0628837,1.12054,-0.498131,-0.413396,0.176021,-5.01289,0.185876,1.85067,0.191934,0.930919
140,473.094,1,22.6205,24.9884,12.4681,1.25692,0.0597395,1.0974,-0.497685,1.44711,0.331263,-6.37942,0.197609,1.91195,0.217385,0.926015
141,475.652,1,22.3522,25.2816,13.6502,1.22286,0.0637126,1.07655,-0.479161,3.94814,0.32015,-6.65399,0.192605,1.86354,0.219253,0.958804
142,471.345,1,21.892,25.3791,12.6818,1.29099,0.0620389,1.10572,-0.458272,-0.108729,0.693947,-7.07902,0.191309,1.81635,0.213702,0.934527
143,478.121,1,22.406,25.2594,11.715,1.29102,0.0648998,1.11096,-0.484612,-1.60407,0.627481,-7.95172,0.200078,1.78825,0.208291,0.910864
144,473.626,1,22.3326,25.2446,10.3179,1.25632,0.0653868,1.18094,-0.478344,-2.58214,0.762933,-7.7925,0.195012,1.74297,0.203017,0.953851
145,482.664,1,22.4599,25.2447,9.74482,1.3089,0.0660844,1.04805,-0.489502,-2.84998,0.579085,-7.52185,0.190074,1.73487,0.233688,0.929699
146,483.033,1,22.4942,25.8076,10.7803,1.39198,0.0642773,1.17638,-0.49195,-2.33284,0.782195,-6.84953,0.191716,1.74078,0.227771,0.906159
147,479.434,1,22.409,25.797,11.2837,1.25444,0.0701233,1.18178,-0.485434,-4.12449,0.813418,-7.29085,0.18959,1.6967,0.222004,0.883214
148,477.253,1,22.7763,26.0515,9.411,1.34609,0.0655673,1.10955,-0.488693,-0.579806,0.729326,-8.34087,0.194671,1.65374,0.216443,0.860851
149,473.799,1,22.3591,25.6904,10.6802,1.38393,0.0634252,1.15453,-0.480065,-0.474276,0.836277,-6.80571,0.189742,1.61187,0.210962,0.912354
150,475.937,1,22.3704,25.398,9.91626,1.38394,0.0649406,1.05065,-0.481303,-1.02811,0.912252,-6.52984,0.184937,1.57106,0.205621,0.965922
151,466.897,1,22.5725,25.4277,10.835,1.34111,0.0629531,1.05135,-0.482267,-1.9032,0.828923,-6.95771,0.186069,1.53128,0.200414,0.971072
152,474.407,1,23.0905,25.7432,10.2702,1.27081,0.0672447,1.14818,-0.51233,-0.38397,0.725125,-7.43307,0.189453,1.4925,0.19534,0.975249
153,469.812,1,22.3686,25.7085,9.45226,1.29333,0.0644685,1.06439,-0.482905,-0.45665,0.677431,-8.44049,0.188878,1.45471,0.190394,0.986995
154,475.548,1,22.5384,26.2573,8.70486,1.2757,0.0680755,1.12291,-0.484656,-1.15197,0.656869,-9.25066,0.190567,1.50534,0.190373,0.982993
155,469.32,1,22.6361,25.6652,7.81649,1.27564,0.0671989,1.07525,-0.49014,-0.738737,0.762864,-10.6711,0.191905,1.46722,0.185553,0.958103
156,481.146,1,22.937,26.3398,8.20572,1.25532,0.0732038,1.04095,-0.497323,-0.183957,0.735538,-9.96996,0.192703,1.44836,0.202937,0.967238
157,474.176,1,22.4751,26.2627,8.53897,1.1394,0.0773269,1.11165,-0.484923,0.716932,0.872123,-9.8988,0.187823,1.41169,0.197799,0.965408
158,470.991,1,22.7708,26.0507,8.48106,1.08243,0.0734606,1.15655,-0.4958,-0.928254,0.920908,-9.33393,0.185586,1.37594,0.201104,0.940963
159,476.57,1,22.6173,25.9863,8.1097,1.1945,0.0734037,1.19341,-0.488428,-1.07395,0.874759,-10.6965,0.185008,1.3411,0.223932,0.983539
160,475.389,1,22.1019,25.9386,7.91016,1.25904,0.0691168,1.09826,-0.473538,0.0752118,0.741552,-10.5025,0.180324,1.32666,0.226232,0.969739
161,474.256,1,22.8004,25.757,9.61959,1.25906,0.0720733,1.09212,-0.502395,-0.974512,0.756586,-9.1748,0.178684,1.29307,0.220504,1.03489
162,468.946,1,22.5172,25.6237,9.9039,1.25898,0.0686281,1.12884,-0.491334,-1.51357,0.605641,-7.9286,0.188173,1.26032,0.216058,1.00869
163,464.438,1,22.5613,25.4291,9.46074,1.23947,0.0649125,1.07318,-0.487298,-1.8572,0.78366,-8.09529,0.187753,1.23208,0.213843,0.98315
164,466.201,1,22.7881,25.3641,8.37389,1.2395,0.0660134,1.12467,-0.497904,-3.04821,0.704911,-8.65863,0.183693,1.20088,0.228566,1.0084
165,467.8,1,22.1304,25.0138,9.30266,1.34161,0.0618642,1.09054,-0.467662,-2.79661,0.79586,-8.07028,0.187027,1.17047,0.240273,0.991308
166,470.949,1,22.9686,25.3403,9.27874,1.38703,0.0609639,1.11878,-0.505906,-2.92185,0.488259,-7.17563,0.18822,1.14084,0.242084,0.976768
167,475.327,1,22.4408,26.1979,9.55035,1.34186,0.0662311,1.19081,-0.491518,-2.42631,0.381844,-6.96873,0.183454,1.15596,0.235955,1.00903
168,482.558,1,22.8568,25.7493,8.67892,1.46677,0.0640596,1.09014,-0.505603,-4.16999,0.739852,-7.23322,0.188277,1.17732,0.22998,1.10743
