iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
44,521.105,1,19.6219,25.4597,18.0973,0.145097,-0.358546,0.211682,2.18453,0.19881,0.897942
45,526.064,1,20.4896,25.2179,19.1285,0.148854,-0.401739,0.213284,2.12922,0.198869,0.875206
46,529.107,1,19.9055,25.2295,21.7283,0.14772,-0.38383,0.214547,2.0753,0.227463,0.853045
47,529.432,1,20.1791,26.0926,20.4221,0.152622,-0.391965,0.211365,2.02276,0.2219,0.831446
48,534.402,1,19.6651,26.2996,21.4844,0.152193,-0.373336,0.217358,1.97154,0.216281,0.856573
49,528.909,1,20.5898,25.8963,17.4627,0.151809,-0.409381,0.211855,2.06666,0.210805,0.834884
50,533.456,1,20.3946,26.3516,16.3881,0.157276,-0.401828,0.215263,2.01433,0.205467,0.868547
51,535.501,1,20.8841,26.8806,18.5272,0.157593,-0.416336,0.209812,2.29349,0.200264,0.863934
52,539.941,1,20.8791,26.5234,15.2577,0.158506,-0.416834,0.2045,2.35844,0.195194,0.914897
53,541.064,1,20.0116,26.9408,14.2777,0.159925,-0.382072,0.204839,2.29873,0.190251,0.994325
54,533.478,1,20.5176,26.8954,13.8458,0.157692,-0.41113,0.199652,2.24052,0.185434,0.969148
55,526.347,1,19.9453,26.2866,14.2764,0.153357,-0.386676,0.194597,2.18379,0.180739,1.0332
56,532.808,1,19.8888,27.1504,14.329,0.151373,-0.376355,0.200768,2.1285,0.18153,1.10364
57,540.982,1,19.538,27.0436,15.4273,0.158568,-0.361718,0.202068,2.14381,0.176933,1.1324
58,530.205,1,20.7491,26.2606,19.6731,0.150868,-0.417301,0.209917,2.08953,0.172453,1.10373
59,530.379,1,19.8902,27.0689,16.7358,0.146423,-0.395808,0.20494,2.12393,0.168087,1.09031
60,524.421,1,20.3007,26.7363,17.1052,0.145589,-0.398933,0.206527,2.13214,0.163831,1.12475
61,528.742,1,20.2624,26.2776,18.8501,0.151361,-0.404941,0.216507,2.21683,0.159682,1.09627
62,528.96,1,19.7784,26.4941,18.5281,0.15099,-0.381733,0.211025,2.16076,0.157495,1.06851
63,534.046,1,19.6919,26.5157,16.7026,0.157795,-0.381575,0.205681,2.23919,0.153507,1.04145
64,534.684,1,19.9471,27.1774,18.2404,0.15539,-0.388199,0.21311,2.1825,0.166027,1.01508
65,526.645,1,19.6902,26.8146,18.6369,0.153026,-0.376115,0.207714,2.12723,0.161823,0.989381
66,530.779,1,19.8932,27.484,16.9462,0.154591,-0.377887,0.221312,2.07337,0.157726,1.00878
67,524.898,1,20.6131,27.5365,17.6203,0.151623,-0.406855,0.215709,2.267,0.153732,0.983233
68,528.497,1,20.1964,26.8643,18.4909,0.151932,-0.377551,0.219145,2.2096,0.165093,1.03996
69,517.292,1,20.6366,26.8789,20.1942,0.144335,-0.396838,0.217409,2.15365,0.160913,1.04691
70,529.016,1,20.1685,26.9352,17.975,0.152999,-0.376054,0.218874,2.09912,0.173573,1.0204
71,539.327,1,19.2317,26.8983,16.7574,0.152345,-0.342312,0.222389,2.04596,0.192952,1.1319
72,537.525,1,20.4391,26.3788,17.9254,0.153353,-0.40765,0.224521,1.99416,0.200403,1.10324
73,534.107,1,19.7281,26.2546,21.5726,0.14796,-0.381019,0.218836,1.96154,0.208279,1.09261
74,537.162,1,19.962,25.5404,19.0198,0.154466,-0.389587,0.216002,1.91187,0.203006,1.08529
75,532.042,1,19.1948,23.8923,17.4885,0.150466,-0.361438,0.210533,1.99971,0.197865,1.05781
76,532.695,1,19.8217,24.3364,17.0301,0.153197,-0.395594,0.209788,1.94907,0.192855,1.03102
77,542.497,1,19.4685,25.3119,17.5892,0.159422,-0.36475,0.20691,1.94685,0.215665,1.00492
78,547.733,1,19.9492,25.5182,18.6417,0.157216,-0.389765,0.203062,2.10283,0.231765,1.03995
79,540.063,1,19.7351,25.3035,18.3101,0.152135,-0.39067,0.197921,2.09666,0.225896,1.01675
80,539.885,1,20.5939,25.5703,16.6858,0.154891,-0.421419,0.192909,2.0615,0.220177,1.01712
81,544.599,1,20.0919,25.944,17.6994,0.15906,-0.38606,0.188025,2.0093,0.251076,0.991366
82,537.407,1,19.7839,25.6911,16.2831,0.156268,-0.36872,0.189038,1.95843,0.247577,0.966264
83,539.502,1,19.7939,25.5778,14.9698,0.159117,-0.363469,0.198798,1.90884,0.242154,0.964332
84,542.088,1,19.7809,25.8474,15.1549,0.156525,-0.375919,0.207991,1.86051,0.24045,0.947291
85,543.524,1,19.885,25.7873,16.3486,0.157926,-0.389855,0.216358,1.8134,0.234362,1.03821
86,535.668,1,20.3302,26.574,16.4674,0.156153,-0.403204,0.21088,1.76748,0.228427,1.16941
87,537.989,1,19.7954,26.9861,17.2107,0.157169,-0.375465,0.20554,1.72273,0.222644,1.20455
88,535.257,1,20.4298,26.7367,15.6563,0.158368,-0.402748,0.200336,1.73422,0.217006,1.17405
89,523.449,1,20.6226,27.0466,16.6125,0.152896,-0.407468,0.195263,1.69031,0.211511,1.14432
90,528.931,1,20.0135,26.1783,14.1065,0.152027,-0.390307,0.190319,1.64751,0.206156,1.1314
91,532.9,1,20.0235,26.5019,15.9935,0.158546,-0.382734,0.204966,1.60579,0.200936,1.10275
92,538.456,1,19.1123,25.7394,15.0442,0.156252,-0.336896,0.202973,1.7477,0.209655,1.10381
93,535.659,1,19.8479,25.9978,14.6671,0.156215,-0.380857,0.209312,1.79178,0.204346,1.07586
94,536.291,1,19.7296,25.7772,14.7229,0.155435,-0.379157,0.213567,1.74641,0.199172,1.07308
95,529.624,1,19.6295,25.6688,15.2832,0.156123,-0.372537,0.208159,1.70767,0.194129,1.04591
96,531.194,1,19.3267,26.3528,14.4156,0.152511,-0.3586,0.204094,1.69202,0.193621,1.01943
97,538.365,1,19.0338,24.9171,15.986,0.155724,-0.360983,0.205563,1.78942,0.189729,1.0279
98,534.183,1,20.4283,25.698,16.6681,0.155004,-0.421579,0.204653,1.74411,0.184925,1.08458
99,527.6,1,20.5531,24.6841,16.418,0.151181,-0.429629,0.204268,1.69995,0.189577,1.06371
100,534.574,1,20.6057,24.6075,16.9287,0.152962,-0.429641,0.223736,1.66199,0.184777,1.04153
101,527.64,1,20.3411,25.3269,18.11,0.149127,-0.40039,0.21807,1.82813,0.181346,1.05956
102,533.627,1,20.3142,24.8909,18.4344,0.155333,-0.396068,0.212549,1.9146,0.181492,1.07877
103,524.406,1,20.6015,25.4953,18.2855,0.147566,-0.404305,0.207167,2.02597,0.195539,1.09052
104,524.844,1,20.4113,25.1176,19.5365,0.144709,-0.409352,0.204459,2.11505,0.190587,1.07944
105,529.601,1,19.7115,25.4599,17.627,0.145712,-0.387668,0.213128,2.0615,0.185762,1.14002
106,531.792,1,19.913,25.1985,20.1513,0.14515,-0.393654,0.207732,2.15754,0.199594,1.11116
107,525.218,1,20.4286,25.2278,16.5395,0.14632,-0.41253,0.206273,2.10291,0.19454,1.08302
108,531.068,1,21.0339,25.1596,16.7448,0.146925,-0.433168,0.206174,2.04966,0.21486,1.09257
109,519.703,1,19.8111,25.0655,16.7877,0.143502,-0.369143,0.218718,1.99776,0.20942,1.0649
110,528.512,1,20.7324,24.6481,16.6782,0.147427,-0.412543,0.218202,1.95371,0.21152,1.03794
111,533.171,1,21.0127,24.7791,17.2323,0.1495,-0.444465,0.216678,1.95509,0.206164,1.01166
112,522.596,1,20.0156,24.4907,18.8563,0.143408,-0.383844,0.211583,1.90559,0.200944,1.05749
113,530.766,1,20.6588,25.0367,20.0328,0.147365,-0.417484,0.230714,1.85734,0.200944,1.08591
114,530.416,1,19.7845,25.2891,20.8364,0.146875,-0.375595,0.224872,1.99586,0.195856,1.07344
115,523.026,1,20.3194,24.8912,20.02,0.142005,-0.404753,0.226595,2.00562,0.190897,1.04626
116,514.214,1,19.5352,25.2179,19.5609,0.140217,-0.359865,0.220857,1.95484,0.186063,1.01977
117,517.482,1,20.4298,25.4414,19.3239,0.143151,-0.405827,0.215265,1.90534,0.195627,0.993951
118,529.673,1,20.8511,24.9335,17.0565,0.154511,-0.422967,0.213805,1.85709,0.190674,0.968784
119,516.701,1,20.0445,26.0665,17.2752,0.148406,-0.374729,0.208392,1.81007,0.185846,1.00812
120,521.068,1,20.1815,26.2106,15.8939,0.146142,-0.388052,0.214241,1.7859,0.18114,1.0225
121,520.648,1,20.8873,26.4681,15.9412,0.147314,-0.418602,0.209092,1.82086,0.176586,0.996612
122,530.625,1,20.2588,26.786,16.2055,0.150197,-0.394713,0.216351,1.77475,0.182104,1.14885
123,525.804,1,20.1653,26.7333,15.6148,0.143791,-0.389115,0.218336,1.76375,0.182818,1.22361
124,525.08,1,20.5752,25.8338,18.0879,0.147082,-0.40678,0.214133,1.78591,0.180267,1.19262
125,521.44,1,20.6197,26.1064,16.8902,0.146431,-0.406139,0.208711,1.91504,0.175703,1.16243
126,524.139,1,19.9904,25.7477,18.1286,0.148542,-0.369088,0.205889,1.886,0.171254,1.15704
127,522.439,1,20.0268,26.0534,17.6961,0.149592,-0.379963,0.200676,1.88786,0.166918,1.12774
128,526.189,1,20.298,25.1179,17.987,0.151806,-0.404464,0.203084,1.84005,0.170972,1.09919
129,529.166,1,19.891,25.5647,17.9925,0.153756,-0.375667,0.197942,1.79346,0.174744,1.09518
130,525.681,1,19.7922,25.8602,16.7865,0.150279,-0.375169,0.19293,1.9197,0.170319,1.17691
131,527.98,1,20.3694,26.75,18.8941,0.149794,-0.401127,0.193623,2.01585,0.166007,1.14711
132,535.022,1,19.4862,26.8728,19.8443,0.153826,-0.361374,0.198302,1.9648,0.178175,1.11807
133,536.053,1,19.7738,26.854,18.8275,0.150812,-0.377162,0.207575,2.1731,0.18475,1.08976
134,542.79,1,19.1878,26.2708,16.7027,0.153054,-0.359607,0.210441,2.37944,0.180072,1.06216
135,537.323,1,19.5479,25.7382,14.4686,0.153231,-0.378179,0.205112,2.31919,0.175513,1.03527
136,526.416,1,19.6213,26.2124,13.9329,0.147588,-0.373002,0.208039,2.26047,0.171069,1.00905
137,532.972,1,20.1537,26.408,14.355,0.152758,-0.392549,0.213321,2.20323,0.166737,1.06003
138,529.978,1,20.4644,26.1772,16.2889,0.153304,-0.404753,0.213628,2.14744,0.162515,1.03319
139,534.345,1,20.1228,26.4469,17.8201,0.156136,-0.384099,0.218086,2.20792,0.1584,1.04714
140,532.203,1,19.7877,26.0053,16.1211,0.149704,-0.381323,0.212564,2.17332,0.18695,1.02062
141,532.826,1,19.7326,26.2872,17.6962,0.151746,-0.37832,0.207182,2.11829,0.208338,0.99478
142,528.817,1,19.3025,26.0808,18.4926,0.148488,-0.354748,0.205348,2.06466,0.203063,0.969592
143,535.484,1,19.6503,26.0331,17.4511,0.149065,-0.373764,0.214934,2.05994,0.197921,1.12653
144,537.303,1,20.029,26.0774,16.7168,0.148658,-0.388831,0.210438,2.24186,0.194663,1.1178
145,543.246,1,19.9572,27.7176,14.6631,0.157046,-0.375787,0.20511,2.38756,0.189734,1.08949
146,542.425,1,20.5523,27.5367,15.6047,0.151236,-0.420692,0.20941,2.44085,0.204987,1.06191
147,554.586,1,19.7687,27.098,16.3368,0.16116,-0.376044,0.216192,2.37905,0.219142,1.08238
148,552.976,1,19.6826,27.4728,14.8629,0.158575,-0.371887,0.21426,2.34759,0.214697,1.08768
149,543.683,1,20.0328,26.8937,16.6859,0.156494,-0.38041,0.208835,2.28814,0.209261,1.07816
150,539.167,1,19.7636,26.3356,16.5265,0.156882,-0.373533,0.203547,2.23021,0.203962,1.05086
151,530.285,1,20.4719,26.3618,17.1756,0.149792,-0.39704,0.21584,2.17374,0.198798,1.14431
152,531.451,1,20.0609,26.7381,16.2235,0.145864,-0.370206,0.219582,2.1187,0.201052,1.12578
153,536.717,1,20.3536,26.8819,16.6041,0.148655,-0.390625,0.214022,2.08281,0.222927,1.09727
154,543.166,1,20.083,26.6895,15.3988,0.158161,-0.385585,0.208603,2.03007,0.217283,1.13393
155,540.215,1,20.8749,26.1911,15.2786,0.152176,-0.432614,0.203836,2.06399,0.211781,1.12817
156,538.296,1,20.4968,26.9044,14.66,0.152734,-0.399275,0.202162,2.01173,0.206419,1.2245
157,539.108,1,20.259,27.4978,12.6664,0.151756,-0.392847,0.200574,1.96079,0.201192,1.36482
158,541.388,1,20.8181,27.7087,12.7903,0.155652,-0.405205,0.219215,1.91114,0.196098,1.37406
159,547.899,1,21.1586,28.1766,12.4241,0.159568,-0.418762,0.222266,1.86275,0.20778,1.47888
160,543.839,1,20.7886,28.3078,10.5965,0.153944,-0.411484,0.216638,1.81559,0.202518,1.50328
161,535.601,1,21.1534,27.4018,12.1042,0.150571,-0.436823,0.211153,1.76961,0.197391,1.59319
162,543.682,1,19.6281,27.9553,11.8793,0.151394,-0.370866,0.227716,1.72481,0.195163,1.73374
163,531.49,1,19.6916,27.939,11.9141,0.146415,-0.363154,0.22195,1.69394,0.190221,1.68984
164,535.228,1,19.3721,28.7332,10.0573,0.150162,-0.343469,0.216676,1.65105,0.191624,1.64705
165,539.816,1,19.0891,29.2124,9.328,0.153031,-0.331118,0.21425,1.60925,0.195417,1.74059
166,540.256,1,20.0879,28.6815,10.0121,0.151867,-0.384106,0.208825,1.5685,0.208359,1.78698
167,550.293,1,19.9589,29.0735,11.4632,0.161526,-0.375196,0.210633,1.52878,0.209855,1.74173
168,551.689,1,20.2584,28.9853,11.2256,0.15975,-0.394622,0.207639,1.49007,0.215157,1.83775
169,543.346,1,19.6613,30.2007,11.6513,0.153446,-0.365443,0.209757,1.45234,0.210279,1.855
170,544.865,1,20.0413,30.188,10.1262,0.149945,-0.386586,0.208196,1.51359,0.214964,1.86422
171,549.856,1,19.8486,30.4434,10.72,0.150305,-0.370854,0.218337,1.6702,0.226772,1.91198
172,555.337,1,19.8967,30.1476,10.8488,0.157942,-0.373026,0.214996,1.62791,0.237317,1.86357
173,550.945,1,20.089,29.5727,10.0586,0.160004,-0.376339,0.209552,1.58669,0.231308,1.81638
174,546.785,1,19.832,29.0868,10.9311,0.156036,-0.361653,0.207222,1.54651,0.225451,1.77039
175,543.017,1,20.4203,28.4833,10.7753,0.156936,-0.398757,0.201975,1.50735,0.219743,1.75682
176,536.223,1,20.6065,27.7477,10.844,0.154766,-0.403985,0.196861,1.46919,0.214179,1.71234
177,532.853,1,20.7756,27.8511,11.1476,0.147829,-0.422175,0.202834,1.45013,0.208756,1.78913
178,536.426,1,19.5704,27.3645,11.3655,0.147838,-0.372103,0.201976,1.55877,0.20347,1.74382
179,539.978,1,19.3618,27.9549,10.2345,0.152442,-0.367638,0.201367,1.5193,0.207109,1.69967
180,539.168,1,19.2392,28.174,11.0835,0.150768,-0.354701,0.21418,1.48083,0.220142,1.65663
181,546.516,1,19.8742,28.8249,11.5987,0.152613,-0.395588,0.213664,1.53683,0.221499,1.61469
182,547.619,1,19.8985,29.5392,9.78893,0.161116,-0.375514,0.215887,1.49792,0.215891,1.70467
183,542.046,1,21.2426,29.4961,13.3326,0.155102,-0.429344,0.210421,1.45999,0.222796,1.6615
184,544.849,1,20.742,29.5854,12.8886,0.156058,-0.413703,0.216131,1.42302,0.235545,1.61943
185,545.334,1,20.8437,29.1768,14.0556,0.158409,-0.411687,0.210659,1.54735,0.22958,1.57843
186,534.703,1,21.3716,28.5165,14.7805,0.150488,-0.440623,0.205325,1.69266,0.223767,1.53846
187,537.425,1,19.7798,26.8029,14.8367,0.15098,-0.377216,0.208097,1.68476,0.218101,1.49951
188,538.459,1,19.5907,26.4402,18.6214,0.15151,-0.378479,0.202828,1.80469,0.212579,1.46154
189,538.714,1,19.5412,25.8655,19.7863,0.147433,-0.379336,0.202606,1.88481,0.207196,1.44296
190,530.809,1,20.0153,26.5635,19.3141,0.145701,-0.392792,0.200707,1.89128,0.20195,1.40643
191,530.928,1,20.4079,27.0722,18.2708,0.146065,-0.424608,0.2058,1.84339,0.196837,1.42327
192,531.593,1,20.1921,27.2688,14.8367,0.148761,-0.396603,0.209345,1.79672,0.191853,1.39668
193,539.781,1,19.3361,27.3174,13.8528,0.154141,-0.347324,0.204044,1.80236,0.186995,1.48595
194,547.606,1,18.6585,27.5717,15.551,0.153853,-0.331013,0.218745,1.75672,0.19598,1.59704
195,542.074,1,19.3063,27.8588,17.5218,0.154383,-0.356633,0.213207,1.78599,0.191017,1.5566
196,544.96,1,19.2232,26.5606,17.998,0.15865,-0.356468,0.208309,1.74077,0.186181,1.51719
197,547.308,1,18.9602,27.149,17.9177,0.159662,-0.337596,0.205312,1.69669,0.206648,1.47877
198,548.639,1,19.7702,27.0342,22.3475,0.158153,-0.369418,0.209006,1.90245,0.201416,1.44133
199,544.411,1,20.675,27.3045,17.9965,0.15285,-0.417605,0.210787,1.85428,0.196316,1.53183
200,533.329,1,20.1355,26.9246,19.4591,0.146404,-0.400865,0.209667,1.95748,0.191345,1.49304
201,537.32,1,20.1676,27.84,15.7894,0.149658,-0.40158,0.210372,1.90792,0.191822,1.45524
202,540.065,1,19.4131,27.5265,14.4757,0.147195,-0.361899,0.203927,2.15196,0.204449,1.28464
203,544.029,1,19.449,27.7925,15.4277,0.150061,-0.35695,0.203894,1.92704,0.22207,1.42171
204,541.926,1,19.2808,27.1763,14.2737,0.152114,-0.340269,0.20559,1.94323,0.220735,1.22399
205,549.827,1,20.5019,27.2331,15.4281,0.161427,-0.400487,0.201907,1.73706,0.245831,1.15467
206,538.558,1,20.3174,27.1793,15.7015,0.154343,-0.389509,0.214112,1.80751,0.236913,0.952805
207,539.682,1,19.7399,26.443,14.6479,0.153203,-0.378226,0.199877,1.8547,0.236788,0.969197
208,536.606,1,19.604,25.7876,15.7571,0.15316,-0.370884,0.210628,1.83583,0.220489,0.945071
209,532.52,1,20.2937,24.9531,15.2723,0.155264,-0.394803,0.203032,1.7244,0.210763,0.946936
210,527.91,1,20.3143,25.2831,14.7513,0.157162,-0.402133,0.211946,1.66345,0.18493,0.79202
211,529.022,1,20.2412,25.4816,15.0172,0.156761,-0.393099,0.200144,1.81765,0.174272,0.908347
212,522.435,1,19.4928,25.6818,16.0889,0.147144,-0.37272,0.203187,1.98498,0.153347,0.98773
213,519.724,1,20.4496,25.8404,17.3873,0.147176,-0.401121,0.205854,1.85034,0.164,1.02812
214,529.506,1,20.4068,25.2875,15.2273,0.155737,-0.404515,0.189962,1.85174,0.175369,1.00877
215,527.356,1,19.3152,26.4343,16.2141,0.156756,-0.352967,0.190791,1.81896,0.137124,1.12508
216,525.529,1,19.7771,26.9491,13.8007,0.153329,-0.373802,0.180869,1.86186,0.139816,1.22931
217,523.534,1,19.7773,27.2143,18.1918,0.152899,-0.368797,0.189477,1.66975,0.13887,1.292
218,518.814,1,20.4057,26.7185,17.3232,0.150857,-0.393245,0.188821,1.50925,0.149517,1.2672
219,523.513,1,20.2352,26.4568,14.1794,0.15504,-0.396218,0.18978,1.59503,0.13819,1.2152
220,520.487,1,20.3898,26.68,15.0424,0.15578,-0.393871,0.199629,1.52264,0.13639,1.11878
221,526.172,1,20.6102,26.7737,13.864,0.155575,-0.416244,0.21025,1.53115,0.13595,1.20818
222,528.275,1,21.0687,27.2358,13.0263,0.15891,-0.437699,0.211159,1.4304,0.136372,1.2538
223,525.418,1,20.3108,26.466,12.5431,0.157915,-0.406107,0.214708,1.40581,0.131922,1.14862
224,523.428,1,20.6853,26.3754,13.5943,0.155949,-0.411067,0.206129,1.53481,0.138179,1.13256
225,524.042,1,20.4475,26.3127,13.2357,0.157261,-0.393707,0.200412,1.57206,0.134337,1.18651
226,536.804,1,21.0746,27.1844,13.3861,0.161726,-0.422708,0.209162,1.61612,0.157989,1.23025
227,543.069,1,20.4526,27.1904,15.0244,0.159936,-0.403175,0.211081,1.80299,0.162528,1.34639
228,537.616,1,20.5928,26.9497,14.1735,0.154436,-0.413744,0.201956,1.85823,0.157326,1.41267
229,544.746,1,20.6409,26.836,13.723,0.158321,-0.419453,0.204016,1.8057,0.168424,1.43867
230,539.406,1,19.8467,27.2283,15.408,0.159784,-0.367482,0.191948,1.78389,0.167046,1.29154
231,534.401,1,20.3124,26.9715,15.6142,0.16273,-0.385327,0.188098,1.55884,0.14961,1.31525
232,533.019,1,19.6003,27.9486,15.2375,0.156612,-0.346099,0.186953,1.79836,0.155956,1.40107
233,537.454,1,20.3847,27.71,17.8487,0.158555,-0.398425,0.191314,1.76334,0.15832,1.37247
234,539.214,1,20.2834,27.1932,18.5065,0.156386,-0.392908,0.200722,1.76118,0.184271,1.25822
235,530.889,1,19.8325,27.1117,18.2074,0.153582,-0.374185,0.190904,1.65181,0.166646,1.40431
236,532.195,1,19.2216,27.3607,15.3007,0.15393,-0.340047,0.199012,1.73846,0.160329,1.35831
237,529.895,1,20.6282,27.5174,16.8547,0.156668,-0.406312,0.196817,1.74746,0.142339,1.26206
238,531.947,1,21.0493,27.7553,16.0585,0.155615,-0.426408,0.200961,1.71964,0.147215,1.38291
239,524.457,1,20.2914,27.239,17.5068,0.149809,-0.400183,0.209565,1.64438,0.142545,1.31248
240,526.814,1,21.8332,27.0937,16.386,0.155481,-0.460905,0.217015,1.44937,0.146677,1.33186
241,530.79,1,20.2207,26.5758,14.3859,0.161835,-0.393344,0.197104,1.43791,0.136878,1.39854
242,532.625,1,20.6623,27.0512,14.1196,0.160818,-0.400872,0.211985,1.50432,0.136744,1.40204
243,530.872,1,20.3812,27.4316,15.6912,0.157535,-0.392894,0.19747,1.57609,0.138737,1.44404
244,529.246,1,21.0572,26.9463,17.5519,0.156123,-0.411709,0.195227,1.58502,0.154276,1.40707
245,532.817,1,19.9283,26.8209,17.8101,0.16086,-0.366755,0.198636,1.51067,0.148992,1.33456
246,531.26,1,19.8482,26.6221,15.9288,0.158267,-0.368222,0.205397,1.49991,0.1504,1.29535
247,536.002,1,19.4137,26.9939,14.4506,0.159142,-0.350062,0.207241,1.62025,0.13824,1.45472
248,521.015,1,20.0185,27.0162,13.8666,0.156596,-0.372575,0.199609,1.42876,0.120604,1.41942
249,521.332,1,19.2341,26.6576,11.5917,0.154266,-0.352348,0.207365,1.42994,0.121087,1.34344
250,519.881,1,19.768,26.3938,13.2043,0.151971,-0.377549,0.19917,1.434,0.121209,1.46488
251,515.08,1,19.7155,26.236,13.575,0.1464,-0.375318,0.210585,1.53231,0.131678,1.29885
252,518.121,1,20.5504,26.1146,14.2871,0.152313,-0.406814,0.196157,1.45706,0.134849,1.30005
253,512.269,1,20.0227,25.9727,13.9969,0.149606,-0.385566,0.201255,1.43902,0.118993,1.23828
254,519.164,1,19.9117,25.8716,13.3804,0.155682,-0.389908,0.1852,1.5873,0.113162,1.29965
255,519.6,1,19.2552,25.9344,14.3212,0.151674,-0.354948,0.191258,1.72786,0.113546,1.32344
256,511.299,1,19.64,26.1494,16.6876,0.146878,-0.370829,0.200995,1.73694,0.101142,1.32816
257,518.62,1,20.6948,26.6322,14.3656,0.152634,-0.421456,0.205325,1.6828,0.102561,1.35151
