trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_tCLCR_abscissa,trans_Cl_vs_log_tCLCR_spline,trans_Cl_vs_log_tCLCR_regression,trans_Cl_vs_log_tWT_abscissa,trans_Cl_vs_log_tWT_spline,trans_Cl_vs_log_tWT_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_log_tCLCR_abscissa,trans_Q_vs_log_tCLCR_spline,trans_Q_vs_log_tCLCR_regression,trans_Q_vs_log_tWT_abscissa,trans_Q_vs_log_tWT_spline,trans_Q_vs_log_tWT_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_log_tCLCR_abscissa,trans_V1_vs_log_tCLCR_spline,trans_V1_vs_log_tCLCR_regression,trans_V1_vs_log_tWT_abscissa,trans_V1_vs_log_tWT_spline,trans_V1_vs_log_tWT_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_log_tCLCR_abscissa,trans_V2_vs_log_tCLCR_spline,trans_V2_vs_log_tCLCR_regression,trans_V2_vs_log_tWT_abscissa,trans_V2_vs_log_tWT_spline,trans_V2_vs_log_tWT_regression,split
108.033,2.4359,2.38612,66.8283,2.40224,2.48168,0.049805,2.38315,2.3654,-0.0643234,2.40166,2.47273,108.033,3.10713,3.16002,66.8283,3.19657,3.11731,0.049805,3.00436,3.16995,-0.0643234,3.26864,3.10649,108.033,2.5732,2.64647,66.8283,2.52756,2.55551,0.049805,2.60442,2.66544,-0.0643234,2.57904,2.56254,108.033,2.69183,2.72829,66.8283,2.63622,2.71302,0.049805,2.62648,2.73615,-0.0643234,2.71124,2.721,All
108.667,2.44705,2.38961,67.1414,2.41166,2.48517,0.0550456,2.39328,2.36904,-0.060058,2.40266,2.47606,108.667,3.1301,3.15896,67.1414,3.1796,3.12109,0.0550456,3.02477,3.16875,-0.060058,3.25155,3.11029,108.667,2.56672,2.64321,67.1414,2.51313,2.55294,0.0550456,2.59843,2.66206,-0.060058,2.56584,2.56001,108.667,2.70653,2.72752,67.1414,2.61915,2.71026,0.0550456,2.63951,2.73525,-0.060058,2.69166,2.71821,All
109.3,2.45819,2.39311,67.4545,2.43192,2.48867,0.0602862,2.40341,2.37268,-0.0557926,2.40365,2.47939,109.3,3.15307,3.15791,67.4545,3.16483,3.12487,0.0602862,3.04518,3.16755,-0.0557926,3.23446,3.11409,109.3,2.56024,2.63996,67.4545,2.49812,2.55037,0.0602862,2.59245,2.65868,-0.0557926,2.55264,2.55749,109.3,2.72122,2.72675,67.4545,2.60595,2.7075,0.0602862,2.65253,2.73436,-0.0557926,2.67208,2.71542,All
109.933,2.46934,2.39661,67.7677,2.45217,2.49216,0.0655268,2.41354,2.37632,-0.0515273,2.40465,2.48272,109.933,3.17604,3.15686,67.7677,3.15007,3.12865,0.0655268,3.06559,3.16635,-0.0515273,3.21738,3.11789,109.933,2.55376,2.6367,67.7677,2.48311,2.54781,0.0655268,2.58647,2.6553,-0.0515273,2.53944,2.55496,109.933,2.73592,2.72598,67.7677,2.59275,2.70475,0.0655268,2.66556,2.73346,-0.0515273,2.6525,2.71264,All
110.567,2.48048,2.40011,68.0808,2.47425,2.49566,0.0707674,2.42366,2.37995,-0.0472619,2.40564,2.48605,110.567,3.199,3.15581,68.0808,3.13867,3.13243,0.0707674,3.086,3.16515,-0.0472619,3.20029,3.12169,110.567,2.54728,2.63344,68.0808,2.47023,2.54524,0.0707674,2.58049,2.65193,-0.0472619,2.52624,2.55243,110.567,2.75062,2.72521,68.0808,2.58479,2.70199,0.0707674,2.67859,2.73257,-0.0472619,2.63291,2.70985,All
111.2,2.49163,2.40361,68.3939,2.50158,2.49915,0.076008,2.43379,2.38359,-0.0429965,2.40997,2.48938,111.2,3.22197,3.15475,68.3939,3.13694,3.1362,0.076008,3.10641,3.16395,-0.0429965,3.18394,3.1255,111.2,2.5408,2.63018,68.3939,2.46348,2.54267,0.076008,2.5745,2.64855,-0.0429965,2.51295,2.54991,111.2,2.76532,2.72444,68.3939,2.59189,2.69923,0.076008,2.69161,2.73167,-0.0429965,2.61481,2.70706,All
111.833,2.50277,2.40711,68.7071,2.5289,2.50265,0.0812486,2.44392,2.38723,-0.0387311,2.42861,2.49271,111.833,3.24494,3.1537,68.7071,3.13521,3.13998,0.0812486,3.12682,3.16275,-0.0387311,3.17078,3.1293,111.833,2.53432,2.62692,68.7071,2.45673,2.54011,0.0812486,2.56852,2.64517,-0.0387311,2.49925,2.54738,111.833,2.78002,2.72367,68.7071,2.599,2.69648,0.0812486,2.70464,2.73078,-0.0387311,2.60305,2.70427,All
112.467,2.49606,2.41061,69.0202,2.55623,2.50614,0.0864892,2.45405,2.39087,-0.0344658,2.44725,2.49604,112.467,3.22451,3.15265,69.0202,3.13347,3.14376,0.0864892,3.14723,3.16154,-0.0344658,3.15763,3.1331,112.467,2.53822,2.62367,69.0202,2.44997,2.53754,0.0864892,2.56254,2.64179,-0.0344658,2.48555,2.54486,112.467,2.77413,2.7229,69.0202,2.6061,2.69372,0.0864892,2.71766,2.72988,-0.0344658,2.59128,2.70148,All
113.1,2.48297,2.41411,69.3333,2.58355,2.50964,0.0917298,2.46418,2.3945,-0.0302004,2.46589,2.49937,113.1,3.18857,3.1516,69.3333,3.13174,3.14754,0.0917298,3.16764,3.16034,-0.0302004,3.14447,3.1369,113.1,2.54582,2.62041,69.3333,2.44322,2.53497,0.0917298,2.55656,2.63841,-0.0302004,2.47186,2.54233,113.1,2.7609,2.72213,69.3333,2.6132,2.69097,0.0917298,2.73069,2.72899,-0.0302004,2.57952,2.69869,All
113.733,2.46988,2.4176,69.6465,2.61088,2.51313,0.0969704,2.47431,2.39814,-0.025935,2.48952,2.5027,113.733,3.15264,3.15054,69.6465,3.13001,3.15132,0.0969704,3.18805,3.15914,-0.025935,3.14003,3.1407,113.733,2.55342,2.61715,69.6465,2.43647,2.53241,0.0969704,2.55058,2.63504,-0.025935,2.46387,2.5398,113.733,2.74766,2.72136,69.6465,2.62031,2.68821,0.0969704,2.74371,2.72809,-0.025935,2.58212,2.6959,All
114.367,2.4568,2.4211,69.9596,2.63821,2.51663,0.102211,2.48444,2.40178,-0.0216696,2.51514,2.50603,114.367,3.11671,3.14949,69.9596,3.12828,3.15509,0.102211,3.20846,3.15794,-0.0216696,3.13906,3.1445,114.367,2.56102,2.61389,69.9596,2.42972,2.52984,0.102211,2.54459,2.63166,-0.0216696,2.45815,2.53728,114.367,2.73442,2.72059,69.9596,2.62741,2.68545,0.102211,2.75674,2.7272,-0.0216696,2.59043,2.69311,All
115,2.44371,2.4246,70.2727,2.63809,2.52012,0.107452,2.49457,2.40542,-0.0174043,2.54075,2.50936,115,3.08077,3.14844,70.2727,3.12363,3.15887,0.107452,3.22887,3.15674,-0.0174043,3.13809,3.1483,115,2.56862,2.61064,70.2727,2.43303,2.52727,0.107452,2.53861,2.62828,-0.0174043,2.45244,2.53475,115,2.72119,2.71982,70.2727,2.63069,2.6827,0.107452,2.76977,2.7263,-0.0174043,2.59874,2.69033,All
115.633,2.43062,2.4281,70.5859,2.6339,2.52361,0.112692,2.5047,2.40905,-0.0131389,2.56637,2.51269,115.633,3.04484,3.14739,70.5859,3.11855,3.16265,0.112692,3.24929,3.15554,-0.0131389,3.13713,3.1521,115.633,2.57622,2.60738,70.5859,2.43784,2.5247,0.112692,2.53263,2.6249,-0.0131389,2.44672,2.53222,115.633,2.70795,2.71905,70.5859,2.6334,2.67994,0.112692,2.78279,2.72541,-0.0131389,2.60706,2.68754,All
116.267,2.41753,2.4316,70.899,2.62971,2.52711,0.117933,2.4951,2.41269,-0.00887351,2.59198,2.51602,116.267,3.00891,3.14633,70.899,3.11348,3.16643,0.117933,3.2215,3.15434,-0.00887351,3.13616,3.1559,116.267,2.58382,2.60412,70.899,2.44264,2.52214,0.117933,2.53823,2.62153,-0.00887351,2.441,2.5297,116.267,2.69471,2.71828,70.899,2.63612,2.67718,0.117933,2.77329,2.72451,-0.00887351,2.61537,2.68475,All
116.9,2.40444,2.4351,71.2121,2.62553,2.5306,0.123173,2.48276,2.41633,-0.00460813,2.6176,2.51934,116.9,2.97298,3.14528,71.2121,3.1084,3.17021,0.123173,3.18704,3.15314,-0.00460813,3.13519,3.1597,116.9,2.59142,2.60086,71.2121,2.44744,2.51957,0.123173,2.54543,2.61815,-0.00460813,2.43528,2.52717,116.9,2.68148,2.71751,71.2121,2.63883,2.67443,0.123173,2.76068,2.72362,-0.00460813,2.62368,2.68196,All
117.533,2.39135,2.4386,71.5253,2.62134,2.5341,0.128414,2.47043,2.41997,-0.000342757,2.64321,2.52267,117.533,2.93704,3.14423,71.5253,3.10332,3.17399,0.128414,3.15259,3.15194,-0.000342757,3.13422,3.1635,117.533,2.59902,2.59761,71.5253,2.45225,2.517,0.128414,2.55264,2.61477,-0.000342757,2.42957,2.52465,117.533,2.66824,2.71674,71.5253,2.64155,2.67167,0.128414,2.74807,2.72272,-0.000342757,2.632,2.67917,All
118.167,2.37827,2.4421,71.8384,2.61716,2.53759,0.133655,2.45809,2.42361,0.00392262,2.64088,2.526,118.167,2.90111,3.14318,71.8384,3.09824,3.17776,0.133655,3.11814,3.15074,0.00392262,3.1292,3.16731,118.167,2.60662,2.59435,71.8384,2.45705,2.51444,0.133655,2.55984,2.61139,0.00392262,2.4334,2.52212,118.167,2.655,2.71598,71.8384,2.64426,2.66892,0.133655,2.73546,2.72183,0.00392262,2.63457,2.67638,All
118.8,2.41208,2.4456,72.1515,2.61297,2.54109,0.138895,2.44576,2.42724,0.00818799,2.63612,2.52933,118.8,2.93561,3.14212,72.1515,3.09316,3.18154,0.138895,3.08369,3.14954,0.00818799,3.12382,3.17111,118.8,2.60334,2.59109,72.1515,2.46185,2.51187,0.138895,2.56704,2.60801,0.00818799,2.43806,2.51959,118.8,2.66657,2.71521,72.1515,2.64697,2.66616,0.138895,2.72285,2.72093,0.00818799,2.63663,2.67359,All
119.433,2.4584,2.44909,72.4646,2.60878,2.54458,0.144136,2.43342,2.43088,0.0124534,2.63135,2.53266,119.433,2.9889,3.14107,72.4646,3.08808,3.18532,0.144136,3.04923,3.14834,0.0124534,3.11844,3.17491,119.433,2.59716,2.58783,72.4646,2.46666,2.5093,0.144136,2.57424,2.60464,0.0124534,2.44272,2.51707,119.433,2.68475,2.71444,72.4646,2.64969,2.6634,0.144136,2.71024,2.72004,0.0124534,2.6387,2.6708,All
