iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
38,459.313,1,13.311,24.0963,13.5975,1.53724,0.0429087,-0.348493,0.236446,1.03526,0.239901,1.03336
39,457.394,1,13.3534,23.7838,13.739,1.49419,0.0430132,-0.323856,0.238306,1.02164,0.243529,1.0072
40,463.128,1,13.2792,24.4426,13.4524,1.4461,0.0452369,-0.317033,0.249576,1.11485,0.237363,1.02392
41,465.935,1,13.394,23.9315,13.4714,1.65527,0.0370427,-0.314813,0.243256,1.08662,0.232867,1.04645
42,454.623,1,13.3894,23.8407,12.4786,1.50873,0.0391186,-0.345762,0.237547,1.05911,0.228568,1.01996
43,454.13,1,13.4324,23.7206,11.8362,1.45619,0.0424606,-0.324336,0.235551,1.05839,0.231219,0.99413
44,463.583,1,13.404,23.7882,11.6894,1.5167,0.0424984,-0.304285,0.248149,1.17499,0.225365,0.996924
45,460.074,1,13.4314,23.4448,11.9102,1.57266,0.0428425,-0.312238,0.248578,1.14524,0.219658,0.971681
46,458.951,1,13.4444,23.2175,12.6171,1.51319,0.045379,-0.320547,0.249529,1.11624,0.235187,0.947078
47,465.273,1,13.3296,23.437,12.9645,1.52306,0.0521609,-0.342886,0.24321,1.08798,0.229231,0.923097
48,467.456,1,13.4223,23.741,12.9379,1.4047,0.0578929,-0.313317,0.237814,1.06043,0.246066,0.899724
49,461.303,1,13.3558,24.0391,12.8597,1.33446,0.0549982,-0.35556,0.234348,1.03358,0.243754,0.876942
50,465.212,1,13.3913,24.1556,12.0707,1.37146,0.0588761,-0.3255,0.236348,1.00741,0.237582,0.870548
51,461.796,1,13.5303,24.4109,12.7683,1.30289,0.0559323,-0.345289,0.242462,1.20221,0.231567,0.893611
52,465.46,1,13.4032,24.5998,12.56,1.33306,0.0525962,-0.33317,0.236322,1.27737,0.252664,0.899199
53,468.344,1,13.4474,24.9056,12.8194,1.46055,0.0460523,-0.306739,0.242072,1.24503,0.267883,0.957481
54,457.869,1,13.3659,24.7163,12.4805,1.52888,0.0390291,-0.321507,0.24103,1.2135,0.2611,0.933237
55,467.575,1,13.3345,24.7896,12.5026,1.48548,0.0468768,-0.318655,0.240339,1.18277,0.260238,0.929261
56,471.248,1,13.3991,25.0569,13.2678,1.41933,0.0518166,-0.352549,0.234254,1.15283,0.281663,0.986004
57,469.003,1,13.3912,24.9002,12.808,1.55934,0.0423394,-0.349287,0.231878,1.12364,0.279539,0.994872
58,464.249,1,13.3994,24.3829,14.8019,1.55928,0.0402215,-0.331408,0.241758,1.09518,0.286898,0.969681
59,468.392,1,13.3766,24.545,13.2826,1.55939,0.0435495,-0.324367,0.235636,1.06745,0.297714,0.945128
60,466.046,1,13.4296,24.5074,13.7216,1.53787,0.0460792,-0.331582,0.237949,1.04042,0.290176,0.921197
61,459.935,1,13.3604,23.9072,13.5002,1.58795,0.0389769,-0.302952,0.24017,1.01408,0.282828,0.897872
62,469.581,1,13.3171,23.8713,12.5626,1.66698,0.0384729,-0.327601,0.234444,1.06285,0.284502,0.895246
63,471.766,1,13.4172,23.5134,12.7794,1.76662,0.0352094,-0.339141,0.239403,1.05903,0.277571,0.872578
64,470.227,1,13.2878,24.0575,12.3418,1.69751,0.0401673,-0.353835,0.23618,1.03221,0.286907,0.854469
65,469.803,1,13.3339,24.2007,11.9049,1.7551,0.035876,-0.330623,0.230199,1.00608,0.282993,0.920617
66,462.044,1,13.2322,25.3058,11.4472,1.65019,0.0374304,-0.338645,0.234853,0.980603,0.275828,0.981908
67,468.162,1,13.3488,25.0116,11.5546,1.62587,0.0414598,-0.362395,0.236997,0.955774,0.272437,0.983707
68,461.454,1,13.368,24.8492,12.5328,1.59134,0.0411885,-0.323368,0.23607,0.931573,0.265539,1.01381
69,461.489,1,13.3885,24.3578,12.0557,1.54589,0.0442808,-0.322236,0.233974,0.907985,0.258815,0.999557
70,464.305,1,13.3627,24.9686,11.0304,1.54588,0.0438548,-0.324517,0.234935,0.884994,0.272997,1.08255
71,468.469,1,13.4273,24.6689,10.6494,1.62538,0.0388379,-0.299925,0.240849,0.862586,0.297505,1.10955
72,463.076,1,13.4043,24.4889,10.9338,1.69102,0.0334606,-0.330728,0.243911,0.840745,0.297738,1.08146
73,457.953,1,13.4856,24.776,12.6133,1.57309,0.0404817,-0.344646,0.237735,0.819457,0.295921,1.05407
74,461.487,1,13.5402,24.6795,11.5972,1.65748,0.037948,-0.337613,0.24078,0.827472,0.288428,1.02738
75,458.98,1,13.3743,23.8211,12.6623,1.72966,0.0346631,-0.309922,0.234683,0.80652,0.281125,1.00137
76,458.417,1,13.2747,24.0769,12.8375,1.65602,0.0371352,-0.325461,0.235565,0.818896,0.274007,0.976014
77,465.658,1,13.3165,24.4883,13.2362,1.65605,0.0398355,-0.324035,0.234733,0.870373,0.291562,0.951301
78,471.054,1,13.3188,24.2563,12.5292,1.54409,0.0442382,-0.312588,0.230744,1.06242,0.312133,0.9287
79,463.653,1,13.3264,24.237,13.8063,1.54405,0.0438783,-0.345644,0.227935,1.03551,0.30877,0.905185
80,471.289,1,13.4087,24.3262,13.5541,1.51487,0.0455277,-0.33085,0.237327,1.09569,0.300952,0.931368
81,472.319,1,13.4594,23.5462,13.0277,1.57553,0.0461668,-0.325436,0.232915,1.06795,0.314829,0.915331
82,471.563,1,13.4631,23.9069,13.2094,1.54125,0.0472404,-0.32358,0.240953,1.04091,0.306857,1.01005
83,468.094,1,13.497,24.0169,12.7085,1.44711,0.0497899,-0.327568,0.244285,1.01455,0.299087,0.984473
84,465.403,1,13.456,23.8786,12.6044,1.48753,0.0480862,-0.329257,0.24752,0.98886,0.291514,0.959545
85,466.885,1,13.387,23.9305,12.148,1.508,0.0501029,-0.35278,0.241252,0.963822,0.284133,0.935249
86,473.331,1,13.3437,23.7482,11.6605,1.44766,0.0542724,-0.357318,0.235144,1.04212,0.276938,0.997042
87,474.029,1,13.4785,24.0343,12.6167,1.44762,0.0542177,-0.343013,0.23066,1.10229,0.269926,1.03948
88,462.046,1,13.4362,24.6014,12.4091,1.37524,0.0515068,-0.353514,0.234082,1.12165,0.263092,1.01316
89,458.331,1,13.438,24.941,14.3402,1.3752,0.0476189,-0.323384,0.236605,1.09325,0.25643,1.04929
90,458.27,1,13.4281,24.4159,13.4004,1.44772,0.0454356,-0.324025,0.243667,1.08983,0.249937,1.02273
91,456.061,1,13.5338,24.5961,11.3903,1.4756,0.0422145,-0.306076,0.243719,1.1259,0.243608,0.996829
92,461.696,1,13.468,23.9361,12.5239,1.45558,0.045068,-0.29922,0.246317,1.25499,0.23744,0.971589
93,464.021,1,13.5154,23.6082,11.9096,1.50252,0.0466816,-0.304889,0.241373,1.22321,0.231428,0.946988
94,468.739,1,13.5255,23.7076,12.4037,1.50258,0.0513385,-0.315831,0.250624,1.33002,0.225568,0.923009
95,464.788,1,13.4429,24.0268,13.1877,1.50253,0.0486368,-0.334476,0.244278,1.29634,0.222199,0.899638
96,458.099,1,13.3273,24.2217,13.4043,1.36909,0.0493898,-0.323641,0.238093,1.26352,0.222458,0.928461
97,463.289,1,13.2179,24.0232,14.69,1.41733,0.0500057,-0.318548,0.23729,1.23152,0.220903,0.947053
98,461.961,1,13.2853,24.2325,14.3632,1.48942,0.0472626,-0.343157,0.233847,1.20034,0.21531,0.95578
99,460.315,1,13.3915,23.8862,15.1762,1.45744,0.0461447,-0.341836,0.237921,1.16995,0.21992,0.964204
100,468.235,1,13.4114,23.6879,14.6275,1.50848,0.0463461,-0.341508,0.248294,1.22672,0.214351,1.01053
101,468.214,1,13.3598,23.7986,14.3838,1.43812,0.0546358,-0.348692,0.242008,1.19566,0.208924,0.984939
102,474.792,1,13.3811,22.9834,15.1527,1.48381,0.0576463,-0.338586,0.23588,1.16538,0.20676,0.96
103,476.921,1,13.3423,23.4253,13.3686,1.4837,0.0543369,-0.365932,0.240852,1.33234,0.222042,0.935692
104,480.184,1,13.4691,23.4755,13.4603,1.57588,0.0522433,-0.360825,0.247298,1.2986,0.21642,0.979175
105,479.339,1,13.2466,24.1861,12.6289,1.47821,0.0561601,-0.336063,0.249097,1.26572,0.21094,1.07963
106,477.001,1,13.4001,24.1834,13.0746,1.47818,0.0530181,-0.324412,0.243777,1.25295,0.215274,1.05229
107,475.411,1,13.4613,24.592,11.4547,1.50161,0.0520798,-0.3329,0.240345,1.22123,0.209823,1.06286
108,463.524,1,13.4815,24.1249,11.6026,1.45087,0.0492699,-0.35578,0.24296,1.22815,0.20451,1.03595
109,463.551,1,13.3892,23.9879,13.2438,1.40507,0.0530872,-0.328983,0.244139,1.21084,0.199332,1.00972
110,460.404,1,13.4871,23.7482,12.8152,1.42781,0.0484349,-0.342402,0.243675,1.19148,0.194285,1.02723
111,455.627,1,13.3507,23.8689,13.3795,1.4278,0.047423,-0.353107,0.237505,1.20594,0.189365,1.00122
112,457.136,1,13.4912,23.8272,13.9312,1.42776,0.0471092,-0.334529,0.239156,1.19801,0.186192,1.02391
113,458.42,1,13.5509,23.9507,13.7527,1.42779,0.0467509,-0.351707,0.254083,1.16768,0.183371,1.06409
114,454.398,1,13.3591,24.0889,14.5443,1.42775,0.045272,-0.350894,0.247649,1.22385,0.178728,1.08246
115,452.871,1,13.3491,23.8098,13.5612,1.37427,0.0480182,-0.334291,0.241537,1.19286,0.174203,1.09796
116,451.948,1,13.3502,24.4055,15.1308,1.36217,0.0459644,-0.337333,0.240054,1.17203,0.184875,1.07016
117,458.652,1,13.3651,24.6598,14.0157,1.36229,0.0526739,-0.331525,0.234337,1.14235,0.195132,1.04306
118,461.943,1,13.5185,24.4102,12.6804,1.32034,0.0546558,-0.359093,0.235626,1.28335,0.190191,1.04994
119,471.391,1,13.5324,24.8701,13.1852,1.33721,0.0599122,-0.315577,0.246208,1.31817,0.185375,1.09146
120,480.592,1,13.4977,24.9837,12.0872,1.42649,0.0567345,-0.321224,0.241459,1.46099,0.184853,1.13002
121,475.368,1,13.3668,25.2776,12.4033,1.42652,0.0579337,-0.337647,0.235345,1.424,0.180172,1.10141
122,476.154,1,13.4127,25.4723,14.1528,1.35519,0.055037,-0.325694,0.233392,1.46001,0.195632,1.09833
123,478.319,1,13.4552,25.3215,12.193,1.44316,0.0575278,-0.333513,0.228761,1.42304,0.190679,1.07188
124,485.221,1,13.4174,24.8361,12.9168,1.53169,0.0569189,-0.34314,0.230742,1.42762,0.18585,1.09012
125,485.871,1,13.3062,25.0458,12.7173,1.3822,0.0622663,-0.325157,0.233886,1.47723,0.186063,1.14988
126,478.46,1,13.3634,24.2953,13.0038,1.41845,0.0588255,-0.309884,0.230784,1.43983,0.181352,1.18332
127,478.992,1,13.4555,24.69,12.2858,1.47098,0.0573042,-0.337089,0.229291,1.40337,0.179018,1.15336
128,473.959,1,13.3602,24.2031,12.8948,1.48173,0.0517834,-0.321227,0.229698,1.36784,0.205946,1.12416
129,477.225,1,13.4603,24.7162,13.9258,1.42056,0.0549051,-0.358642,0.234164,1.45142,0.206476,1.09569
130,477.263,1,13.5406,24.865,12.8937,1.461,0.0546681,-0.367095,0.239274,1.41467,0.202127,1.06795
131,477.429,1,13.3741,25.0064,14.7331,1.46102,0.0556742,-0.348595,0.233449,1.37885,0.197009,1.09205
132,483.079,1,13.4349,25.2342,16.2578,1.51844,0.0564953,-0.344473,0.23457,1.4249,0.192021,1.0644
133,482.081,1,13.4233,25.2494,14.9589,1.45824,0.055335,-0.345343,0.240209,1.47514,0.1965,1.10499
134,478.492,1,13.3132,25.1945,14.9621,1.45823,0.0532934,-0.321789,0.241501,1.6048,0.191524,1.07701
135,476.25,1,13.4056,24.836,14.3627,1.49769,0.0521308,-0.329028,0.235386,1.56416,0.186675,1.04974
136,468.536,1,13.4751,24.77,14.88,1.47058,0.0486982,-0.32397,0.235283,1.60219,0.182438,1.02316
137,466.972,1,13.4725,24.8337,15.5069,1.49022,0.0430633,-0.362896,0.249129,1.58771,0.191581,1.00113
138,469.685,1,13.3292,24.241,15.8859,1.56361,0.0449957,-0.359033,0.242821,1.5475,0.1897,0.975781
139,472.343,1,13.3822,24.0144,14.1539,1.51104,0.0498446,-0.33418,0.236673,1.50832,0.188081,0.958852
140,481.095,1,13.4983,23.8638,15.1353,1.51106,0.0503351,-0.350715,0.246958,1.66729,0.204726,0.963469
141,476.809,1,13.5341,24.2526,15.5068,1.51099,0.0475202,-0.350833,0.240705,1.69369,0.227941,0.939074
142,470.125,1,13.4718,24.5944,15.6988,1.49057,0.0439904,-0.344833,0.242686,1.65081,0.222169,0.995073
143,472.05,1,13.4763,24.4123,16.171,1.52296,0.0448269,-0.331325,0.255121,1.60901,0.216544,0.969877
144,474.471,1,13.5181,24.1383,15.4029,1.4236,0.0533904,-0.32269,0.248661,1.56827,0.211061,1.06819
145,480.755,1,13.362,24.3329,14.1448,1.44349,0.0573688,-0.317757,0.242365,1.5569,0.205717,1.04114
146,479.17,1,13.365,24.5059,14.2578,1.50369,0.0544966,-0.32294,0.237764,1.51748,0.200508,1.01478
147,477.84,1,13.3869,24.4001,16.1662,1.30184,0.0648889,-0.309127,0.240856,1.55374,0.195431,0.989086
148,475.408,1,13.4821,24.6573,15.6256,1.37996,0.0580955,-0.318975,0.243224,1.5144,0.190482,0.994313
149,467.563,1,13.3386,24.2962,15.1906,1.40425,0.0537898,-0.337193,0.239352,1.47606,0.185659,1.01701
150,466.02,1,13.3301,23.6443,15.1974,1.4269,0.050642,-0.323877,0.238457,1.43868,0.180958,1.04435
151,465.31,1,13.5027,24.0658,14.594,1.45237,0.0491205,-0.364516,0.240367,1.40225,0.187235,1.0179
152,456.815,1,13.3484,24.0076,14.8666,1.39113,0.049558,-0.313586,0.23659,1.36675,0.182494,0.992128
153,457.152,1,13.3703,23.9466,14.5677,1.39105,0.0467073,-0.330994,0.234914,1.42388,0.177873,0.983986
154,466.617,1,13.4001,23.8192,14.6225,1.47206,0.0476776,-0.30627,0.238214,1.3999,0.188646,1.00589
155,462.873,1,13.4143,23.7557,14.5053,1.44428,0.0493315,-0.317133,0.239591,1.36445,0.18387,0.980422
156,468.129,1,13.4728,24.0733,14.2974,1.37853,0.0562967,-0.347846,0.237625,1.3299,0.199965,0.955597
157,461.154,1,13.3553,24.2351,12.7435,1.35471,0.0542624,-0.333054,0.235535,1.29623,0.194902,1.00325
158,465.218,1,13.5364,24.2978,13.6853,1.45786,0.0469427,-0.331583,0.245815,1.39508,0.192682,0.987744
159,462.811,1,13.4301,24.5318,13.7282,1.30181,0.0529329,-0.339542,0.242963,1.35976,0.206632,1.02347
160,471.927,1,13.4087,24.8134,14.4373,1.43677,0.0536408,-0.335248,0.236811,1.45714,0.2014,0.997558
161,475.011,1,13.3116,24.2986,15.903,1.4368,0.0544274,-0.369726,0.236699,1.45485,0.198217,0.972299
162,468.339,1,13.3058,24.3969,15.6603,1.36425,0.0541998,-0.311672,0.237648,1.41801,0.193198,1.04499
163,462.051,1,13.3822,24.0303,16.0854,1.32326,0.052807,-0.335386,0.24055,1.40515,0.188306,1.01853
164,457.148,1,13.4759,24.2446,14.7118,1.34769,0.0487178,-0.33996,0.241444,1.48046,0.183538,0.992744
165,464.279,1,13.4359,24.1853,14.1929,1.47279,0.0474119,-0.333161,0.24122,1.44297,0.191681,0.967607
166,465.485,1,13.429,24.6979,15.5274,1.47278,0.0457954,-0.338423,0.235112,1.40664,0.198634,0.976162
167,467.208,1,13.4523,25.3457,15.198,1.35562,0.0528147,-0.341089,0.242353,1.53023,0.194621,0.951445
168,464.427,1,13.5108,25.1034,14.1369,1.44383,0.0486214,-0.354812,0.246435,1.49148,0.189693,0.927354
169,474.524,1,13.4694,25.3265,13.6892,1.42313,0.0532635,-0.343163,0.245488,1.45371,0.201578,1.04818
170,466.173,1,13.4354,25.8091,12.4638,1.39293,0.0530432,-0.345713,0.241762,1.41691,0.199003,1.02164
171,468.225,1,13.4922,25.6152,12.5999,1.4442,0.0472349,-0.354574,0.241097,1.41779,0.208064,1.01784
172,470.859,1,13.6038,25.9926,13.0465,1.49401,0.0458621,-0.348923,0.250821,1.38189,0.229979,0.992066
173,466.97,1,13.3865,25.29,12.4358,1.42957,0.0491781,-0.357774,0.24447,1.3469,0.233954,1.00711
174,470.731,1,13.3265,24.9501,12.3312,1.42967,0.0530173,-0.345069,0.23828,1.3128,0.22803,0.997186
175,469.503,1,13.5156,24.7039,11.4728,1.45865,0.0491331,-0.358401,0.237444,1.28261,0.222256,1.01761
176,476.813,1,13.4843,24.3655,11.9515,1.51681,0.0495323,-0.344403,0.248677,1.32461,0.216628,1.12335
177,482.969,1,13.5019,24.4098,11.0451,1.58142,0.0478226,-0.342493,0.252402,1.29107,0.223992,1.17443
178,479.241,1,13.4417,24.4539,12.5975,1.59231,0.0454211,-0.327653,0.246011,1.25838,0.21943,1.1887
179,480.057,1,13.3878,24.188,12.0347,1.7303,0.0408227,-0.323289,0.244135,1.22651,0.22674,1.15861
180,469.144,1,13.4833,24.4065,10.8218,1.64378,0.0387816,-0.313775,0.249365,1.24977,0.225083,1.12927
181,470.745,1,13.4125,23.9953,12.2646,1.5361,0.0427229,-0.319061,0.243051,1.2783,0.235255,1.10068
182,468.076,1,13.474,24.095,11.7142,1.53606,0.0417289,-0.325776,0.248263,1.25962,0.240504,1.07281
183,460.196,1,13.6011,23.7923,12.0354,1.36967,0.0455192,-0.341096,0.244638,1.22772,0.246799,1.04572
184,461.306,1,13.3928,23.3071,13.7184,1.41274,0.0447146,-0.332753,0.240199,1.26694,0.246275,1.01924
185,462.578,1,13.5514,23.2086,14.0376,1.41276,0.0442631,-0.347095,0.238303,1.35412,0.241283,0.993431
186,468.24,1,13.5004,22.3359,13.5929,1.45586,0.0473388,-0.348356,0.241743,1.38507,0.235174,0.968276
187,466.93,1,13.4577,22.0068,13.4202,1.56944,0.0426606,-0.307466,0.248674,1.34999,0.229219,0.943759
188,457.296,1,13.4785,22.4531,14.3542,1.58584,0.0370624,-0.329652,0.252028,1.31581,0.237839,0.919862
189,454.796,1,13.4433,22.3504,14.5066,1.48932,0.0422214,-0.321025,0.245646,1.28249,0.231817,0.896571
190,451.575,1,13.3743,22.5841,15.2526,1.51969,0.0400905,-0.348095,0.242804,1.25002,0.225947,0.873869
191,458.49,1,13.3455,23.1472,16.1396,1.45009,0.0458751,-0.35188,0.240433,1.2304,0.220226,0.887787
192,460.729,1,13.4958,23.161,13.7229,1.4293,0.0494425,-0.346098,0.246993,1.28004,0.21465,0.903975
193,464.586,1,13.4121,22.481,13.4702,1.50212,0.0474187,-0.297794,0.240739,1.33466,0.209215,0.923972
194,452.964,1,13.3833,23.3438,13.6319,1.43596,0.0447232,-0.314049,0.241586,1.30087,0.203917,0.917103
195,451.743,1,13.4203,23.3786,13.5028,1.40906,0.0462147,-0.325453,0.235469,1.26969,0.198754,0.893882
196,463.761,1,13.3125,23.081,14.4887,1.48646,0.0488644,-0.322282,0.238869,1.23754,0.198376,0.909078
197,460.257,1,13.473,23.3865,13.414,1.45319,0.0526432,-0.339607,0.233389,1.20621,0.201224,0.88606
198,470.357,1,13.4753,23.067,12.0998,1.49057,0.0567812,-0.36531,0.239702,1.17567,0.197089,0.897572
199,468.966,1,13.4143,23.3285,12.2501,1.55895,0.0517429,-0.372211,0.23984,1.1459,0.217581,0.874845
200,463.948,1,13.3201,23.4518,12.7297,1.46,0.0512995,-0.33496,0.241776,1.18335,0.213701,0.852694
201,465.726,1,13.3921,24.0163,12.3705,1.5309,0.0504373,-0.349385,0.239331,1.15339,0.216114,0.831103
202,470,1,13.4615,23.8266,12.2136,1.53093,0.052636,-0.320067,0.23782,1.11186,0.211362,0.877553
203,465.735,1,13.4158,23.8554,13.1554,1.32129,0.0621678,-0.299712,0.235404,0.906746,0.225303,0.94358
204,465.726,1,13.381,23.5307,13.3176,1.40428,0.0584311,-0.317463,0.235859,0.926413,0.21985,0.914371
205,467.723,1,13.4706,23.3198,12.6479,1.40424,0.0577354,-0.329502,0.245423,0.91402,0.242745,0.915573
206,477.295,1,13.382,23.8391,13.3555,1.46913,0.059764,-0.301261,0.23475,0.99691,0.234203,0.937208
207,472.459,1,13.2887,23.5165,13.7562,1.53142,0.053031,-0.303626,0.230003,0.970623,0.240539,0.947747
208,475.324,1,13.3395,23.4411,14.1904,1.55827,0.0502314,-0.329886,0.236772,1.12874,0.236632,0.949456
209,475.054,1,13.4476,23.3756,12.8977,1.55828,0.0520661,-0.351916,0.237558,1.12222,0.225499,0.945204
210,461.967,1,13.4019,23.4431,13.2502,1.54858,0.0462477,-0.349743,0.240956,1.1328,0.202388,0.866122
211,466.497,1,13.258,23.5177,13.4446,1.66242,0.04128,-0.352837,0.238686,1.11924,0.21408,0.888946
212,464.653,1,13.4638,23.752,11.959,1.59752,0.0477887,-0.356606,0.244042,1.00535,0.204485,0.859006
213,449.248,1,13.4714,23.8693,12.1056,1.63789,0.0364288,-0.353189,0.241745,0.999099,0.197567,0.800613
214,452.459,1,13.3748,23.8744,13.4183,1.63791,0.0380308,-0.360747,0.230396,0.982163,0.201168,0.891803
215,464.164,1,13.3712,23.8843,15.1131,1.55037,0.0484274,-0.338617,0.228917,1.0495,0.195402,0.988057
216,457.612,1,13.3765,23.5236,14.9531,1.47873,0.0456821,-0.343283,0.22882,1.02293,0.211825,1.0148
217,449.8,1,13.3342,24.0357,15.7622,1.39585,0.0463549,-0.310533,0.225299,1.01843,0.217005,0.942731
218,444.77,1,13.3838,23.4793,13.7933,1.46671,0.0362863,-0.327607,0.226741,1.13732,0.233149,0.885044
219,447.393,1,13.3144,23.288,13.8013,1.5291,0.0344117,-0.327268,0.229042,1.2052,0.220647,0.876696
220,454.426,1,13.374,23.1739,13.6046,1.6203,0.0365484,-0.346628,0.236334,1.07546,0.230626,0.812443
221,455.949,1,13.3713,23.0372,13.3754,1.61004,0.0394624,-0.34855,0.242933,1.02489,0.230096,0.784639
222,451.596,1,13.3561,23.1557,14.1693,1.54978,0.0397117,-0.35401,0.239732,1.06593,0.229778,0.772591
223,455.83,1,13.267,23.0899,13.6992,1.57411,0.0404032,-0.320606,0.250408,1.02315,0.223062,0.8202
224,461.342,1,13.3734,23.0265,14.8491,1.5741,0.0403814,-0.333251,0.247189,1.20957,0.225724,0.839669
225,464.205,1,13.3667,22.7615,15.1378,1.52656,0.0481352,-0.335514,0.245771,1.09445,0.223841,0.814182
226,463.758,1,13.3848,23.2018,15.1217,1.64508,0.0405358,-0.343507,0.244137,1.06421,0.242242,0.809309
227,457.502,1,13.4361,23.4345,13.9067,1.54066,0.0433812,-0.322315,0.242786,1.03209,0.245375,0.777128
228,466.044,1,13.3112,23.3743,13.9333,1.63246,0.0399554,-0.324945,0.235789,1.10093,0.250652,0.892331
229,468.778,1,13.4346,23.59,13.9784,1.58302,0.0438202,-0.331381,0.24466,1.10409,0.247145,0.914682
230,468.96,1,13.4839,23.7311,14.1262,1.51234,0.0494945,-0.327212,0.246091,1.15823,0.221597,0.903679
231,462.678,1,13.4243,23.849,14.6592,1.45929,0.0519238,-0.311743,0.23551,1.1551,0.19095,0.903304
232,467.563,1,13.4381,24.4204,13.4362,1.50252,0.0527297,-0.328268,0.227046,1.19376,0.196193,0.908608
