trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_logtSCRMGDL_abscissa,trans_Cl_vs_logtSCRMGDL_spline,trans_Cl_vs_logtSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_logtSCRMGDL_abscissa,trans_Q_vs_logtSCRMGDL_spline,trans_Q_vs_logtSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_logtSCRMGDL_abscissa,trans_V1_vs_logtSCRMGDL_spline,trans_V1_vs_logtSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_logtSCRMGDL_abscissa,trans_V2_vs_logtSCRMGDL_spline,trans_V2_vs_logtSCRMGDL_regression,split
0.413535,2.77686,2.70753,-0.454751,2.70216,2.7452,0.413535,3.08998,3.15271,-0.454751,2.73763,3.24983,0.413535,3.15183,3.15437,-0.454751,3.31851,3.18138,0.413535,2.84509,2.63353,-0.454751,2.45053,2.81851,All
0.421212,2.78416,2.70176,-0.440944,2.70707,2.74066,0.421212,3.14872,3.15461,-0.440944,2.6789,3.24782,0.421212,3.13386,3.15632,-0.440944,3.31815,3.18164,0.421212,2.90736,2.62707,-0.440944,2.4021,2.80884,All
0.428889,2.79146,2.69599,-0.427137,2.71209,2.73612,0.428889,3.20745,3.1565,-0.427137,2.66719,3.2458,0.428889,3.11588,3.15826,-0.427137,3.31162,3.18189,0.428889,2.96962,2.62061,-0.427137,2.39674,2.79918,All
0.436566,2.79875,2.69023,-0.41333,2.71722,2.73157,0.436566,3.26618,3.1584,-0.41333,2.70834,3.24378,0.436566,3.09791,3.16021,-0.41333,3.29815,3.18215,0.436566,3.03189,2.61415,-0.41333,2.43982,2.78951,All
0.444242,2.80605,2.68446,-0.399524,2.72236,2.72703,0.444242,3.32491,3.1603,-0.399524,2.7495,3.24177,0.444242,3.07994,3.16216,-0.399524,3.28468,3.18241,0.444242,3.09416,2.60769,-0.399524,2.48289,2.77985,All
0.451919,2.81335,2.67869,-0.385717,2.72749,2.72249,0.451919,3.38364,3.1622,-0.385717,2.79066,3.23975,0.451919,3.06197,3.1641,-0.385717,3.27121,3.18267,0.451919,3.15642,2.60123,-0.385717,2.52597,2.77018,All
0.459596,2.82064,2.67292,-0.37191,2.73263,2.71794,0.459596,3.44237,3.1641,-0.37191,2.83182,3.23773,0.459596,3.044,3.16605,-0.37191,3.25774,3.18293,0.459596,3.21869,2.59478,-0.37191,2.56905,2.76051,All
0.467273,2.79886,2.66716,-0.358103,2.73776,2.7134,0.467273,3.38448,3.166,-0.358103,2.87298,3.23572,0.467273,3.08543,3.16799,-0.358103,3.24427,3.18319,0.467273,3.12631,2.58832,-0.358103,2.61213,2.75085,All
0.474949,2.77546,2.66139,-0.344296,2.7429,2.70886,0.474949,3.32012,3.16789,-0.344296,2.91414,3.2337,0.474949,3.13015,3.16994,-0.344296,3.23081,3.18345,0.474949,3.02534,2.58186,-0.344296,2.65521,2.74118,All
0.482626,2.74152,2.65562,-0.330489,2.74803,2.70432,0.482626,3.29617,3.16979,-0.330489,2.9553,3.23169,0.482626,3.16845,3.17188,-0.330489,3.21734,3.18371,0.482626,2.86197,2.5754,-0.330489,2.69828,2.73152,All
0.490303,2.68732,2.64986,-0.316683,2.75317,2.69977,0.490303,3.34993,3.17169,-0.316683,2.99646,3.22967,0.490303,3.19441,3.17383,-0.316683,3.20387,3.18397,0.490303,2.57859,2.56894,-0.316683,2.74136,2.72185,All
0.49798,2.63312,2.64409,-0.302876,2.7583,2.69523,0.49798,3.40369,3.17359,-0.302876,3.03762,3.22765,0.49798,3.22036,3.17577,-0.302876,3.1904,3.18423,0.49798,2.29521,2.56248,-0.302876,2.78444,2.71219,All
0.505657,2.60906,2.63832,-0.289069,2.76344,2.69069,0.505657,3.3841,3.17549,-0.289069,3.07878,3.22564,0.505657,3.21631,3.17772,-0.289069,3.17693,3.18449,0.505657,2.23028,2.55602,-0.289069,2.82752,2.70252,All
0.513333,2.59576,2.63256,-0.275262,2.76857,2.68614,0.513333,3.3383,3.17739,-0.275262,3.11994,3.22362,0.513333,3.20154,3.17967,-0.275262,3.16346,3.18475,0.513333,2.24337,2.54956,-0.275262,2.8706,2.69285,All
0.52101,2.58247,2.62679,-0.261455,2.77371,2.6816,0.52101,3.29251,3.17929,-0.261455,3.16109,3.22161,0.52101,3.18677,3.18161,-0.261455,3.14999,3.18501,0.52101,2.25647,2.5431,-0.261455,2.91367,2.68319,All
0.528687,2.56917,2.62102,-0.247648,2.77884,2.67706,0.528687,3.24672,3.18118,-0.247648,3.20225,3.21959,0.528687,3.172,3.18356,-0.247648,3.13653,3.18527,0.528687,2.26956,2.53664,-0.247648,2.95675,2.67352,All
0.536364,2.55588,2.61525,-0.233842,2.78398,2.67252,0.536364,3.20092,3.18308,-0.233842,3.24341,3.21757,0.536364,3.15723,3.1855,-0.233842,3.12306,3.18553,0.536364,2.28265,2.53019,-0.233842,2.99983,2.66386,All
0.54404,2.5619,2.60949,-0.220035,2.78911,2.66797,0.54404,3.05012,3.18498,-0.220035,3.28457,3.21556,0.54404,3.09278,3.18745,-0.220035,3.10959,3.18579,0.54404,2.24805,2.52373,-0.220035,3.04291,2.65419,All
0.551717,2.59275,2.60372,-0.206228,2.79425,2.66343,0.551717,2.87963,3.18688,-0.206228,3.32573,3.21354,0.551717,3.02663,3.18939,-0.206228,3.09612,3.18604,0.551717,2.18653,2.51727,-0.206228,3.08599,2.64453,All
0.559394,2.6495,2.59795,-0.192421,2.79938,2.65889,0.559394,2.96885,3.18878,-0.192421,3.36689,3.21153,0.559394,3.10971,3.19134,-0.192421,3.08265,3.1863,0.559394,2.18054,2.51081,-0.192421,3.12906,2.63486,All
0.567071,2.70625,2.59219,-0.178614,2.80452,2.65434,0.567071,3.05808,3.19068,-0.178614,3.40805,3.20951,0.567071,3.1928,3.19329,-0.178614,3.06918,3.18656,0.567071,2.17456,2.50435,-0.178614,3.17214,2.62519,All
0.574747,2.70797,2.58642,-0.164807,2.80965,2.6498,0.574747,3.03463,3.19257,-0.164807,3.44921,3.20749,0.574747,3.21474,3.19523,-0.164807,3.05572,3.18682,0.574747,2.23949,2.49789,-0.164807,3.21522,2.61553,All
