iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,beta_V1_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
86,462.448,1,20.7492,24.3717,12.2482,1.42168,0.0498091,-0.421925,-0.026502,0.219497,0.925525,0.288074,0.968927
87,467.262,1,20.6635,24.688,11.6447,1.48724,0.0474548,-0.412247,-0.114568,0.217684,0.986564,0.286065,1.02432
88,460.628,1,21.0502,25.1771,12.1108,1.53548,0.0416108,-0.432959,-0.184578,0.219046,0.961584,0.284967,1.01655
89,449.469,1,20.3795,25.3758,13.4625,1.45871,0.0395303,-0.403557,-0.135828,0.2135,1.00936,0.277751,1.01246
90,461.347,1,20.6695,25.3599,12.6655,1.53629,0.0373639,-0.415132,-0.0537151,0.22124,1.10567,0.283953,1.03699
91,459.887,1,20.3605,25.3139,11.7562,1.46491,0.0405082,-0.396409,-0.167538,0.225502,1.17633,0.276763,1.01313
92,462.479,1,20.4714,24.5428,12.6684,1.51356,0.0394375,-0.398443,-0.388001,0.231088,1.22011,0.276192,0.987472
93,464.434,1,20.5299,24.113,11.9681,1.57965,0.0421133,-0.404375,-0.115582,0.228311,1.18922,0.271789,0.962469
94,471.889,1,20.7299,24.0418,12.1905,1.55683,0.0490699,-0.420971,-0.0481577,0.225115,1.15911,0.264907,0.938099
95,474.048,1,20.6263,24.5278,12.2358,1.64998,0.0453304,-0.413532,0.119842,0.224437,1.12976,0.267463,0.914345
96,463.701,1,20.5692,24.6139,12.7598,1.50231,0.0470375,-0.406605,0.163266,0.227898,1.10115,0.260691,0.891194
97,464.662,1,20.1443,23.889,13.3702,1.5375,0.0442771,-0.399569,-0.0746073,0.229236,1.14342,0.264878,0.868628
98,459.673,1,21.1077,24.6487,12.542,1.63066,0.037445,-0.433843,-0.108837,0.22594,1.11447,0.272375,0.873953
99,457.116,1,20.9882,24.3554,12.5821,1.59117,0.0401665,-0.421777,-0.0912979,0.235505,1.08625,0.265478,0.851824
100,461.23,1,20.8383,24.3986,12.8127,1.5911,0.0380894,-0.424857,-0.0834741,0.231572,1.11489,0.267192,0.893819
101,464.618,1,20.9352,24.7312,12.8243,1.58552,0.0448086,-0.422614,-0.0153275,0.225709,1.08666,0.260426,0.871187
102,470.742,1,20.5513,24.4417,13.2629,1.58557,0.0467875,-0.40473,0.146522,0.22208,1.08602,0.270453,0.87933
103,468.318,1,21.1005,24.4834,13.0636,1.55376,0.0454028,-0.436226,0.0354217,0.221898,1.17245,0.266868,0.866689
104,474.89,1,21.4051,24.3759,13.4328,1.4874,0.0492862,-0.440733,-0.074068,0.229409,1.29198,0.260473,0.960452
105,474.955,1,20.473,24.6612,13.2075,1.4874,0.0491936,-0.407483,-0.114683,0.229958,1.27611,0.256771,0.97761
106,475.364,1,20.6933,24.0202,14.0749,1.58671,0.0443565,-0.416593,-0.331668,0.226458,1.35776,0.254269,0.952857
107,465.867,1,21.1555,24.2253,12.3776,1.58667,0.0423137,-0.4282,-0.507326,0.223625,1.32338,0.247831,0.92873
108,461.737,1,20.9331,23.7024,12.8935,1.56484,0.0449991,-0.41983,-0.535165,0.228028,1.28987,0.241556,0.905214
109,462.455,1,20.5613,24.0807,13.2047,1.51811,0.0465416,-0.407705,-0.469806,0.232677,1.25721,0.235439,0.882293
110,466.36,1,21.2303,23.7758,12.5845,1.57153,0.0449788,-0.425221,-0.595464,0.226786,1.22538,0.229478,1.01298
111,465.209,1,20.6515,23.969,12.2631,1.53117,0.0483516,-0.413938,-0.396243,0.221043,1.19435,0.223667,0.987327
112,456.407,1,20.7149,23.6387,13.6936,1.45461,0.045934,-0.413394,-0.752669,0.21802,1.22037,0.218004,1.08772
113,466.568,1,20.9721,23.4081,13.1405,1.41808,0.0506859,-0.426114,-0.800287,0.227512,1.18947,0.220903,1.06017
114,463.55,1,20.3142,23.1342,14.8727,1.45578,0.0470289,-0.402008,-0.677865,0.223182,1.16906,0.226315,1.03847
115,454.869,1,20.4464,23.1535,12.2155,1.38299,0.0446774,-0.403741,-0.481213,0.227658,1.13946,0.236816,1.03029
116,448.576,1,20.6243,24.0214,12.8862,1.383,0.0446559,-0.412572,-0.442607,0.221893,1.11061,0.230819,1.0042
117,449.703,1,20.8082,23.7892,12.5681,1.38302,0.044263,-0.413502,-0.599782,0.22653,1.08249,0.24257,0.980431
118,460.544,1,21.4398,23.4997,11.5549,1.44643,0.0453768,-0.442507,-0.696262,0.222005,1.15181,0.240969,0.992437
119,465.289,1,20.5752,24.0572,13.1219,1.36419,0.05257,-0.400847,-0.778151,0.221845,1.12265,0.238576,1.08898
120,478.966,1,20.4474,23.9801,11.8932,1.53072,0.0511337,-0.395968,-0.651366,0.216227,1.24659,0.232535,1.13864
121,467.293,1,20.3847,24.3897,12.923,1.45355,0.0488379,-0.40548,-0.670418,0.217624,1.21503,0.23072,1.12053
122,458.061,1,20.3667,25.0112,14.548,1.41073,0.0486707,-0.401175,-0.470839,0.212542,1.18426,0.224878,1.09216
123,458.633,1,20.3401,24.3858,14.2943,1.35055,0.0495067,-0.402213,-0.525078,0.215833,1.15427,0.219184,1.18462
124,469.691,1,21.0884,24.1625,14.211,1.43111,0.050737,-0.437854,-0.560103,0.220101,1.19579,0.222176,1.15462
125,465.7,1,20.2915,23.9812,13.6204,1.40164,0.0514986,-0.400818,-0.577073,0.218836,1.1796,0.216551,1.12539
126,470.285,1,19.7907,23.7248,12.8221,1.5258,0.0516651,-0.369149,-0.275493,0.213295,1.14973,0.211067,1.13026
127,467.457,1,20.2066,23.8598,13.3049,1.47071,0.0542118,-0.394776,-0.297587,0.21675,1.12062,0.205723,1.10164
128,457.778,1,20.4111,23.324,12.8827,1.47064,0.0521373,-0.403814,-0.175623,0.224398,1.09225,0.202776,1.07375
129,462.917,1,20.9864,23.6942,12.7815,1.48542,0.0515498,-0.430876,-0.0413597,0.227735,1.0867,0.197642,1.04656
130,471.118,1,20.4927,24.4075,13.4099,1.48553,0.0555661,-0.403483,0.0417528,0.223623,1.06124,0.214153,1.02006
131,471.238,1,20.6165,25.0192,14.7888,1.43597,0.0559146,-0.409856,-0.0348501,0.217961,1.08488,0.226825,1.05591
132,471.347,1,19.9641,25.1299,14.782,1.43608,0.0601909,-0.384568,-0.165518,0.214147,1.05741,0.221082,1.02917
133,467.037,1,20.2383,25.0742,13.156,1.36428,0.0571814,-0.397642,-0.427887,0.212196,1.09476,0.224418,1.06453
134,472.033,1,20.1201,25.1283,13.0143,1.44711,0.0538219,-0.396318,-0.453554,0.22267,1.20174,0.218735,1.05328
135,464.18,1,20.5285,24.5706,12.833,1.395,0.0509664,-0.416736,-0.490554,0.219879,1.18816,0.213197,1.11073
136,464.566,1,20.847,24.3188,12.7091,1.30209,0.0540642,-0.423044,-0.528612,0.216488,1.30885,0.219481,1.0826
137,471.932,1,21.1068,24.4507,12.5811,1.45091,0.0546573,-0.433916,-0.387886,0.215998,1.27571,0.213924,1.07775
138,476.559,1,21.2218,24.3277,14.3728,1.54775,0.0541165,-0.437547,-0.254073,0.213238,1.2434,0.208507,1.07736
139,475.91,1,21.1512,24.4969,12.9581,1.5477,0.0523546,-0.432022,-0.0826251,0.215757,1.31591,0.210155,1.05008
140,487.74,1,21.0445,24.3502,13.2147,1.54777,0.05512,-0.429627,0.0310018,0.225429,1.46255,0.204834,1.11762
141,482.883,1,20.8734,24.7811,13.1682,1.40572,0.0604185,-0.414561,0.0406792,0.219721,1.48409,0.208115,1.08933
142,478.222,1,20.8992,24.7514,11.9303,1.37937,0.0606916,-0.417007,0.00848802,0.225539,1.44651,0.202846,1.08742
143,474.391,1,20.7831,24.7509,12.6212,1.43993,0.0541945,-0.414848,-0.0570558,0.229334,1.40988,0.19771,1.07377
144,469.804,1,21.2813,24.4378,12.6015,1.35705,0.0561654,-0.438857,0.16905,0.223527,1.37419,0.192703,1.13682
145,475.291,1,20.7929,24.833,12.5946,1.41945,0.0555967,-0.42196,0.00777707,0.225255,1.45155,0.200438,1.10803
146,479.259,1,20.6361,25.6428,12.8173,1.50001,0.0510898,-0.422105,0.205278,0.223699,1.46164,0.210852,1.09084
147,475.643,1,20.6335,25.4013,13.3432,1.35587,0.0592493,-0.411313,0.188439,0.225067,1.42463,0.205619,1.13055
148,478.676,1,20.8924,25.4746,11.8485,1.35588,0.0593781,-0.423316,0.117256,0.227492,1.38856,0.203052,1.15059
149,469.95,1,20.187,24.7931,11.8649,1.44975,0.053677,-0.396041,0.188856,0.222251,1.3534,0.199542,1.12146
150,464.114,1,20.1426,24.2273,11.442,1.44969,0.0519889,-0.394431,0.257566,0.228254,1.31913,0.19449,1.09306
151,456.914,1,20.9362,25.208,12.7162,1.37721,0.0493895,-0.415716,0.172164,0.226764,1.28573,0.20545,1.06538
152,459.646,1,20.4998,25.3607,11.8315,1.3773,0.0524257,-0.405676,0.0699625,0.226999,1.25318,0.200248,1.03841
153,458.338,1,20.2602,25.566,12.1357,1.40923,0.0503408,-0.39338,-0.0557751,0.221252,1.22144,0.195178,1.09774
154,469.148,1,20.7456,25.1588,11.4934,1.50566,0.0439388,-0.418563,0.0888911,0.223256,1.28862,0.211691,1.22839
155,470.454,1,21.1776,24.903,11.3234,1.50578,0.0509111,-0.430723,0.20252,0.224042,1.25599,0.20633,1.19728
156,472.187,1,21.4372,25.2757,11.5322,1.50581,0.0529355,-0.437445,0.130581,0.229182,1.22419,0.214453,1.16697
157,465.625,1,20.6598,25.1348,11.3734,1.36767,0.0558948,-0.408796,0.276252,0.223379,1.19319,0.209023,1.13742
158,469.863,1,20.8502,25.0643,11.9061,1.43233,0.0546508,-0.409599,0.429244,0.22657,1.24514,0.203731,1.10862
159,482.332,1,20.3328,25.3141,12.6259,1.30703,0.0634598,-0.396112,0.41105,0.231636,1.22114,0.233173,1.15204
160,475.644,1,20.6062,25.8245,12.0285,1.24168,0.0602868,-0.414162,0.00158653,0.225771,1.37381,0.234376,1.13187
161,473.129,1,21.0625,25.6704,13.1348,1.287,0.05955,-0.430685,0.0939226,0.220054,1.33902,0.228442,1.18409
162,476.526,1,20.3566,26.047,13.889,1.287,0.0613277,-0.40199,0.0271612,0.220987,1.30661,0.222657,1.19323
163,468.814,1,20.8288,25.8151,15.1107,1.30127,0.0560815,-0.421136,0.148495,0.221865,1.29835,0.224675,1.16301
164,464.964,1,20.5936,25.6924,13.6237,1.24023,0.0560418,-0.407171,0.0551292,0.224988,1.39453,0.218986,1.13357
165,467.178,1,20.1237,25.6681,12.2866,1.30507,0.0539057,-0.386579,0.133326,0.22216,1.40085,0.213441,1.10562
166,463.619,1,20.5951,25.6359,12.7781,1.39528,0.0487497,-0.40769,0.0407409,0.225166,1.36538,0.209868,1.09374
167,467.816,1,20.5769,25.7946,12.2142,1.34858,0.0547792,-0.412084,-0.197548,0.229097,1.33081,0.204554,1.13688
168,469.428,1,20.6871,25.3644,12.2328,1.3878,0.0507025,-0.416149,-0.0193848,0.223296,1.3764,0.199829,1.20297
169,466.454,1,20.6094,25.4151,11.9517,1.3358,0.0535146,-0.40754,0.0442665,0.224434,1.34155,0.204946,1.22147
170,466.644,1,20.6254,25.7633,12.4084,1.33578,0.052553,-0.412444,0.168103,0.225569,1.30758,0.199757,1.26993
171,461.949,1,20.6168,25.5011,12.8842,1.37845,0.0482925,-0.410367,-0.0496835,0.224042,1.27628,0.203535,1.23777
172,463.57,1,21.2468,25.8984,13.8799,1.39852,0.0490144,-0.43289,-0.125978,0.227707,1.30562,0.224285,1.20643
173,474.937,1,20.7914,26.25,12.1789,1.32228,0.0589349,-0.422974,0.0201211,0.221942,1.29337,0.225038,1.17589
174,479.052,1,20.6955,26.1258,11.2655,1.40728,0.058091,-0.414896,0.0780769,0.216322,1.26062,0.223723,1.19326
175,479.298,1,20.9715,25.7203,11.6432,1.33787,0.0584077,-0.430546,0.165406,0.214187,1.40351,0.222336,1.20283
176,479.452,1,20.9635,25.7454,11.8678,1.39467,0.0575915,-0.42847,0.249598,0.22299,1.44925,0.216706,1.17237
177,479.51,1,20.841,25.8326,10.7284,1.39465,0.0577833,-0.419694,0.0622715,0.231195,1.41255,0.211219,1.28151
178,480.681,1,19.8726,25.6348,10.1906,1.39469,0.0592475,-0.378788,0.355031,0.225935,1.37678,0.205871,1.26016
179,488.499,1,20.2305,25.5036,10.6658,1.58228,0.0564242,-0.392484,0.516614,0.226272,1.34192,0.205135,1.22825
180,483.301,1,20.3047,25.7434,9.08724,1.52771,0.0540273,-0.395367,0.252967,0.234238,1.30794,0.21959,1.19715
181,479.903,1,20.4081,25.01,10.6034,1.52763,0.0514139,-0.409119,0.281366,0.228307,1.27483,0.23408,1.16684
182,479.471,1,21.0632,24.8572,10.3202,1.48168,0.0512917,-0.419761,0.128318,0.231661,1.25262,0.241466,1.15867
183,476.693,1,21.2302,24.6149,11.2507,1.44586,0.0522256,-0.424803,0.00101912,0.225801,1.24604,0.23831,1.15722
184,477.358,1,20.9655,24.7754,12.0298,1.46375,0.0544572,-0.429836,-0.0577519,0.226913,1.21449,0.23437,1.12792
185,483.26,1,21.0712,25.2725,12.764,1.63578,0.0498336,-0.427921,0.13319,0.233422,1.24607,0.231218,1.09936
186,479.248,1,21.1707,24.4835,11.2985,1.60544,0.0499093,-0.431741,0.0876487,0.229451,1.21452,0.232751,1.07153
187,468.986,1,20.3363,23.8111,11.0861,1.59358,0.0463054,-0.392228,0.175627,0.232673,1.18376,0.226858,1.0444
188,462.973,1,20.6776,23.8078,11.4889,1.56529,0.0446281,-0.4123,0.0417792,0.226781,1.15379,0.221114,1.01795
189,464.254,1,20.578,23.6545,13.4542,1.57758,0.0473324,-0.414639,-0.0129892,0.232046,1.12458,0.215515,0.992175
190,463.761,1,21.3537,23.9498,14.4493,1.57757,0.0454967,-0.437676,0.0147613,0.23131,1.11146,0.210058,0.967053
191,459.448,1,20.7343,24.155,14.2316,1.4231,0.0492579,-0.423128,-0.0172277,0.228247,1.08332,0.206034,1.03703
192,457.709,1,21.0497,23.9951,13.9707,1.32023,0.0579308,-0.428469,0.0554285,0.224914,1.09702,0.200817,1.01077
193,459.333,1,20.2683,22.9854,13.7888,1.38172,0.0556811,-0.398504,-0.016324,0.219219,1.06924,0.195732,1.03124
194,459.102,1,20.471,23.4738,13.7456,1.41752,0.0517196,-0.400751,-0.0186279,0.227741,1.0834,0.197988,1.00513
195,455.403,1,20.6776,23.6833,14.0256,1.3385,0.0529862,-0.407625,-0.00644453,0.221974,1.12627,0.201932,0.97968
196,454.866,1,20.7331,23.1559,14.7515,1.4041,0.0478081,-0.416684,0.0816497,0.222972,1.09775,0.21907,0.954874
197,458.863,1,20.3496,23.647,13.8402,1.50046,0.0500246,-0.398384,-0.00785548,0.217326,1.06996,0.213523,0.930696
198,451.24,1,20.8239,23.328,14.0623,1.44939,0.0491241,-0.416204,-0.0311121,0.222232,1.04287,0.208117,0.90713
199,450.561,1,21.3964,23.3457,13.5866,1.5551,0.0420619,-0.441675,0.116948,0.226775,1.01646,0.209763,0.884161
200,462.546,1,20.6259,23.4591,13.1192,1.6011,0.0448097,-0.414243,-0.0769972,0.229524,1.08222,0.213558,0.861774
201,462.423,1,20.9079,23.8106,12.172,1.67128,0.0438683,-0.426362,-0.132074,0.223713,1.06884,0.20815,0.839953
202,461.712,1,20.5126,24.059,12.9667,1.60888,0.0476759,-0.405243,-0.208054,0.214421,1.03616,0.201387,0.853573
203,466.975,1,20.5255,23.8667,13.4462,1.60891,0.0481069,-0.409144,-0.438586,0.221927,1.02214,0.209538,0.915321
204,459.08,1,20.0197,23.6281,14.5642,1.55992,0.0495855,-0.390958,-0.191815,0.220199,0.882041,0.224335,0.823588
205,458.144,1,20.4068,23.5132,13.8781,1.44813,0.0485628,-0.410293,-0.0130461,0.224385,0.964717,0.249024,0.899176
206,460.618,1,20.5409,23.5519,13.6002,1.44811,0.0472648,-0.415961,-0.232133,0.224196,1.07629,0.250873,0.915164
207,456.077,1,20.2128,23.5869,13.5246,1.44808,0.0449965,-0.402278,-0.146746,0.215365,1.07893,0.256177,0.894688
208,463.273,1,20.4723,23.5269,14.1672,1.47996,0.0446834,-0.416106,-0.0719837,0.225311,1.23096,0.243703,0.924692
209,467.313,1,20.6966,23.7132,13.7575,1.50573,0.0475318,-0.413128,-0.194021,0.226216,1.1772,0.236619,0.95173
210,458.936,1,20.2113,23.9163,12.9852,1.46248,0.0436758,-0.39988,-0.113261,0.228704,1.15143,0.241043,0.942302
